,c,h,l,o,t,v
0,0.00805,0.0119,0.00792,0.0119,1563840000,234564563.2
1,0.00664,0.00804,0.00663,0.00803,1563926400,139395238.1
2,0.00681,0.00728,0.00648,0.00664,1564012800,43953348.4
3,0.0069,0.00715,0.00638,0.00686,1564099200,31919114.3
4,0.00652,0.00714,0.0063,0.00687,1564185600,23463041.4
5,0.00572,0.00653,0.0055,0.00652,1564272000,39123142.6
6,0.00542,0.00603,0.00534,0.00573,1564358400,42413610.6
7,0.00577,0.00639,0.00534,0.00541,1564444800,69661067.8
8,0.00582,0.0063,0.00574,0.00577,1564531200,38055799.5
9,0.00549,0.00639,0.00537,0.00589,1564617600,40962151.1
10,0.00592,0.0063,0.00537,0.00555,1564704000,96258618.6
11,0.00582,0.00644,0.00582,0.00592,1564790400,25652618.6
12,0.0057,0.00597,0.0056,0.00582,1564876800,31277767.5
13,0.00609,0.00684,0.00544,0.00573,1564963200,120782141.4
14,0.00581,0.0063,0.0055,0.00608,1565049600,137146187.3
15,0.00578,0.006,0.00549,0.00582,1565136000,299426620.8
16,0.00635,0.00749,0.00568,0.00579,1565222400,849196493.9
17,0.00484,0.00646,0.00474,0.00636,1565308800,373156710.7
18,0.0048,0.00512,0.00468,0.00485,1565395200,322997911.2
19,0.00491,0.00522,0.00478,0.00479,1565481600,235124170.0
20,0.00522,0.00545,0.00485,0.00491,1565568000,563799696.2
21,0.00492,0.00527,0.00476,0.00522,1565654400,143544627.0
22,0.00444,0.00501,0.00435,0.00496,1565740800,114946827.0
23,0.00492,0.00527,0.00444,0.00444,1565827200,186877872.5
24,0.00445,0.0052,0.0044,0.00491,1565913600,139442740.7
25,0.00441,0.0047,0.00435,0.00446,1566000000,78835240.1
26,0.00447,0.00448,0.0042,0.00442,1566086400,68031573.0
27,0.00467,0.00492,0.0044,0.00447,1566172800,147456703.4
28,0.00445,0.00473,0.00438,0.00467,1566259200,54114047.8
29,0.00394,0.0045,0.00378,0.00444,1566345600,107630522.8
30,0.00394,0.0041,0.00375,0.00394,1566432000,64494676.5
31,0.00388,0.00399,0.00381,0.00391,1566518400,40287997.0
32,0.0038,0.00388,0.0035,0.00388,1566604800,79725067.4
33,0.00376,0.0041,0.00367,0.00377,1566691200,78484370.8
34,0.00372,0.00393,0.0036,0.00377,1566777600,44333653.7
35,0.00373,0.00383,0.00353,0.0037,1566864000,42845973.4
36,0.0035,0.00394,0.00338,0.00375,1566950400,58220553.1
37,0.00312,0.00364,0.00305,0.00352,1567036800,56308786.0
38,0.00321,0.00326,0.00301,0.00313,1567123200,28548744.9
39,0.00309,0.00322,0.00304,0.00321,1567209600,11021425.3
40,0.00302,0.00313,0.00295,0.00308,1567296000,20130713.6
41,0.00317,0.00325,0.0029,0.00299,1567382400,33575187.8
42,0.00304,0.00324,0.00302,0.00319,1567468800,41713887.7
43,0.00338,0.0039,0.00293,0.00308,1567555200,150106683.5
44,0.003086,0.00342,0.003023,0.00338,1567641600,118506562.3
45,0.003014,0.003318,0.00252,0.003085,1567728000,91905493.7
46,0.003113,0.003199,0.00292,0.003014,1567814400,28387301.0
47,0.003007,0.00318,0.00294,0.003147,1567900800,14208952.0
48,0.003,0.003045,0.002824,0.003005,1567987200,26628080.0
49,0.003107,0.003241,0.002978,0.003,1568073600,23677121.0
50,0.002946,0.003139,0.002929,0.003107,1568160000,13870079.0
51,0.003035,0.003039,0.002828,0.002967,1568246400,15602366.0
52,0.002975,0.003039,0.00289,0.003034,1568332800,6846490.0
53,0.003036,0.003352,0.002953,0.002975,1568419200,44183583.0
54,0.002995,0.003166,0.002968,0.003036,1568505600,40222296.0
55,0.003005,0.003084,0.00297,0.002987,1568592000,29559754.0
56,0.003023,0.003141,0.00286,0.003008,1568678400,47495979.0
57,0.003219,0.00322,0.003003,0.003034,1568764800,51590367.0
58,0.002984,0.003201,0.002865,0.003199,1568851200,45842209.0
59,0.003037,0.003129,0.002897,0.002989,1568937600,42405727.0
60,0.002986,0.003043,0.002975,0.003037,1569024000,21641087.0
61,0.002879,0.003007,0.00283,0.003002,1569110400,28108733.0
62,0.002688,0.002886,0.00265,0.002879,1569196800,29342644.0
63,0.002177,0.002741,0.002052,0.002684,1569283200,32844377.0
64,0.002187,0.002304,0.002061,0.002183,1569369600,42260612.0
65,0.002038,0.002252,0.001944,0.002187,1569456000,34861998.0
66,0.002241,0.002316,0.001977,0.002033,1569542400,46111587.0
67,0.002307,0.002318,0.00219,0.002241,1569628800,23111522.0
68,0.002138,0.002318,0.002066,0.002307,1569715200,28543849.0
69,0.002241,0.002322,0.002069,0.002138,1569801600,28106837.0
70,0.002289,0.00242,0.002185,0.002244,1569888000,25625193.0
71,0.002223,0.002296,0.002132,0.002289,1569974400,23418684.0
72,0.002232,0.00225,0.002156,0.002221,1570060800,15144785.0
73,0.002238,0.002262,0.002194,0.002231,1570147200,12676087.0
74,0.002451,0.002541,0.002227,0.002238,1570233600,40070781.0
75,0.002291,0.00264,0.002242,0.002457,1570320000,46561809.0
76,0.002315,0.002355,0.002227,0.002288,1570406400,35669217.0
77,0.002567,0.002811,0.002303,0.002315,1570492800,68764222.0
78,0.002587,0.002695,0.002458,0.002573,1570579200,56332422.0
79,0.002483,0.002592,0.002443,0.002589,1570665600,23462481.0
80,0.002392,0.002521,0.002359,0.002483,1570752000,31043985.0
81,0.002349,0.002498,0.002318,0.002392,1570838400,28108763.0
82,0.00238,0.002453,0.002347,0.002349,1570924800,21604009.0
83,0.002351,0.002398,0.00229,0.002378,1571011200,15677007.0
84,0.002214,0.002384,0.002035,0.002351,1571097600,32982444.0
85,0.002471,0.00345,0.002215,0.002216,1571184000,195170750.0
86,0.002419,0.002504,0.00231,0.002488,1571270400,42453092.0
87,0.00227,0.002426,0.002165,0.002421,1571356800,50557510.0
88,0.002249,0.0024,0.002197,0.002269,1571443200,52005153.0
89,0.002282,0.002351,0.002209,0.002242,1571529600,31424823.0
90,0.002281,0.002357,0.002243,0.002269,1571616000,22512350.0
91,0.002229,0.002329,0.002222,0.002288,1571702400,27313250.0
92,0.002005,0.002237,0.001967,0.002227,1571788800,43258960.0
93,0.002032,0.002046,0.001951,0.002005,1571875200,18746110.0
94,0.002127,0.002204,0.001982,0.002026,1571961600,40527202.0
95,0.002039,0.002246,0.001989,0.002129,1572048000,36141540.0
