,c,h,l,o,t,v
0,0.0272,0.038,0.0205,0.02109,1572998400,256674493.5
1,0.02278,0.0295,0.02139,0.02722,1573084800,198157634.3
2,0.02036,0.02349,0.01933,0.0228,1573171200,102977995.8
3,0.02146,0.02274,0.02004,0.02035,1573257600,123439999.5
4,0.02051,0.02184,0.01996,0.02151,1573344000,62132635.7
5,0.01959,0.02069,0.01926,0.0205,1573430400,43299881.3
6,0.01907,0.01971,0.0184,0.01961,1573516800,38117661.5
7,0.01827,0.01955,0.01782,0.01907,1573603200,29840222.1
8,0.01725,0.0184,0.017,0.01831,1573689600,42915752.3
9,0.01643,0.01748,0.01625,0.01726,1573776000,42653585.9
10,0.0171,0.01725,0.0163,0.01643,1573862400,23778804.5
11,0.01734,0.01796,0.0167,0.01714,1573948800,37051216.1
12,0.0153,0.01744,0.01491,0.01734,1574035200,35300762.3
13,0.01466,0.01564,0.01434,0.0153,1574121600,31140425.2
14,0.01472,0.01533,0.01447,0.01466,1574208000,28566682.3
15,0.01279,0.01482,0.01227,0.01468,1574294400,33910605.1
16,0.01139,0.01328,0.0106,0.0128,1574380800,45731499.6
17,0.01157,0.01199,0.01068,0.0114,1574467200,33399782.9
18,0.01016,0.01165,0.01012,0.01159,1574553600,26833011.8
19,0.01062,0.01262,0.00897,0.01012,1574640000,34655756.5
20,0.0116,0.01199,0.00994,0.01065,1574726400,32445301.0
21,0.0117,0.01249,0.01066,0.01158,1574812800,41815430.3
22,0.01194,0.01322,0.01148,0.01174,1574899200,32178414.1
23,0.01156,0.01207,0.01127,0.01197,1574985600,22947481.2
24,0.01127,0.0119,0.01101,0.01158,1575072000,18220685.7
25,0.01111,0.01148,0.01044,0.01127,1575158400,17331904.1
26,0.01092,0.01144,0.01051,0.01111,1575244800,19431599.0
27,0.01144,0.01184,0.01085,0.01093,1575331200,22741438.3
28,0.01106,0.01171,0.01075,0.01148,1575417600,31082988.0
29,0.01088,0.01119,0.01029,0.01102,1575504000,21666639.4
30,0.01097,0.01132,0.0106,0.01092,1575590400,15660835.6
31,0.01094,0.01138,0.01033,0.01097,1575676800,24402598.4
32,0.01151,0.0118,0.01052,0.01094,1575763200,32475114.2
33,0.01096,0.01178,0.01087,0.01151,1575849600,18867931.8
34,0.00957,0.01101,0.009,0.01099,1575936000,33801127.1
35,0.00953,0.01018,0.0092,0.00956,1576022400,14087741.1
36,0.00928,0.00962,0.009,0.00955,1576108800,13732281.2
37,0.00966,0.00974,0.00926,0.00926,1576195200,13082102.8
38,0.00917,0.00972,0.00878,0.00962,1576281600,10265893.9
39,0.00968,0.0101,0.00891,0.00911,1576368000,25671240.6
40,0.00903,0.01008,0.00879,0.00971,1576454400,17725967.2
41,0.00804,0.00923,0.00795,0.00903,1576540800,22093812.8
42,0.00891,0.00897,0.00801,0.00807,1576627200,20055235.2
43,0.00913,0.00941,0.00847,0.00891,1576713600,15773856.1
44,0.00913,0.0093,0.0088,0.00911,1576800000,13312785.6
45,0.0096,0.00985,0.00908,0.00913,1576886400,17477616.8
46,0.01058,0.0119,0.00898,0.00962,1576972800,118445656.3
47,0.01093,0.01179,0.0103,0.01058,1577059200,76605457.7
48,0.01169,0.0125,0.0109,0.01093,1577145600,111121543.4
49,0.01067,0.0117,0.01051,0.0117,1577232000,54364954.7
50,0.01073,0.01108,0.01035,0.01064,1577318400,31182133.5
51,0.01119,0.01141,0.01069,0.01073,1577404800,35511530.6
52,0.01072,0.01135,0.01067,0.01118,1577491200,19016446.5
53,0.00989,0.01078,0.00974,0.01072,1577577600,34483871.4
54,0.00951,0.00999,0.00942,0.0099,1577664000,20690330.2
55,0.01029,0.01097,0.00926,0.00949,1577750400,86837974.0
56,0.01064,0.01092,0.01023,0.01028,1577836800,786061811.2
57,0.00985,0.01065,0.00955,0.01064,1577923200,584581577.4
58,0.01007,0.01037,0.00971,0.00985,1578009600,458153874.2
59,0.01022,0.01054,0.0099,0.01006,1578096000,178608202.3
60,0.01008,0.0105,0.01005,0.01022,1578182400,146186722.5
61,0.00999,0.01035,0.00985,0.01008,1578268800,154482575.5
62,0.00984,0.01028,0.0097,0.01002,1578355200,162249500.5
63,0.00946,0.0099,0.00934,0.0098,1578441600,41811395.9
64,0.00925,0.00973,0.00919,0.00944,1578528000,14920128.1
65,0.00921,0.00939,0.009,0.00924,1578614400,15450143.2
66,0.00922,0.00964,0.00912,0.00921,1578700800,15633204.5
67,0.00923,0.00926,0.00906,0.00925,1578787200,7199099.5
68,0.00893,0.00925,0.0085,0.00923,1578873600,15791861.1
69,0.00889,0.00914,0.00851,0.0089,1578960000,29383276.1
70,0.00911,0.0095,0.00876,0.00888,1579046400,27913091.0
71,0.00875,0.00914,0.00859,0.00913,1579132800,29953140.5
72,0.00861,0.00884,0.00815,0.00874,1579219200,33306791.1
73,0.00848,0.0087,0.00839,0.00862,1579305600,18446609.5
74,0.0081,0.00859,0.00795,0.00846,1579392000,21222278.3
75,0.00854,0.00895,0.008,0.00811,1579478400,29380874.0
76,0.0086,0.00882,0.00839,0.00853,1579564800,19571290.2
77,0.00969,0.00981,0.00846,0.00864,1579651200,43166069.5
78,0.00938,0.00969,0.00878,0.00967,1579737600,32527985.8
79,0.0089,0.00944,0.00861,0.00934,1579824000,13601515.6
80,0.00886,0.00894,0.00865,0.0089,1579910400,9066288.1
81,0.00887,0.00891,0.00859,0.00883,1579996800,9911441.2
82,0.00914,0.00927,0.00865,0.00888,1580083200,17311457.3
83,0.0094,0.00986,0.00886,0.00914,1580169600,25970953.8
84,0.00941,0.00987,0.00915,0.0094,1580256000,24072142.4
85,0.00937,0.00969,0.00935,0.00939,1580342400,12541526.5
86,0.01147,0.01204,0.00938,0.00938,1580428800,47012952.0
87,0.01148,0.01201,0.01087,0.01149,1580515200,52679294.1
88,0.01135,0.012,0.01064,0.01147,1580601600,25668076.8
89,0.01193,0.01237,0.01124,0.01133,1580688000,20405900.3
90,0.01294,0.01424,0.01173,0.01193,1580774400,34531943.1
91,0.01442,0.01514,0.01289,0.0129,1580860800,37049572.2
92,0.01493,0.01533,0.01401,0.01442,1580947200,19971566.8
93,0.01862,0.01879,0.0148,0.01487,1581033600,23958641.2
94,0.01648,0.01869,0.0155,0.01861,1581120000,28389073.0
