,c,h,l,o,t,v
0,3.777,4.755,3.661,4.755,1556496000,1579303.101
1,3.917,4.075,3.75,3.777,1556582400,638430.339
2,4.392,4.65,3.876,3.913,1556668800,1702261.315
3,4.61,4.661,4.174,4.391,1556755200,1133146.033
4,5.333,5.38,4.55,4.608,1556841600,2774683.236
5,5.243,5.66,4.706,5.341,1556928000,3500511.251
6,4.837,5.238,4.774,5.238,1557014400,1544214.974
7,4.763,4.94,4.502,4.838,1557100800,1395933.412
8,4.596,5.071,4.59,4.763,1557187200,1104548.01
9,4.313,4.635,4.242,4.601,1557273600,1025911.947
10,3.88,4.491,3.415,4.342,1557360000,1848165.513
11,3.797,4.114,3.611,3.884,1557446400,1403065.556
12,3.902,4.175,3.7,3.804,1557532800,1421951.65
13,3.75,4.04,3.604,3.904,1557619200,828353.863
14,3.897,4.173,3.734,3.75,1557705600,1023379.117
15,4.0,4.087,3.779,3.897,1557792000,1214232.757
16,4.547,4.8,3.986,4.0,1557878400,1592045.388
17,4.278,4.78,4.0,4.546,1557964800,1678626.34
18,4.413,4.792,3.95,4.268,1558051200,2800485.785
19,4.684,5.0,4.33,4.413,1558137600,1869590.999
20,4.852,5.171,4.636,4.684,1558224000,1758978.665
21,4.673,4.863,4.432,4.852,1558310400,1532786.286
22,4.743,4.864,4.48,4.668,1558396800,1172703.704
23,4.306,4.821,4.3,4.74,1558483200,997542.191
24,4.337,4.363,4.115,4.309,1558569600,976154.051
25,4.454,4.77,4.258,4.335,1558656000,2054989.883
26,4.385,4.6,4.287,4.447,1558742400,606239.443
27,4.481,4.543,4.238,4.385,1558828800,549918.061
28,4.655,4.699,4.47,4.478,1558915200,660167.301
29,4.778,4.863,4.474,4.665,1559001600,650998.4
30,4.696,4.873,4.5,4.794,1559088000,598479.755
31,5.926,6.603,4.668,4.682,1559174400,5953590.293
32,5.782,5.93,5.211,5.928,1559260800,3477721.866
33,5.771,6.325,5.6,5.782,1559347200,2589194.836
34,6.388,6.42,5.572,5.773,1559433600,1467150.229
35,6.506,7.249,5.975,6.393,1559520000,4684919.331
36,5.93,6.85,5.744,6.506,1559606400,3360461.824
37,6.14,6.28,5.62,5.931,1559692800,2180411.467
38,5.987,6.147,5.621,6.141,1559779200,1767183.832
39,6.279,6.576,5.877,5.995,1559865600,1848141.276
40,6.096,6.316,5.938,6.279,1559952000,731554.535
41,5.826,6.185,5.7,6.097,1560038400,649287.697
42,6.081,6.088,5.733,5.825,1560124800,831823.182
43,5.943,6.176,5.753,6.076,1560211200,561299.087
44,6.124,6.264,5.852,5.949,1560297600,801399.898
45,6.266,6.506,6.023,6.125,1560384000,785068.498
46,6.222,6.281,5.874,6.264,1560470400,586553.437
47,6.167,6.265,6.102,6.224,1560556800,373041.209
48,6.692,6.737,6.118,6.164,1560643200,609802.274
49,7.009,7.1,6.454,6.689,1560729600,945538.151
50,6.571,7.04,6.47,7.011,1560816000,509203.32
51,6.628,6.849,6.55,6.586,1560902400,388212.326
52,6.478,6.637,6.285,6.621,1560988800,406246.334
53,6.523,6.589,6.334,6.476,1561075200,380848.04
54,6.758,6.914,6.414,6.513,1561161600,666888.522
55,6.838,7.193,6.716,6.764,1561248000,639871.83
56,6.665,6.846,6.542,6.83,1561334400,385615.304
57,6.581,6.747,6.474,6.675,1561420800,467755.351
58,6.35,6.849,6.151,6.579,1561507200,740796.315
59,5.558,6.416,5.36,6.35,1561593600,1043714.484
60,5.928,5.97,5.464,5.552,1561680000,350835.393
61,6.058,6.198,5.626,5.928,1561766400,425212.713
62,5.443,6.117,5.395,6.047,1561852800,626818.119
63,5.475,5.72,5.143,5.443,1561939200,524258.536
64,5.337,5.666,5.123,5.493,1562025600,486100.507
65,5.574,5.62,5.288,5.341,1562112000,366656.84
66,5.478,5.766,5.465,5.584,1562198400,334401.178
67,5.353,5.501,5.33,5.478,1562284800,184141.259
68,5.288,5.49,5.235,5.368,1562371200,152778.189
69,5.398,5.413,5.2,5.299,1562457600,149143.975
70,5.175,5.435,5.1,5.399,1562544000,271671.939
71,4.984,5.196,4.87,5.185,1562630400,437356.723
72,4.483,4.985,4.175,4.984,1562716800,1167219.729
73,4.354,4.652,4.053,4.48,1562803200,537174.612
74,4.526,4.607,4.264,4.349,1562889600,446742.701
75,4.268,4.534,4.125,4.527,1562976000,267827.627
76,3.805,4.281,3.8,4.271,1563062400,310744.046
77,4.132,4.471,3.561,3.82,1563148800,819923.278
78,3.649,4.255,3.475,4.131,1563235200,827553.462
79,3.825,4.037,3.556,3.654,1563321600,595132.382
80,4.085,4.18,3.675,3.824,1563408000,512421.571
81,3.928,4.158,3.797,4.078,1563494400,238222.775
82,4.044,4.18,3.913,3.938,1563580800,386501.834
83,4.218,4.315,3.982,4.044,1563667200,332643.241
84,3.991,4.345,3.886,4.22,1563753600,336360.885
85,3.719,3.986,3.684,3.984,1563840000,292876.635
86,3.892,4.077,3.616,3.711,1563926400,259367.687
87,3.789,4.034,3.781,3.892,1564012800,199824.259
88,3.888,3.917,3.7,3.79,1564099200,180883.536
89,3.617,3.999,3.55,3.888,1564185600,441935.707
90,3.612,3.673,3.489,3.614,1564272000,189150.485
91,3.593,3.69,3.529,3.613,1564358400,158741.466
92,3.594,3.658,3.5,3.594,1564444800,177254.418
93,3.649,3.748,3.58,3.59,1564531200,197309.666
94,3.538,3.661,3.424,3.649,1564617600,292155.24
95,3.647,3.909,3.501,3.535,1564704000,727368.522
96,3.69,3.766,3.623,3.652,1564790400,202962.516
97,3.592,3.763,3.578,3.693,1564876800,182618.372
98,3.767,3.868,3.592,3.592,1564963200,358957.191
99,3.57,3.783,3.518,3.773,1565049600,364451.052
100,3.498,3.688,3.468,3.572,1565136000,489769.649
101,3.271,3.506,2.989,3.494,1565222400,863957.161
102,3.146,3.321,3.076,3.27,1565308800,370056.735
103,3.349,3.382,3.143,3.147,1565395200,407703.277
104,3.552,3.552,3.271,3.343,1565481600,350929.741
105,3.341,3.656,3.331,3.554,1565568000,521422.495
106,3.258,3.349,3.149,3.341,1565654400,327533.114
107,2.861,3.297,2.848,3.253,1565740800,460308.588
108,2.898,3.0,2.804,2.865,1565827200,348738.298
109,2.882,3.024,2.808,2.895,1565913600,478707.44
110,2.91,2.91,2.828,2.89,1566000000,161440.157
111,2.971,2.984,2.862,2.91,1566086400,159039.406
112,2.892,2.972,2.752,2.972,1566172800,653174.413
113,2.866,2.925,2.753,2.891,1566259200,252452.79
114,2.667,2.876,2.587,2.876,1566345600,258212.622
115,2.715,2.747,2.569,2.672,1566432000,262016.372
116,2.715,2.77,2.648,2.712,1566518400,284884.542
117,2.694,2.726,2.601,2.711,1566604800,219303.997
118,2.617,2.738,2.609,2.694,1566691200,205841.689
119,2.616,2.701,2.586,2.62,1566777600,158808.882
120,2.567,2.642,2.5,2.622,1566864000,201099.813
121,2.322,2.617,2.313,2.568,1566950400,632663.232
122,2.161,2.333,2.137,2.326,1567036800,613059.03
123,2.153,2.23,2.086,2.16,1567123200,324275.443
124,2.017,2.161,1.978,2.152,1567209600,705224.73
125,2.129,2.239,2.002,2.018,1567296000,600314.675
126,2.122,2.174,2.06,2.123,1567382400,420123.794
127,2.156,2.222,2.12,2.122,1567468800,321033.164
128,2.037,2.149,2.005,2.149,1567555200,322310.476
129,1.944,2.041,1.83,2.041,1567641600,669121.415
130,2.035,2.249,1.944,1.944,1567728000,951631.264
131,2.16,2.284,2.027,2.032,1567814400,817654.424
132,2.727,2.943,2.152,2.162,1567900800,1666774.301
133,2.736,2.96,2.429,2.722,1567987200,2142025.096
134,2.584,2.95,2.497,2.735,1568073600,1160254.366
135,2.565,2.708,2.396,2.581,1568160000,778901.534
136,3.069,3.209,2.498,2.575,1568246400,2170480.704
