,c,h,l,o,t,v
0,0.6383,2.365,0.6,2.365,1568764800,8801778.6
1,0.6028,0.6483,0.5576,0.6383,1568851200,3746946.12
2,0.68,0.9,0.5868,0.6028,1568937600,8511213.66
3,0.811,0.848,0.6778,0.68,1569024000,6540757.56
4,0.7177,0.9298,0.7056,0.813,1569110400,6632537.82
5,0.6325,0.755,0.6232,0.7175,1569196800,2979197.75
6,0.4846,0.68,0.44,0.6273,1569283200,2886588.36
7,0.4639,0.5186,0.4359,0.4845,1569369600,1520398.91
8,0.515,0.5733,0.45,0.4639,1569456000,3883940.01
9,0.5182,0.538,0.4751,0.517,1569542400,1394089.59
10,0.5288,0.534,0.4943,0.5182,1569628800,742634.63
11,0.5,0.5388,0.4858,0.5259,1569715200,822668.92
12,0.5097,0.5616,0.4852,0.5009,1569801600,2361644.47
13,0.488,0.5223,0.4858,0.5102,1569888000,985298.5
14,0.4776,0.49,0.4601,0.488,1569974400,826666.89
15,0.4785,0.5087,0.465,0.478,1570060800,530934.3
16,0.4745,0.4818,0.4685,0.4818,1570147200,140821.31
17,0.4703,0.4779,0.4661,0.4733,1570233600,209018.89
18,0.4316,0.4724,0.4237,0.4724,1570320000,444847.77
19,0.4399,0.4461,0.4074,0.4316,1570406400,857027.58
20,0.4501,0.4746,0.43,0.4414,1570492800,670317.26
21,0.4676,0.487,0.4379,0.4502,1570579200,914786.8
22,0.44,0.48,0.4294,0.4675,1570665600,714670.33
23,0.4398,0.4553,0.415,0.4405,1570752000,568577.69
24,0.4271,0.457,0.4212,0.4398,1570838400,663320.58
25,0.4261,0.443,0.4162,0.4298,1570924800,562128.0
26,0.4265,0.4572,0.4206,0.4261,1571011200,646765.56
27,0.4123,0.4378,0.409,0.4265,1571097600,528047.77
28,0.3793,0.4255,0.3686,0.4115,1571184000,750735.74
29,0.3903,0.394,0.3686,0.3787,1571270400,424548.0
30,0.3646,0.3958,0.3571,0.389,1571356800,363914.23
31,0.3386,0.3647,0.3346,0.3647,1571443200,539211.43
32,0.3333,0.3396,0.323,0.3386,1571529600,472380.29
33,0.3355,0.36,0.3307,0.3355,1571616000,725074.43
34,0.3634,0.3866,0.3341,0.3352,1571702400,1206145.93
35,0.3035,0.3699,0.2916,0.3631,1571788800,1066016.89
36,0.309,0.315,0.2892,0.3044,1571875200,632578.92
37,0.3236,0.3429,0.2939,0.3084,1571961600,1518173.0
38,0.2898,0.3348,0.2821,0.3261,1572048000,1702036.38
39,0.3094,0.3225,0.276,0.2925,1572134400,1529578.81
40,0.3417,0.3676,0.2908,0.3112,1572220800,2267133.06
41,0.3141,0.356,0.31,0.3417,1572307200,1327722.37
42,0.2985,0.3189,0.295,0.3141,1572393600,588516.35
43,0.3154,0.3365,0.2962,0.3003,1572480000,953550.67
44,0.3114,0.324,0.295,0.3154,1572566400,720871.6
45,0.3103,0.3172,0.3055,0.3109,1572652800,339658.94
46,0.3323,0.3461,0.3024,0.3103,1572739200,1640697.5
47,0.3359,0.357,0.3326,0.334,1572825600,1137364.35
48,0.3663,0.3899,0.3308,0.3358,1572912000,1161431.53
49,0.3488,0.3955,0.3459,0.3647,1572998400,1126270.9
50,0.3527,0.3671,0.3314,0.3488,1573084800,1021755.44
51,0.3452,0.3673,0.3134,0.3536,1573171200,1347187.68
52,0.3412,0.3626,0.3353,0.3464,1573257600,929172.89
53,0.3505,0.3682,0.3372,0.3425,1573344000,691740.55
54,0.338,0.3642,0.3302,0.349,1573430400,751384.29
55,0.334,0.3457,0.324,0.338,1573516800,470496.16
56,0.3364,0.3448,0.3285,0.3344,1573603200,435236.72
57,0.3257,0.341,0.3229,0.3365,1573689600,188056.52
58,0.3096,0.3253,0.303,0.3251,1573776000,433570.54
59,0.3137,0.318,0.3069,0.3075,1573862400,198622.14
60,0.3224,0.3263,0.3083,0.3131,1573948800,158047.19
61,0.3033,0.33,0.3011,0.3223,1574035200,327744.43
62,0.3004,0.3137,0.2923,0.3028,1574121600,455500.51
63,0.3075,0.3117,0.2874,0.2988,1574208000,440125.58
64,0.264,0.3091,0.2564,0.309,1574294400,613725.82
65,0.2526,0.2691,0.2262,0.265,1574380800,567382.99
66,0.2436,0.2512,0.2337,0.2512,1574467200,265339.55
67,0.2167,0.2468,0.2167,0.2425,1574553600,360256.01
68,0.2325,0.235,0.1965,0.2164,1574640000,432361.56
69,0.2916,0.3239,0.2226,0.2305,1574726400,3075562.76
70,0.2862,0.3351,0.2753,0.2893,1574812800,3546344.95
71,0.2856,0.3191,0.2843,0.2859,1574899200,1281926.14
72,0.3039,0.3122,0.2782,0.2864,1574985600,1058708.72
73,0.2908,0.3067,0.2842,0.3038,1575072000,471852.54
74,0.279,0.2909,0.2666,0.289,1575158400,465745.38
75,0.2595,0.2832,0.2505,0.279,1575244800,765900.5
76,0.2638,0.2686,0.2504,0.2602,1575331200,860550.51
77,0.2854,0.3612,0.2517,0.2649,1575417600,4153015.61
78,0.2795,0.2983,0.2618,0.2853,1575504000,1492698.91
79,0.2967,0.3042,0.2714,0.2794,1575590400,1231030.73
80,0.2927,0.3049,0.2779,0.2967,1575676800,856469.38
81,0.3009,0.3278,0.2869,0.2919,1575763200,1514229.51
82,0.3322,0.35,0.2988,0.3009,1575849600,1913675.31
83,0.275,0.3303,0.2678,0.3303,1575936000,1708089.82
84,0.281,0.2888,0.2732,0.2754,1576022400,313482.43
85,0.2749,0.2868,0.2662,0.282,1576108800,451156.0
86,0.2836,0.2898,0.265,0.2751,1576195200,623963.15
87,0.2577,0.2908,0.255,0.2841,1576281600,713966.85
88,0.2632,0.2682,0.251,0.2578,1576368000,357962.73
89,0.2421,0.2667,0.24,0.2631,1576454400,326841.12
90,0.233,0.25,0.2283,0.2437,1576540800,469316.91
91,0.2508,0.2632,0.2227,0.233,1576627200,483395.24
92,0.2455,0.27,0.24,0.2514,1576713600,484374.83
93,0.2576,0.27,0.2405,0.2455,1576800000,380437.45
94,0.2581,0.2645,0.2519,0.2563,1576886400,339615.16
95,0.2524,0.2696,0.2441,0.2602,1576972800,723589.79
96,0.2447,0.2543,0.2414,0.2516,1577059200,311161.88
97,0.2482,0.2609,0.2416,0.2443,1577145600,542428.06
98,0.2403,0.2477,0.2375,0.2476,1577232000,242504.58
99,0.2388,0.2441,0.2369,0.2404,1577318400,286189.09
100,0.2451,0.2518,0.2377,0.2387,1577404800,453609.23
101,0.2509,0.2566,0.2441,0.245,1577491200,239803.62
102,0.2437,0.2512,0.2425,0.251,1577577600,337374.62
103,0.2313,0.2549,0.2303,0.2435,1577664000,492395.79
104,0.2225,0.2331,0.2216,0.2313,1577750400,326844.82
105,0.237,0.2383,0.2185,0.2211,1577836800,234813.87
106,0.2189,0.2446,0.2107,0.237,1577923200,603330.01
107,0.2318,0.242,0.2116,0.2179,1578009600,427011.63
108,0.2308,0.2323,0.2257,0.232,1578096000,146026.0
109,0.2321,0.2366,0.2297,0.2308,1578182400,206455.71
110,0.2398,0.246,0.2322,0.2322,1578268800,376611.22
111,0.2298,0.2409,0.2266,0.2398,1578355200,482349.33
112,0.227,0.2342,0.2195,0.2277,1578441600,411522.84
113,0.232,0.2408,0.2203,0.2266,1578528000,570133.49
114,0.2329,0.2334,0.22,0.2326,1578614400,591493.45
115,0.233,0.2366,0.2275,0.2337,1578700800,123794.38
116,0.2432,0.2463,0.231,0.2317,1578787200,212718.52
117,0.2349,0.2666,0.229,0.2432,1578873600,815496.75
118,0.2513,0.256,0.229,0.235,1578960000,1582271.54
119,0.2405,0.3169,0.2389,0.2508,1579046400,5019953.5
120,0.2433,0.2494,0.2315,0.2414,1579132800,849899.12
121,0.2417,0.2467,0.234,0.2433,1579219200,508294.66
122,0.2414,0.2486,0.2379,0.2419,1579305600,697137.19
123,0.2379,0.246,0.2311,0.2419,1579392000,898897.0
124,0.2352,0.2387,0.23,0.2379,1579478400,247956.55
125,0.2399,0.2424,0.2333,0.2333,1579564800,302873.11
126,0.2476,0.2546,0.2378,0.2399,1579651200,677032.38
127,0.2365,0.2556,0.2358,0.2504,1579737600,661130.69
128,0.2339,0.2382,0.2232,0.237,1579824000,468136.79
129,0.2494,0.2671,0.23,0.2337,1579910400,2356288.49
130,0.25,0.2578,0.2469,0.2493,1579996800,432854.99
131,0.2478,0.2649,0.2451,0.2512,1580083200,520045.93
132,0.2453,0.2518,0.2403,0.2482,1580169600,521596.76
133,0.2327,0.246,0.2327,0.246,1580256000,612475.92
134,0.23,0.2439,0.227,0.2327,1580342400,777019.49
135,0.2562,0.2615,0.2299,0.23,1580428800,2080784.51
136,0.2498,0.2558,0.2446,0.2558,1580515200,482597.01
137,0.2525,0.26,0.2467,0.2498,1580601600,656136.97
138,0.2568,0.2587,0.2462,0.2514,1580688000,423030.31
139,0.2694,0.28,0.2526,0.256,1580774400,954134.51
140,0.2626,0.2695,0.2535,0.2682,1580860800,1104120.34
141,0.286,0.33,0.2614,0.2614,1580947200,1957720.8
142,0.3194,0.3335,0.2804,0.2837,1581033600,1723399.86
143,0.3,0.3328,0.2932,0.3169,1581120000,1154501.47
