,c,h,l,o,t,v
0,1311.0,1440.0,802.0,802.0,1510358400,2709.69745
1,1362.84,2507.0,1001.0,1334.0,1510444800,7877.47723
2,1350.0,1500.0,1011.0,1362.84,1510531200,3057.27543
3,1242.05,1361.99,1181.92,1350.0,1510617600,900.86865
4,1192.0,1310.0,1157.02,1243.01,1510704000,806.32168
5,899.35,1196.92,870.0,1192.0,1510790400,4451.05483
6,1169.56,1209.99,852.36,904.0,1510876800,7093.63308
7,1226.58,1388.2,1178.15,1178.15,1510963200,6102.14678
8,1158.6,1254.1,1130.0,1226.99,1511049600,5672.72922
9,1234.9,1250.0,1159.63,1159.63,1511136000,5027.65949
10,1173.76,1256.0,1150.0,1245.01,1511222400,3723.05286
11,1279.51,1369.99,1172.36,1172.37,1511308800,5052.42095
12,1680.0,1680.0,1279.51,1279.52,1511395200,5255.42073
13,1606.0,1773.08,1501.0,1678.0,1511481600,5982.47416
14,1536.15,1640.32,1500.0,1606.0,1511568000,4516.487
15,1697.79,1733.0,1515.74,1543.63,1511654400,4835.29238
16,1581.34,1716.59,1533.64,1688.07,1511740800,5119.12126
17,1479.98,1601.74,1479.98,1580.01,1511827200,3856.02935
18,1332.89,1630.02,1263.07,1488.96,1511913600,7023.49962
19,1315.79,1422.23,1156.19,1331.95,1512000000,7305.49932
20,1424.99,1440.74,1235.63,1307.98,1512086400,2431.66016
21,1391.39,1466.52,1365.09,1424.5,1512172800,1258.05683
22,1521.61,1627.44,1378.68,1403.07,1512259200,2090.63933
23,1530.7,1548.84,1430.32,1518.84,1512345600,2600.08075
24,1426.02,1588.01,1421.01,1531.72,1512432000,3787.22411
25,1335.34,1484.04,1288.0,1426.02,1512518400,3604.36702
26,1223.02,1377.27,1176.0,1341.51,1512604800,4942.25067
27,1377.04,1780.0,1145.1,1223.0,1512691200,11698.18052
28,1368.1,1482.02,1260.0,1386.19,1512777600,6646.02105
29,1278.5,1375.02,1085.18,1368.1,1512864000,6337.71433
30,1382.0,1429.8,1274.06,1274.06,1512950400,4296.29309
31,1539.87,1600.0,1392.91,1394.52,1513036800,5822.27229
32,1567.0,1610.0,1361.96,1539.88,1513123200,4581.52822
33,1926.25,2009.0,1540.0,1567.0,1513209600,6538.95191
34,1795.0,1957.31,1621.69,1931.47,1513296000,3684.66592
35,1755.26,1870.0,1732.18,1795.0,1513382400,2222.79472
36,1814.15,1907.0,1755.25,1755.25,1513468800,3211.4986
37,2159.98,2329.99,1662.29,1816.0,1513555200,7434.50559
