,c,h,l,o,t,v
0,262.0,350.0,250.1,301.0,1542326400,75614.0114
1,256.7,271.3,230.73,261.95,1542412800,63301.18501
2,296.67,298.8,255.96,256.49,1542499200,59722.90157
3,232.43,297.99,223.29,297.18,1542585600,74109.10339
4,227.16,259.0,193.7,231.41,1542672000,100449.63214
5,237.66,251.79,216.94,227.22,1542758400,58324.73337
6,210.23,241.35,209.34,237.75,1542844800,33595.73279
7,210.2,216.22,196.83,209.98,1542931200,52650.66285
8,180.8,219.94,175.5,210.47,1543017600,52326.47387
9,188.2,198.38,155.16,180.86,1543104000,95169.4326
10,184.22,225.53,172.0,187.71,1543190400,184785.14475
11,181.74,201.27,172.5,184.86,1543276800,82214.89588
12,190.76,200.0,178.0,182.0,1543363200,53295.27283
13,181.18,192.36,175.0,190.03,1543449600,26328.9177
14,173.15,189.3,167.0,181.38,1543536000,34172.8413
15,172.93,178.58,166.96,172.8,1543622400,27786.24574
16,171.79,180.56,169.71,172.64,1543708800,20425.98279
17,158.67,172.56,156.0,172.06,1543795200,17709.01082
18,148.59,159.97,146.58,158.67,1543881600,27149.06068
19,130.05,148.82,129.5,148.71,1543968000,36734.08819
20,106.69,132.49,106.49,130.08,1544054400,73297.52953
21,104.66,120.0,95.84,106.62,1544140800,242595.6315
22,99.95,109.81,95.5,104.94,1544227200,94455.36217
23,106.56,110.45,98.4,99.8,1544313600,139262.6162
24,102.17,108.72,99.63,106.51,1544400000,46637.08112
25,96.37,102.19,92.95,102.18,1544486400,24968.03422
26,97.06,99.04,95.19,96.31,1544572800,25428.16973
27,87.75,97.18,86.8,96.99,1544659200,31091.22457
28,80.1,89.5,76.66,87.85,1544745600,69880.70537
29,76.75,82.24,74.02,80.1,1544832000,43268.9288
30,79.78,82.5,76.73,76.81,1544918400,80748.67846
31,88.12,91.51,79.0,79.74,1545004800,148983.62178
32,103.5,105.0,85.21,88.13,1545091200,198808.7655
33,125.28,145.0,100.89,103.41,1545177600,641514.65809
34,189.84,200.43,119.96,125.23,1545264000,973358.4083
35,191.97,229.38,171.21,190.0,1545350400,832879.02978
36,194.36,205.11,179.43,192.01,1545436800,339225.74099
37,195.27,208.76,186.0,194.36,1545523200,238997.61714
38,178.67,211.5,175.22,195.18,1545609600,290319.88641
39,169.23,180.68,149.6,178.82,1545696000,320727.3637
40,173.34,184.7,161.0,169.3,1545782400,304479.14537
41,146.65,175.48,143.0,173.14,1545868800,185182.69526
42,170.36,174.68,139.2,146.47,1545955200,265993.89902
43,159.21,174.0,158.0,170.36,1546041600,171196.53108
44,160.67,162.0,154.44,159.42,1546128000,132978.60414
45,148.42,160.89,143.85,160.67,1546214400,79731.55379
46,162.07,165.11,146.96,148.4,1546300800,114087.12649
47,168.79,171.49,158.64,162.06,1546387200,117255.43502
48,158.7,173.9,155.15,168.6,1546473600,102013.98493
49,157.81,162.48,151.19,158.6,1546560000,88155.03754
50,156.84,164.94,154.29,157.89,1546646400,81637.83617
51,162.29,164.83,155.12,156.84,1546732800,70853.32026
52,158.65,164.63,156.03,162.29,1546819200,60000.59676
53,158.25,161.21,155.26,158.65,1546905600,47141.27225
54,156.95,159.23,155.0,158.26,1546992000,34638.82082
55,131.19,162.37,127.8,157.14,1547078400,153123.30512
56,128.08,132.45,124.99,131.3,1547164800,93168.88159
57,131.41,136.0,127.45,128.21,1547251200,82272.23488
58,123.43,133.12,119.98,131.55,1547337600,68324.7429
59,130.86,134.82,121.18,123.42,1547424000,93997.6093
60,125.5,132.13,123.38,130.92,1547510400,60068.08785
61,126.99,129.48,125.11,125.49,1547596800,35286.07117
62,128.82,130.25,123.67,126.99,1547683200,52020.87319
63,126.33,129.15,124.3,128.8,1547769600,28359.29111
64,127.91,130.3,125.63,126.34,1547856000,36168.78179
65,121.75,128.94,119.46,127.91,1547942400,38863.92519
66,121.21,122.98,120.0,121.75,1548028800,22565.64109
67,127.12,131.34,115.75,121.21,1548115200,63915.79358
68,131.19,135.28,126.23,127.12,1548201600,99419.60484
69,128.07,131.19,125.81,131.18,1548288000,64789.06399
70,126.75,128.32,124.88,128.11,1548374400,34652.10875
71,125.49,128.6,125.28,126.76,1548460800,27582.50266
72,121.27,126.38,118.22,125.52,1548547200,47011.94664
73,111.04,121.37,104.87,121.32,1548633600,105642.0901
74,109.5,112.35,105.92,111.05,1548720000,64062.51905
75,116.99,120.24,107.71,109.46,1548806400,96460.91356
76,113.6,120.5,112.38,117.02,1548892800,90369.13237
77,115.39,119.0,110.49,113.61,1548979200,76903.57446
