,c,h,l,o,t,v
0,132.53,172.99,78.0,89.74,1542326400,328536.66926
1,143.21,157.0,129.13,132.54,1542412800,200833.77826
2,111.5,144.0,108.36,143.31,1542499200,141665.98798
3,75.37,116.48,73.12,111.82,1542585600,283735.53955
4,59.35,79.14,53.32,75.36,1542672000,401818.09153
5,57.3,63.0,54.1,59.26,1542758400,174252.43342
6,44.11,59.18,42.82,57.3,1542844800,151407.67208
7,56.86,67.87,37.35,44.13,1542931200,491553.67475
8,60.27,74.2,53.33,56.87,1543017600,595519.96199
9,94.76,105.0,56.66,60.36,1543104000,960316.15504
10,125.29,141.0,90.0,94.58,1543190400,1230372.55854
11,103.17,133.5,88.72,125.29,1543276800,650481.74007
12,104.0,117.89,85.0,103.35,1543363200,686364.45052
13,101.34,108.0,93.4,104.1,1543449600,263126.52271
14,95.48,109.69,92.45,101.34,1543536000,292561.15685
15,93.22,96.69,87.34,95.57,1543622400,168958.51701
16,100.01,105.0,91.58,93.02,1543708800,267906.55643
17,93.83,100.58,90.59,100.04,1543795200,211694.10307
18,89.98,94.25,88.5,93.87,1543881600,96212.12355
19,86.53,93.5,84.01,89.98,1543968000,119498.49719
20,103.46,111.62,86.19,86.38,1544054400,382504.90683
21,102.92,116.75,93.7,103.83,1544140800,428871.36326
22,97.1,103.9,96.06,102.91,1544227200,129794.20908
23,95.82,99.01,91.05,97.1,1544313600,127425.5063
24,93.82,100.7,92.76,95.82,1544400000,79281.73816
25,89.08,93.98,85.91,93.77,1544486400,83550.32595
26,87.7,90.12,86.53,89.01,1544572800,62657.19923
27,78.11,87.98,76.59,87.68,1544659200,124116.28779
28,69.8,81.79,68.79,78.1,1544745600,167316.10567
29,67.39,73.48,63.85,69.79,1544832000,162321.385
30,77.42,79.89,67.03,67.49,1544918400,270346.57465
31,81.18,81.87,74.53,77.4,1545004800,251787.02392
32,83.6,85.13,76.36,81.17,1545091200,238761.93024
33,84.97,96.99,81.19,83.6,1545177600,461454.71188
34,109.77,124.15,83.4,84.85,1545264000,912797.13264
35,106.79,129.1,101.0,109.73,1545350400,890805.80983
36,107.66,113.2,101.02,106.78,1545436800,340029.50368
37,105.66,112.45,102.5,107.79,1545523200,280500.37423
38,100.74,111.77,99.41,105.6,1545609600,294138.89011
39,91.93,101.35,87.64,100.74,1545696000,286732.74964
40,93.0,98.68,89.0,91.96,1545782400,203846.12695
41,83.46,96.96,81.72,92.95,1545868800,148887.05821
42,91.48,92.66,80.47,83.47,1545955200,198930.6453
43,86.87,92.52,85.55,91.48,1546041600,141440.58639
44,87.06,88.58,85.22,86.75,1546128000,71268.83681
45,83.88,87.2,82.18,87.18,1546214400,49518.8595
46,90.79,94.88,83.23,83.88,1546300800,164228.85754
47,92.81,94.21,88.71,90.83,1546387200,136925.04186
48,87.02,94.86,85.32,92.81,1546473600,110140.77059
49,86.13,88.83,83.61,87.02,1546560000,90194.19611
50,86.91,90.35,84.75,86.07,1546646400,86154.38873
51,88.3,89.79,85.35,86.92,1546732800,77679.99821
52,86.78,88.84,86.1,88.32,1546819200,51877.88685
53,86.0,87.4,84.75,86.78,1546905600,51556.22505
54,85.6,86.65,84.87,86.06,1546992000,35946.0388
55,73.99,88.5,72.82,85.6,1547078400,129158.51544
56,73.33,74.3,71.3,74.0,1547164800,63486.61187
57,81.0,84.01,73.1,73.25,1547251200,251660.75335
58,76.09,86.43,72.84,81.0,1547337600,223182.87542
59,78.91,81.13,74.59,76.09,1547424000,134291.91877
60,75.96,80.44,74.76,78.92,1547510400,87446.69338
61,76.89,78.04,75.18,75.97,1547596800,68014.67011
62,76.75,77.16,74.8,76.89,1547683200,41120.48712
63,74.88,76.74,74.07,76.74,1547769600,42222.36171
