,c,h,l,o,t,v
0,217.41,224.6,212.02,220.08,1574899200,11556.80086
1,224.0,226.49,216.9,217.4,1574985600,50234.55027
2,217.45,224.67,214.41,223.89,1575072000,47622.18011
3,214.36,218.18,209.24,217.43,1575158400,46721.57914
4,213.67,216.25,209.68,214.37,1575244800,43397.32559
5,211.5,215.95,210.99,213.72,1575331200,28430.46455
6,207.47,219.68,202.5,211.47,1575417600,93351.89396
7,211.5,214.46,200.88,207.36,1575504000,58415.66785
8,212.84,214.0,209.2,211.6,1575590400,36081.71398
9,211.0,216.62,210.01,212.9,1575676800,26962.16937
10,212.58,214.89,208.0,210.97,1575763200,23530.67976
11,208.27,215.08,205.4,212.42,1575849600,36474.63924
12,206.54,209.35,203.71,208.18,1575936000,27927.89853
13,207.01,207.99,204.05,206.63,1576022400,15264.51196
14,206.79,207.97,203.67,207.1,1576108800,26540.59504
15,211.32,212.71,206.25,206.62,1576195200,33534.36619
16,205.82,213.11,204.67,211.44,1576281600,34067.96904
17,206.88,211.72,204.88,205.87,1576368000,37076.8692
18,196.27,208.67,193.85,206.87,1576454400,82405.61891
19,176.45,196.96,172.1,196.26,1576540800,127025.58764
20,189.0,191.75,169.66,176.45,1576627200,144833.0183
21,185.96,191.0,183.49,188.9,1576713600,54337.20347
22,187.44,190.72,183.82,186.07,1576800000,43236.75189
23,186.21,188.43,185.33,187.39,1576886400,19488.47281
24,196.27,197.4,185.73,186.21,1576972800,54636.39805
25,189.61,198.0,188.2,196.28,1577059200,57146.5522
26,188.3,191.68,185.0,189.66,1577145600,50765.49176
27,185.34,188.78,182.69,188.31,1577232000,31724.59117
28,187.79,194.99,184.01,185.34,1577318400,48012.30969
29,203.21,203.92,186.83,187.7,1577404800,120980.63718
30,206.27,210.0,202.53,203.33,1577491200,81593.20921
31,212.34,215.94,204.34,206.26,1577577600,80763.47218
32,208.62,215.0,205.65,212.29,1577664000,76221.01161
33,204.52,214.11,201.73,208.61,1577750400,89320.43252
34,204.44,209.0,203.1,204.57,1577836800,43234.9585
35,195.49,205.53,192.8,204.43,1577923200,76481.1405
36,222.43,226.0,191.9,195.49,1578009600,236151.17473
37,224.47,227.64,219.56,222.38,1578096000,110315.64423
38,222.79,227.63,220.6,224.45,1578182400,90338.28418
39,244.25,247.0,222.2,222.82,1578268800,177504.59026
40,242.3,246.9,232.0,244.26,1578355200,180860.80127
41,240.19,255.19,229.59,242.48,1578441600,238290.07035
42,238.01,243.89,231.26,240.13,1578528000,109003.33057
43,271.83,275.0,231.13,238.06,1578614400,311448.58074
44,260.83,279.49,258.68,271.95,1578700800,199691.49268
45,270.77,271.39,257.85,260.69,1578787200,105180.61526
46,267.21,272.99,261.06,270.85,1578873600,91495.50923
47,348.35,368.08,267.14,267.24,1578960000,827847.55896
48,339.99,362.89,312.62,348.35,1579046400,498653.95613
49,326.76,342.96,309.2,340.0,1579132800,247311.30454
50,368.0,383.92,319.46,326.58,1579219200,395293.4218
51,339.01,405.86,330.0,367.98,1579305600,482356.86961
52,339.61,366.27,319.78,338.79,1579392000,305020.88339
53,343.39,352.94,322.46,339.54,1579478400,171058.37052
54,343.5,348.22,332.05,343.38,1579564800,107803.73807
55,349.22,354.52,339.16,343.5,1579651200,96093.49399
56,325.21,350.15,316.36,349.11,1579737600,135190.02823
57,318.83,327.95,297.0,325.09,1579824000,217601.81697
58,310.13,319.27,305.1,318.82,1579910400,100771.89962
59,348.24,349.96,307.43,310.29,1579996800,176481.76156
60,362.86,378.19,347.65,348.25,1580083200,248777.01991
61,378.6,385.38,360.26,362.9,1580169600,210830.79139
62,380.26,396.31,375.8,378.43,1580256000,200640.1964
63,392.69,399.34,370.88,380.24,1580342400,197841.16173
64,374.86,394.99,364.16,392.52,1580428800,146704.06246
65,380.08,389.64,372.31,374.89,1580515200,106551.71789
66,377.34,387.7,368.91,380.16,1580601600,98738.97527
67,384.25,392.84,374.4,377.24,1580688000,132459.04345
68,380.93,389.5,372.38,384.19,1580774400,111599.02261
69,444.92,445.46,378.72,380.95,1580860800,254489.93106
70,445.76,448.43,416.88,444.93,1580947200,183772.05365
71,439.21,459.7,432.12,445.69,1581033600,152210.53024
72,444.46,454.5,425.16,439.39,1581120000,147309.77991
