,c,h,l,o,t,v
0,1.3366,1.5557,1.29,1.405,1569024000,1004278.13
1,1.2549,1.3365,1.2116,1.3365,1569110400,431250.75
2,1.19,1.42,1.1706,1.2517,1569196800,506197.23
3,0.9986,1.285,0.8001,1.2023,1569283200,409007.11
4,0.9358,1.0398,0.85,0.9999,1569369600,227625.9
5,0.8511,0.946,0.7872,0.9459,1569456000,272240.72
6,0.85,0.868,0.8,0.8511,1569542400,167293.17
7,0.8705,0.906,0.8388,0.85,1569628800,180607.37
8,0.9326,1.0809,0.825,0.8705,1569715200,371907.39
9,0.9403,0.9943,0.8504,0.9326,1569801600,237095.95
10,0.9015,0.9716,0.8927,0.9421,1569888000,151038.85
11,0.9004,0.9089,0.8603,0.9015,1569974400,77081.1
12,0.8519,0.8989,0.8355,0.8988,1570060800,111032.2
13,0.8528,0.8948,0.83,0.8581,1570147200,105795.46
14,0.8604,0.875,0.8404,0.8502,1570233600,77884.94
15,0.8005,0.8657,0.799,0.8653,1570320000,141459.15
16,0.8388,0.85,0.7835,0.8012,1570406400,102438.89
17,0.8418,0.8499,0.8143,0.8324,1570492800,140494.96
18,0.8708,0.8865,0.8289,0.8418,1570579200,231906.24
19,0.8176,0.8793,0.8,0.8708,1570665600,196829.17
20,0.7757,0.8279,0.7601,0.8176,1570752000,389989.23
21,0.7815,0.81,0.7722,0.7784,1570838400,149092.91
22,0.7589,0.7941,0.745,0.7814,1570924800,75494.6
23,0.7454,0.7699,0.7182,0.7533,1571011200,605716.4
24,0.69,0.77,0.6768,0.7468,1571097600,335100.89
25,0.616,0.6989,0.5813,0.6912,1571184000,879020.22
26,0.5864,0.6179,0.5776,0.6177,1571270400,752756.52
27,0.5475,0.5961,0.5305,0.5896,1571356800,655509.29
28,0.5198,0.547,0.5036,0.547,1571443200,829343.26
29,0.5922,0.6025,0.505,0.5197,1571529600,1267482.68
30,0.5726,0.625,0.5607,0.589,1571616000,1052294.14
31,0.5702,0.6195,0.5603,0.5749,1571702400,551067.54
32,0.5371,0.59,0.5106,0.5702,1571788800,814063.68
33,0.5279,0.5478,0.5046,0.5368,1571875200,357407.09
34,0.5605,0.5971,0.4965,0.5279,1571961600,863467.07
35,0.5396,0.605,0.53,0.5605,1572048000,717312.62
36,0.565,0.5983,0.5219,0.5361,1572134400,543107.2
37,0.603,0.6755,0.5634,0.565,1572220800,945460.85
38,0.596,0.6212,0.58,0.5966,1572307200,425931.37
39,0.5699,0.602,0.5567,0.5961,1572393600,296474.89
40,0.5676,0.5815,0.5451,0.5708,1572480000,190702.32
41,0.5881,0.6111,0.5523,0.5675,1572566400,164327.76
42,0.6422,0.6489,0.5807,0.5881,1572652800,822593.08
43,0.7163,0.74,0.6159,0.6435,1572739200,1044883.02
44,0.7389,0.7651,0.7009,0.7162,1572825600,1408046.86
45,0.7009,0.75,0.681,0.7361,1572912000,576527.1
46,0.7506,0.7911,0.69,0.7009,1572998400,1036092.47
47,0.7062,0.749,0.6891,0.7468,1573084800,530985.91
48,0.6552,0.7087,0.6266,0.7054,1573171200,593447.6
49,0.6986,0.72,0.647,0.6552,1573257600,479580.52
50,0.6904,0.709,0.662,0.6986,1573344000,366308.43
51,0.6522,0.6904,0.6385,0.6904,1573430400,375240.84
52,0.7312,0.735,0.6462,0.6522,1573516800,964713.86
53,0.7924,0.8086,0.7015,0.7322,1573603200,1249091.04
54,0.7412,0.7916,0.7119,0.7916,1573689600,751889.09
55,0.6922,0.7489,0.68,0.74,1573776000,535777.11
56,0.7165,0.7214,0.68,0.6964,1573862400,260903.87
57,0.7258,0.7564,0.7033,0.7171,1573948800,520118.0
58,0.641,0.7301,0.64,0.73,1574035200,963358.19
