,c,h,l,o,t,v
0,22.24,83.91,21.89,21.9,1579219200,10164.59613
1,22.22,24.52,21.68,22.5,1579305600,8444.11221
2,24.03,29.28,20.26,22.25,1579392000,40957.50706
3,24.55,25.49,23.64,23.83,1579478400,37980.59262
4,23.75,25.73,23.16,24.58,1579564800,31945.385
5,24.44,25.0,23.17,23.73,1579651200,17696.52574
6,26.61,27.67,24.38,24.41,1579737600,79724.61366
7,26.34,28.32,25.6,26.77,1579824000,70912.6146
8,27.31,28.06,26.39,26.39,1579910400,49018.246
9,24.72,27.75,24.65,27.32,1579996800,50546.94119
10,22.07,24.87,21.46,24.72,1580083200,162694.36954
11,18.46,22.11,18.24,22.1,1580169600,259494.14263
12,19.06,19.4,18.16,18.46,1580256000,246289.84879
13,17.82,19.71,17.25,19.05,1580342400,291940.94897
14,18.84,19.45,17.64,17.87,1580428800,157953.9111
15,18.52,19.05,18.05,18.77,1580515200,105859.16131
16,19.0,19.73,18.14,18.64,1580601600,187733.1954
17,19.42,19.7,17.4,18.94,1580688000,185945.30844
18,20.12,20.65,19.0,19.41,1580774400,126619.97103
19,16.86,20.31,16.12,20.12,1580860800,277655.8754
20,16.25,17.28,15.52,16.81,1580947200,265588.8545
21,16.04,16.6,15.68,16.25,1581033600,163703.7506
22,15.58,16.79,15.3,16.04,1581120000,148429.49355
