,c,h,l,o,t,v
0,1.571,1.799,0.5,1.5,1509926400,120615.34
1,1.8,1.8,1.5389,1.571,1510012800,134129.73
2,1.9889,1.99,1.7479,1.7901,1510099200,347290.26
3,1.99,2.1997,1.9,1.9781,1510185600,287037.2
4,1.7133,2.02,1.6019,1.99,1510272000,484658.9
5,1.655,1.925,1.58,1.79,1510358400,258838.37
6,1.49,1.7,1.34,1.6567,1510444800,457159.72
7,1.68,1.7381,1.5,1.5,1510531200,166770.73
8,1.5911,1.7381,1.5321,1.6801,1510617600,177246.45
9,1.5532,1.6794,1.49,1.5721,1510704000,297638.34
10,1.5599,1.6699,1.511,1.5533,1510790400,198029.66
11,1.5041,1.5765,1.49,1.5599,1510876800,419446.58
12,1.6699,1.6699,1.492,1.5041,1510963200,172099.86
13,1.6,1.6948,1.575,1.6524,1511049600,179701.62
14,1.64,1.6522,1.5605,1.6,1511136000,159737.16
15,1.5874,1.6419,1.54,1.6257,1511222400,413447.37
16,1.6158,1.6211,1.5556,1.5728,1511308800,196457.62
17,1.57,1.618,1.5388,1.6,1511395200,184458.49
18,1.7292,1.8187,1.54,1.5644,1511481600,644218.58
19,1.87,1.9588,1.68,1.712,1511568000,475443.08
20,1.8388,1.91,1.76,1.85,1511654400,193666.26
21,1.9532,1.9532,1.74,1.8388,1511740800,480695.73
22,1.9249,1.9532,1.801,1.945,1511827200,359515.94
23,1.7565,2.0486,1.55,1.9248,1511913600,935739.25
24,1.95,2.038,1.71,1.7641,1512000000,748118.06
25,2.0527,2.1385,1.8801,1.95,1512086400,321456.28
26,2.0797,2.1199,1.975,2.0526,1512172800,241150.68
27,2.2617,2.4,2.0438,2.0797,1512259200,346006.6
28,2.55,2.5898,2.2617,2.2617,1512345600,384958.49
29,2.612,2.75,2.5,2.5305,1512432000,428655.47
30,2.5134,2.8,2.3272,2.6,1512518400,379335.63
31,2.6625,2.84,2.4001,2.5393,1512604800,533510.45
32,2.79,2.8,2.206,2.6489,1512691200,649804.35
33,2.65,2.81,2.1777,2.789,1512777600,477826.16
34,2.4619,2.6648,2.1315,2.65,1512864000,562267.17
35,2.687,2.78,2.4505,2.4616,1512950400,381605.55
36,2.5547,2.7397,2.4545,2.687,1513036800,541865.92
37,2.719,2.74,2.265,2.5547,1513123200,702146.43
38,3.1519,3.1521,2.6981,2.7194,1513209600,998488.09
39,4.12,4.399,2.99,3.1518,1513296000,919574.18
40,4.6378,4.7201,3.8172,4.16,1513382400,775606.79
41,5.999,6.7,4.596,4.63,1513468800,1555662.04
42,6.0,6.1,4.75,5.999,1513555200,1430171.07
