,c,h,l,o,t,v
0,13042.62,13252.0,11254.55,13250.0,1579219200,22.452719
1,13150.0,13325.0,12596.89,13000.24,1579305600,8.870603
2,12048.0,14228.55,10770.45,12965.86,1579392000,50.257012
3,11729.43,12186.36,11253.92,12046.8,1579478400,56.728141
4,12126.05,12263.61,11183.35,11759.22,1579564800,56.830911
5,11829.17,12370.6,11500.0,12118.43,1579651200,42.31764
6,10662.96,11829.17,10230.75,11829.17,1579737600,142.037285
7,10762.6,11073.4,10027.26,10647.68,1579824000,138.234347
8,10370.33,10754.99,10074.13,10754.99,1579910400,120.813333
9,11350.0,11353.76,10173.48,10364.12,1579996800,100.829007
10,12548.55,12900.0,11224.86,11355.95,1580083200,132.067884
11,14532.73,14700.0,12446.6,12548.5,1580169600,190.487964
12,14040.0,14800.0,13800.37,14652.75,1580256000,174.907838
13,14989.32,15297.46,13603.13,14040.0,1580342400,173.479875
14,14120.33,15050.0,13566.38,14926.83,1580428800,117.857171
15,14243.74,14684.81,13846.0,14137.61,1580515200,86.533001
16,13964.25,14610.86,13601.52,14214.28,1580601600,118.99426
17,13730.0,15151.42,13410.0,13892.85,1580688000,134.844655
18,13180.36,13950.0,12822.34,13714.28,1580774400,133.792459
19,15002.5,15650.0,13087.46,13130.53,1580860800,187.617873
20,15585.71,16150.4,14621.42,15050.0,1580947200,206.023639
21,15821.42,16125.0,15330.31,15587.48,1581033600,122.003945
22,16283.38,16511.28,15065.0,15789.42,1581120000,89.520044
