,c,h,l,o,t,v
0,1.0,306.0963,0.0005,238.7,1568937600,157497.51
1,0.9999,1.0,0.9999,1.0,1569024000,141274.28
2,0.9999,1.0001,0.9999,0.9999,1569110400,127966.26
3,1.0,1.0001,0.9999,0.9999,1569196800,1237537.7
4,0.9997,1.0499,0.9902,1.0,1569283200,3394555.76
5,0.9997,1.001,0.9942,0.9997,1569369600,625266.49
6,0.9999,1.0018,0.9997,1.0,1569456000,702098.53
7,0.9992,1.0011,0.9991,0.9999,1569542400,240877.53
8,0.999,1.0003,0.998,0.9992,1569628800,145946.64
9,0.9982,1.0,0.9982,0.9988,1569715200,104913.54
10,1.0,1.0003,0.9976,0.9982,1569801600,346265.17
11,0.9994,1.0,0.9972,0.9982,1569888000,176436.09
12,0.9994,0.9999,0.9973,0.9994,1569974400,288582.13
13,0.9989,0.9999,0.9972,0.9994,1570060800,252452.7
14,0.9982,0.9999,0.9981,0.9989,1570147200,49799.95
15,0.9982,0.9999,0.998,0.9983,1570233600,50077.93
16,0.9989,1.0,0.9977,0.9981,1570320000,137304.71
17,0.9983,1.0,0.9976,1.0,1570406400,284335.94
18,0.9992,1.001,0.998,0.9983,1570492800,432492.16
19,0.9989,1.0007,0.9978,0.9992,1570579200,2689959.75
20,0.997,0.9998,0.9965,0.9976,1570665600,148428.97
21,0.9991,1.0,0.997,0.9978,1570752000,1059218.96
22,0.9992,1.0,0.998,0.9993,1570838400,1524524.75
23,0.9996,0.9999,0.9984,0.9992,1570924800,1920259.26
24,0.9994,0.9999,0.9985,0.9996,1571011200,2185640.02
25,1.0003,1.0006,0.9992,0.9994,1571097600,3028583.17
26,1.0,1.0011,0.9997,1.0002,1571184000,8195713.67
27,0.9995,1.0005,0.9994,1.0001,1571270400,9330621.75
28,0.9997,1.0002,0.9995,0.9995,1571356800,9477960.17
29,0.9997,1.0,0.9991,0.9996,1571443200,10736113.26
30,0.9989,1.0001,0.9986,0.9997,1571529600,8814488.48
31,0.9983,0.9995,0.998,0.999,1571616000,1996315.96
32,0.9993,0.9997,0.9982,0.9982,1571702400,2095484.13
33,0.9998,1.0006,0.999,0.9992,1571788800,4033440.04
34,0.9986,1.0,0.9985,0.9998,1571875200,2853289.93
35,0.9986,1.0,0.9974,0.9986,1571961600,6330503.7
36,0.9989,1.0,0.9912,0.9987,1572048000,11785935.45
37,0.9977,0.9991,0.9967,0.9988,1572134400,6708005.67
38,0.9979,0.9988,0.9966,0.9978,1572220800,5753940.81
