,c,h,l,o,t,v
0,0.02423,0.04,0.02236,0.03,1553472000,3386556692.8
1,0.01814,0.02479,0.01761,0.0242,1553558400,2153929585.2
2,0.02277,0.02488,0.01653,0.01814,1553644800,1576808988.3
3,0.02293,0.02388,0.02104,0.02275,1553731200,754926790.1
4,0.02095,0.02471,0.02069,0.02292,1553817600,928831985.5
5,0.02018,0.02187,0.01929,0.02098,1553904000,378045855.8
6,0.01967,0.02108,0.01949,0.02019,1553990400,134442726.6
7,0.01935,0.02009,0.01881,0.01965,1554076800,184913764.4
8,0.02007,0.0226,0.01901,0.01933,1554163200,454816118.6
9,0.01881,0.02099,0.01736,0.02006,1554249600,307329249.0
10,0.01883,0.01979,0.018,0.01881,1554336000,128659390.6
11,0.019,0.01986,0.01859,0.01885,1554422400,86810288.9
12,0.01835,0.01935,0.01813,0.01898,1554508800,217721772.4
13,0.01857,0.01895,0.01806,0.01835,1554595200,83665025.5
14,0.01754,0.01885,0.01693,0.01855,1554681600,126850648.7
15,0.01806,0.02005,0.01655,0.01754,1554768000,389787109.6
16,0.01796,0.01955,0.01708,0.01805,1554854400,210663746.1
17,0.01789,0.01896,0.01673,0.01796,1554940800,229916276.0
18,0.01815,0.0191,0.01738,0.01789,1555027200,249665800.9
19,0.01831,0.01898,0.01788,0.01814,1555113600,87994090.6
20,0.01768,0.01834,0.01725,0.0183,1555200000,90617494.3
21,0.01704,0.01811,0.01694,0.01768,1555286400,104430561.6
22,0.01719,0.0178,0.01687,0.01702,1555372800,58355019.8
23,0.018,0.019,0.01711,0.01719,1555459200,208995738.6
24,0.01783,0.0184,0.01759,0.01798,1555545600,106119652.8
25,0.01766,0.01811,0.0174,0.01781,1555632000,74938167.4
26,0.01774,0.01793,0.0173,0.0177,1555718400,46744133.2
27,0.01747,0.01863,0.0168,0.01773,1555804800,187977881.5
28,0.01777,0.01809,0.01711,0.01742,1555891200,98181800.5
29,0.01722,0.01849,0.01722,0.01776,1555977600,116472785.8
30,0.01427,0.01742,0.01341,0.01723,1556064000,425913465.0
31,0.01234,0.01461,0.012,0.01427,1556150400,283595912.0
32,0.01148,0.01259,0.01098,0.0123,1556236800,204555180.5
33,0.01145,0.01195,0.01059,0.01147,1556323200,121958998.2
34,0.01125,0.01268,0.01098,0.01145,1556409600,319528412.5
35,0.00925,0.01144,0.00918,0.01125,1556496000,171181355.1
36,0.00994,0.01051,0.00921,0.00925,1556582400,171938896.8
37,0.00984,0.01028,0.00951,0.00992,1556668800,77174570.2
38,0.00959,0.01012,0.0095,0.00984,1556755200,83174583.6
39,0.00949,0.00967,0.00923,0.00959,1556841600,87228546.9
40,0.00871,0.00971,0.00864,0.00948,1556928000,90468291.9
41,0.00918,0.00944,0.00864,0.00871,1557014400,125049216.2
42,0.00896,0.00948,0.00879,0.00917,1557100800,115148435.7
43,0.00842,0.00928,0.00835,0.00903,1557187200,140174163.0
44,0.00814,0.00848,0.00789,0.00841,1557273600,96967673.7
45,0.00733,0.00818,0.00715,0.00816,1557360000,105454686.6
46,0.0079,0.0081,0.00725,0.00732,1557446400,142142472.4
47,0.00827,0.00885,0.00776,0.0079,1557532800,349201840.9
48,0.00892,0.01068,0.00794,0.00822,1557619200,1190797156.9
49,0.00919,0.00999,0.00871,0.00888,1557705600,552109570.0
50,0.01216,0.01259,0.0091,0.00916,1557792000,686353881.6
51,0.01291,0.0136,0.01102,0.01214,1557878400,427598313.4
52,0.01188,0.01415,0.01066,0.01295,1557964800,499110879.4
53,0.01352,0.014,0.00993,0.01189,1558051200,976073337.2
54,0.01247,0.0144,0.01222,0.01352,1558137600,422020001.7
55,0.01727,0.0175,0.01245,0.01252,1558224000,933299985.5
56,0.02114,0.02435,0.01536,0.01729,1558310400,1865169115.7
57,0.01793,0.02599,0.0166,0.02117,1558396800,2162022685.5
58,0.01363,0.01859,0.0131,0.01794,1558483200,1012826961.2
59,0.01466,0.0175,0.01356,0.01366,1558569600,1243447949.8
60,0.01354,0.0157,0.0132,0.01465,1558656000,390996868.0
61,0.01384,0.01447,0.01257,0.01356,1558742400,439641121.4
62,0.01419,0.01596,0.01326,0.01383,1558828800,638447163.3
63,0.01356,0.01477,0.01301,0.01419,1558915200,280447427.2
64,0.01414,0.01475,0.01333,0.01356,1559001600,355533057.9
65,0.01412,0.01451,0.01317,0.01414,1559088000,249272770.1
66,0.01379,0.0163,0.01314,0.01408,1559174400,506184927.8
67,0.0166,0.01785,0.0138,0.0138,1559260800,911037627.1
68,0.01807,0.0191,0.01612,0.0166,1559347200,640331649.8
69,0.01735,0.0192,0.01686,0.01801,1559433600,375116785.7
70,0.01578,0.01768,0.0156,0.01738,1559520000,387230579.8
71,0.01623,0.0175,0.01501,0.01576,1559606400,459880380.7
72,0.01907,0.01992,0.01623,0.01627,1559692800,798559846.4
73,0.01842,0.02062,0.01753,0.01909,1559779200,555882087.7
74,0.0191,0.01972,0.01807,0.01843,1559865600,224179918.5
75,0.01966,0.01994,0.01836,0.01911,1559952000,190659368.4
76,0.01848,0.02048,0.0176,0.01966,1560038400,308959853.5
77,0.01975,0.02019,0.01763,0.01847,1560124800,297034922.6
78,0.02103,0.02119,0.01865,0.01976,1560211200,309087859.6
79,0.01996,0.0221,0.01966,0.02103,1560297600,380792070.1
80,0.01919,0.02001,0.0184,0.02,1560384000,355247717.5
81,0.01752,0.01941,0.0161,0.0192,1560470400,328627882.1
82,0.01824,0.0194,0.01751,0.01751,1560556800,252887581.5
83,0.01879,0.01914,0.01779,0.01824,1560643200,210914652.3
84,0.01835,0.0196,0.01815,0.01879,1560729600,165520340.9
85,0.0193,0.01956,0.01813,0.01835,1560816000,274590109.7
86,0.01925,0.02025,0.0188,0.01932,1560902400,231694171.8
87,0.01843,0.01953,0.01775,0.01925,1560988800,202551460.7
88,0.01705,0.0188,0.017,0.01846,1561075200,206974639.1
89,0.01769,0.01825,0.01681,0.01705,1561161600,187440740.1
90,0.01698,0.01835,0.01685,0.01767,1561248000,117875365.6
91,0.01618,0.0172,0.016,0.01697,1561334400,105894172.1
92,0.0155,0.01665,0.01538,0.01616,1561420800,131299479.8
93,0.01412,0.01606,0.01387,0.01548,1561507200,199551575.9
94,0.01491,0.01655,0.01399,0.01413,1561593600,266154653.1
95,0.01446,0.01522,0.01393,0.0149,1561680000,117347877.0
96,0.01684,0.0174,0.01412,0.01445,1561766400,291518218.7
97,0.0171,0.0225,0.0167,0.0169,1561852800,756305276.2
98,0.01852,0.0187,0.01636,0.01716,1561939200,205648621.1
99,0.01685,0.01946,0.01611,0.01853,1562025600,190841626.3
100,0.01771,0.01979,0.01603,0.0168,1562112000,303171730.6
101,0.01629,0.01854,0.01612,0.01774,1562198400,140279906.6
102,0.01725,0.01797,0.01603,0.01626,1562284800,153490912.7
103,0.01592,0.01746,0.01511,0.01725,1562371200,249620303.3
104,0.0158,0.01635,0.0156,0.01592,1562457600,84517462.8
105,0.01483,0.01725,0.0146,0.01581,1562544000,257662119.8
106,0.01418,0.01522,0.01401,0.01483,1562630400,140521177.2
107,0.01326,0.01433,0.01278,0.0142,1562716800,178015984.9
108,0.0116,0.01394,0.0114,0.01326,1562803200,125635179.8
109,0.01263,0.0135,0.01132,0.01159,1562889600,138610134.9
110,0.0136,0.01431,0.01245,0.01261,1562976000,213249837.7
111,0.0114,0.01409,0.01135,0.0136,1563062400,149670460.4
