,c,h,l,o,t,v
0,0.008361,0.014598,0.0072,0.00743,1567728000,286576059
1,0.010928,0.012236,0.008152,0.008362,1567814400,211928388
2,0.00984,0.0116,0.00955,0.010949,1567900800,77348579
3,0.00855,0.009837,0.0083,0.009837,1567987200,70283508
4,0.007862,0.008744,0.007544,0.008546,1568073600,52521969
5,0.006672,0.008025,0.006555,0.007862,1568160000,45842609
6,0.005835,0.006834,0.0058,0.006585,1568246400,64466707
7,0.006228,0.006648,0.0058,0.005836,1568332800,39875617
8,0.006142,0.006361,0.005815,0.006101,1568419200,12567616
9,0.0072,0.007259,0.00609,0.006141,1568505600,61371578
10,0.006842,0.0074,0.006524,0.007153,1568592000,49741341
11,0.0069,0.00785,0.0063,0.006837,1568678400,75660787
12,0.00679,0.007232,0.006763,0.006943,1568764800,36126443
13,0.006476,0.006816,0.00635,0.006786,1568851200,20953690
14,0.006299,0.006519,0.00605,0.006478,1568937600,25424621
15,0.006197,0.006479,0.006143,0.006281,1569024000,16236506
16,0.005699,0.006217,0.005682,0.006199,1569110400,26765961
17,0.00536,0.005879,0.005324,0.005689,1569196800,18329894
18,0.004323,0.006082,0.003921,0.005359,1569283200,31642337
19,0.004372,0.004539,0.003919,0.004354,1569369600,15895034
20,0.004078,0.004597,0.0038,0.004322,1569456000,28572742
21,0.004076,0.004299,0.00391,0.004078,1569542400,17474812
22,0.004225,0.004356,0.004061,0.004076,1569628800,11882164
23,0.00411,0.004376,0.004003,0.004225,1569715200,11304058
24,0.004239,0.004275,0.00398,0.004145,1569801600,10391601
25,0.004626,0.004767,0.004221,0.004246,1569888000,25724245
26,0.00449,0.00479,0.0041,0.004621,1569974400,54942713
27,0.004368,0.00465,0.004175,0.00449,1570060800,16048366
28,0.004336,0.0046,0.00419,0.004322,1570147200,20684052
29,0.004401,0.004542,0.00424,0.004304,1570233600,12894454
30,0.004376,0.00454,0.0043,0.004409,1570320000,8452158
31,0.004855,0.005189,0.004266,0.004374,1570406400,22756403
32,0.005038,0.005118,0.004621,0.00485,1570492800,19155627
33,0.004985,0.00515,0.004689,0.005039,1570579200,24120648
34,0.004901,0.005231,0.0048,0.004997,1570665600,15614478
35,0.004901,0.005138,0.004731,0.00489,1570752000,9318278
