,c,h,l,o,t,v
0,0.02226,0.036,0.0222,0.03268,1564790400,81829347.2
1,0.0207,0.0235,0.02052,0.02226,1564876800,17506683.8
2,0.01757,0.02179,0.01721,0.0207,1564963200,24934922.1
3,0.0193,0.022,0.01755,0.01757,1565049600,34213627.2
4,0.03719,0.0423,0.0193,0.0193,1565136000,125213689.7
5,0.02801,0.05368,0.02777,0.03761,1565222400,397252506.6
6,0.02279,0.0318,0.0223,0.02815,1565308800,111887841.4
7,0.02677,0.02777,0.0221,0.02284,1565395200,59388249.9
8,0.02499,0.0285,0.02458,0.02681,1565481600,53491515.2
9,0.03028,0.0325,0.02473,0.02499,1565568000,89568475.4
10,0.03066,0.03333,0.02868,0.0303,1565654400,83573438.3
11,0.026,0.03198,0.02536,0.0308,1565740800,56372966.4
12,0.03413,0.0362,0.02577,0.026,1565827200,142824745.0
13,0.03288,0.03997,0.02999,0.03421,1565913600,165153606.9
14,0.03515,0.03841,0.03226,0.033,1566000000,117048955.8
15,0.03067,0.03547,0.03,0.03515,1566086400,70615094.2
16,0.03334,0.03502,0.03004,0.03068,1566172800,72590642.0
17,0.03486,0.03707,0.03243,0.03335,1566259200,94590522.1
18,0.02908,0.03521,0.02801,0.03486,1566345600,63879268.3
19,0.02964,0.03014,0.02672,0.02908,1566432000,33175677.3
20,0.02881,0.031,0.02814,0.02941,1566518400,13287434.8
21,0.02811,0.02944,0.02631,0.02861,1566604800,17057596.7
22,0.02701,0.02985,0.02659,0.02812,1566691200,16766942.1
23,0.0249,0.02749,0.02471,0.02716,1566777600,15124257.4
24,0.02374,0.0252,0.02331,0.0249,1566864000,17458822.8
25,0.02464,0.02828,0.02279,0.02375,1566950400,47110392.7
26,0.02166,0.02451,0.0216,0.02451,1567036800,12823839.0
27,0.02238,0.023,0.02176,0.02181,1567123200,6509048.2
28,0.02107,0.02366,0.02057,0.02238,1567209600,7817266.9
29,0.02024,0.02145,0.0196,0.02107,1567296000,14285102.4
30,0.02055,0.02202,0.02,0.02039,1567382400,11295449.8
31,0.02079,0.02197,0.0199,0.02055,1567468800,10617997.7
32,0.0239,0.02636,0.02018,0.0209,1567555200,53300129.7
33,0.023,0.02589,0.023,0.02388,1567641600,38986910.0
34,0.02087,0.02365,0.0205,0.023,1567728000,19754589.5
35,0.02121,0.02209,0.02034,0.02087,1567814400,8218349.3
36,0.02165,0.02258,0.021,0.02121,1567900800,8248748.7
37,0.0213,0.02216,0.02021,0.02165,1567987200,6826814.3
38,0.02071,0.02252,0.02021,0.0213,1568073600,24639049.6
39,0.0193,0.02107,0.019,0.02068,1568160000,10727248.9
40,0.0197,0.01998,0.018,0.0194,1568246400,8670203.6
41,0.01995,0.02095,0.01914,0.01957,1568332800,7134615.5
42,0.01969,0.01996,0.01924,0.01996,1568419200,2138348.3
43,0.02017,0.02127,0.01941,0.0197,1568505600,5286499.9
44,0.02144,0.02304,0.02007,0.02023,1568592000,20728154.9
45,0.02249,0.02363,0.02082,0.02135,1568678400,13454475.5
46,0.02199,0.02379,0.02144,0.02248,1568764800,14233849.1
47,0.0204,0.02197,0.01951,0.02197,1568851200,9615539.2
48,0.02071,0.02288,0.02011,0.0204,1568937600,9862704.4
49,0.02037,0.0209,0.02009,0.02061,1569024000,3407011.7
50,0.01959,0.02045,0.01943,0.02035,1569110400,3653131.9
51,0.01919,0.0204,0.01831,0.01959,1569196800,9428355.9
52,0.01551,0.02021,0.0153,0.01911,1569283200,8607628.9
53,0.01645,0.01736,0.01564,0.01568,1569369600,7045810.8
54,0.01579,0.01713,0.01502,0.01647,1569456000,5698190.9
55,0.01568,0.0159,0.01514,0.01585,1569542400,3179595.5
