,c,h,l,o,t,v
0,0.1329,0.1688,0.1158,0.1598,1574380800,10442196.03
1,0.1243,0.1375,0.118,0.1329,1574467200,5783150.13
2,0.096,0.1271,0.095,0.1243,1574553600,5312407.24
3,0.0889,0.105,0.0804,0.096,1574640000,8123967.49
4,0.0934,0.0988,0.0875,0.0888,1574726400,2601512.98
5,0.0952,0.1087,0.0927,0.0939,1574812800,6221175.43
6,0.0979,0.1024,0.094,0.0952,1574899200,2136740.49
7,0.0994,0.1036,0.0964,0.0966,1574985600,1063827.77
8,0.0975,0.1008,0.0956,0.1,1575072000,854200.4
9,0.0956,0.0994,0.092,0.0976,1575158400,1095589.45
10,0.0943,0.1049,0.0918,0.0955,1575244800,474926.51
11,0.0892,0.097,0.0887,0.0944,1575331200,693812.38
12,0.0834,0.0892,0.0812,0.0887,1575417600,1850314.22
13,0.0781,0.083,0.0747,0.0822,1575504000,3029123.54
14,0.0826,0.0885,0.0774,0.0781,1575590400,1652782.1
15,0.0808,0.0883,0.0794,0.0829,1575676800,1277655.62
16,0.0819,0.0826,0.0793,0.081,1575763200,437460.47
17,0.0775,0.0819,0.0771,0.081,1575849600,545153.21
18,0.0693,0.0785,0.0658,0.0779,1575936000,1605926.33
19,0.0689,0.0738,0.0674,0.0695,1576022400,619117.21
20,0.0756,0.0798,0.067,0.0693,1576108800,1766119.72
21,0.073,0.0791,0.0718,0.0764,1576195200,1542102.76
22,0.0685,0.073,0.0676,0.073,1576281600,448336.17
23,0.0686,0.0712,0.0666,0.0682,1576368000,347655.23
24,0.0651,0.0709,0.0644,0.0686,1576454400,635919.62
25,0.0613,0.0677,0.0593,0.0651,1576540800,1158590.12
26,0.0655,0.0664,0.0563,0.0613,1576627200,527218.65
27,0.0642,0.0672,0.062,0.0659,1576713600,459764.16
28,0.0664,0.0676,0.0629,0.0644,1576800000,393560.67
29,0.0641,0.0672,0.0632,0.0668,1576886400,375438.42
30,0.0761,0.078,0.0631,0.0641,1576972800,1387697.64
31,0.0712,0.0842,0.07,0.0751,1577059200,3481122.72
32,0.0662,0.0735,0.066,0.0707,1577145600,1373513.11
33,0.0643,0.0668,0.0624,0.0668,1577232000,1340588.81
34,0.063,0.0655,0.0627,0.0643,1577318400,569564.5
35,0.0627,0.0647,0.0622,0.0636,1577404800,320375.69
36,0.0639,0.065,0.0632,0.0635,1577491200,411179.7
37,0.0635,0.0647,0.0621,0.0639,1577577600,623500.04
38,0.0634,0.0669,0.063,0.0633,1577664000,699367.06
39,0.0617,0.0652,0.0614,0.0632,1577750400,304773.83
40,0.064,0.0648,0.062,0.0628,1577836800,193963.36
41,0.0614,0.0648,0.0609,0.064,1577923200,332002.06
42,0.0633,0.065,0.0605,0.0614,1578009600,258906.95
43,0.0698,0.0711,0.0635,0.0635,1578096000,1307237.59
44,0.0668,0.0708,0.0656,0.0693,1578182400,308848.6
45,0.0673,0.0687,0.0655,0.067,1578268800,292242.16
46,0.0706,0.0737,0.0674,0.0674,1578355200,849235.64
47,0.0643,0.0724,0.064,0.0711,1578441600,684885.11
48,0.064,0.0666,0.0634,0.0643,1578528000,917777.97
49,0.0666,0.0667,0.0633,0.0643,1578614400,428551.77
50,0.0672,0.0684,0.0643,0.066,1578700800,187137.94
51,0.0701,0.0709,0.0666,0.0666,1578787200,326980.56
52,0.0683,0.0707,0.0672,0.0703,1578873600,287567.2
53,0.072,0.0755,0.0476,0.0685,1578960000,882239.75
54,0.0771,0.0787,0.0694,0.0718,1579046400,845737.25
55,0.0748,0.0766,0.07,0.0766,1579132800,454119.36
56,0.0759,0.0771,0.0724,0.0744,1579219200,374454.83
57,0.0754,0.0785,0.0727,0.0755,1579305600,339378.24
58,0.0712,0.0769,0.0685,0.0751,1579392000,695032.51
59,0.0682,0.072,0.0667,0.0711,1579478400,751401.81
60,0.0702,0.0732,0.0669,0.0682,1579564800,667714.93
61,0.0712,0.0728,0.0698,0.0702,1579651200,336062.52
62,0.0698,0.0713,0.0675,0.071,1579737600,151599.77
63,0.069,0.0698,0.0666,0.0698,1579824000,148471.2
64,0.0707,0.0732,0.0677,0.0685,1579910400,467234.18
65,0.0706,0.0716,0.0696,0.0704,1579996800,311366.45
66,0.0719,0.0725,0.0705,0.071,1580083200,258151.96
67,0.073,0.0742,0.0712,0.0714,1580169600,362976.27
68,0.072,0.0737,0.0712,0.073,1580256000,107555.81
69,0.0761,0.079,0.0713,0.0714,1580342400,912527.11
70,0.0828,0.0897,0.0755,0.076,1580428800,2859386.49
71,0.0843,0.0852,0.0788,0.0828,1580515200,777098.84
72,0.084,0.0864,0.079,0.0839,1580601600,711047.43
73,0.0815,0.0909,0.0806,0.084,1580688000,327821.03
74,0.089,0.0905,0.081,0.0816,1580774400,1071824.35
75,0.09,0.0925,0.0873,0.0895,1580860800,553402.26
76,0.0944,0.1042,0.0887,0.0904,1580947200,1675341.86
77,0.1083,0.1199,0.0941,0.0943,1581033600,2379222.46
78,0.1034,0.1089,0.0968,0.1077,1581120000,897858.09
