,c,h,l,o,t,v
0,0.04608,0.04998,0.04512,0.048,1566864000,862063.0
1,0.04063,0.04875,0.0401,0.04608,1566950400,959452.6
2,0.04125,0.04347,0.03781,0.04078,1567036800,1102846.6
3,0.0422,0.0479,0.04,0.04125,1567123200,3979079.2
4,0.04075,0.04227,0.03981,0.04204,1567209600,566437.1
5,0.0411,0.04167,0.0395,0.04167,1567296000,236552.4
6,0.04139,0.04231,0.03964,0.04125,1567382400,1043043.1
7,0.04194,0.04199,0.04075,0.04139,1567468800,411062.8
8,0.0421,0.04806,0.04121,0.04135,1567555200,1082448.8
9,0.0404,0.04219,0.03904,0.0421,1567641600,678847.9
10,0.03902,0.04045,0.03732,0.0404,1567728000,581028.1
11,0.04137,0.0422,0.03808,0.03902,1567814400,617833.0
12,0.04188,0.04495,0.03955,0.04137,1567900800,468937.4
13,0.04475,0.04997,0.04185,0.04185,1567987200,3451569.5
14,0.04227,0.04464,0.04102,0.04415,1568073600,1124127.0
15,0.04499,0.0459,0.04181,0.04235,1568160000,1588675.4
16,0.04366,0.0469,0.04263,0.04498,1568246400,1775709.3
17,0.04231,0.04436,0.0414,0.04366,1568332800,269963.3
18,0.04307,0.04458,0.04124,0.04229,1568419200,266733.1
19,0.04447,0.046,0.04232,0.0429,1568505600,316616.7
20,0.04318,0.04502,0.04182,0.04446,1568592000,310813.7
21,0.04274,0.0449,0.04155,0.04313,1568678400,659830.8
22,0.04582,0.051,0.04274,0.04274,1568764800,1673728.1
23,0.04358,0.04582,0.04182,0.04582,1568851200,499574.6
24,0.04557,0.048,0.04301,0.04404,1568937600,376874.1
25,0.0445,0.04597,0.04376,0.04557,1569024000,168313.2
26,0.04662,0.04775,0.04429,0.0445,1569110400,657531.2
27,0.04213,0.04694,0.04168,0.04662,1569196800,387694.0
28,0.03489,0.04501,0.03375,0.04204,1569283200,1284266.4
29,0.03631,0.03716,0.03348,0.03494,1569369600,428662.6
30,0.03598,0.03962,0.0327,0.03684,1569456000,906835.6
31,0.03663,0.03722,0.03407,0.03547,1569542400,689146.6
32,0.03728,0.03777,0.03641,0.03723,1569628800,194094.7
33,0.03532,0.03846,0.0341,0.03728,1569715200,439947.8
34,0.0364,0.03682,0.03437,0.03596,1569801600,524203.8
35,0.0363,0.03721,0.03596,0.0364,1569888000,374528.4
36,0.03811,0.03811,0.03578,0.03674,1569974400,213867.7
37,0.03809,0.0392,0.03674,0.03762,1570060800,833625.4
38,0.03879,0.03917,0.0368,0.03802,1570147200,305761.4
39,0.04313,0.04352,0.0382,0.03845,1570233600,2004465.8
40,0.04013,0.04294,0.03826,0.04285,1570320000,1086343.0
41,0.04221,0.04595,0.04038,0.04038,1570406400,3272131.5
42,0.04306,0.04475,0.04098,0.04221,1570492800,921047.7
43,0.04179,0.0477,0.04026,0.04276,1570579200,2002950.4
44,0.04222,0.04283,0.04038,0.04202,1570665600,445671.0
45,0.03983,0.04204,0.03864,0.04146,1570752000,684857.6
46,0.03996,0.042,0.03918,0.03946,1570838400,309417.0
47,0.03948,0.04096,0.03876,0.04012,1570924800,215800.8
48,0.0415,0.04192,0.03898,0.03948,1571011200,503428.2
49,0.03972,0.04329,0.03893,0.0415,1571097600,1081383.3
50,0.038,0.0399,0.0367,0.03912,1571184000,457083.7
51,0.03903,0.03903,0.03682,0.038,1571270400,200619.5
52,0.03744,0.03898,0.0368,0.03898,1571356800,373886.7
53,0.03795,0.03894,0.03683,0.03702,1571443200,304785.4
54,0.0386,0.03966,0.03739,0.03789,1571529600,476997.0
55,0.03879,0.0395,0.038,0.0386,1571616000,398075.9
56,0.04024,0.04112,0.03853,0.03879,1571702400,1494274.2
57,0.03681,0.04148,0.03522,0.04024,1571788800,1759641.8
58,0.03763,0.03789,0.03654,0.03681,1571875200,864825.4
59,0.03975,0.04,0.03629,0.03763,1571961600,1486092.4
60,0.03988,0.04383,0.03829,0.03975,1572048000,877502.9
61,0.04264,0.04499,0.03938,0.03988,1572134400,923753.1
62,0.043,0.04489,0.04141,0.04288,1572220800,799223.3
63,0.04326,0.04439,0.04188,0.043,1572307200,495731.8
64,0.04124,0.04359,0.04079,0.0433,1572393600,556464.4
65,0.04189,0.04396,0.03977,0.04184,1572480000,611511.1
66,0.04332,0.04386,0.04145,0.04177,1572566400,468594.4
67,0.0426,0.04373,0.04142,0.0433,1572652800,544051.8
68,0.04291,0.04535,0.04194,0.04258,1572739200,1001387.8
69,0.0434,0.04365,0.04221,0.043,1572825600,626839.0
70,0.04375,0.0477,0.04363,0.04363,1572912000,2028256.7
71,0.04362,0.04422,0.04293,0.04375,1572998400,1242164.4
72,0.04233,0.0438,0.04086,0.04362,1573084800,878893.2
73,0.0401,0.04218,0.03879,0.04201,1573171200,362655.0
74,0.04041,0.04126,0.03996,0.04037,1573257600,586792.7
75,0.04084,0.04137,0.03971,0.04007,1573344000,679422.7
76,0.0401,0.04124,0.03907,0.04087,1573430400,266261.5
77,0.04003,0.04172,0.03923,0.03975,1573516800,821480.6
78,0.04023,0.04041,0.03951,0.04003,1573603200,401726.9
79,0.03941,0.04016,0.03866,0.04001,1573689600,253659.8
80,0.03903,0.0399,0.03824,0.0394,1573776000,284843.5
81,0.03862,0.03926,0.0384,0.03848,1573862400,80773.0
82,0.03937,0.04389,0.03823,0.03862,1573948800,1047654.3
83,0.03751,0.0395,0.0375,0.03909,1574035200,748896.6
84,0.03664,0.03799,0.0355,0.03799,1574121600,577712.2
85,0.03574,0.03684,0.03545,0.03634,1574208000,227976.8
86,0.03321,0.0365,0.03149,0.03574,1574294400,742261.8
87,0.02936,0.0341,0.02716,0.03321,1574380800,2513870.8
88,0.02918,0.02936,0.02725,0.02919,1574467200,1638560.6
89,0.02722,0.02921,0.02588,0.02921,1574553600,710454.3
90,0.02706,0.02773,0.02356,0.02769,1574640000,1505717.0
91,0.0284,0.02857,0.02641,0.02705,1574726400,1653776.1
92,0.02895,0.03203,0.0273,0.02857,1574812800,2906917.5
93,0.02879,0.0301,0.02837,0.02916,1574899200,1307448.5
94,0.02973,0.03073,0.02846,0.02886,1574985600,893566.6
95,0.0281,0.03222,0.02783,0.02973,1575072000,2017802.8
96,0.02765,0.02822,0.0264,0.02809,1575158400,1255788.2
97,0.02719,0.02797,0.02694,0.02764,1575244800,459851.5
98,0.02777,0.02797,0.02706,0.02719,1575331200,566973.4
99,0.02612,0.02872,0.02602,0.02777,1575417600,1063029.1
100,0.02604,0.02654,0.02542,0.02609,1575504000,575572.2
101,0.0265,0.02672,0.02553,0.02602,1575590400,993501.3
102,0.02683,0.02744,0.02596,0.0265,1575676800,1022994.6
103,0.02747,0.02826,0.02625,0.02682,1575763200,1397294.3
104,0.02647,0.02793,0.02603,0.02749,1575849600,1033206.8
105,0.02378,0.02648,0.02307,0.0262,1575936000,1318637.7
106,0.02527,0.02569,0.02372,0.0239,1576022400,1681750.9
107,0.02358,0.0257,0.0232,0.02535,1576108800,1652433.4
108,0.02347,0.02424,0.02345,0.0238,1576195200,1250993.7
109,0.02299,0.0242,0.02199,0.0236,1576281600,1468220.9
110,0.02281,0.02317,0.02192,0.02255,1576368000,490667.7
111,0.02074,0.0229,0.02013,0.02278,1576454400,2780484.5
112,0.01802,0.02074,0.01791,0.02072,1576540800,2109777.3
113,0.01942,0.0196,0.01688,0.01828,1576627200,1986220.5
114,0.01847,0.01968,0.01821,0.01942,1576713600,1626253.7
115,0.01997,0.02018,0.01814,0.0185,1576800000,1978778.1
116,0.01866,0.01995,0.0184,0.0198,1576886400,1554394.4
117,0.01844,0.01879,0.01796,0.01866,1576972800,1125296.5
118,0.01741,0.01844,0.01701,0.01823,1577059200,850939.7
119,0.0175,0.01816,0.01711,0.01737,1577145600,586861.5
120,0.0174,0.01763,0.01689,0.01753,1577232000,449743.8
121,0.01759,0.0185,0.01699,0.01747,1577318400,2495025.2
122,0.01747,0.0177,0.01681,0.01756,1577404800,836860.4
123,0.0186,0.01912,0.01729,0.01747,1577491200,3705554.8
124,0.02082,0.02187,0.01844,0.0186,1577577600,20306886.6
125,0.02009,0.02173,0.01935,0.02099,1577664000,4706012.2
126,0.01826,0.0201,0.01803,0.02007,1577750400,3670255.8
127,0.01799,0.01821,0.01766,0.01806,1577836800,2667984.5
128,0.01946,0.02029,0.01729,0.01799,1577923200,6277952.7
129,0.01943,0.021,0.01873,0.01966,1578009600,6851234.0
130,0.01973,0.0198,0.01898,0.01943,1578096000,2612215.4
131,0.01864,0.01983,0.01861,0.01955,1578182400,4937276.5
132,0.01998,0.02,0.01828,0.01884,1578268800,3996035.1
133,0.0189,0.02004,0.01845,0.01991,1578355200,3169982.2
134,0.01814,0.01915,0.01755,0.01889,1578441600,3395750.8
135,0.01777,0.0185,0.01761,0.01802,1578528000,864936.5
136,0.0177,0.01801,0.01732,0.01777,1578614400,1024911.1
137,0.01842,0.0191,0.01748,0.01767,1578700800,2228687.0
138,0.02093,0.02162,0.0184,0.01841,1578787200,9647532.0
139,0.01954,0.02122,0.01928,0.02093,1578873600,2829539.7
140,0.01904,0.01974,0.01854,0.01954,1578960000,11399079.7
141,0.0203,0.02085,0.0188,0.01895,1579046400,7041688.7
142,0.01988,0.0211,0.01924,0.02033,1579132800,3371088.4
143,0.02133,0.0226,0.01963,0.01988,1579219200,6935302.2
144,0.02158,0.02184,0.0205,0.02137,1579305600,3758275.5
145,0.0201,0.02195,0.01952,0.02154,1579392000,3350379.1
146,0.02019,0.02028,0.0197,0.02012,1579478400,841183.0
147,0.02351,0.02494,0.01995,0.02018,1579564800,7503513.2
148,0.02359,0.02607,0.02253,0.0235,1579651200,22553268.0
149,0.02223,0.02391,0.022,0.02367,1579737600,5606189.3
150,0.02194,0.02234,0.02105,0.02223,1579824000,2862145.5
151,0.02133,0.02185,0.02086,0.0218,1579910400,1924312.7
152,0.0217,0.02177,0.02126,0.02133,1579996800,870984.7
153,0.02169,0.022,0.02115,0.02174,1580083200,1367277.8
154,0.0222,0.02358,0.02168,0.02187,1580169600,5302496.3
155,0.02239,0.02288,0.0219,0.02237,1580256000,2929810.6
156,0.02411,0.02471,0.02199,0.02238,1580342400,3804966.2
157,0.02555,0.02593,0.02336,0.02409,1580428800,10619738.1
158,0.02581,0.026,0.02432,0.02545,1580515200,4291487.7
159,0.02736,0.03057,0.0253,0.02567,1580601600,13972241.0
160,0.02651,0.02924,0.02607,0.02755,1580688000,7258651.1
161,0.02883,0.0295,0.02642,0.02666,1580774400,7305298.6
162,0.02885,0.02969,0.02725,0.02882,1580860800,8327575.4
163,0.02896,0.0296,0.02832,0.02885,1580947200,5946300.9
164,0.03161,0.03332,0.02888,0.02896,1581033600,7489028.4
165,0.03069,0.03254,0.02958,0.03161,1581120000,4636510.7
