,c,h,l,o,t,v
0,95.74,98.89,88.0,90.0,1553731200,2319.41987
1,98.13,98.19,94.91,95.74,1553817600,3565.30155
2,100.78,101.0,95.5,98.3,1553904000,3540.27743
3,110.7,110.89,99.61,100.58,1553990400,11668.43675
4,112.97,120.06,107.71,110.5,1554076800,16508.93631
5,123.69,125.84,111.03,113.28,1554163200,15379.30754
6,123.43,139.1,118.38,123.5,1554249600,26058.20443
7,122.87,131.65,119.02,123.78,1554336000,8434.43214
8,132.78,134.24,122.87,122.87,1554422400,5803.26085
9,130.93,137.83,128.01,132.84,1554508800,4302.73303
10,135.11,135.33,130.11,130.55,1554595200,4221.6208
11,135.3,137.85,128.67,135.17,1554681600,5806.88245
12,131.4,135.52,128.84,135.2,1554768000,3535.66865
13,129.74,133.38,126.43,131.32,1554854400,4500.68937
14,122.3,129.84,113.2,129.73,1554940800,7797.38187
15,118.93,123.03,114.98,122.3,1555027200,4715.41854
16,119.1,119.84,117.11,118.72,1555113600,1390.26356
17,122.57,123.16,117.88,119.1,1555200000,1796.90255
18,118.56,123.78,115.04,122.57,1555286400,2777.43757
19,120.61,131.0,115.54,118.48,1555372800,5110.50898
20,120.08,122.33,118.44,120.5,1555459200,2189.18509
21,123.52,125.59,119.7,119.94,1555545600,5542.19338
22,122.11,123.82,119.45,123.54,1555632000,3781.2912
23,123.1,124.47,121.3,121.87,1555718400,1741.75754
24,121.19,123.72,117.22,123.27,1555804800,3007.97153
25,121.65,122.88,118.75,121.22,1555891200,1540.87078
26,117.05,125.38,117.05,122.15,1555977600,1997.62099
27,115.02,120.28,110.8,117.0,1556064000,5968.04325
28,108.89,118.0,106.91,115.45,1556150400,4092.0347
29,110.27,114.33,106.38,108.89,1556236800,3136.99664
30,110.01,111.43,108.76,110.27,1556323200,1345.45349
31,110.73,111.48,108.88,110.01,1556409600,1248.18569
32,107.72,111.5,106.77,110.72,1556496000,3402.18252
33,110.98,111.71,106.93,107.72,1556582400,1939.30731
34,116.47,119.41,110.98,111.04,1556668800,3771.25114
35,117.13,118.9,114.9,116.95,1556755200,5429.53051
36,120.71,121.57,115.65,116.41,1556841600,5222.10447
37,120.22,123.91,116.58,121.09,1556928000,5075.30245
38,118.63,120.83,117.83,120.22,1557014400,1224.0613
39,120.53,122.36,116.26,118.51,1557100800,2218.44901
40,117.11,123.29,116.58,120.93,1557187200,2895.70941
41,117.69,118.71,115.0,116.88,1557273600,1182.87689
42,112.3,118.81,110.26,117.6,1557360000,3298.32922
43,112.92,115.94,111.09,112.37,1557446400,2560.82801
44,122.83,126.3,111.77,112.92,1557532800,7220.10121
45,125.22,127.96,117.13,122.82,1557619200,6405.02757
46,130.51,136.38,124.23,125.22,1557705600,9325.59123
47,141.67,142.91,130.53,131.15,1557792000,9125.49018
48,154.14,155.46,140.77,141.67,1557878400,9394.9463
49,149.03,164.11,143.65,154.07,1557964800,10560.85745
50,139.49,150.06,126.97,149.03,1558051200,11499.03441
