,c,h,l,o,t,v
0,0.0005099,0.00063,0.000331,0.00063,1566864000,364997684
1,0.0004707,0.0005499,0.0004619,0.0005099,1566950400,426318395
2,0.0004382,0.0004742,0.000327,0.000466,1567036800,305165325
3,0.0004638,0.0004688,0.0004247,0.0004375,1567123200,74199179
4,0.0004553,0.0004654,0.0004419,0.0004654,1567209600,70177695
5,0.0004627,0.000465,0.0004494,0.0004544,1567296000,61228135
6,0.000469,0.0004856,0.0004506,0.0004632,1567382400,307646491
7,0.0004552,0.000477,0.000449,0.0004769,1567468800,154107422
8,0.0004499,0.0004729,0.0004415,0.0004592,1567555200,78628883
9,0.0004498,0.0004565,0.000431,0.0004497,1567641600,129944042
10,0.0004283,0.0004557,0.000417,0.0004493,1567728000,99491848
11,0.0004443,0.0004449,0.0004192,0.0004285,1567814400,46908901
12,0.000455,0.000455,0.0004323,0.0004443,1567900800,76764946
13,0.0004286,0.0004737,0.000416,0.0004563,1567987200,186099231
14,0.000425,0.0004468,0.0004238,0.0004352,1568073600,94698347
15,0.0004255,0.0004429,0.0004174,0.0004258,1568160000,144806595
16,0.0004338,0.000435,0.0004181,0.0004255,1568246400,110952164
17,0.0004404,0.0004404,0.000426,0.0004338,1568332800,55684517
18,0.0004468,0.0004549,0.0004351,0.0004404,1568419200,61579484
19,0.0004419,0.0004499,0.0004398,0.000443,1568505600,56767264
20,0.0004415,0.0004484,0.0004283,0.0004469,1568592000,81128712
21,0.0004749,0.00049,0.0004384,0.0004425,1568678400,128754130
22,0.0004943,0.000497,0.0004651,0.000475,1568764800,253021090
23,0.0004946,0.0005392,0.00047,0.0004929,1568851200,203616864
24,0.0004803,0.0005049,0.0004769,0.0004945,1568937600,110907593
25,0.0004814,0.000497,0.0004688,0.0004804,1569024000,89493494
26,0.0004473,0.0004815,0.0004357,0.0004813,1569110400,183984634
27,0.0004439,0.000469,0.0004328,0.0004488,1569196800,97964216
28,0.00037,0.0004543,0.0003335,0.0004395,1569283200,188125265
29,0.0003605,0.0003962,0.00034,0.0003735,1569369600,177689412
30,0.000341,0.0003647,0.0003237,0.0003605,1569456000,247205353
31,0.0003537,0.000363,0.0003322,0.000341,1569542400,113803101
32,0.0003472,0.0003622,0.0003444,0.0003537,1569628800,100227220
33,0.000339,0.00036,0.0003335,0.000349,1569715200,111183978
34,0.0002735,0.0003497,0.0002331,0.0003397,1569801600,5337442178
35,0.0002473,0.0002768,0.0002437,0.0002737,1569888000,1571852081
36,0.0002461,0.0002499,0.000234,0.000247,1569974400,891398241
37,0.0002441,0.0002496,0.000238,0.0002448,1570060800,606949770
38,0.0002412,0.0002441,0.0002361,0.0002441,1570147200,447985925
39,0.0002422,0.0002454,0.0002379,0.0002412,1570233600,336117774
40,0.0002241,0.0002429,0.00022,0.0002422,1570320000,614186977
41,0.0002378,0.00024,0.0002153,0.0002248,1570406400,669570897
42,0.0002387,0.000239,0.0002276,0.0002366,1570492800,467312138
43,0.0002526,0.000257,0.0002341,0.0002376,1570579200,991932799
44,0.0002618,0.0002622,0.000235,0.0002533,1570665600,463574949
45,0.0002405,0.0002629,0.000236,0.0002619,1570752000,369800861
46,0.0002481,0.0002524,0.0002391,0.0002402,1570838400,218857066
47,0.0002499,0.0002623,0.0002446,0.0002476,1570924800,405677643
48,0.0002543,0.0002599,0.0002467,0.0002495,1571011200,247966374
49,0.0002488,0.0002589,0.0002451,0.0002551,1571097600,237796574
50,0.0002436,0.0002529,0.0002356,0.0002494,1571184000,333679837
51,0.0002517,0.0002586,0.0002407,0.0002437,1571270400,158882030
52,0.0002473,0.0002534,0.0002361,0.0002522,1571356800,246967936
53,0.0002491,0.000255,0.0002427,0.0002472,1571443200,254757335
54,0.0002551,0.0002571,0.0002425,0.0002491,1571529600,246374239
55,0.0002535,0.0002597,0.0002515,0.0002546,1571616000,171595318
56,0.000249,0.0002551,0.0002471,0.0002531,1571702400,191414987
57,0.000231,0.0002486,0.000226,0.0002486,1571788800,283001830
58,0.0002301,0.000235,0.0002251,0.0002297,1571875200,177019964
59,0.0002451,0.0002569,0.0002267,0.0002296,1571961600,686070796
60,0.0002431,0.0002595,0.0002344,0.0002454,1572048000,589361226
61,0.0002429,0.0002584,0.0002391,0.0002431,1572134400,456565966
62,0.0002432,0.000259,0.0002359,0.0002434,1572220800,593309617
63,0.0002493,0.0002525,0.000242,0.0002431,1572307200,283915736
64,0.0002422,0.0002497,0.000239,0.0002494,1572393600,182211490
65,0.0002441,0.0002512,0.000238,0.0002427,1572480000,235777422
66,0.0002453,0.0002461,0.0002344,0.0002436,1572566400,232489939
67,0.0002526,0.0002628,0.0002399,0.0002453,1572652800,639126392
68,0.0002481,0.0002563,0.000247,0.0002526,1572739200,224590353
69,0.0002529,0.000254,0.000244,0.0002498,1572825600,227630569
70,0.0002541,0.0002581,0.0002481,0.0002529,1572912000,286548669
71,0.0002555,0.0002588,0.0002485,0.0002544,1572998400,334223539
72,0.0002507,0.0002569,0.0002461,0.0002554,1573084800,195093169
73,0.0002481,0.0002583,0.0002402,0.0002521,1573171200,501898706
74,0.0002439,0.0002523,0.0002402,0.0002489,1573257600,291015744
75,0.0002438,0.0002489,0.000241,0.0002439,1573344000,208663655
76,0.0002346,0.0002462,0.0002211,0.0002447,1573430400,425640737
77,0.0002413,0.0002442,0.0002337,0.0002346,1573516800,261781423
78,0.0002355,0.000243,0.000233,0.0002407,1573603200,203239989
79,0.0002311,0.0002369,0.000231,0.0002351,1573689600,162205237
80,0.0002215,0.0002316,0.0002201,0.0002311,1573776000,365877086
81,0.0002249,0.000227,0.0002191,0.0002215,1573862400,204001701
82,0.0002242,0.000235,0.0002223,0.0002241,1573948800,244493505
83,0.0002077,0.0002242,0.0002,0.0002242,1574035200,645321730
84,0.0001969,0.0002094,0.00019,0.0002069,1574121600,495336364
85,0.000198,0.0002109,0.0001881,0.0001971,1574208000,360798913
86,0.0001841,0.000198,0.0001762,0.0001962,1574294400,360872590
87,0.0001553,0.0001867,0.0001376,0.0001833,1574380800,1288355081
88,0.0001609,0.0001633,0.0001478,0.0001537,1574467200,502667858
89,0.0001495,0.0001609,0.0001422,0.0001607,1574553600,342532339
