,c,h,l,o,t,v
0,0.008282,0.009648,0.007633,0.0096,1566864000,17105576
1,0.007028,0.00871,0.006412,0.008282,1566950400,23243899
2,0.006376,0.007246,0.006209,0.007028,1567036800,7804558
3,0.007064,0.007451,0.0062,0.006379,1567123200,13005675
4,0.006335,0.00738,0.006068,0.007042,1567209600,14896342
5,0.006099,0.006551,0.005929,0.006335,1567296000,4515830
6,0.006269,0.00665,0.005931,0.006096,1567382400,4133300
7,0.005881,0.006269,0.005699,0.006269,1567468800,14787597
8,0.005734,0.005949,0.005163,0.005849,1567555200,7649721
9,0.005665,0.005795,0.005485,0.00572,1567641600,2479410
10,0.005333,0.005744,0.005077,0.005665,1567728000,3438377
11,0.006183,0.0067,0.005101,0.005309,1567814400,19782384
12,0.005946,0.00657,0.005855,0.006183,1567900800,9628623
13,0.006173,0.0066,0.005706,0.00602,1567987200,9922956
14,0.009009,0.011146,0.00603,0.006309,1568073600,72044441
15,0.006691,0.010213,0.006558,0.009009,1568160000,110018138
16,0.006762,0.007183,0.006434,0.00673,1568246400,35715608
17,0.008186,0.0087,0.006659,0.006749,1568332800,56402409
18,0.00805,0.008892,0.007718,0.008194,1568419200,29919952
19,0.007979,0.008257,0.0078,0.00805,1568505600,8274341
20,0.009082,0.009653,0.0078,0.007928,1568592000,27918940
21,0.013387,0.026299,0.008867,0.009084,1568678400,164651419
22,0.012192,0.016945,0.0115,0.013386,1568764800,216972674
23,0.010951,0.012288,0.0106,0.012192,1568851200,38766006
24,0.011657,0.011836,0.010543,0.010981,1568937600,27034900
25,0.011051,0.012377,0.010705,0.011631,1569024000,31333389
26,0.010222,0.011214,0.010208,0.011044,1569110400,12466453
27,0.00963,0.01065,0.009083,0.010208,1569196800,25798257
28,0.009031,0.012595,0.007243,0.009654,1569283200,113018916
29,0.00959,0.010265,0.008494,0.00898,1569369600,30474257
30,0.011459,0.012,0.009485,0.00959,1569456000,102649012
31,0.011975,0.012301,0.0104,0.011399,1569542400,56043453
32,0.012895,0.0147,0.011125,0.011831,1569628800,114738319
33,0.011277,0.01292,0.010831,0.012808,1569715200,36686110
34,0.011302,0.011923,0.01008,0.011464,1569801600,38020529
35,0.01091,0.01164,0.010509,0.011309,1569888000,21577167
36,0.011573,0.011988,0.010785,0.01091,1569974400,21922832
37,0.012251,0.012711,0.010916,0.011462,1570060800,29459237
38,0.012088,0.0125,0.01155,0.0123,1570147200,20306705
39,0.011929,0.012479,0.011718,0.012088,1570233600,9097130
40,0.010966,0.011929,0.01065,0.011929,1570320000,18976122
41,0.011354,0.011553,0.010863,0.011027,1570406400,11002283
42,0.011,0.0116,0.010186,0.011362,1570492800,24644336
43,0.010696,0.011478,0.010327,0.011049,1570579200,27305807
44,0.010001,0.010756,0.009517,0.01065,1570665600,30961736
45,0.010168,0.0105,0.0095,0.010001,1570752000,21095189
46,0.009922,0.010292,0.009631,0.010168,1570838400,9106359
47,0.009499,0.010017,0.00929,0.009922,1570924800,10295232
48,0.011147,0.011939,0.009499,0.009499,1571011200,77064394
49,0.012626,0.01448,0.010966,0.011147,1571097600,444982374
50,0.013108,0.0145,0.012551,0.012624,1571184000,612446169
51,0.012683,0.013178,0.0122,0.013104,1571270400,329007685
52,0.012315,0.013063,0.012278,0.012683,1571356800,563846728
53,0.011389,0.012505,0.01133,0.012339,1571443200,1545827136
54,0.013371,0.013485,0.01116,0.011398,1571529600,462581325
55,0.012714,0.013881,0.012652,0.013372,1571616000,2119500812
56,0.011924,0.013205,0.011655,0.012715,1571702400,51399560
57,0.010974,0.012231,0.010501,0.01193,1571788800,30682424
58,0.010974,0.011024,0.010435,0.010999,1571875200,18952056
59,0.010947,0.011417,0.010526,0.010972,1571961600,31977518
60,0.009876,0.011267,0.009863,0.010963,1572048000,48510764
61,0.010835,0.01133,0.00982,0.00987,1572134400,42449551
62,0.01065,0.011274,0.0105,0.010784,1572220800,22381815
63,0.010922,0.011001,0.0105,0.010659,1572307200,13607774
64,0.010724,0.010998,0.010213,0.010921,1572393600,11350553
65,0.01097,0.01167,0.010477,0.010749,1572480000,27086811
66,0.011199,0.012743,0.010826,0.010952,1572566400,17105970
67,0.010999,0.011335,0.010811,0.011199,1572652800,12056381
68,0.010972,0.01115,0.0106,0.010999,1572739200,16157009
69,0.010643,0.01105,0.010437,0.010971,1572825600,9029246
70,0.010813,0.010899,0.010527,0.010641,1572912000,10475429
71,0.010629,0.01099,0.010561,0.010813,1572998400,5904426
72,0.010616,0.011,0.010454,0.010629,1573084800,12002438
73,0.009951,0.01063,0.009745,0.010616,1573171200,13338525
74,0.010057,0.01029,0.009865,0.009939,1573257600,4343655
75,0.010216,0.010525,0.010026,0.010057,1573344000,4462379
76,0.010074,0.010324,0.009758,0.010261,1573430400,5482695
77,0.010101,0.010419,0.009946,0.010074,1573516800,6712889
78,0.010084,0.010163,0.010027,0.010124,1573603200,1570062
79,0.009991,0.010123,0.009782,0.010122,1573689600,5977735
80,0.010101,0.010498,0.009678,0.009994,1573776000,7224979
81,0.010526,0.010848,0.009956,0.010101,1573862400,9462808
82,0.010302,0.010789,0.010251,0.010569,1573948800,6550764
83,0.009474,0.010403,0.009127,0.010301,1574035200,10854052
84,0.009276,0.009471,0.00894,0.009471,1574121600,3717603
85,0.009124,0.009433,0.00907,0.009289,1574208000,1439713
86,0.008474,0.00945,0.008176,0.009101,1574294400,5453032
87,0.007864,0.008648,0.007227,0.008474,1574380800,8109257
88,0.008068,0.008127,0.007612,0.007895,1574467200,4047512
89,0.00745,0.008056,0.007404,0.008056,1574553600,5476197
90,0.008352,0.008544,0.00701,0.007451,1574640000,9400191
91,0.00845,0.008661,0.008172,0.008299,1574726400,10173072
92,0.008612,0.008644,0.007875,0.008432,1574812800,14182344
93,0.008683,0.00903,0.008498,0.008578,1574899200,4717705
94,0.008831,0.009098,0.008604,0.008632,1574985600,3420795
95,0.008538,0.008853,0.00836,0.008821,1575072000,3088323
96,0.008326,0.008524,0.008008,0.008445,1575158400,2338933
97,0.008758,0.0088,0.00809,0.008335,1575244800,6721520
98,0.009236,0.009444,0.00846,0.008729,1575331200,8422672
99,0.009495,0.0109,0.008855,0.009287,1575417600,62064403
100,0.0093,0.01008,0.008617,0.009374,1575504000,37491029
101,0.00963,0.009952,0.0089,0.0093,1575590400,19568636
102,0.009834,0.010234,0.0096,0.00963,1575676800,19914084
103,0.010349,0.01088,0.009471,0.009775,1575763200,25987742
104,0.0095,0.010735,0.009431,0.010378,1575849600,21385546
105,0.008588,0.0095,0.008219,0.0095,1575936000,23137470
106,0.008689,0.008934,0.008448,0.008581,1576022400,8408483
107,0.008289,0.008768,0.008175,0.008768,1576108800,6760877
108,0.008826,0.008946,0.0082,0.008251,1576195200,8507175
109,0.008355,0.008878,0.00806,0.008878,1576281600,13027681
110,0.008372,0.00859,0.008147,0.008282,1576368000,5916154
111,0.007711,0.008415,0.007597,0.00837,1576454400,8643649
112,0.006606,0.00773,0.006399,0.00773,1576540800,17187309
113,0.007349,0.007375,0.006372,0.006643,1576627200,8247350
114,0.007527,0.007629,0.007089,0.00735,1576713600,8800742
115,0.00755,0.007962,0.007352,0.007489,1576800000,4627886
116,0.007836,0.008169,0.007483,0.00755,1576886400,14210017
117,0.007485,0.007985,0.007403,0.00783,1576972800,17591257
118,0.007216,0.007561,0.00712,0.007475,1577059200,11244000
119,0.007351,0.007495,0.0071,0.00723,1577145600,13895669
120,0.007159,0.007398,0.007079,0.007353,1577232000,2090107
121,0.007048,0.007281,0.007013,0.007106,1577318400,3518221
122,0.007244,0.007475,0.007042,0.007084,1577404800,11512713
123,0.00729,0.00737,0.007142,0.007255,1577491200,2187646
124,0.007017,0.007336,0.006945,0.007237,1577577600,10401312
125,0.006957,0.007329,0.006809,0.006966,1577664000,8517544
126,0.007988,0.007999,0.006941,0.006942,1577750400,13376124
127,0.007755,0.008332,0.007582,0.007995,1577836800,48749244
128,0.007071,0.007817,0.006993,0.007737,1577923200,22506885
129,0.00733,0.007503,0.00694,0.007069,1578009600,13020814
130,0.007299,0.007647,0.007296,0.007333,1578096000,8326821
131,0.007235,0.007459,0.007139,0.00734,1578182400,3179612
132,0.007357,0.00743,0.007184,0.007235,1578268800,6897244
133,0.007203,0.007729,0.007096,0.007394,1578355200,15187198
134,0.007392,0.007773,0.006968,0.007256,1578441600,32237817
135,0.007251,0.007731,0.007197,0.007349,1578528000,22340641
136,0.007265,0.007434,0.007144,0.0073,1578614400,12518353
137,0.007392,0.007596,0.007171,0.007265,1578700800,9410742
138,0.007298,0.007519,0.007153,0.007358,1578787200,8926978
139,0.007053,0.007303,0.007,0.007303,1578873600,4096637
140,0.007218,0.0076,0.007041,0.007053,1578960000,19271531
141,0.007284,0.007499,0.007008,0.007218,1579046400,20046461
142,0.007351,0.00761,0.00716,0.007299,1579132800,8602470
143,0.007469,0.0075,0.007307,0.007351,1579219200,8347667
144,0.007518,0.007588,0.007327,0.007399,1579305600,9340823
145,0.007349,0.007588,0.007027,0.007435,1579392000,10184520
146,0.00741,0.007477,0.007157,0.007349,1579478400,3783109
147,0.007393,0.007481,0.007178,0.007451,1579564800,3997383
148,0.007212,0.007376,0.007159,0.007376,1579651200,4039561
149,0.007133,0.007234,0.006996,0.007212,1579737600,4749367
150,0.007149,0.007256,0.007041,0.007122,1579824000,2741517
151,0.007149,0.007171,0.006938,0.007148,1579910400,3711506
152,0.00729,0.007392,0.007032,0.007072,1579996800,4472973
153,0.007107,0.007299,0.007087,0.007299,1580083200,6931056
154,0.006928,0.007277,0.006835,0.007175,1580169600,27159550
155,0.006629,0.00698,0.006606,0.006901,1580256000,16598202
156,0.006828,0.006836,0.0066,0.006628,1580342400,6184706
157,0.007016,0.007099,0.00677,0.00683,1580428800,8007877
158,0.0072,0.0072,0.006911,0.00693,1580515200,5398192
159,0.007167,0.0075,0.007076,0.007136,1580601600,12343461
160,0.007575,0.00782,0.007096,0.007168,1580688000,26629798
161,0.007784,0.008184,0.007516,0.007569,1580774400,20400622
162,0.007699,0.00788,0.007552,0.007797,1580860800,8328983
163,0.008642,0.0092,0.00762,0.007685,1580947200,26087987
164,0.008828,0.008855,0.008386,0.008642,1581033600,10661539
165,0.008745,0.008851,0.008442,0.00882,1581120000,11501155
