,c,h,l,o,t,v
0,0.0038701,0.0046,0.00355,0.00449,1562284800,1928297660
1,0.0035,0.0039426,0.0033652,0.0038741,1562371200,1010744287
2,0.0035377,0.00365,0.0034,0.003504,1562457600,530613992
3,0.003458,0.0035618,0.0034,0.0035378,1562544000,308445688
4,0.0034545,0.003582,0.0033564,0.003462,1562630400,253375582
5,0.0033421,0.0035294,0.003251,0.0034576,1562716800,241274866
6,0.003209,0.0033395,0.0030909,0.0033358,1562803200,202811394
7,0.0032622,0.0033598,0.0031562,0.0032105,1562889600,228622573
8,0.0032532,0.0032653,0.0031358,0.0032626,1562976000,110731940
9,0.0029175,0.0032788,0.0029008,0.0032474,1563062400,216658454
10,0.0030712,0.0031354,0.0028011,0.0029175,1563148800,220027648
11,0.0027994,0.0031009,0.0027323,0.0030624,1563235200,159080438
12,0.0028822,0.002986,0.0027063,0.0027995,1563321600,320691294
13,0.0030979,0.0031251,0.0027797,0.0028663,1563408000,263423204
14,0.0030232,0.0031068,0.0029202,0.0031008,1563494400,101195703
15,0.0030787,0.0031528,0.003,0.0030131,1563580800,106012025
16,0.0030468,0.0031272,0.0029872,0.0030701,1563667200,59882988
17,0.0029567,0.0030816,0.00292,0.0030533,1563753600,92581872
18,0.0028192,0.0029567,0.002816,0.0029567,1563840000,161810410
19,0.0028741,0.0028819,0.0027629,0.0028195,1563926400,68490381
20,0.0028656,0.0029487,0.0028476,0.0028555,1564012800,149944114
21,0.0028798,0.0029033,0.0028177,0.0028656,1564099200,29517748
22,0.0028047,0.00296,0.0027551,0.00289,1564185600,86758314
23,0.0027932,0.0028137,0.002726,0.0027973,1564272000,49225120
24,0.0027663,0.002884,0.0027637,0.0027884,1564358400,65013586
25,0.0027885,0.00288,0.0027457,0.0027663,1564444800,60008976
26,0.0028583,0.0028761,0.0027889,0.0027949,1564531200,58120004
27,0.0029004,0.0030617,0.0028248,0.0028571,1564617600,85256838
28,0.0028996,0.0029272,0.002861,0.0029004,1564704000,64329108
29,0.0028994,0.002949,0.0028768,0.0028951,1564790400,54942112
30,0.0029222,0.0029985,0.0028424,0.0028999,1564876800,88247046
31,0.0030428,0.0031998,0.0029196,0.0029196,1564963200,213937390
32,0.0029557,0.003084,0.0029124,0.0030443,1565049600,128970146
33,0.0029856,0.0030399,0.0028759,0.0029569,1565136000,116634874
34,0.0029635,0.0029972,0.0028544,0.0029972,1565222400,72936578
35,0.002913,0.0029725,0.0028375,0.0029725,1565308800,53069425
36,0.00285,0.0029432,0.0028085,0.0029211,1565395200,40358430
37,0.0028874,0.0028995,0.0028281,0.00285,1565481600,48121732
38,0.0028516,0.0028999,0.0028455,0.0028893,1565568000,37974663
39,0.0028339,0.0028643,0.0027802,0.0028527,1565654400,47685418
40,0.0027161,0.0028399,0.0027,0.0028343,1565740800,89470204
41,0.0025916,0.0027695,0.0025578,0.002723,1565827200,83406275
42,0.002651,0.002718,0.0025112,0.0025813,1565913600,71483283
43,0.0026251,0.0026632,0.0025778,0.002648,1566000000,48842468
44,0.002695,0.0027214,0.002587,0.0026254,1566086400,101432503
45,0.0027816,0.0028146,0.0026676,0.0026922,1566172800,111202618
46,0.002712,0.002785,0.0026798,0.0027787,1566259200,29889824
47,0.0026398,0.0027153,0.0025633,0.002712,1566345600,67428707
48,0.0026458,0.0027165,0.0025527,0.0026404,1566432000,70942538
49,0.0026668,0.002693,0.0026153,0.0026486,1566518400,49673949
50,0.0026222,0.0026785,0.0025647,0.0026644,1566604800,61164375
51,0.0026237,0.002666,0.002582,0.0026274,1566691200,59937736
52,0.0026409,0.0027048,0.0025931,0.0026192,1566777600,75309430
53,0.0025993,0.00264,0.0025763,0.002637,1566864000,57813268
54,0.0024965,0.0026014,0.0024772,0.0026014,1566950400,73252773
55,0.0024244,0.0024958,0.002339,0.0024956,1567036800,101148551
56,0.0024449,0.0024939,0.0023879,0.0024421,1567123200,37512207
57,0.0024528,0.0024878,0.0024118,0.0024517,1567209600,36338319
58,0.0024603,0.0024851,0.0024109,0.002452,1567296000,35956148
59,0.0025882,0.0026167,0.0024377,0.0024635,1567382400,53572010
60,0.0025593,0.0026054,0.0025313,0.002591,1567468800,64679806
61,0.0025097,0.0025711,0.0025,0.0025647,1567555200,32789886
62,0.0024909,0.0025221,0.0024589,0.0025221,1567641600,44318276
63,0.00247,0.0025054,0.0024,0.0024897,1567728000,81836503
64,0.0024542,0.002507,0.0024029,0.0024504,1567814400,79415288
65,0.0024585,0.0025306,0.0024,0.002465,1567900800,89538969
66,0.0024351,0.0024692,0.0024,0.0024453,1567987200,61000344
67,0.0024185,0.0024612,0.0023849,0.0024351,1568073600,33219768
