,c,h,l,o,t,v
0,0.004149,0.00546,0.003678,0.003724,1579132800,561680733
1,0.003217,0.004524,0.003011,0.004149,1579219200,282987187
2,0.002881,0.003366,0.00285,0.003209,1579305600,113198796
3,0.002546,0.002999,0.002506,0.002881,1579392000,100021821
4,0.002467,0.002639,0.002415,0.002545,1579478400,37650896
5,0.002445,0.002538,0.00233,0.002468,1579564800,64801378
6,0.00244,0.002627,0.002417,0.002444,1579651200,50893691
7,0.002221,0.002508,0.00217,0.002441,1579737600,27372718
8,0.00221,0.002291,0.002078,0.002202,1579824000,31223572
9,0.002189,0.00221,0.002138,0.00221,1579910400,14513262
10,0.002174,0.00226,0.002145,0.002179,1579996800,14469225
11,0.002027,0.002224,0.002008,0.00218,1580083200,31299781
12,0.00194,0.002079,0.001,0.002009,1580169600,98179348
13,0.001922,0.002048,0.00188,0.00193,1580256000,27996609
14,0.00188,0.001949,0.001857,0.001902,1580342400,22213329
15,0.001986,0.0021,0.001862,0.00188,1580428800,82922340
16,0.00197,0.002041,0.001919,0.001984,1580515200,31519854
17,0.001908,0.001988,0.001889,0.001971,1580601600,46856563
18,0.001927,0.00198,0.001868,0.001925,1580688000,23403877
19,0.001941,0.001959,0.001865,0.001923,1580774400,20211355
20,0.001953,0.002066,0.00188,0.001929,1580860800,68392174
21,0.002343,0.002498,0.001917,0.001953,1580947200,135532012
22,0.002275,0.002778,0.002159,0.002323,1581033600,289722599
23,0.002295,0.002352,0.002193,0.002275,1581120000,81975651
