,c,h,l,o,t,v
0,0.2962,0.667,0.2668,0.612,1563753600,15731187.49
1,0.2114,0.3047,0.21,0.2962,1563840000,7079094.07
2,0.1723,0.2234,0.1708,0.214,1563926400,5576418.01
3,0.193,0.2005,0.1702,0.1711,1564012800,5122187.54
4,0.1876,0.212,0.1831,0.1929,1564099200,6203041.17
5,0.1616,0.1926,0.1588,0.1879,1564185600,3676859.0
6,0.1576,0.1706,0.1515,0.1616,1564272000,1765397.45
7,0.1499,0.159,0.1472,0.1576,1564358400,1547377.16
8,0.1476,0.1594,0.142,0.1498,1564444800,2738581.08
9,0.1403,0.1527,0.1355,0.1476,1564531200,1974010.76
10,0.123,0.1418,0.1186,0.1403,1564617600,3355648.64
11,0.1331,0.148,0.1206,0.123,1564704000,5387825.8
12,0.118,0.1373,0.1163,0.133,1564790400,3238782.44
13,0.1117,0.1197,0.1105,0.118,1564876800,2233792.38
14,0.1003,0.1131,0.0984,0.1116,1564963200,4638215.57
15,0.1046,0.1266,0.1,0.1004,1565049600,8749026.05
16,0.1011,0.108,0.0971,0.1051,1565136000,6130613.58
17,0.1485,0.176,0.1012,0.1012,1565222400,62941272.55
18,0.1079,0.1479,0.1071,0.1479,1565308800,17865580.26
19,0.1158,0.1207,0.1015,0.1085,1565395200,8258069.2
20,0.1177,0.1462,0.1149,0.1158,1565481600,19809380.53
21,0.1654,0.1665,0.1178,0.1178,1565568000,22421577.44
22,0.1617,0.1769,0.144,0.1647,1565654400,23512201.88
23,0.1972,0.2233,0.149,0.1616,1565740800,42170552.85
24,0.2335,0.2741,0.1958,0.1986,1565827200,52989156.3
25,0.2589,0.2666,0.202,0.2345,1565913600,44703113.75
26,0.2482,0.2852,0.239,0.258,1566000000,34264625.96
27,0.217,0.256,0.2124,0.2495,1566086400,25082408.54
28,0.1978,0.2224,0.1934,0.2171,1566172800,24540810.99
29,0.2188,0.2272,0.1955,0.1979,1566259200,30073625.01
30,0.1854,0.2222,0.1801,0.2188,1566345600,21087001.72
31,0.1715,0.1854,0.1615,0.1854,1566432000,18439595.18
32,0.1708,0.1836,0.1635,0.1715,1566518400,11425192.8
33,0.1641,0.1808,0.154,0.1708,1566604800,14948738.12
34,0.17,0.1918,0.16,0.1631,1566691200,22973922.73
35,0.154,0.1748,0.1521,0.1714,1566777600,11295863.77
36,0.1581,0.172,0.1492,0.1546,1566864000,16838418.42
37,0.1485,0.1745,0.1466,0.1589,1566950400,16257071.5
