,c,h,l,o,t,v
0,11.4788,12.65,11.28,12.49,1527465600,3494258.32
1,12.1112,12.465,10.7,11.4853,1527552000,6709192.34
2,11.8968,12.82,11.6206,12.1113,1527638400,6514864.18
3,12.2353,12.74,11.8116,11.8712,1527724800,6540020.8
4,12.2048,12.3889,11.8354,12.2351,1527811200,5946136.88
5,14.6976,15.6774,12.1039,12.2143,1527897600,9812623.63
6,14.5304,15.451,14.2266,14.6976,1527984000,5800716.38
7,13.462,14.8424,13.23,14.5304,1528070400,4878116.53
8,14.1996,14.3,12.71,13.4619,1528156800,6430602.84
9,13.9072,14.3,13.3677,14.1978,1528243200,5958713.33
10,14.7207,14.7409,13.6,13.91,1528329600,6061410.77
11,13.9637,14.9,13.55,14.7205,1528416000,2727726.06
12,14.15,15.0015,13.92,13.9794,1528502400,2592900.65
13,11.7313,14.1642,10.98,14.15,1528588800,10540465.95
14,11.7719,11.93,10.61,11.7355,1528675200,8878723.1
15,10.0909,11.78,9.68,11.771,1528761600,9168694.85
16,10.037,10.47,9.12,10.0909,1528848000,10351432.78
17,11.2534,11.7899,9.462,10.0312,1528934400,10052349.0
18,10.6547,11.45,10.5107,11.2534,1529020800,5408054.38
19,10.5254,10.8667,10.16,10.6504,1529107200,6053921.05
20,10.3388,10.75,10.25,10.5254,1529193600,1627761.79
21,10.6791,10.899,10.0963,10.3388,1529280000,10669784.21
22,10.658,10.9693,10.38,10.6738,1529366400,7961229.86
23,10.412,10.7495,10.16,10.6507,1529452800,8798849.05
24,10.4099,10.83,10.2032,10.4077,1529539200,8923799.16
25,8.5198,10.432,8.246,10.4031,1529625600,11547386.83
26,8.4464,8.747,8.068,8.5133,1529712000,8165524.12
27,8.06,8.5153,6.92,8.4464,1529798400,8983446.42
28,8.3358,8.7,7.668,8.0526,1529884800,9612531.13
29,7.576,8.3999,7.5329,8.3357,1529971200,5966985.99
30,7.9942,8.26,7.3878,7.5518,1530057600,9334245.96
31,7.3675,8.087,7.2984,7.995,1530144000,8395130.15
32,7.7438,7.95,7.0804,7.364,1530230400,7661045.91
33,8.127,8.298,7.7346,7.7402,1530316800,9584422.7
34,8.1164,8.2452,7.761,8.1298,1530403200,9547404.62
35,8.9691,9.1744,7.88,8.1136,1530489600,8241723.99
36,8.8336,9.4363,8.6051,8.9665,1530576000,11219476.51
37,8.9064,9.3955,8.7092,8.8336,1530662400,6569646.07
38,8.8328,9.2219,8.6583,8.9097,1530748800,8412873.07
39,8.6303,8.8735,8.288,8.833,1530835200,4527731.38
40,8.8336,8.8931,8.3517,8.6449,1530921600,2062917.31
41,8.6827,8.9801,8.6501,8.8332,1531008000,9139546.76
42,7.7092,8.7165,7.5,8.6826,1531094400,8872131.76
43,7.1196,7.824,7.0503,7.7045,1531180800,6524620.99
44,7.1616,7.3993,6.72,7.1199,1531267200,12859537.82
45,6.9207,7.1704,6.54,7.1668,1531353600,14581793.54
46,6.8921,7.2245,6.6881,6.9208,1531440000,14260068.83
47,6.9237,7.088,6.764,6.8982,1531526400,12584240.6
48,7.4075,7.5346,6.852,6.9268,1531612800,13645106.84
49,8.0899,8.1819,7.2202,7.4026,1531699200,15310182.77
50,8.7826,8.9686,7.83,8.0845,1531785600,15072014.32
51,8.6018,9.37,8.4287,8.783,1531872000,15368313.36
52,8.4175,8.7592,8.1528,8.6015,1531958400,12014171.9
53,7.8583,8.6069,7.711,8.422,1532044800,11299468.79
54,8.0,8.2419,7.572,7.8583,1532131200,8592901.02
55,7.8488,8.27,7.71,7.9939,1532217600,7179671.84
56,7.9353,8.4144,7.7811,7.8461,1532304000,5692633.2
57,8.5871,8.6967,7.7165,7.9336,1532390400,11998912.88
58,8.532,9.1407,8.3385,8.5809,1532476800,14376822.84
59,8.3,8.86,8.19,8.5307,1532563200,13521194.47
60,8.4321,8.5352,8.0,8.298,1532649600,14149475.26
61,8.3523,8.4535,8.12,8.4296,1532736000,12344279.7
62,8.3148,8.477,8.13,8.3501,1532822400,11644873.39
63,7.7421,8.35,7.4,8.3171,1532908800,11922994.36
64,7.3317,7.7464,7.1,7.7303,1532995200,10844162.96
65,7.2176,7.3937,6.88,7.3317,1533081600,9579047.93
66,7.0072,7.3207,6.8707,7.2146,1533168000,8516504.08
67,7.1784,7.2539,6.85,7.0071,1533254400,7840361.16
68,6.9779,7.3194,6.8788,7.1785,1533340800,2585204.18
69,7.0373,7.0889,6.9029,6.9779,1533427200,9206157.48
70,7.0608,7.1602,6.9273,7.0339,1533513600,8405635.46
71,6.5689,7.19,6.501,7.0576,1533600000,9777297.88
72,5.5788,6.569,5.35,6.569,1533686400,13221551.54
73,5.7581,5.9416,5.3988,5.5788,1533772800,12850965.32
74,5.2454,5.8131,5.1606,5.7548,1533859200,13561226.17
75,4.9669,5.3293,4.8152,5.2479,1533945600,13957284.98
76,4.9653,5.1701,4.9002,4.9638,1534032000,11379903.76
77,4.5799,5.17,4.4723,4.9631,1534118400,13437268.88
78,4.5771,4.5885,4.15,4.5818,1534204800,13455331.16
79,4.6208,4.9203,4.48,4.5772,1534291200,13564051.57
80,4.521,4.8119,4.434,4.6208,1534377600,12620729.2
81,5.5834,5.6,4.4866,4.517,1534464000,16303531.19
82,5.0788,5.661,4.82,5.5901,1534550400,9205753.27
83,5.2843,5.4093,4.9374,5.0764,1534636800,4144220.91
84,4.702,5.355,4.6641,5.2854,1534723200,12405439.12
85,4.9098,4.95,4.65,4.702,1534809600,11624179.41
86,4.7144,5.332,4.5203,4.9112,1534896000,14950192.46
87,4.8961,4.9512,4.641,4.711,1534982400,11319765.31
88,5.0416,5.1084,4.771,4.8964,1535068800,12609719.58
89,5.0284,5.0706,4.9038,5.0483,1535155200,11571667.26
90,4.9497,5.048,4.8171,5.0309,1535241600,11920852.34
91,5.392,5.4351,4.9043,4.9457,1535328000,14618857.84
92,5.9165,6.03,5.27,5.3919,1535414400,15445866.35
93,6.1251,6.4802,5.7696,5.9174,1535500800,17756893.76
94,6.064,6.2799,5.7304,6.1252,1535587200,13024568.83
95,6.4025,6.5,5.9171,6.0641,1535673600,15251455.65
96,6.667,6.8116,6.3971,6.4085,1535760000,14560265.7
97,6.6366,6.6962,6.3158,6.667,1535846400,12465241.13
98,6.4649,6.719,6.3834,6.6386,1535932800,11189975.03
99,6.48,6.64,6.3327,6.4668,1536019200,12281351.21
100,5.1511,6.58,5.0952,6.48,1536105600,16739077.82
101,5.2363,5.2656,4.85,5.1498,1536192000,15053327.18
102,5.0515,5.35,4.93,5.2339,1536278400,12515313.61
103,4.745,5.1469,4.63,5.0504,1536364800,12253396.81
104,4.9449,5.1895,4.6501,4.7426,1536451200,14468610.64
105,5.0286,5.12,4.887,4.9449,1536537600,12480946.54
106,4.9865,5.096,4.72,5.0343,1536624000,13071963.25
107,4.945,4.988,4.75,4.9849,1536710400,10668222.16
108,5.38,5.5555,4.923,4.9468,1536796800,15282999.29
109,5.2196,5.536,5.1293,5.3844,1536883200,12062133.24
110,5.3401,5.52,5.21,5.2195,1536969600,10294566.5
111,5.409,5.49,5.1975,5.3399,1537056000,10006590.53
112,4.8398,5.4831,4.6745,5.4069,1537142400,14189706.28
113,5.0565,5.268,4.7719,4.8431,1537228800,11968752.83
114,5.2369,5.3451,4.91,5.0507,1537315200,11557489.81
115,5.7432,5.8582,5.1813,5.2381,1537401600,12196969.94
116,6.1901,6.2732,5.6,5.7432,1537488000,13964071.13
117,5.9481,6.3,5.7611,6.1859,1537574400,6891666.21
118,6.0263,6.1555,5.8104,5.9429,1537660800,7827471.98
119,5.6679,6.0405,5.5882,6.0265,1537747200,6324359.4
120,5.4194,5.6755,5.01,5.6752,1537833600,13107074.59
121,5.55,5.77,5.2301,5.4216,1537920000,13589930.21
122,5.8253,5.9632,5.3464,5.5518,1538006400,13301558.47
123,5.7562,6.0242,5.6581,5.8253,1538092800,13991389.18
124,5.7439,5.8543,5.4521,5.7562,1538179200,11890491.74
125,5.7257,5.916,5.3587,5.7452,1538265600,14404746.48
126,5.7376,5.85,5.5155,5.7259,1538352000,9502063.72
127,5.6163,5.79,5.5344,5.7331,1538438400,11317245.16
128,5.6153,5.689,5.4431,5.6096,1538524800,12220807.4
129,5.8008,5.91,5.6026,5.6153,1538611200,13111708.54
130,5.82,5.9,5.6502,5.8017,1538697600,13095178.01
131,5.73,5.853,5.6666,5.8217,1538784000,14095923.21
132,5.763,5.8,5.6239,5.73,1538870400,13803783.81
133,5.9369,6.0298,5.723,5.7585,1538956800,14268017.55
134,5.9214,5.9817,5.84,5.9369,1539043200,11960473.4
135,5.9197,5.9648,5.81,5.9237,1539129600,12939478.14
136,5.0965,5.9237,5.02,5.9197,1539216000,8380207.78
137,5.199,5.3279,5.0151,5.0965,1539302400,8327490.77
138,5.2948,5.345,5.17,5.1988,1539388800,7431030.63
139,5.2149,5.3439,5.1638,5.3022,1539475200,7676548.92
140,5.5925,6.05,5.1448,5.2105,1539561600,13959008.4
141,5.574,5.6785,5.4991,5.5924,1539648000,6878185.15
142,5.5704,5.6284,5.501,5.5754,1539734400,7355935.41
143,5.4555,5.64,5.35,5.5716,1539820800,7523742.22
144,5.3979,5.485,5.366,5.4555,1539907200,5710435.93
145,5.4534,5.5114,5.3784,5.3921,1539993600,7225211.7
146,5.5125,5.6438,5.4517,5.4559,1540080000,7763496.2
147,5.4704,5.5556,5.44,5.5108,1540166400,4444993.85
148,5.4847,5.5287,5.4077,5.4704,1540252800,1959410.87
149,5.4388,5.52,5.4264,5.4846,1540339200,1569284.58
150,5.4276,5.4678,5.401,5.439,1540425600,1125763.24
151,5.441,5.5063,5.381,5.4279,1540512000,2410054.7
152,5.4192,5.48,5.4,5.4444,1540598400,2659755.4
153,5.4342,5.4639,5.411,5.4191,1540684800,2339153.77
154,5.1563,5.4465,5.0633,5.4343,1540771200,2598869.65
155,5.1451,5.1891,5.11,5.1533,1540857600,1440371.01
0,5.1451,5.1891,5.11,5.1533,1540857600,1440371.01
1,5.2537,5.3175,5.085,5.1422,1540944000,1888942.3
2,5.2827,5.31,5.2291,5.2538,1541030400,1496824.25
3,5.3979,5.4187,5.2854,5.2877,1541116800,1707731.11
4,5.3298,5.405,5.2951,5.3965,1541203200,1351375.85
5,5.5442,5.6153,5.3,5.3276,1541289600,2438189.48
6,5.5051,5.5665,5.4249,5.5443,1541376000,1923200.63
7,5.7781,5.7857,5.491,5.5037,1541462400,2604667.12
8,5.6817,5.84,5.613,5.7809,1541548800,2532908.51
9,5.5246,5.7084,5.505,5.6811,1541635200,2011772.29
10,5.4046,5.5769,5.37,5.523,1541721600,1533390.85
11,5.4279,5.4682,5.3709,5.405,1541808000,749495.23
12,5.4886,5.5198,5.272,5.4278,1541894400,903405.63
13,5.4549,5.527,5.3759,5.4822,1541980800,920877.2
14,5.2976,5.4766,5.156,5.4557,1542067200,1693556.46
15,4.7745,5.3195,4.4595,5.2976,1542153600,6025781.04
16,4.771,4.8141,4.269,4.7738,1542240000,5673654.42
17,4.6027,4.8145,4.5001,4.771,1542326400,2531681.96
18,4.6311,4.651,4.5246,4.6011,1542412800,1607138.12
19,4.6425,4.7173,4.5678,4.6303,1542499200,1450146.07
20,4.13,4.6501,4.015,4.6497,1542585600,6704588.55
21,3.8087,4.258,3.402,4.1299,1542672000,11622620.92
22,3.8568,3.98,3.6234,3.8092,1542758400,6244159.05
23,3.5232,3.916,3.5063,3.8594,1542844800,4326526.21
24,3.6588,3.7392,3.403,3.5305,1542931200,7435123.4
25,3.3063,3.75,3.2,3.6588,1543017600,6796709.46
26,3.405,3.5162,3.04,3.3057,1543104000,12105935.03
27,3.2512,3.4728,3.1204,3.405,1543190400,9249797.24
28,3.0394,3.2564,2.87,3.2531,1543276800,7076036.35
29,3.274,3.3623,3.0408,3.0427,1543363200,6373770.73
30,3.0255,3.3,2.9,3.2753,1543449600,8012933.87
31,2.8921,3.0708,2.7988,3.0243,1543536000,6395295.43
32,2.9404,3.0244,2.824,2.8904,1543622400,3522585.91
33,2.8605,3.015,2.8051,2.9379,1543708800,2898250.12
34,2.5891,2.89,2.5252,2.8628,1543795200,4760372.19
35,2.4503,2.6279,2.3046,2.5912,1543881600,8192843.31
36,2.1895,2.4671,2.1628,2.4493,1543968000,9720596.1
37,1.8438,2.2679,1.8328,2.1901,1544054400,13003062.31
38,1.7271,1.8674,1.528,1.8446,1544140800,18209498.54
39,1.8056,1.9448,1.6124,1.7286,1544227200,16478683.08
40,1.9855,2.1108,1.7216,1.8058,1544313600,15413728.28
41,1.9049,2.058,1.86,1.9869,1544400000,14127134.18
42,1.8318,1.928,1.757,1.9048,1544486400,10371380.29
43,1.9546,2.0289,1.8019,1.8322,1544572800,9502179.87
44,1.8437,1.9785,1.8133,1.9547,1544659200,11501688.07
45,1.818,1.8836,1.7548,1.8441,1544745600,9779462.5
46,1.8855,1.92,1.783,1.8179,1544832000,7634933.36
47,1.904,1.9738,1.8733,1.8839,1544918400,6663434.89
