,c,h,l,o,t,v
0,0.00677,0.03,0.0005,0.0005,1562198400,8289912141
1,0.005706,0.00708,0.005637,0.006815,1562284800,2149919312
2,0.00599,0.0059995,0.0051,0.005706,1562371200,1348510789
3,0.0062428,0.0067,0.0055606,0.0059845,1562457600,1456571365
4,0.0052112,0.0062826,0.0051501,0.0062474,1562544000,1296151177
5,0.0049106,0.0055883,0.0047249,0.0052112,1562630400,1605771720
6,0.0047,0.004928,0.0043116,0.0049105,1562716800,804287083
7,0.0035774,0.0047291,0.0034045,0.0047,1562803200,674595100
8,0.0053596,0.00599,0.0034206,0.0035774,1562889600,5042211113
9,0.0063679,0.007051,0.0051253,0.005362,1562976000,4917063264
10,0.0052989,0.00749,0.00519,0.0063677,1563062400,4213278668
11,0.0045122,0.0055132,0.0045073,0.0053449,1563148800,2408577163
12,0.0036499,0.0051,0.0035144,0.004515,1563235200,2778960641
13,0.004676,0.0049487,0.003618,0.0036417,1563321600,2736854440
14,0.00453,0.00514,0.0041801,0.0046801,1563408000,2576782651
15,0.0043156,0.00463,0.004211,0.0045498,1563494400,817344201
16,0.0044785,0.0047565,0.0042715,0.0043156,1563580800,829309193
17,0.0041968,0.0045989,0.0040473,0.0044791,1563667200,586681856
18,0.0038362,0.004255,0.0037541,0.0042011,1563753600,694430771
19,0.0035673,0.0038423,0.0035,0.0038354,1563840000,811525310
20,0.003635,0.0039418,0.0034501,0.0035673,1563926400,942505478
21,0.0036001,0.0040419,0.0035525,0.0036499,1564012800,643506674
22,0.0036289,0.0038457,0.0036,0.0036001,1564099200,407712843
23,0.003345,0.0037551,0.0033322,0.0036314,1564185600,416819009
24,0.0031748,0.0034355,0.00303,0.003345,1564272000,315704701
25,0.0030822,0.0032959,0.0030706,0.0031719,1564358400,308867600
26,0.0031769,0.0032497,0.0030028,0.0030737,1564444800,462108001
27,0.0031708,0.0033781,0.0031351,0.0031769,1564531200,421100723
28,0.0028,0.003193,0.0027213,0.0031706,1564617600,803211523
29,0.0027924,0.0029449,0.0027,0.0027851,1564704000,680524999
30,0.0028399,0.0029199,0.0027548,0.0027924,1564790400,389921443
31,0.002738,0.002849,0.0027322,0.0028256,1564876800,218982545
32,0.0027465,0.0029782,0.002558,0.0027394,1564963200,869791308
33,0.0030202,0.003538,0.0025618,0.0027465,1565049600,2339257143
34,0.0027499,0.00352,0.0027,0.0030202,1565136000,1614988905
35,0.0026884,0.00283,0.00265,0.0027518,1565222400,854732053
36,0.0022716,0.0026913,0.0022533,0.0026849,1565308800,475163990
37,0.0024013,0.002504,0.0022,0.0022716,1565395200,403035409
38,0.002316,0.00258,0.002276,0.00242,1565481600,428668928
39,0.0025004,0.0025096,0.0023005,0.002316,1565568000,471968739
40,0.002643,0.0026979,0.00233,0.0025002,1565654400,674940091
41,0.0023456,0.0026427,0.0023,0.0026427,1565740800,587622744
42,0.0023502,0.0024242,0.002201,0.0023457,1565827200,271006821
43,0.0023025,0.0024197,0.0022109,0.0023502,1565913600,245962256
44,0.0023139,0.0023422,0.0022501,0.0023026,1566000000,110357065
45,0.0028999,0.00305,0.0022702,0.0022909,1566086400,833660707
46,0.0028505,0.0032997,0.002731,0.0028994,1566172800,1492973109
47,0.0034601,0.00359,0.0027533,0.0028516,1566259200,1313934621
48,0.0029587,0.003578,0.002811,0.0034662,1566345600,1248333584
49,0.002723,0.0029588,0.002593,0.0029587,1566432000,497758451
50,0.0026996,0.00297,0.0026389,0.0027196,1566518400,553375753
51,0.002433,0.0027065,0.00238,0.0026883,1566604800,496204532
52,0.0023879,0.0025025,0.0023529,0.002447,1566691200,244505917
53,0.0022922,0.0024598,0.0022417,0.0023958,1566777600,268632046
54,0.0023551,0.002499,0.0022566,0.0022867,1566864000,400287088
55,0.0020854,0.0024695,0.0020537,0.0023551,1566950400,322986873
