,c,h,l,o,t,v
0,14.6282,16.7999,13.95,16.2,1528761600,744968.58
1,13.8499,14.9731,12.813,14.7,1528848000,781129.3
2,14.0624,14.3409,13.15,13.8003,1528934400,682270.16
3,13.82,14.0748,13.5555,14.0662,1529020800,486000.73
4,14.44,14.88,13.7599,13.82,1529107200,663787.16
5,14.2399,14.6432,14.0727,14.4291,1529193600,535906.2
6,15.0902,15.62,13.971,14.2399,1529280000,615447.91
7,15.6025,15.9448,15.0,15.1096,1529366400,586508.69
8,17.35,17.451,14.715,15.6025,1529452800,779691.09
9,17.5826,17.86,16.5037,17.32,1529539200,953254.49
10,14.48,17.6825,14.11,17.5826,1529625600,1295188.37
11,14.753,15.1213,14.13,14.4848,1529712000,518777.36
12,14.792,15.4514,13.0182,14.7693,1529798400,841002.42
13,15.85,16.0999,14.4705,14.7802,1529884800,644026.9
14,14.8447,15.999,14.7,15.85,1529971200,708799.86
15,15.4501,15.6399,14.18,14.8203,1530057600,1004615.03
16,14.5421,15.6699,14.3731,15.4512,1530144000,1125501.57
17,15.2534,15.55,14.21,14.5309,1530230400,1110916.87
18,16.1571,16.8529,15.2101,15.2546,1530316800,1132170.79
19,16.0358,16.45,15.54,16.165,1530403200,733989.26
20,16.6514,17.04,15.6,16.0017,1530489600,921193.92
21,16.1401,17.1671,16.022,16.6613,1530576000,888958.93
22,16.8426,17.495,16.0254,16.1896,1530662400,662602.99
23,17.4,17.4345,16.66,16.8599,1530748800,802679.24
24,18.327,18.4678,16.8048,17.405,1530835200,1383266.95
25,18.6621,18.7901,17.4158,18.34,1530921600,916164.84
26,18.3447,18.98,18.1207,18.6505,1531008000,740441.41
27,18.1567,18.75,18.0995,18.2921,1531094400,738773.85
28,16.05,18.2498,16.02,18.1766,1531180800,1140799.43
29,16.44,16.7214,15.6504,16.0791,1531267200,902667.55
30,16.3326,16.4512,15.67,16.4511,1531353600,770853.48
31,16.27,16.85,16.056,16.3651,1531440000,909976.41
32,16.3634,16.7434,16.0622,16.243,1531526400,595782.12
33,16.6365,16.92,16.2507,16.3665,1531612800,674323.49
34,17.384,17.5396,16.5247,16.6366,1531699200,844366.14
35,17.92,18.3,16.8803,17.3301,1531785600,1063152.13
36,17.3411,18.4396,17.04,17.9032,1531872000,1226583.46
37,17.3844,17.9556,17.0364,17.3288,1531958400,809263.5
38,16.1008,17.65,15.73,17.3935,1532044800,847104.73
39,16.3356,16.7019,15.7701,16.1009,1532131200,723326.2
40,16.1449,16.5658,16.0,16.3106,1532217600,798029.77
41,16.0477,16.76,15.85,16.15,1532304000,671705.72
42,16.5948,16.8299,15.72,16.0476,1532390400,760401.03
43,16.5352,16.9085,16.12,16.5752,1532476800,519882.57
44,16.66,17.4679,16.294,16.5405,1532563200,751866.16
45,17.0736,17.23,16.31,16.6599,1532649600,902071.25
46,17.0143,17.4,16.6028,17.0844,1532736000,881786.95
47,16.8879,17.15,16.683,17.0143,1532822400,825160.08
48,17.118,17.4,16.6001,16.8955,1532908800,1067099.79
49,16.185,17.1625,15.8135,17.1354,1532995200,926336.02
50,15.4773,16.32,14.9442,16.18,1533081600,978358.27
51,14.9281,15.6,14.5313,15.4731,1533168000,1109087.46
52,16.5698,17.65,14.1206,14.914,1533254400,1849257.81
53,16.4573,16.9553,15.83,16.5698,1533340800,1562769.54
54,17.687,17.85,16.21,16.4572,1533427200,1485329.11
55,18.7005,18.7899,17.1273,17.6869,1533513600,2117990.67
56,17.3,20.8016,16.66,18.7005,1533600000,4712762.71
57,15.1413,17.3001,14.51,17.3001,1533686400,2983380.94
58,15.0176,15.4707,14.2981,15.1499,1533772800,1630680.22
59,14.2569,15.33,14.03,15.0176,1533859200,839857.7
60,13.1436,14.2871,12.4003,14.2567,1533945600,952822.39
61,13.1844,13.6342,12.8,13.1985,1534032000,628718.55
62,11.9,13.45,11.8508,13.1891,1534118400,2306175.13
63,11.77,11.9687,10.0881,11.9,1534204800,2621615.0
64,13.2459,13.75,11.5842,11.77,1534291200,2886277.83
65,13.8966,14.95,12.8287,13.2001,1534377600,4114710.24
66,14.4524,14.587,12.81,13.8966,1534464000,4232142.04
67,13.1793,14.5772,12.5158,14.4653,1534550400,3060704.47
68,13.3035,13.7826,12.817,13.1566,1534636800,2466991.27
69,12.3703,13.5427,12.1785,13.3036,1534723200,2496132.99
70,12.732,12.87,12.2026,12.3931,1534809600,2552094.99
71,12.1713,13.47,11.8379,12.7472,1534896000,2966351.0
72,12.4789,12.6373,12.099,12.1884,1534982400,2473580.96
73,12.5709,12.6,12.25,12.4824,1535068800,1254787.95
74,12.505,12.8,12.3499,12.5447,1535155200,1247493.31
75,12.4457,12.671,12.03,12.5125,1535241600,1255325.35
76,12.7227,12.7401,12.267,12.4404,1535328000,1611242.3
77,13.1837,13.3997,12.6049,12.7002,1535414400,1784436.68
78,12.996,13.2952,12.7609,13.1803,1535500800,1608205.41
79,12.848,13.0768,12.4268,12.996,1535587200,1415488.69
80,12.7411,14.2,12.3184,12.844,1535673600,1501368.3
81,13.1736,13.4059,12.7259,12.7398,1535760000,1529867.66
82,13.4031,13.4566,12.9722,13.1793,1535846400,1291883.92
83,14.0611,14.5652,13.4031,13.4032,1535932800,2169868.14
84,13.9819,14.28,13.6973,14.0611,1536019200,1252213.82
85,11.7599,14.0812,11.7069,13.9895,1536105600,1567556.31
86,11.9851,12.0758,11.1133,11.7761,1536192000,1385549.46
87,11.5867,12.2512,11.4,11.986,1536278400,1222935.57
88,10.9721,11.8513,10.6667,11.5642,1536364800,1234279.35
89,11.21,11.6474,10.8409,10.9591,1536451200,1185524.75
90,11.3064,11.4999,10.9223,11.2134,1536537600,1281613.77
91,11.2605,11.51,10.8412,11.3065,1536624000,1499231.77
92,10.7222,11.3149,10.14,11.2675,1536710400,1379943.42
93,11.1085,11.3223,10.685,10.7223,1536796800,1535626.82
94,10.9416,11.3875,10.8548,11.0791,1536883200,1435254.55
95,11.28,11.5799,10.91,10.9517,1536969600,1139800.2
96,11.2048,11.3094,10.9201,11.2713,1537056000,1178924.23
97,10.28,11.3175,10.0328,11.2048,1537142400,1392414.46
98,10.5548,10.8176,10.2191,10.2847,1537228800,1214597.87
99,10.7821,11.2379,10.2349,10.5605,1537315200,1332153.15
100,11.14,11.29,10.57,10.792,1537401600,1363010.07
101,11.7085,11.8007,11.01,11.1505,1537488000,1824616.39
102,11.4491,11.9,11.1751,11.6988,1537574400,942330.23
103,11.6,11.7914,11.3718,11.4479,1537660800,1297327.21
104,11.0405,11.6236,10.9601,11.6102,1537747200,1317244.13
105,11.11,11.35,10.3842,11.0449,1537833600,1305713.35
106,10.9619,11.3387,10.8172,11.11,1537920000,1185836.9
107,11.4479,11.5892,10.75,10.974,1538006400,1169995.22
108,11.2481,11.6223,11.088,11.4498,1538092800,1286847.69
109,11.3992,11.4781,10.9821,11.254,1538179200,961707.54
110,11.3203,11.4531,11.1351,11.4101,1538265600,1137539.88
111,11.2504,11.42,11.0502,11.3301,1538352000,814989.53
112,11.163,11.388,11.125,11.2381,1538438400,1096915.05
113,11.141,11.2249,10.848,11.1568,1538524800,1207844.1
114,11.0936,11.2465,11.0055,11.141,1538611200,655528.42
115,11.0963,11.22,10.9799,11.0961,1538697600,758350.42
116,10.9652,11.1296,10.8516,11.0901,1538784000,159131.07
117,10.95,11.0502,10.6666,10.9652,1538870400,110952.91
118,11.0077,11.0916,10.8587,10.9558,1538956800,198996.67
119,10.9509,11.0207,10.85,11.0094,1539043200,111108.81
120,10.9023,10.9553,10.72,10.9508,1539129600,187868.81
