,c,h,l,o,t,v
0,1.1157,1.12,1.1126,1.1154,1578009600,59792.54
1,1.116,1.1192,1.1153,1.1179,1578096000,41718.81
2,1.1162,1.1188,1.1154,1.1187,1578182400,59930.02
3,1.1179,4.95,1.1155,1.1162,1578268800,119105.93
4,1.1174,1.1248,1.1131,1.1211,1578355200,383817.69
5,1.1127,1.1184,1.1094,1.1173,1578441600,85646.17
6,1.1094,1.1136,1.1083,1.1127,1578528000,126925.6
7,1.1138,1.1138,1.1086,1.1098,1578614400,45842.15
8,1.1108,1.1145,1.1101,1.1107,1578700800,27377.25
9,1.1131,1.1147,1.1099,1.1108,1578787200,32363.69
10,1.1124,1.1168,1.1099,1.1099,1578873600,85846.44
11,1.1134,1.116,1.1094,1.1152,1578960000,228294.13
12,1.1175,1.119,1.11,1.1112,1579046400,167088.36
13,1.1134,1.1207,1.1134,1.1177,1579132800,68198.16
14,1.1091,1.1174,1.1085,1.1131,1579219200,130798.75
15,1.1078,1.1132,1.1076,1.1089,1579305600,116342.22
16,1.1111,1.1141,1.1076,1.1078,1579392000,219820.73
17,1.1102,1.1145,1.1081,1.1111,1579478400,54954.48
18,1.1094,1.116,1.1094,1.1105,1579564800,79701.8
19,1.1146,1.1149,1.1094,1.1122,1579651200,36737.98
20,1.109,1.1168,1.1071,1.1118,1579737600,85767.87
21,1.1034,1.1097,1.103,1.109,1579824000,66388.66
22,1.1055,1.1084,1.1033,1.1038,1579910400,50459.45
23,1.1048,1.1088,1.1038,1.1039,1579996800,61387.06
24,1.1028,1.1082,1.1025,1.1068,1580083200,59723.86
25,1.101,1.1068,1.101,1.1059,1580169600,134059.81
26,1.1019,1.1052,1.1002,1.1047,1580256000,160429.8
27,1.1033,1.1072,1.1021,1.1021,1580342400,181767.5
28,1.1097,1.1114,1.103,1.1031,1580428800,99257.85
29,1.1117,1.1123,1.1087,1.1113,1580515200,25182.22
30,1.1089,1.112,1.108,1.1089,1580601600,58927.05
31,1.1088,1.1113,1.1061,1.1085,1580688000,86531.03
32,1.1086,1.1125,1.1052,1.1088,1580774400,86131.08
33,1.0989,1.1086,1.0975,1.1086,1580860800,148387.37
34,1.1,1.1046,1.0968,1.0989,1580947200,149707.56
35,1.0984,1.1022,1.0953,1.1007,1581033600,102231.66
36,1.0926,1.0983,1.0926,1.0953,1581120000,80242.07
