,c,h,l,o,t,v
0,0.0324,0.045,0.03,0.0359,1560211200,767242774.6
1,0.03218,0.03366,0.0308,0.03235,1560297600,278893018.3
2,0.03009,0.036,0.02932,0.0322,1560384000,365016984.2
3,0.02737,0.03108,0.02529,0.03015,1560470400,231865238.2
4,0.0268,0.03006,0.02563,0.02737,1560556800,159700618.5
5,0.0268,0.02749,0.02564,0.02701,1560643200,114728166.1
6,0.02666,0.02895,0.026,0.02677,1560729600,206962426.1
7,0.02728,0.028,0.02568,0.02666,1560816000,107203322.7
8,0.0279,0.02999,0.02733,0.02736,1560902400,134345366.4
9,0.02633,0.02845,0.02525,0.0279,1560988800,103437851.9
10,0.02377,0.0265,0.02333,0.02634,1561075200,123533843.9
11,0.02358,0.02522,0.02268,0.0237,1561161600,133486400.8
12,0.0229,0.025,0.0224,0.02358,1561248000,69080010.9
13,0.02302,0.02344,0.02242,0.0229,1561334400,37475061.6
14,0.02156,0.02313,0.02132,0.02295,1561420800,56001929.0
15,0.0224,0.02341,0.02101,0.02156,1561507200,99470048.1
16,0.02278,0.02679,0.02159,0.0223,1561593600,211512920.8
17,0.0249,0.02496,0.02231,0.0228,1561680000,57774782.1
18,0.02651,0.02928,0.0236,0.0249,1561766400,215022913.0
19,0.02592,0.02884,0.02573,0.02648,1561852800,77715591.8
20,0.02556,0.02989,0.0243,0.02595,1561939200,111483531.7
21,0.02525,0.02617,0.023,0.02556,1562025600,105371488.6
22,0.03045,0.03351,0.025,0.02525,1562112000,235893686.4
23,0.02735,0.03268,0.02585,0.03037,1562198400,118502113.8
24,0.02751,0.02947,0.0262,0.02735,1562284800,47838999.1
25,0.02576,0.02788,0.02568,0.02751,1562371200,32324821.8
26,0.02504,0.02674,0.02477,0.02576,1562457600,34923925.7
27,0.02313,0.02533,0.02263,0.02504,1562544000,70924846.7
28,0.02426,0.0265,0.02269,0.02312,1562630400,86308674.9
29,0.02388,0.0255,0.023,0.02424,1562716800,64831711.4
30,0.02452,0.02557,0.02218,0.024,1562803200,55554605.4
31,0.02477,0.02764,0.02383,0.0244,1562889600,70171757.6
32,0.02488,0.0267,0.0235,0.02493,1562976000,45522906.6
33,0.0216,0.02577,0.02151,0.02501,1563062400,41976469.8
34,0.02209,0.0232,0.0192,0.02156,1563148800,54219704.6
35,0.01809,0.02273,0.018,0.02208,1563235200,37286898.2
36,0.0204,0.02171,0.01732,0.01809,1563321600,56027723.5
37,0.02095,0.02142,0.0188,0.0204,1563408000,71789677.6
38,0.02092,0.02146,0.02022,0.021,1563494400,21629768.0
39,0.02132,0.02187,0.02003,0.02089,1563580800,32346211.1
40,0.02082,0.02139,0.02013,0.02132,1563667200,14504782.8
41,0.02183,0.02256,0.02053,0.02072,1563753600,33411246.6
42,0.02033,0.02226,0.0192,0.02183,1563840000,34808375.0
43,0.02211,0.02231,0.01964,0.02023,1563926400,31555084.0
44,0.02267,0.02404,0.02173,0.02207,1564012800,44095844.9
45,0.02374,0.02478,0.02175,0.02267,1564099200,26493156.6
46,0.02492,0.02598,0.02314,0.02377,1564185600,53607495.4
47,0.02551,0.02578,0.02315,0.02492,1564272000,41494563.5
48,0.02457,0.02639,0.02434,0.02552,1564358400,46512559.4
