,c,h,l,o,t,v
0,2.155,2.218,1.94,1.94,1576800000,1168998.116
1,2.149,2.157,2.136,2.153,1576886400,112274.121
2,2.275,2.275,2.137,2.146,1576972800,1324239.891
3,2.191,2.303,2.173,2.277,1577059200,1644144.833
4,2.161,2.201,2.138,2.187,1577145600,136824.262
5,2.141,2.165,2.138,2.159,1577232000,40658.758
6,2.141,2.194,2.139,2.14,1577318400,89310.288
7,2.149,2.172,2.139,2.141,1577404800,182638.672
8,2.181,2.188,2.15,2.15,1577491200,57643.714
9,2.21,2.249,2.167,2.176,1577577600,47632.036
10,2.167,2.211,2.151,2.208,1577664000,58259.427
11,2.144,2.186,2.142,2.154,1577750400,89816.753
12,2.144,2.162,2.141,2.147,1577836800,36912.453
13,2.142,2.152,2.142,2.144,1577923200,137785.552
14,2.204,2.233,2.14,2.143,1578009600,153597.542
15,2.164,2.206,2.157,2.201,1578096000,37466.666
16,2.139,2.2,2.135,2.174,1578182400,47776.802
17,2.183,2.191,2.136,2.138,1578268800,106516.456
18,2.166,2.241,2.129,2.186,1578355200,533551.662
19,2.176,2.202,2.134,2.161,1578441600,938394.078
20,2.161,2.173,2.135,2.173,1578528000,256197.946
21,2.228,2.24,2.134,2.159,1578614400,318059.44
22,2.147,2.234,2.135,2.234,1578700800,251332.158
23,2.183,2.198,2.133,2.143,1578787200,182071.045
24,2.155,2.182,2.14,2.182,1578873600,96535.739
25,2.176,2.215,2.143,2.15,1578960000,554663.894
26,2.367,2.368,2.15,2.172,1579046400,1162491.233
27,2.4,2.4,2.287,2.369,1579132800,399721.104
28,2.386,2.481,2.04,2.396,1579219200,496915.663
29,2.377,2.423,2.334,2.387,1579305600,294660.645
30,2.284,2.434,2.235,2.371,1579392000,393618.589
31,2.266,2.291,2.203,2.285,1579478400,202402.67
32,2.351,2.352,2.262,2.266,1579564800,319955.988
33,2.315,2.362,2.287,2.349,1579651200,238303.247
34,2.236,2.321,2.18,2.321,1579737600,775805.994
35,2.256,2.286,2.194,2.23,1579824000,99776.007
36,2.224,2.259,2.205,2.259,1579910400,71731.297
37,2.284,2.29,2.202,2.21,1579996800,315855.281
38,2.372,2.403,2.288,2.291,1580083200,364527.396
39,2.446,2.446,2.334,2.376,1580169600,647069.833
40,2.348,2.453,2.344,2.446,1580256000,585261.564
41,2.404,2.421,2.318,2.346,1580342400,598076.834
42,2.367,2.408,2.32,2.406,1580428800,236684.171
43,2.351,2.39,2.329,2.371,1580515200,72233.199
44,2.318,2.37,2.294,2.336,1580601600,177414.62
45,2.302,2.384,2.262,2.315,1580688000,679124.691
46,2.248,2.318,2.209,2.301,1580774400,336790.599
47,2.342,2.388,2.239,2.248,1580860800,492942.409
48,2.413,2.42,2.322,2.344,1580947200,363845.15
49,2.388,2.448,2.35,2.413,1581033600,600270.383
50,2.382,2.408,2.338,2.383,1581120000,120003.264
