,c,h,l,o,t,v
0,0.003028,0.004,0.002892,0.0034,1566864000,10506434
1,0.00276,0.003546,0.002662,0.003022,1566950400,37835019
2,0.002454,0.002757,0.002425,0.002757,1567036800,9671985
3,0.002503,0.002532,0.00243,0.002455,1567123200,7174832
4,0.002695,0.002827,0.002503,0.002503,1567209600,20789236
5,0.002648,0.00279,0.002577,0.002697,1567296000,10542570
6,0.002666,0.002724,0.002599,0.002612,1567382400,3429671
7,0.002664,0.002722,0.002501,0.002665,1567468800,10271117
8,0.002582,0.002678,0.002549,0.002676,1567555200,2934081
9,0.002419,0.002574,0.002367,0.002541,1567641600,13570241
10,0.0024,0.00252,0.002352,0.002381,1567728000,4357801
11,0.002646,0.002746,0.002352,0.002388,1567814400,6853237
12,0.002585,0.00265,0.002478,0.00265,1567900800,2751154
13,0.002882,0.003448,0.002436,0.002555,1567987200,31196870
14,0.00271,0.003034,0.0027,0.002882,1568073600,25375960
15,0.00271,0.00279,0.002579,0.002739,1568160000,8916457
16,0.002826,0.003022,0.002594,0.002705,1568246400,18584862
17,0.00299,0.003022,0.002707,0.002831,1568332800,9879064
18,0.002977,0.003018,0.002882,0.002927,1568419200,2515478
19,0.003009,0.003009,0.002882,0.002977,1568505600,5163362
20,0.003027,0.003134,0.002882,0.003003,1568592000,7725604
21,0.003297,0.003782,0.002798,0.003028,1568678400,21328749
22,0.003427,0.003725,0.003039,0.003305,1568764800,21525341
23,0.003612,0.003628,0.003211,0.003427,1568851200,10783330
24,0.003888,0.00504,0.003405,0.003569,1568937600,27358169
25,0.003835,0.0042,0.003747,0.003889,1569024000,28435083
26,0.003371,0.003837,0.003297,0.003837,1569110400,23084873
27,0.003016,0.003431,0.00287,0.00343,1569196800,17541115
28,0.002724,0.003139,0.002275,0.002965,1569283200,21489046
29,0.002927,0.003193,0.002669,0.002722,1569369600,19481913
30,0.002921,0.0031,0.002737,0.002897,1569456000,13719934
31,0.003039,0.003185,0.002771,0.002915,1569542400,15803025
32,0.00328,0.00342,0.003039,0.003039,1569628800,18949602
33,0.00346,0.0035,0.003123,0.003279,1569715200,12715113
34,0.0039,0.004109,0.003279,0.003461,1569801600,25455268
35,0.003852,0.004062,0.003599,0.00388,1569888000,19711185
36,0.00391,0.003995,0.003717,0.003852,1569974400,8543889
37,0.003881,0.004215,0.003662,0.003884,1570060800,30192836
38,0.003783,0.004095,0.003704,0.003865,1570147200,19537671
39,0.003835,0.003891,0.003777,0.003782,1570233600,1890623
40,0.003572,0.003845,0.003242,0.003844,1570320000,6341057
41,0.003983,0.003989,0.003495,0.003537,1570406400,8828797
42,0.004156,0.004324,0.003901,0.003971,1570492800,16008137
43,0.004326,0.004405,0.00394,0.004161,1570579200,31745807
44,0.004235,0.004354,0.004134,0.004333,1570665600,4377780
45,0.004013,0.004289,0.003998,0.00417,1570752000,5182664
46,0.004082,0.00412,0.00398,0.004026,1570838400,4295953
47,0.003992,0.004103,0.00395,0.004034,1570924800,7606964
48,0.004022,0.004064,0.003848,0.003951,1571011200,8082632
49,0.003832,0.004047,0.0038,0.004021,1571097600,5282363
50,0.003589,0.003833,0.003411,0.003831,1571184000,10389667
51,0.003596,0.003805,0.003505,0.003535,1571270400,12294286
52,0.003497,0.003637,0.00346,0.003595,1571356800,4750010
53,0.003346,0.003499,0.003301,0.003492,1571443200,4664891
54,0.003504,0.003546,0.00331,0.003346,1571529600,7328161
55,0.003542,0.003565,0.003481,0.003503,1571616000,3212950
56,0.003351,0.003541,0.003326,0.003541,1571702400,7840230
57,0.003106,0.003362,0.00301,0.003339,1571788800,7884849
58,0.003227,0.003269,0.003008,0.003078,1571875200,9972948
59,0.00349,0.003542,0.003149,0.003228,1571961600,14675339
