,c,h,l,o,t,v
0,0.03556,0.044,0.03103,0.03103,1569715200,25899875.5
1,0.0378,0.04745,0.03481,0.03555,1569801600,40937695.7
2,0.03876,0.04,0.03692,0.03799,1569888000,16982421.3
3,0.0375,0.03967,0.03553,0.0389,1569974400,8858024.3
4,0.0375,0.04025,0.03557,0.0375,1570060800,8395022.7
5,0.0386,0.039,0.03622,0.03744,1570147200,5552424.0
6,0.04193,0.04236,0.03829,0.0386,1570233600,13216832.4
7,0.03804,0.0426,0.03736,0.04177,1570320000,6661246.3
8,0.03813,0.03934,0.03604,0.03804,1570406400,9975507.9
9,0.03888,0.0393,0.03712,0.03823,1570492800,5082658.0
10,0.03891,0.04001,0.03839,0.03888,1570579200,5369584.9
11,0.03835,0.0391,0.03697,0.03909,1570665600,5553539.6
12,0.03595,0.03815,0.03523,0.03815,1570752000,7197048.8
13,0.0351,0.03625,0.03449,0.03597,1570838400,4681412.7
14,0.03306,0.03548,0.03299,0.03513,1570924800,2829724.0
15,0.03698,0.03827,0.03236,0.03307,1571011200,10931050.7
16,0.03762,0.04099,0.03568,0.03691,1571097600,10069985.5
17,0.03757,0.03873,0.035,0.03771,1571184000,10018103.8
18,0.03508,0.03743,0.03381,0.03743,1571270400,8252817.3
19,0.03391,0.03609,0.03336,0.03508,1571356800,8054778.0
20,0.03344,0.03425,0.03288,0.03375,1571443200,3835529.8
21,0.03321,0.03416,0.03266,0.03374,1571529600,4002699.9
22,0.03324,0.03454,0.03287,0.03324,1571616000,3050588.8
23,0.03154,0.0337,0.03147,0.0333,1571702400,10678714.4
24,0.02796,0.0317,0.027,0.03154,1571788800,19126102.1
25,0.02848,0.0305,0.02677,0.02802,1571875200,8276778.6
26,0.03061,0.03128,0.02801,0.02861,1571961600,11756033.4
27,0.03049,0.03333,0.02886,0.03082,1572048000,11447374.7
28,0.0318,0.03256,0.02908,0.03039,1572134400,5148071.7
29,0.03168,0.0336,0.03032,0.03195,1572220800,8653756.6
30,0.03404,0.03462,0.03144,0.03179,1572307200,7673860.8
31,0.03272,0.0341,0.03198,0.03404,1572393600,7791843.3
32,0.0332,0.03391,0.03154,0.03295,1572480000,5026196.8
