,c,h,l,o,t,v
0,1.5935,1.978,1.5,1.57,1569369600,5087.6
1,1.6343,1.7516,1.4687,1.6213,1569456000,7888.08
2,1.6255,1.665,1.5532,1.6,1569542400,12703.51
3,1.6316,1.6542,1.5959,1.6266,1569628800,16320.24
4,1.6142,1.6508,1.5322,1.6327,1569715200,11694.08
5,1.6481,1.6826,1.5246,1.6176,1569801600,18222.81
6,1.6347,1.7232,1.2021,1.6604,1569888000,30119.74
7,1.6562,1.6583,1.6001,1.6354,1569974400,13330.33
8,1.6479,1.6857,1.5848,1.6556,1570060800,16158.76
9,1.6252,1.651,1.591,1.648,1570147200,17537.36
10,1.5815,1.6239,1.5661,1.6239,1570233600,15661.68
11,1.5242,1.5899,1.509,1.5815,1570320000,16443.96
12,1.6085,1.6273,1.5099,1.5243,1570406400,28122.41
13,1.5858,1.6509,1.5609,1.6093,1570492800,22960.17
14,1.6301,1.6509,1.5439,1.5834,1570579200,45747.1
15,1.5864,1.6345,1.5682,1.6301,1570665600,20702.12
16,1.5245,1.6064,1.5237,1.5864,1570752000,20652.48
17,1.5205,2.0,1.5162,1.5243,1570838400,49855.66
18,1.497,1.5363,1.4902,1.52,1570924800,22983.19
19,1.4766,1.504,1.4519,1.4972,1571011200,24720.74
20,1.483,1.54,1.4231,1.4777,1571097600,50216.41
21,1.42,1.5075,1.358,1.4836,1571184000,23450.86
22,1.4604,1.48,1.3827,1.42,1571270400,31118.53
23,1.4032,1.475,1.3575,1.4608,1571356800,22349.93
24,1.4122,1.4258,1.3866,1.4034,1571443200,19939.05
25,1.4078,1.4245,1.3772,1.4141,1571529600,21313.15
26,1.3956,1.4243,1.3776,1.4079,1571616000,18339.45
27,1.398,1.6622,1.3495,1.3955,1571702400,95389.76
28,1.2671,1.4302,1.2283,1.3974,1571788800,42012.69
29,1.3086,1.3212,1.2519,1.2687,1571875200,12139.89
30,1.424,1.4294,1.2478,1.3095,1571961600,67582.54
31,1.4024,1.5927,1.3818,1.4219,1572048000,51393.89
32,1.7495,1.8476,1.3765,1.4025,1572134400,107824.08
33,1.7542,2.3419,1.7053,1.7539,1572220800,245283.69
34,1.7625,1.81,1.6743,1.7475,1572307200,140767.0
35,1.6837,1.7792,1.6254,1.7743,1572393600,131941.93
36,1.7403,1.8148,1.6131,1.6841,1572480000,139027.27
37,1.8097,1.9147,1.5674,1.7405,1572566400,190941.04
