,c,h,l,o,t,v
0,0.0014588,0.00166,0.0013906,0.0015269,1550448000,1519125015
1,0.001413,0.0015468,0.001352,0.0014588,1550534400,1140360780
2,0.0014015,0.0014659,0.0013809,0.001413,1550620800,498650681
3,0.0013452,0.001417,0.00132,0.0014016,1550707200,808662706
4,0.00137,0.0013896,0.0013206,0.0013527,1550793600,538426465
5,0.0013545,0.001411,0.001311,0.001367,1550880000,869102237
6,0.0011278,0.001411,0.0011277,0.0013576,1550966400,1814003244
7,0.0011936,0.00129,0.0011189,0.0011278,1551052800,1040588284
8,0.001161,0.00123,0.0011284,0.0011942,1551139200,620031488
9,0.0010878,0.001184,0.0010316,0.0011608,1551225600,1362081959
10,0.0010726,0.0011211,0.001054,0.0010936,1551312000,881374321
11,0.0010848,0.00111,0.00106,0.0010772,1551398400,685186804
12,0.0011446,0.001213,0.0010816,0.0010848,1551484800,1984948139
13,0.0010766,0.00115,0.001064,0.0011445,1551571200,757766312
14,0.001011,0.001088,0.00099,0.0010779,1551657600,875081377
15,0.0010836,0.0011138,0.0009901,0.0010166,1551744000,1138143208
16,0.0010412,0.0010994,0.0010333,0.0010836,1551830400,629156433
17,0.00103,0.0010582,0.001,0.0010412,1551916800,1098079249
18,0.0010691,0.0011769,0.0010222,0.0010314,1552003200,2266359141
19,0.0010988,0.0011295,0.0010506,0.0010721,1552089600,1023041849
20,0.001094,0.001113,0.0010548,0.0010952,1552176000,697312202
21,0.0010513,0.001113,0.0010321,0.001095,1552262400,869328625
22,0.0010526,0.001071,0.0010261,0.0010501,1552348800,819032544
23,0.0010465,0.0010807,0.00104,0.0010526,1552435200,648906239
24,0.0010462,0.0010618,0.0010262,0.0010469,1552521600,566887112
25,0.0011583,0.0011673,0.0010461,0.001047,1552608000,918822856
26,0.001255,0.001349,0.001143,0.0011672,1552694400,3930560093
27,0.001173,0.0012548,0.0011465,0.0012548,1552780800,1432269776
28,0.0011511,0.001206,0.0011253,0.0011713,1552867200,918483781
29,0.0011648,0.00118,0.001139,0.0011537,1552953600,497998566
30,0.0012186,0.0012257,0.0011585,0.0011633,1553040000,968227601
31,0.0011657,0.0012359,0.0011131,0.0012121,1553126400,886789561
32,0.0011978,0.0012151,0.0011591,0.0011685,1553212800,454113952
33,0.0011679,0.0012,0.00116,0.0011976,1553299200,549160566
34,0.0011555,0.001174,0.0011296,0.001168,1553385600,795220308
35,0.0011012,0.0011593,0.0010929,0.001154,1553472000,801516466
36,0.0010894,0.0011195,0.0010615,0.0011012,1553558400,576232965
37,0.0011103,0.0011145,0.0010775,0.0010867,1553644800,726608516
38,0.0011425,0.0011885,0.001102,0.0011072,1553731200,955612846
39,0.0011542,0.0011615,0.0011315,0.0011406,1553817600,468071254
40,0.0011476,0.0011669,0.0011302,0.001153,1553904000,492135895
41,0.0011533,0.0011609,0.0011404,0.0011482,1553990400,324186729
42,0.0011506,0.0011751,0.0011403,0.0011538,1554076800,560346902
43,0.001245,0.00126,0.0011444,0.0011564,1554163200,1774356102
44,0.0012301,0.0013265,0.0011939,0.0012459,1554249600,2339757491
45,0.0012263,0.0013037,0.0011971,0.0012393,1554336000,734330345
46,0.0013184,0.0013184,0.0012084,0.0012263,1554422400,1366496178
47,0.0013174,0.0013575,0.0012617,0.0013184,1554508800,1757615688
48,0.00132,0.0013391,0.0012875,0.001319,1554595200,691608573
49,0.0013061,0.0013514,0.00126,0.0013172,1554681600,1113988530
50,0.0012884,0.00131,0.0012601,0.0013001,1554768000,477611839
51,0.0013079,0.0013197,0.001266,0.0012943,1554854400,692916822
52,0.0012404,0.00131,0.001159,0.0013082,1554940800,1094274400
53,0.00121,0.0012451,0.0011851,0.001238,1555027200,468030341
54,0.0012269,0.0012399,0.0011982,0.0012099,1555113600,265274321
55,0.001245,0.0012479,0.0012095,0.0012266,1555200000,307686106
56,0.0012442,0.0013193,0.0012251,0.0012451,1555286400,1208022669
57,0.0013242,0.0013249,0.0012409,0.001241,1555372800,802456575
58,0.0014789,0.0015385,0.001317,0.0013242,1555459200,3746404531
59,0.0014265,0.001515,0.0014,0.0014789,1555545600,2007959719
60,0.0014019,0.001438,0.001365,0.0014319,1555632000,951368076
