,c,h,l,o,t,v
0,1.9792,2.07,1.75,1.9525,1528848000,3750404.56
1,2.2988,2.3986,1.961,1.9792,1528934400,7507260.48
2,1.9864,2.2988,1.977,2.2931,1529020800,4607768.07
3,2.0196,2.0529,1.8555,1.9863,1529107200,5344030.54
4,1.9835,2.1021,1.9608,2.0242,1529193600,4094900.12
5,2.1152,2.1666,1.9324,1.984,1529280000,4967967.77
6,2.0983,2.2091,2.0475,2.117,1529366400,4321653.78
7,2.0791,2.1399,2.0087,2.105,1529452800,3698227.57
8,1.994,2.11,1.9703,2.079,1529539200,3463444.5
9,1.7801,1.9961,1.66,1.9929,1529625600,5563593.38
10,1.7433,1.82,1.6915,1.7848,1529712000,2887520.67
11,1.5723,1.7551,1.44,1.7492,1529798400,6285512.41
12,1.6275,1.6926,1.5406,1.5724,1529884800,5039291.0
13,1.4725,1.6455,1.4568,1.6275,1529971200,2931802.35
14,1.5151,1.5412,1.4256,1.4685,1530057600,3595586.69
15,1.41,1.61,1.3978,1.5162,1530144000,4518031.45
16,1.5101,1.56,1.36,1.4088,1530230400,4444936.48
17,1.56,1.6601,1.5123,1.5184,1530316800,4287766.93
18,1.648,1.72,1.53,1.5608,1530403200,4734147.54
19,1.7656,1.82,1.5701,1.6506,1530489600,5555124.34
20,1.6586,1.82,1.6369,1.7657,1530576000,5574468.51
21,1.7228,1.8324,1.6189,1.6516,1530662400,3756756.44
22,1.6732,1.7889,1.6214,1.7236,1530748800,4087464.75
23,1.6822,1.714,1.5501,1.6785,1530835200,3991613.07
24,1.7139,1.729,1.6,1.6826,1530921600,3281939.14
25,1.726,1.8,1.6751,1.7185,1531008000,4055143.77
26,1.631,1.7505,1.6224,1.726,1531094400,3963713.46
27,1.415,1.6343,1.4022,1.63,1531180800,5635317.46
28,1.4341,1.4762,1.3747,1.41,1531267200,4246923.21
29,1.3294,1.4372,1.2524,1.4371,1531353600,5074873.55
30,1.3234,1.3893,1.2801,1.3295,1531440000,5838137.78
31,1.3279,1.3361,1.2706,1.3192,1531526400,4505239.94
32,1.3644,1.4101,1.3154,1.3292,1531612800,5070930.46
33,1.4977,1.5089,1.357,1.3644,1531699200,5537143.29
34,1.6287,1.689,1.4335,1.4977,1531785600,7276244.04
35,1.5525,1.7699,1.5002,1.6284,1531872000,7757589.92
36,1.4901,1.5966,1.4599,1.5538,1531958400,5813674.56
37,1.3188,1.4928,1.296,1.4901,1532044800,6607040.57
38,1.3783,1.43,1.275,1.3192,1532131200,5993938.73
39,1.3605,1.446,1.338,1.3783,1532217600,6048636.33
40,1.3007,1.43,1.2825,1.3596,1532304000,4710334.23
41,1.3136,1.361,1.233,1.3008,1532390400,7217431.34
42,1.363,1.4172,1.2828,1.3136,1532476800,7738042.53
43,1.2838,1.39,1.265,1.363,1532563200,7083326.01
44,1.305,1.318,1.25,1.2842,1532649600,6559482.91
45,1.297,1.33,1.28,1.3088,1532736000,5763958.19
46,1.2859,1.32,1.2605,1.3,1532822400,5489210.15
47,1.2027,1.2957,1.15,1.2858,1532908800,6458907.79
48,1.1033,1.205,1.0718,1.204,1532995200,7102410.58
49,1.0605,1.1058,1.0001,1.1034,1533081600,7236644.6
50,0.9364,1.07,0.89,1.0605,1533168000,7719325.73
51,0.9172,0.9603,0.8453,0.935,1533254400,8154599.88
52,0.8506,0.952,0.825,0.9173,1533340800,6769399.22
53,0.8903,0.9,0.8362,0.855,1533427200,6664111.94
54,0.8593,0.9315,0.8398,0.8903,1533513600,6829173.07
55,0.8453,0.9999,0.81,0.8577,1533600000,13574053.58
56,0.7428,0.8459,0.701,0.8453,1533686400,10129555.4
57,0.7806,0.82,0.7114,0.7418,1533772800,8949015.72
58,0.7139,0.813,0.693,0.7823,1533859200,7426861.91
59,0.6495,0.7171,0.6227,0.7138,1533945600,8841155.06
60,0.6848,0.6998,0.6383,0.6478,1534032000,6303080.77
61,0.565,0.6888,0.5594,0.6849,1534118400,9868007.89
62,0.5268,0.5659,0.4543,0.5656,1534204800,15138476.51
63,0.5019,0.5841,0.4994,0.5282,1534291200,14694526.36
64,0.5466,0.5674,0.4934,0.5031,1534377600,10373490.13
65,0.7386,0.7602,0.5411,0.5468,1534464000,20249335.27
66,0.6242,0.7678,0.582,0.7387,1534550400,14816497.11
67,0.6714,0.6926,0.6101,0.6233,1534636800,10519236.85
68,0.601,0.7009,0.595,0.6715,1534723200,10566284.66
69,0.6419,0.6546,0.5931,0.601,1534809600,8669543.85
70,0.5902,0.7053,0.5511,0.642,1534896000,15312295.39
71,0.6616,0.663,0.5872,0.5927,1534982400,8559523.51
72,0.6775,0.7,0.6304,0.6621,1535068800,10648116.33
73,0.75,0.7675,0.6584,0.6775,1535155200,12639988.08
74,0.917,0.9329,0.6827,0.75,1535241600,19018049.8
75,0.9174,0.9762,0.8511,0.9186,1535328000,18566250.88
76,0.9303,0.9743,0.8903,0.9174,1535414400,12367261.71
77,0.8726,0.9387,0.8183,0.9303,1535500800,15240637.32
78,0.8643,0.8849,0.7853,0.8718,1535587200,14427250.84
79,0.9002,0.9341,0.8305,0.8644,1535673600,13465780.94
80,0.9456,0.9955,0.8951,0.9007,1535760000,14437449.25
81,0.9289,0.98,0.8976,0.9456,1535846400,13128224.09
82,0.9004,0.9389,0.878,0.9307,1535932800,10740449.23
83,0.9281,0.9549,0.8932,0.9005,1536019200,11461126.93
84,0.7222,0.9364,0.7135,0.9281,1536105600,17263027.89
85,0.74,0.755,0.6737,0.7222,1536192000,15265605.95
86,0.6811,0.775,0.6718,0.7422,1536278400,13637157.66
87,0.6318,0.7101,0.6156,0.6811,1536364800,13715557.65
88,0.62,0.6772,0.6033,0.6322,1536451200,12438297.21
89,0.6154,0.6588,0.6002,0.6196,1536537600,8347930.95
90,0.579,0.6353,0.5442,0.6169,1536624000,10854304.48
91,0.5926,0.598,0.5239,0.579,1536710400,10912650.41
92,0.6338,0.6675,0.593,0.5952,1536796800,18911178.88
93,0.6198,0.66,0.6,0.6344,1536883200,14899723.23
94,0.635,0.6766,0.616,0.6187,1536969600,13465603.29
95,0.6399,0.6481,0.6153,0.6337,1537056000,10154675.46
96,0.5807,0.655,0.569,0.6399,1537142400,16656551.82
97,0.5974,0.6131,0.5627,0.5808,1537228800,11330275.82
98,0.5917,0.61,0.5584,0.597,1537315200,11390854.52
99,0.6279,0.6496,0.5861,0.5909,1537401600,12283905.47
100,0.7194,0.7309,0.621,0.6258,1537488000,19831753.8
101,0.6861,0.743,0.64,0.7194,1537574400,11984447.75
102,0.7062,0.7159,0.6705,0.6865,1537660800,11159508.49
103,0.659,0.7333,0.6509,0.706,1537747200,13996201.98
104,0.6461,0.6581,0.602,0.6581,1537833600,11765784.77
105,0.6406,0.6671,0.6132,0.6461,1537920000,10515328.66
106,0.681,0.699,0.6286,0.6407,1538006400,9191957.29
107,0.6472,0.692,0.6307,0.6807,1538092800,11590723.01
108,0.6547,0.67,0.6236,0.648,1538179200,7469822.8
109,0.6557,0.6642,0.6351,0.6554,1538265600,7635158.11
110,0.6671,0.6887,0.6526,0.6555,1538352000,8185233.41
111,0.6887,0.7135,0.6668,0.667,1538438400,11653514.4
112,0.6701,0.6908,0.6525,0.6883,1538524800,10065897.8
113,0.668,0.69,0.6648,0.668,1538611200,8447351.79
114,0.6843,0.6988,0.6609,0.6708,1538697600,7861582.06
115,0.6707,0.6894,0.6625,0.6852,1538784000,6654912.78
116,0.676,0.6804,0.6562,0.671,1538870400,7673325.85
117,0.7017,0.71,0.6727,0.6758,1538956800,9343626.47
118,0.7009,0.71,0.6802,0.7017,1539043200,7864706.34
119,0.733,0.7375,0.6701,0.7009,1539129600,9720188.53
120,0.5997,0.7362,0.5805,0.7323,1539216000,14819314.02
121,0.6032,0.63,0.5805,0.5997,1539302400,7627856.9
122,0.6231,0.6279,0.6006,0.602,1539388800,7119582.71
123,0.6213,0.6489,0.616,0.6233,1539475200,8060317.26
124,0.6959,0.7198,0.6053,0.62,1539561600,16034626.99
125,0.7017,0.73,0.686,0.6959,1539648000,9243291.4
126,0.7446,0.77,0.6984,0.7016,1539734400,9265645.67
127,0.6975,0.75,0.6811,0.7453,1539820800,8580759.37
128,0.7088,0.7228,0.6934,0.6981,1539907200,5937157.04
129,0.709,0.717,0.6974,0.7075,1539993600,7503063.53
130,0.7031,0.7188,0.696,0.709,1540080000,8257961.46
131,0.6947,0.71,0.683,0.7026,1540166400,6013396.06
132,0.6754,0.6999,0.668,0.6947,1540252800,4547723.01
133,0.6815,0.693,0.671,0.675,1540339200,3865712.0
134,0.6668,0.6836,0.662,0.6812,1540425600,3247105.35
135,0.6702,0.678,0.6634,0.6667,1540512000,2277207.88
136,0.6452,0.677,0.64,0.6702,1540598400,2763760.53
137,0.6505,0.6542,0.6433,0.6456,1540684800,2077726.84
138,0.6226,0.6579,0.6055,0.6505,1540771200,3140400.93
139,0.6269,0.642,0.6194,0.6229,1540857600,2104197.69
0,0.6269,0.642,0.6194,0.6229,1540857600,2104197.69
1,0.6492,0.6538,0.6008,0.6267,1540944000,3252666.19
2,0.6509,0.66,0.638,0.6493,1541030400,2445498.39
3,0.6423,0.6551,0.6351,0.6514,1541116800,2560472.07
4,0.6326,0.6437,0.6223,0.6427,1541203200,2088850.54
5,0.6506,0.6649,0.625,0.6314,1541289600,3569692.88
6,0.6365,0.653,0.6302,0.6504,1541376000,3059624.44
7,0.6527,0.6536,0.631,0.6365,1541462400,3333701.03
8,0.6437,0.6621,0.635,0.6527,1541548800,2496439.25
9,0.6168,0.6479,0.6142,0.6443,1541635200,2445485.91
10,0.5921,0.62,0.5851,0.6168,1541721600,2613939.95
11,0.5981,0.6094,0.59,0.5921,1541808000,1285269.55
12,0.5827,0.5994,0.5713,0.5965,1541894400,1451891.4
13,0.5688,0.5918,0.5533,0.583,1541980800,2597975.53
14,0.5497,0.5689,0.5425,0.5688,1542067200,3554483.38
15,0.4745,0.5504,0.4338,0.5496,1542153600,7769563.74
16,0.4523,0.4775,0.4,0.4732,1542240000,7950915.02
17,0.4274,0.46,0.417,0.4517,1542326400,3408369.43
18,0.422,0.4299,0.4103,0.4282,1542412800,1979680.49
19,0.4222,0.4314,0.4171,0.4228,1542499200,1772428.39
20,0.3307,0.4226,0.321,0.4226,1542585600,11044993.96
21,0.287,0.35,0.2555,0.3292,1542672000,16804692.2
22,0.3032,0.3168,0.2724,0.2855,1542758400,7740990.48
23,0.2776,0.3098,0.2762,0.3033,1542844800,4162684.32
24,0.2768,0.2854,0.261,0.2776,1542931200,4599029.5
25,0.2395,0.2884,0.2308,0.2759,1543017600,4463144.06
26,0.2444,0.2528,0.2091,0.2393,1543104000,9113950.11
27,0.2259,0.257,0.2112,0.2431,1543190400,8852137.54
28,0.2336,0.2392,0.2161,0.2256,1543276800,4700598.57
29,0.2779,0.2893,0.233,0.233,1543363200,11797801.35
30,0.2902,0.31,0.262,0.2773,1543449600,12787436.49
31,0.2603,0.2923,0.2426,0.2902,1543536000,11348398.17
32,0.278,0.2879,0.2501,0.2604,1543622400,7752912.95
33,0.2739,0.29,0.27,0.2773,1543708800,7018602.86
34,0.2472,0.2758,0.2399,0.2739,1543795200,8392222.71
35,0.2543,0.2689,0.2363,0.248,1543881600,7967828.37
36,0.2325,0.2584,0.2314,0.2543,1543968000,5869833.47
37,0.2124,0.246,0.21,0.2324,1544054400,8669208.2
38,0.21,0.2221,0.19,0.2118,1544140800,10665741.91
39,0.2059,0.2235,0.1952,0.2105,1544227200,7244830.49
40,0.2177,0.2298,0.2055,0.2063,1544313600,6486529.61
41,0.2058,0.2215,0.2001,0.2181,1544400000,5407810.56
42,0.2005,0.2086,0.1948,0.2055,1544486400,3868131.34
43,0.2081,0.2106,0.1953,0.2005,1544572800,4373155.5
