,c,h,l,o,t,v
0,0.008557,0.03,0.008546,0.03,1553212800,380008351
1,0.008829,0.008913,0.0084,0.008557,1553299200,862483605
2,0.008561,0.008842,0.008362,0.008833,1553385600,772263905
3,0.008138,0.008591,0.007967,0.00856,1553472000,391152943
4,0.008252,0.008495,0.007871,0.008136,1553558400,352720832
5,0.008617,0.008884,0.008181,0.008243,1553644800,1240701351
6,0.008706,0.008813,0.008435,0.008617,1553731200,71591763
7,0.010359,0.0105,0.008699,0.008699,1553817600,275623278
8,0.00976,0.010395,0.009572,0.010374,1553904000,153916494
9,0.009887,0.010005,0.009412,0.009761,1553990400,79863881
10,0.011403,0.0117,0.0098,0.009891,1554076800,264704128
11,0.012482,0.013202,0.011375,0.011404,1554163200,353075471
12,0.013432,0.014909,0.011792,0.012482,1554249600,294645122
13,0.016421,0.016856,0.013195,0.01347,1554336000,508775535
14,0.018021,0.0186,0.01581,0.016421,1554422400,354457992
15,0.01664,0.018322,0.016103,0.017979,1554508800,302058354
16,0.016249,0.01705,0.015623,0.016546,1554595200,154661672
17,0.015136,0.0176,0.014281,0.016168,1554681600,427294825
18,0.015037,0.015417,0.014258,0.015178,1554768000,154957738
19,0.015167,0.016026,0.014292,0.015071,1554854400,175969010
20,0.01309,0.01517,0.012141,0.015154,1554940800,340491429
21,0.013174,0.013555,0.0121,0.01305,1555027200,149735401
22,0.01355,0.014146,0.01303,0.013165,1555113600,157909941
23,0.0139,0.0139,0.01311,0.013499,1555200000,80032586
24,0.01264,0.013974,0.012204,0.0139,1555286400,117613811
25,0.012954,0.013075,0.012258,0.01263,1555372800,82314073
26,0.012887,0.0132,0.012443,0.012943,1555459200,66851328
27,0.012818,0.013223,0.01259,0.01285,1555545600,68671088
28,0.012452,0.012804,0.012204,0.012804,1555632000,72506636
29,0.013654,0.013924,0.012305,0.012472,1555718400,157734139
30,0.0138,0.014318,0.01242,0.013615,1555804800,175981862
31,0.013379,0.01389,0.013049,0.0138,1555891200,84829136
32,0.012021,0.01365,0.01195,0.013402,1555977600,119714607
33,0.01146,0.012173,0.010365,0.012003,1556064000,147064532
34,0.010255,0.0116,0.010106,0.011381,1556150400,109650624
35,0.010725,0.011099,0.009818,0.010255,1556236800,142659321
36,0.011703,0.011832,0.010623,0.010718,1556323200,110701546
37,0.010864,0.012031,0.010605,0.011715,1556409600,91221212
38,0.01097,0.011367,0.01011,0.010849,1556496000,129744136
39,0.011333,0.011425,0.010589,0.010985,1556582400,115894569
40,0.011339,0.011536,0.011216,0.01132,1556668800,35032426
41,0.011313,0.011694,0.011037,0.011361,1556755200,40803595
42,0.011594,0.011925,0.011165,0.011312,1556841600,72721319
43,0.010815,0.01195,0.010282,0.011589,1556928000,120510011
44,0.010813,0.011301,0.010624,0.010814,1557014400,67084697
45,0.010927,0.01118,0.0104,0.010803,1557100800,66948822
46,0.011064,0.01222,0.010926,0.010926,1557187200,161864686
47,0.01121,0.011823,0.010618,0.011031,1557273600,89735008
48,0.011555,0.012034,0.011,0.01121,1557360000,193472708
49,0.011981,0.012372,0.011208,0.011569,1557446400,167903087
50,0.013122,0.013671,0.01197,0.012004,1557532800,201368800
51,0.012686,0.014285,0.012115,0.013105,1557619200,333072616
52,0.012712,0.013424,0.012447,0.012696,1557705600,98840943
53,0.013468,0.013826,0.012622,0.012695,1557792000,157889451
54,0.014515,0.01481,0.013273,0.013357,1557878400,106268284
55,0.013337,0.015417,0.0128,0.014515,1557964800,258041370
56,0.012296,0.01349,0.01136,0.013331,1558051200,214237713
57,0.011807,0.012476,0.011474,0.012276,1558137600,88084014
58,0.012385,0.012688,0.01177,0.011832,1558224000,111988433
59,0.012061,0.012666,0.011634,0.012365,1558310400,149260938
60,0.01292,0.013169,0.01188,0.012002,1558396800,196287767
61,0.0115,0.013089,0.011436,0.012877,1558483200,150314800
62,0.011714,0.011981,0.011105,0.011523,1558569600,63157274
63,0.012067,0.012454,0.011723,0.011782,1558656000,69357229
64,0.012152,0.0123,0.011823,0.012084,1558742400,40187102
65,0.012916,0.012976,0.011951,0.012164,1558828800,118145195
66,0.013902,0.014379,0.012809,0.012883,1558915200,316299474
67,0.013688,0.0146,0.013314,0.013902,1559001600,155641345
68,0.013515,0.0141,0.012909,0.013717,1559088000,107656351
69,0.01284,0.014829,0.012572,0.013511,1559174400,286246597
70,0.013316,0.013457,0.012703,0.012804,1559260800,80942399
71,0.012749,0.01353,0.01265,0.013317,1559347200,88174858
72,0.012947,0.0133,0.012718,0.012787,1559433600,58925102
73,0.011663,0.012997,0.011577,0.012936,1559520000,173024182
74,0.011087,0.012289,0.010623,0.011664,1559606400,588793007
75,0.011124,0.01149,0.010775,0.011087,1559692800,121762347
76,0.011066,0.011339,0.01,0.01111,1559779200,75790368
77,0.0114,0.0117,0.010955,0.011065,1559865600,93747118
78,0.011381,0.011879,0.0112,0.0114,1559952000,78536828
79,0.010857,0.01146,0.010501,0.011353,1560038400,52917301
80,0.011657,0.012111,0.010659,0.010832,1560124800,371598655
81,0.011318,0.011672,0.010944,0.011657,1560211200,74133431
82,0.011492,0.011607,0.011114,0.011285,1560297600,72329188
83,0.011534,0.011771,0.011365,0.011482,1560384000,80978325
84,0.011522,0.01186,0.011035,0.011537,1560470400,65980266
85,0.011629,0.0118,0.011288,0.011493,1560556800,57356080
86,0.011718,0.011793,0.011406,0.011636,1560643200,66271160
87,0.012999,0.013352,0.011706,0.011722,1560729600,165262704
88,0.012054,0.01305,0.011643,0.012982,1560816000,99597320
89,0.012059,0.01217,0.011896,0.012103,1560902400,37315166
90,0.011716,0.012536,0.011521,0.012032,1560988800,66373731
91,0.01164,0.012042,0.011348,0.01172,1561075200,54372407
92,0.012227,0.01253,0.011446,0.011593,1561161600,133163395
93,0.012166,0.012694,0.011967,0.012183,1561248000,72203346
94,0.01312,0.013864,0.011703,0.012159,1561334400,181910575
95,0.014062,0.014399,0.013086,0.013157,1561420800,192449115
96,0.013599,0.015142,0.013038,0.014052,1561507200,264197731
97,0.012256,0.013657,0.011753,0.013599,1561593600,169633765
98,0.013071,0.013347,0.012195,0.012256,1561680000,106215954
99,0.013755,0.013905,0.012769,0.013072,1561766400,59242560
100,0.012544,0.013849,0.01239,0.013747,1561852800,68994454
101,0.012471,0.013089,0.011721,0.01259,1561939200,90852707
102,0.012152,0.012507,0.0117,0.012484,1562025600,75932163
103,0.012823,0.012985,0.012046,0.012177,1562112000,53478775
104,0.012104,0.01286,0.012001,0.01283,1562198400,36931517
105,0.012176,0.012317,0.011936,0.01209,1562284800,15078755
106,0.01303,0.0145,0.01213,0.01213,1562371200,87605936
107,0.013139,0.01343,0.012711,0.013017,1562457600,34838952
108,0.013384,0.013728,0.012906,0.013117,1562544000,42234934
109,0.012456,0.013489,0.01231,0.013379,1562630400,46145402
110,0.011281,0.012623,0.010357,0.012475,1562716800,102812869
111,0.009448,0.012537,0.00915,0.01127,1562803200,196155173
112,0.009748,0.009884,0.008907,0.009471,1562889600,92971128
113,0.009315,0.009771,0.0089,0.009761,1562976000,45691383
114,0.007472,0.009509,0.007321,0.009322,1563062400,109144132
115,0.007601,0.007852,0.006897,0.007467,1563148800,135815130
116,0.006667,0.007937,0.00658,0.007642,1563235200,68673406
117,0.006915,0.007286,0.00623,0.006678,1563321600,73665962
118,0.00737,0.00755,0.006644,0.006918,1563408000,60030908
119,0.007353,0.007512,0.007189,0.007423,1563494400,31298939
120,0.009169,0.009695,0.007363,0.007367,1563580800,182978116
121,0.009185,0.009663,0.008728,0.009169,1563667200,137249343
122,0.008684,0.00935,0.008386,0.009208,1563753600,55715551
123,0.008136,0.008829,0.008008,0.008688,1563840000,54683743
124,0.008418,0.008688,0.007789,0.008111,1563926400,33095559
125,0.008788,0.009182,0.008377,0.008403,1564012800,38944400
126,0.00909,0.009279,0.00851,0.008831,1564099200,24536341
127,0.008949,0.009411,0.008645,0.009075,1564185600,34696284
