,c,h,l,o,t,v
0,0.00466,0.006666,0.0045,0.00506,1573689600,22670252
1,0.0049,0.0051,0.00453,0.00466,1573776000,15260184
2,0.004815,0.004966,0.004719,0.0049,1573862400,8006198
3,0.004732,0.004837,0.00459,0.004813,1573948800,4813704
4,0.004307,0.004732,0.004203,0.004732,1574035200,3480591
5,0.00435,0.004569,0.0041,0.004306,1574121600,10251602
6,0.004361,0.004399,0.004258,0.004342,1574208000,1974887
7,0.003955,0.004353,0.003841,0.004316,1574294400,2247936
8,0.003899,0.004418,0.003325,0.003936,1574380800,8209281
9,0.004164,0.004222,0.003769,0.003894,1574467200,4551080
10,0.003672,0.004172,0.00365,0.00417,1574553600,5443069
11,0.003833,0.004083,0.003426,0.00366,1574640000,7035921
12,0.004124,0.00419,0.003808,0.003883,1574726400,4929135
13,0.004224,0.004298,0.003775,0.004123,1574812800,4192311
14,0.004364,0.004799,0.004172,0.004245,1574899200,21103761
15,0.004639,0.004649,0.004272,0.004363,1574985600,6965326
16,0.004342,0.004639,0.004168,0.004639,1575072000,4913148
17,0.004189,0.004314,0.004011,0.004267,1575158400,7059172
18,0.004065,0.004191,0.003701,0.004189,1575244800,15750607
19,0.003956,0.004099,0.00381,0.004048,1575331200,5390517
20,0.003812,0.0041,0.00375,0.003958,1575417600,5258344
21,0.003929,0.004351,0.003511,0.003835,1575504000,6824048
22,0.003957,0.004033,0.003813,0.003929,1575590400,9359409
23,0.003939,0.004025,0.003908,0.003957,1575676800,5661615
24,0.004048,0.004261,0.003856,0.003957,1575763200,15458064
25,0.003977,0.004184,0.003839,0.004048,1575849600,3366412
26,0.003612,0.004199,0.003525,0.003976,1575936000,13445978
27,0.003675,0.004079,0.00358,0.003612,1576022400,3537353
28,0.003716,0.003737,0.003561,0.003724,1576108800,933850
29,0.003694,0.003873,0.00357,0.003717,1576195200,2719518
30,0.003607,0.003769,0.00346,0.00367,1576281600,1208348
31,0.003578,0.003607,0.00341,0.003604,1576368000,2172924
32,0.003611,0.003704,0.003289,0.00354,1576454400,8578382
33,0.003252,0.003668,0.003007,0.00361,1576540800,4426756
34,0.003512,0.003554,0.003008,0.003252,1576627200,3876645
35,0.003652,0.003856,0.003396,0.003512,1576713600,5388707
36,0.003632,0.003635,0.003553,0.003593,1576800000,975142
37,0.003508,0.003721,0.00337,0.003591,1576886400,4670753
38,0.0036,0.0036,0.003417,0.00345,1576972800,4643991
39,0.0036,0.003926,0.003505,0.003608,1577059200,11161863
40,0.003512,0.003631,0.003512,0.0036,1577145600,1377944
41,0.003511,0.003613,0.00343,0.003537,1577232000,1764998
42,0.003563,0.003616,0.003437,0.003511,1577318400,2283907
43,0.003476,0.003619,0.003362,0.003542,1577404800,1678424
44,0.003502,0.003566,0.003421,0.003476,1577491200,1236036
45,0.00345,0.003574,0.003428,0.00352,1577577600,646839
46,0.003514,0.003599,0.003428,0.0035,1577664000,3192707
47,0.00334,0.00355,0.0033,0.003461,1577750400,1445091
48,0.003457,0.0035,0.00333,0.003359,1577836800,712194
49,0.003358,0.00346,0.003263,0.00346,1577923200,694348
50,0.00341,0.003422,0.003265,0.003328,1578009600,1969762
51,0.003543,0.003565,0.00336,0.00341,1578096000,4689902
52,0.003565,0.003618,0.003514,0.003549,1578182400,978093
53,0.003767,0.003823,0.003497,0.003518,1578268800,2968638
54,0.003841,0.003927,0.003673,0.003757,1578355200,3553494
55,0.003642,0.003891,0.003544,0.003841,1578441600,4830244
56,0.003468,0.003645,0.003445,0.003602,1578528000,2250624
57,0.003652,0.003658,0.003462,0.003486,1578614400,2539403
58,0.003624,0.00409,0.003567,0.003657,1578700800,6052334
59,0.003635,0.00374,0.003542,0.003624,1578787200,6814369
60,0.003581,0.004048,0.003566,0.003632,1578873600,10062652
61,0.00376,0.00405,0.003485,0.003579,1578960000,19459411
62,0.00422,0.0043,0.003666,0.003746,1579046400,14535237
63,0.004464,0.004605,0.004023,0.00422,1579132800,17607798
64,0.004302,0.004506,0.004203,0.004424,1579219200,5517916
65,0.004122,0.004366,0.004065,0.004302,1579305600,3606956
66,0.00409,0.004317,0.003901,0.004199,1579392000,8678638
67,0.004,0.00409,0.004,0.004039,1579478400,2985154
68,0.004302,0.004617,0.004,0.004,1579564800,20603859
69,0.004122,0.004374,0.004041,0.004347,1579651200,4183121
70,0.00405,0.004191,0.004,0.004191,1579737600,2871583
71,0.003963,0.004501,0.003846,0.004023,1579824000,193776195
72,0.003888,0.003992,0.003823,0.00396,1579910400,2112010
73,0.004016,0.0047,0.003824,0.00385,1579996800,10441823
74,0.004031,0.00417,0.003878,0.004016,1580083200,3732370
75,0.004039,0.004147,0.003893,0.004031,1580169600,3523437
76,0.004079,0.004732,0.003969,0.004061,1580256000,6597323
77,0.004217,0.004246,0.004014,0.004092,1580342400,5596995
78,0.004126,0.004486,0.004014,0.004169,1580428800,6758231
79,0.004206,0.004271,0.004056,0.004091,1580515200,3849061
80,0.004197,0.0043,0.004088,0.00417,1580601600,6014120
81,0.004217,0.004275,0.004075,0.004196,1580688000,5239496
82,0.004341,0.004382,0.004197,0.004217,1580774400,6618602
83,0.004826,0.0054,0.004341,0.004341,1580860800,20137612
84,0.005262,0.00574,0.00473,0.004826,1580947200,17745898
85,0.005209,0.00545,0.00479,0.005277,1581033600,13719809
86,0.005277,0.005455,0.005055,0.0052,1581120000,3819281
