,c,h,l,o,t,v
0,1.2983,1.644,0.46,0.46,1571961600,31814627.92
1,0.9762,1.3612,0.9355,1.2966,1572048000,12400051.14
2,0.8068,0.9996,0.7711,0.975,1572134400,7005026.47
3,0.9079,1.0749,0.7335,0.8127,1572220800,9038951.45
4,0.8694,0.9656,0.8314,0.9105,1572307200,4917546.31
5,0.8565,0.9036,0.8001,0.868,1572393600,2281113.86
6,0.7999,0.8565,0.7755,0.853,1572480000,1238606.17
7,0.8324,0.8615,0.7699,0.7998,1572566400,1976372.17
8,0.9501,0.993,0.822,0.8324,1572652800,4037814.98
9,1.1706,1.2752,0.942,0.9501,1572739200,10514830.74
10,1.158,1.388,1.0784,1.1706,1572825600,7974245.29
11,1.0504,1.18,1.0251,1.1557,1572912000,4385750.16
12,0.9658,1.1,0.95,1.0534,1572998400,2844899.11
13,1.0609,1.1,0.9518,0.9686,1573084800,3029139.22
14,1.0529,1.1919,1.0201,1.0584,1573171200,5776695.23
15,1.1369,1.1653,1.0208,1.0529,1573257600,3257314.17
16,1.1447,1.2354,1.0733,1.1321,1573344000,4035377.67
17,1.1579,1.1999,1.11,1.149,1573430400,2080656.39
18,1.089,1.17,1.0514,1.1579,1573516800,2063123.14
19,1.0685,1.11,1.0601,1.089,1573603200,736102.41
20,1.0409,1.085,0.9875,1.0694,1573689600,1683584.38
21,1.045,1.0701,1.0102,1.0422,1573776000,1387490.97
22,1.0998,1.162,1.0237,1.0426,1573862400,2855570.15
23,1.0716,1.1221,1.0551,1.0957,1573948800,1169707.81
24,1.1474,1.2142,1.066,1.0716,1574035200,3875454.26
25,1.26,1.3061,1.1383,1.1473,1574121600,5173952.69
26,1.197,1.4681,1.17,1.26,1574208000,6923323.43
27,1.1631,1.2016,1.043,1.197,1574294400,2353515.17
28,1.1025,1.2131,1.06,1.1621,1574380800,2944183.98
29,1.15,1.19,1.0927,1.1048,1574467200,1524300.85
30,1.1949,1.2289,1.1307,1.1485,1574553600,2144576.15
31,1.089,1.1949,0.9924,1.1949,1574640000,2736230.11
32,1.0915,1.138,1.0709,1.089,1574726400,1229805.34
33,1.0652,1.0983,1.0166,1.0918,1574812800,1457034.1
34,1.0611,1.098,1.032,1.0652,1574899200,630862.49
35,1.0861,1.1256,1.0601,1.0662,1574985600,972690.32
36,1.0787,1.0947,1.06,1.086,1575072000,669721.65
37,1.0631,1.0783,1.0073,1.0782,1575158400,703203.13
38,1.0218,1.0663,1.0095,1.0663,1575244800,522904.92
39,1.0447,1.0565,1.01,1.0175,1575331200,553849.51
40,0.9404,1.0622,0.9226,1.0447,1575417600,1074715.24
41,0.9258,1.0014,0.8811,0.9425,1575504000,1103152.98
42,0.9776,1.031,0.9089,0.9258,1575590400,1133416.29
43,0.9817,1.01,0.9476,0.9723,1575676800,527485.1
44,0.9584,0.9856,0.9477,0.9811,1575763200,477944.03
45,0.9161,0.9725,0.907,0.9586,1575849600,360056.08
46,0.8026,0.9173,0.7756,0.9161,1575936000,1059213.68
47,0.82,0.8363,0.799,0.8026,1576022400,381526.93
48,0.8361,0.8364,0.801,0.8222,1576108800,322232.25
49,0.9667,0.99,0.8158,0.8361,1576195200,1747143.55
50,0.9362,1.0491,0.8921,0.963,1576281600,1317205.42
51,1.049,1.0978,0.8912,0.9413,1576368000,1872819.11
52,0.957,1.07,0.9533,1.049,1576454400,997943.94
53,1.0447,1.1,0.9533,0.9595,1576540800,2425968.96
54,0.9948,1.0752,0.913,1.0447,1576627200,1816153.03
55,0.9795,1.0353,0.9606,0.9948,1576713600,719847.19
56,1.0349,1.0459,0.9531,0.9813,1576800000,736362.73
57,1.0589,1.1627,1.0226,1.0313,1576886400,1696582.87
58,1.0688,1.13,1.0491,1.0589,1576972800,939183.43
59,1.0006,1.0847,0.97,1.072,1577059200,733154.36
60,1.071,1.112,0.9901,1.001,1577145600,1036282.48
61,1.0678,1.0871,1.0287,1.0666,1577232000,460903.26
62,1.0836,1.136,1.0621,1.0621,1577318400,940483.32
63,1.1991,1.2074,1.0836,1.0836,1577404800,1023734.5
64,1.1728,1.3201,1.171,1.1995,1577491200,1455734.65
65,1.1549,1.2127,1.1155,1.176,1577577600,871270.05
66,1.1367,1.204,1.127,1.1547,1577664000,729643.28
67,1.1185,1.19,1.1163,1.1367,1577750400,491908.67
68,1.1364,1.14,1.0745,1.1185,1577836800,453949.55
69,1.0172,1.1434,1.0128,1.1363,1577923200,648150.64
