,c,h,l,o,t,v
0,0.001638,0.001822,0.00159,0.0018,1566864000,4300084
1,0.00149,0.001681,0.001452,0.001595,1566950400,5465499
2,0.001425,0.001568,0.001375,0.001472,1567036800,4362207
3,0.00146,0.001477,0.001394,0.001476,1567123200,337686
4,0.001443,0.001559,0.001397,0.001403,1567209600,2185603
5,0.001469,0.001469,0.001404,0.001425,1567296000,2990062
6,0.001423,0.00149,0.001396,0.001437,1567382400,3369308
7,0.001411,0.001497,0.001399,0.001456,1567468800,3157500
8,0.001399,0.001485,0.00137,0.001429,1567555200,4144360
9,0.001408,0.001486,0.001356,0.001399,1567641600,1855753
10,0.001406,0.001434,0.001307,0.001408,1567728000,3316633
11,0.00145,0.001493,0.001342,0.001398,1567814400,1116789
12,0.001432,0.001453,0.001367,0.00145,1567900800,2382106
13,0.001547,0.00168,0.001351,0.001429,1567987200,19011869
14,0.001569,0.001649,0.001445,0.001546,1568073600,10384169
15,0.001428,0.001567,0.001386,0.001561,1568160000,9621330
16,0.00136,0.001428,0.001315,0.001428,1568246400,5755891
17,0.001395,0.001395,0.001327,0.00136,1568332800,3023792
18,0.001398,0.001399,0.001325,0.001389,1568419200,6872050
19,0.001366,0.001401,0.001335,0.001398,1568505600,1664084
20,0.001442,0.001475,0.001367,0.001385,1568592000,4806791
21,0.001492,0.00155,0.00139,0.001422,1568678400,6395547
22,0.001742,0.001819,0.001497,0.00152,1568764800,26862982
23,0.001551,0.001735,0.001463,0.001701,1568851200,23297767
24,0.001533,0.001563,0.001487,0.001551,1568937600,6092004
25,0.001565,0.001576,0.001479,0.001533,1569024000,9263361
26,0.001538,0.001574,0.001477,0.001536,1569110400,9647394
27,0.001474,0.001592,0.001446,0.001523,1569196800,7094514
28,0.001244,0.0015,0.00107,0.001471,1569283200,11474397
29,0.00125,0.001323,0.001162,0.001259,1569369600,5058784
30,0.001175,0.001285,0.001121,0.001245,1569456000,6158061
31,0.001204,0.001204,0.001109,0.001164,1569542400,7527783
32,0.001213,0.001221,0.001163,0.001203,1569628800,5637249
33,0.001141,0.001315,0.001121,0.001213,1569715200,10730003
34,0.001216,0.001323,0.001067,0.001144,1569801600,16793511
35,0.00126,0.001405,0.001145,0.001211,1569888000,45460394
36,0.001258,0.00126,0.001185,0.001248,1569974400,26191525
37,0.00129,0.00131,0.001224,0.001258,1570060800,9012071
38,0.001295,0.001298,0.001249,0.001289,1570147200,3078298
39,0.00133,0.001395,0.001279,0.001279,1570233600,16606354
40,0.001273,0.001345,0.00124,0.00133,1570320000,9200279
41,0.001335,0.001376,0.001229,0.001253,1570406400,10450733
42,0.001561,0.001568,0.001312,0.001312,1570492800,40472939
43,0.001467,0.001559,0.00142,0.001542,1570579200,22839186
44,0.00145,0.001506,0.0014,0.001468,1570665600,20344811
45,0.001492,0.001546,0.00137,0.00144,1570752000,15224274
46,0.001479,0.001531,0.001455,0.001474,1570838400,17520385
47,0.001466,0.001535,0.00144,0.001497,1570924800,7980069
48,0.001509,0.001534,0.001443,0.00145,1571011200,10333613
49,0.001502,0.001605,0.001471,0.001538,1571097600,18908256
50,0.001404,0.001507,0.001355,0.001476,1571184000,10493695
51,0.00137,0.001405,0.00131,0.001388,1571270400,22960561
52,0.001332,0.001378,0.001293,0.001378,1571356800,21549931
53,0.001447,0.001478,0.001305,0.00133,1571443200,22394115
54,0.001491,0.001496,0.001389,0.001417,1571529600,10168113
55,0.001468,0.001488,0.001422,0.001477,1571616000,11763998
56,0.001427,0.001497,0.001427,0.001461,1571702400,3589389
57,0.001283,0.001431,0.001208,0.001431,1571788800,13072445
58,0.001294,0.001304,0.00127,0.001289,1571875200,7499039
59,0.001298,0.001374,0.001145,0.001286,1571961600,33287361
60,0.001283,0.001429,0.00124,0.001315,1572048000,40900700
61,0.001347,0.001394,0.001249,0.001263,1572134400,19258548
62,0.001404,0.001425,0.001338,0.001361,1572220800,14424631
63,0.001375,0.001869,0.0013,0.001408,1572307200,102910516
64,0.001353,0.001389,0.001323,0.001375,1572393600,7487737
65,0.001394,0.001425,0.001312,0.001358,1572480000,12208135
66,0.001368,0.001417,0.00136,0.001395,1572566400,13928608
67,0.001391,0.00142,0.001368,0.001379,1572652800,11882357
68,0.001388,0.001427,0.001364,0.001403,1572739200,14688586
69,0.00137,0.001399,0.001363,0.001381,1572825600,12685093
70,0.001439,0.001441,0.001362,0.00137,1572912000,15801937
71,0.001431,0.001452,0.001392,0.001439,1572998400,16922424
72,0.001913,0.003758,0.001313,0.001426,1573084800,629410151
73,0.001737,0.002064,0.001661,0.001913,1573171200,168906845
74,0.001702,0.00185,0.001666,0.001741,1573257600,56012487
75,0.0017,0.001779,0.001664,0.0017,1573344000,77360116
76,0.00169,0.00176,0.001647,0.0017,1573430400,29625479
77,0.001659,0.001727,0.001641,0.001678,1573516800,37782563
78,0.001701,0.001744,0.001651,0.001654,1573603200,22458942
79,0.001588,0.001709,0.001573,0.001709,1573689600,38274500
80,0.001776,0.001859,0.00157,0.001594,1573776000,76053888
81,0.001701,0.001796,0.001651,0.001776,1573862400,37034808
82,0.001662,0.001709,0.001643,0.001701,1573948800,27754475
83,0.001652,0.001716,0.001601,0.001646,1574035200,29130227
84,0.001555,0.001659,0.001526,0.001652,1574121600,25387561
85,0.00174,0.0018,0.001543,0.001555,1574208000,74628791
86,0.001981,0.002233,0.001652,0.001749,1574294400,336316450
87,0.002473,0.0049,0.001927,0.001984,1574380800,1067849623
88,0.002254,0.0029,0.002158,0.002473,1574467200,557167784
89,0.001946,0.002389,0.001913,0.002254,1574553600,186635224
90,0.001861,0.00198,0.001645,0.00198,1574640000,240432363
91,0.001875,0.00198,0.001729,0.001854,1574726400,113184456
92,0.002152,0.002473,0.001757,0.001867,1574812800,389443294
93,0.002291,0.00255,0.002135,0.002149,1574899200,319174463
94,0.002252,0.0025,0.002207,0.00228,1574985600,155441757
