,c,h,l,o,t,v
0,0.00545,0.01052,0.00263,0.00263,1556236800,2251813333.7
1,0.00521,0.00586,0.00516,0.00543,1556323200,440339020.0
2,0.00442,0.00527,0.00434,0.00521,1556409600,457183971.5
3,0.00347,0.00456,0.00343,0.00442,1556496000,520557584.6
4,0.00442,0.00516,0.00346,0.00346,1556582400,1165706893.8
5,0.00432,0.00464,0.00402,0.00442,1556668800,650430750.0
6,0.00419,0.00468,0.0041,0.00432,1556755200,270118878.8
7,0.00423,0.0044,0.00394,0.00419,1556841600,279265819.7
8,0.00397,0.00425,0.00381,0.00423,1556928000,151436176.6
9,0.00372,0.00406,0.00359,0.00396,1557014400,161357630.8
10,0.00373,0.00392,0.0035,0.00371,1557100800,270695596.4
11,0.00336,0.00385,0.00333,0.00374,1557187200,172934704.9
12,0.00333,0.00348,0.00328,0.00335,1557273600,154227974.6
13,0.00314,0.00341,0.00303,0.00336,1557360000,211829251.9
14,0.00378,0.00388,0.00312,0.00313,1557446400,408703745.6
15,0.0046,0.00505,0.00371,0.00379,1557532800,688249967.8
16,0.0053,0.00572,0.00444,0.00462,1557619200,1166562752.9
17,0.00868,0.0092,0.00516,0.00529,1557705600,2877309846.1
18,0.0078,0.0112,0.00718,0.00864,1557792000,3861464345.1
19,0.00956,0.01,0.00705,0.00777,1557878400,1803273014.2
20,0.01087,0.01205,0.00826,0.00957,1557964800,2158935027.2
21,0.01455,0.01507,0.00921,0.01086,1558051200,4397262355.6
22,0.01235,0.01489,0.01205,0.01456,1558137600,1670915897.8
23,0.02018,0.02069,0.01226,0.01235,1558224000,2909833092.6
24,0.0295,0.035,0.01833,0.02016,1558310400,4959586016.0
25,0.02953,0.045,0.02438,0.02937,1558396800,7216196145.9
26,0.02209,0.0317,0.0205,0.0295,1558483200,4411472529.9
27,0.02739,0.03401,0.02143,0.02215,1558569600,5742350972.3
28,0.02529,0.0287,0.02265,0.02736,1558656000,2439816666.4
29,0.02475,0.02835,0.02302,0.02527,1558742400,2092787378.6
30,0.02419,0.02725,0.02305,0.02482,1558828800,1308601539.2
31,0.02235,0.02478,0.02076,0.02417,1558915200,1191302944.8
32,0.0238,0.0254,0.02102,0.02232,1559001600,1527919636.6
33,0.02212,0.02487,0.02207,0.02379,1559088000,860955448.6
34,0.01972,0.0233,0.01824,0.02213,1559174400,1037590833.5
35,0.02216,0.02299,0.01939,0.01972,1559260800,1075501624.0
36,0.02104,0.02289,0.02067,0.02216,1559347200,963080818.8
37,0.02012,0.02221,0.01961,0.02107,1559433600,514773376.3
38,0.01911,0.02099,0.01873,0.02012,1559520000,515148781.0
39,0.02139,0.02198,0.0178,0.01911,1559606400,1436021143.1
40,0.02285,0.02361,0.01954,0.0214,1559692800,1684301208.5
41,0.02361,0.02514,0.0215,0.0229,1559779200,1610958057.6
42,0.02426,0.02488,0.02231,0.02361,1559865600,581785344.2
43,0.02583,0.02662,0.0233,0.02429,1559952000,892055754.0
44,0.02537,0.0276,0.02431,0.02583,1560038400,1037582796.8
45,0.02698,0.02735,0.02388,0.02537,1560124800,861155174.4
46,0.0239,0.02706,0.02332,0.02701,1560211200,652982968.7
47,0.02305,0.02525,0.02281,0.0239,1560297600,680341982.3
48,0.0231,0.02475,0.02221,0.02304,1560384000,1130423131.5
49,0.02055,0.0233,0.019,0.02314,1560470400,658163305.3
50,0.02179,0.02295,0.02053,0.02053,1560556800,659353874.4
51,0.0224,0.0228,0.02063,0.02179,1560643200,648967789.4
52,0.02175,0.02385,0.02122,0.02239,1560729600,567072821.4
53,0.02247,0.02289,0.02122,0.02175,1560816000,650343325.3
54,0.02309,0.0244,0.02233,0.02249,1560902400,1270664876.6
55,0.02241,0.02376,0.02178,0.02307,1560988800,684710485.3
56,0.021,0.02343,0.02061,0.02242,1561075200,1001459457.6
57,0.02194,0.02276,0.0205,0.02103,1561161600,1239942559.0
58,0.02104,0.02238,0.02078,0.02193,1561248000,942419639.9
59,0.02072,0.02169,0.02,0.02104,1561334400,290258602.6
60,0.0192,0.02072,0.01903,0.02072,1561420800,364473706.3
61,0.01795,0.0195,0.01639,0.0192,1561507200,826569793.3
62,0.01942,0.02168,0.01723,0.01788,1561593600,952899255.4
63,0.0192,0.02116,0.01905,0.01948,1561680000,490034713.7
64,0.02412,0.02656,0.01922,0.01925,1561766400,1290963508.0
65,0.02217,0.0269,0.02201,0.02407,1561852800,1018619377.2
66,0.02238,0.02313,0.02009,0.02218,1561939200,549433910.1
67,0.02002,0.02265,0.01952,0.02238,1562025600,394132210.2
68,0.0193,0.02041,0.01857,0.01998,1562112000,402571000.0
69,0.01797,0.0193,0.017,0.01926,1562198400,378345924.9
70,0.01811,0.01958,0.0176,0.01797,1562284800,245911827.1
71,0.01768,0.01844,0.0175,0.01811,1562371200,101526675.6
72,0.01759,0.0184,0.01712,0.01768,1562457600,138660572.1
73,0.01664,0.01767,0.0165,0.01761,1562544000,219596457.6
74,0.01622,0.01722,0.01505,0.01664,1562630400,309295834.9
75,0.0161,0.01748,0.01477,0.01622,1562716800,437375040.3
76,0.01442,0.01687,0.01418,0.01612,1562803200,264561118.6
77,0.0157,0.0165,0.01409,0.01443,1562889600,248278116.1
78,0.01662,0.01778,0.01515,0.0157,1562976000,433122420.4
79,0.01431,0.01745,0.01417,0.01664,1563062400,296945768.7
80,0.01386,0.01435,0.01288,0.01431,1563148800,195436667.1
81,0.01206,0.01459,0.0118,0.01385,1563235200,258587967.7
82,0.01316,0.014,0.01163,0.01202,1563321600,252450983.1
83,0.01362,0.01425,0.0125,0.01314,1563408000,224879379.3
84,0.01337,0.01392,0.01317,0.01365,1563494400,82349270.0
85,0.0139,0.01448,0.01322,0.01343,1563580800,104993002.1
86,0.01345,0.01409,0.0131,0.01395,1563667200,51976782.7
87,0.01272,0.0136,0.0124,0.01346,1563753600,67716133.2
88,0.01154,0.01282,0.01145,0.01278,1563840000,104242721.3
89,0.01193,0.01249,0.01109,0.01146,1563926400,96196226.9
90,0.01218,0.01279,0.0119,0.01191,1564012800,90884427.6
91,0.01277,0.01298,0.0119,0.01218,1564099200,87262445.6
92,0.01198,0.01327,0.01173,0.01275,1564185600,86377810.4
93,0.01179,0.01216,0.01124,0.01198,1564272000,57836881.2
94,0.01133,0.01196,0.01126,0.01173,1564358400,50457970.7
95,0.01157,0.01168,0.011,0.01135,1564444800,53295692.4
96,0.01131,0.01166,0.01112,0.01151,1564531200,77499188.1
97,0.01062,0.01154,0.01055,0.01134,1564617600,111946706.8
98,0.01109,0.01155,0.01041,0.01061,1564704000,144581652.3
