,c,h,l,o,t,v
0,4.275,3340.75,4.021,3340.75,1574121600,86173.227
1,4.393,4.791,4.291,4.291,1574208000,288171.458
2,4.051,4.393,3.905,4.393,1574294400,1488118.763
3,3.837,4.344,3.534,4.052,1574380800,677811.849
4,4.08,4.097,3.778,3.848,1574467200,266990.685
5,3.741,4.083,3.71,4.078,1574553600,163577.237
6,3.771,3.926,3.456,3.746,1574640000,176362.745
7,3.86,3.9,3.714,3.777,1574726400,3197734.642
8,4.005,4.051,3.52,3.86,1574812800,30597.084
9,4.104,4.247,3.985,4.005,1574899200,28172.235
10,4.113,4.221,3.987,4.095,1574985600,25730.132
11,4.056,4.135,3.951,4.117,1575072000,15560.958
12,3.975,4.055,3.858,4.055,1575158400,10840.324
13,3.941,3.996,3.871,3.969,1575244800,11167.755
14,3.938,3.978,3.817,3.951,1575331200,11404.577
15,3.897,4.165,3.801,3.93,1575417600,15209.441
16,4.064,4.084,3.865,3.892,1575504000,16675.575
17,4.215,4.283,4.0,4.05,1575590400,25992.947
18,4.176,4.278,4.1,4.215,1575676800,17069.106
19,4.205,4.275,4.06,4.19,1575763200,16646.989
20,4.222,4.278,4.129,4.21,1575849600,18119.666
21,4.144,4.212,4.06,4.212,1575936000,14499.24
22,4.195,4.3,4.068,4.135,1576022400,31530.445
23,4.218,4.33,4.117,4.207,1576108800,18734.653
24,4.415,4.429,4.181,4.22,1576195200,26495.526
25,4.319,4.458,4.216,4.404,1576281600,26654.424
26,4.219,4.315,4.156,4.315,1576368000,22524.237
27,4.005,4.256,3.985,4.228,1576454400,22364.85
28,3.763,4.036,3.664,4.026,1576540800,22553.183
29,4.023,4.086,3.637,3.771,1576627200,19815.048
30,3.957,4.099,3.832,4.083,1576713600,15337.675
31,3.851,3.967,3.792,3.967,1576800000,49202.942
32,4.063,4.096,3.8,3.841,1576886400,38679.019
33,4.127,4.178,4.014,4.063,1576972800,30268.266
34,4.064,4.213,4.025,4.119,1577059200,20825.915
35,3.983,4.099,3.95,4.055,1577145600,20221.177
36,3.943,4.0,3.895,3.983,1577232000,22429.242
37,3.96,4.068,3.905,3.937,1577318400,24387.68
38,3.987,4.013,3.855,3.967,1577404800,29840.544
39,4.024,4.039,3.969,3.983,1577491200,18227.68
40,4.037,4.143,4.003,4.023,1577577600,21480.491
41,4.018,4.051,3.974,4.031,1577664000,10911.789
42,4.016,4.044,3.971,3.995,1577750400,24173.094
43,3.988,4.044,3.973,4.013,1577836800,12013.698
44,3.898,4.014,3.846,3.988,1577923200,20440.691
45,4.032,4.102,3.846,3.885,1578009600,29121.006
46,4.097,4.125,4.002,4.035,1578096000,30400.663
47,4.213,4.274,4.105,4.108,1578182400,23710.43
48,4.395,7.4,4.214,4.216,1578268800,36079.39
49,4.758,4.791,4.2,4.393,1578355200,47838.705
50,4.351,4.799,4.245,4.779,1578441600,47076.667
51,4.289,4.4,4.235,4.35,1578528000,20940.391
52,4.484,4.49,4.242,4.307,1578614400,33254.136
53,4.419,4.543,4.389,4.49,1578700800,22643.354
54,4.574,4.619,4.396,4.41,1578787200,19005.479
55,4.578,4.578,4.497,4.575,1578873600,12533.586
56,4.851,4.955,4.58,4.58,1578960000,34162.802
57,4.729,4.896,4.689,4.83,1579046400,28916.628
58,4.822,4.84,4.605,4.748,1579132800,24683.94
59,5.035,5.049,4.733,4.824,1579219200,48821.84
60,5.097,5.123,4.901,4.994,1579305600,8891.946
61,4.832,5.305,4.75,5.071,1579392000,14936.061
62,5.03,5.095,4.788,4.86,1579478400,7978.078
63,4.801,5.277,4.741,5.003,1579564800,26827.432
64,4.775,4.835,4.701,4.779,1579651200,25971.554
65,4.664,4.775,4.5,4.775,1579737600,18738.847
66,4.63,4.728,4.528,4.664,1579824000,9665.895
67,4.64,4.695,4.53,4.63,1579910400,2668.683
68,4.72,4.796,4.581,4.602,1579996800,7105.488
69,4.815,4.846,4.671,4.72,1580083200,6844.577
70,5.149,5.164,4.769,4.808,1580169600,23280.757
71,5.025,5.169,4.987,5.148,1580256000,9005.196
72,4.994,5.061,4.938,5.005,1580342400,15318.351
73,4.999,5.044,4.869,4.995,1580428800,4745.174
74,5.132,5.132,4.973,5.0,1580515200,6650.628
75,5.164,5.219,5.01,5.091,1580601600,9986.819
76,5.424,5.487,5.16,5.196,1580688000,13456.815
77,5.428,5.492,5.3,5.389,1580774400,8316.362
78,5.647,5.81,5.424,5.45,1580860800,13458.49
79,5.787,5.848,5.613,5.687,1580947200,10916.762
80,5.743,5.862,5.672,5.79,1581033600,7922.061
81,5.745,5.818,5.672,5.766,1581120000,10162.95
