,c,h,l,o,t,v
0,0.001191,0.001284,0.0011,0.0012,1566864000,41490779
1,0.001089,0.001213,0.001039,0.001191,1566950400,14602306
2,0.001028,0.001089,0.000948,0.001089,1567036800,20405746
3,0.00104,0.001069,0.000911,0.001039,1567123200,20376733
4,0.00104,0.00107,0.001002,0.001031,1567209600,13414385
5,0.001025,0.001051,0.000975,0.00104,1567296000,12303821
6,0.001007,0.001054,0.000976,0.00103,1567382400,14526728
7,0.001055,0.001102,0.001,0.001019,1567468800,40005589
8,0.001031,0.001071,0.00102,0.001055,1567555200,5931918
9,0.001011,0.001058,0.000992,0.001049,1567641600,14154269
10,0.001022,0.001052,0.000986,0.001012,1567728000,15293952
11,0.001054,0.001054,0.000993,0.001022,1567814400,11756653
12,0.00107,0.00109,0.00104,0.001057,1567900800,16961693
13,0.001196,0.00131,0.001021,0.001078,1567987200,108691954
14,0.001205,0.00128,0.001135,0.001168,1568073600,61821135
15,0.001091,0.001252,0.001091,0.001217,1568160000,33307506
16,0.001052,0.001119,0.001006,0.00111,1568246400,25925657
17,0.001072,0.001073,0.001015,0.001059,1568332800,9806178
18,0.001073,0.001114,0.001029,0.001072,1568419200,20003494
19,0.001059,0.001095,0.001042,0.00107,1568505600,4754900
20,0.001054,0.001081,0.001014,0.001067,1568592000,28798385
21,0.001116,0.001164,0.00102,0.001054,1568678400,32482825
22,0.001172,0.001223,0.00112,0.001128,1568764800,33766059
23,0.001195,0.001196,0.001085,0.00116,1568851200,16344251
24,0.001189,0.001238,0.001128,0.001185,1568937600,39729423
25,0.001189,0.001198,0.001145,0.001189,1569024000,12062642
26,0.001114,0.001197,0.001075,0.001178,1569110400,29874931
27,0.001027,0.001164,0.001026,0.001118,1569196800,19531786
28,0.000776,0.001044,0.000776,0.001025,1569283200,52724665
29,0.00081,0.000823,0.00075,0.000778,1569369600,39339810
30,0.000795,0.00086,0.000748,0.000823,1569456000,47366682
31,0.000828,0.00083,0.000771,0.000798,1569542400,25552386
32,0.00084,0.000858,0.0008,0.000828,1569628800,15617531
33,0.000825,0.000855,0.000789,0.000837,1569715200,15111787
34,0.000834,0.000859,0.000765,0.000806,1569801600,19916741
35,0.000849,0.00088,0.000823,0.00084,1569888000,14602517
36,0.000877,0.0009,0.000819,0.000849,1569974400,17768662
37,0.000927,0.000953,0.000869,0.000883,1570060800,36875431
38,0.00092,0.000925,0.000861,0.000908,1570147200,47516573
39,0.00091,0.00092,0.000886,0.000917,1570233600,24623479
40,0.000841,0.000977,0.000837,0.000914,1570320000,33320767
41,0.000918,0.000935,0.000832,0.000843,1570406400,43581763
42,0.000982,0.00104,0.000902,0.000911,1570492800,61424846
43,0.000955,0.001008,0.000939,0.00097,1570579200,79049124
44,0.000953,0.001025,0.000913,0.00097,1570665600,43763767
45,0.000952,0.001007,0.0009,0.000952,1570752000,12457286
46,0.000942,0.000961,0.00093,0.000953,1570838400,16356424
47,0.000976,0.001,0.000942,0.000943,1570924800,33404426
48,0.000972,0.001004,0.000944,0.000961,1571011200,67956884
49,0.000977,0.001035,0.000953,0.000985,1571097600,89748269
50,0.000918,0.001005,0.000887,0.000978,1571184000,66156212
51,0.000913,0.000946,0.00089,0.000916,1571270400,41638950
52,0.000878,0.000917,0.000861,0.000909,1571356800,38798622
53,0.000885,0.000912,0.000867,0.000872,1571443200,15036504
54,0.000935,0.000941,0.000868,0.000889,1571529600,36623455
55,0.000925,0.000956,0.000921,0.000935,1571616000,31695892
56,0.000916,0.00094,0.000916,0.000937,1571702400,25741973
57,0.000817,0.000947,0.000765,0.000916,1571788800,55860962
58,0.000905,0.000915,0.000771,0.000821,1571875200,75888848
59,0.000945,0.000953,0.000867,0.000908,1571961600,152869000
60,0.000916,0.001034,0.000887,0.000945,1572048000,63995850
61,0.000974,0.001021,0.000902,0.000916,1572134400,46446819
62,0.00101,0.001033,0.000933,0.000974,1572220800,36984616
63,0.000997,0.001025,0.000971,0.001009,1572307200,35579932
64,0.000956,0.001035,0.000915,0.000997,1572393600,37818444
65,0.001,0.001015,0.000919,0.000959,1572480000,27773438
66,0.000998,0.001016,0.000969,0.000988,1572566400,47245145
67,0.001002,0.001021,0.000962,0.000998,1572652800,40010692
68,0.000977,0.001024,0.000959,0.001002,1572739200,19490570
69,0.001052,0.001075,0.000977,0.000977,1572825600,65317299
70,0.00103,0.001061,0.001011,0.001057,1572912000,37715565
71,0.001053,0.001074,0.001019,0.001031,1572998400,28250220
72,0.001142,0.001315,0.001,0.001055,1573084800,388350062
73,0.001041,0.001155,0.001007,0.001141,1573171200,129514255
74,0.001029,0.00111,0.001001,0.001041,1573257600,93664206
75,0.001092,0.001135,0.001018,0.001028,1573344000,81526493
76,0.001073,0.001145,0.001022,0.001089,1573430400,121406057
77,0.001068,0.001082,0.001038,0.001073,1573516800,38591945
78,0.001068,0.001101,0.001052,0.001072,1573603200,41845545
79,0.001157,0.001193,0.00103,0.001059,1573689600,143859989
80,0.001076,0.001167,0.001028,0.001167,1573776000,164017185
81,0.001086,0.001098,0.001052,0.001072,1573862400,40310792
82,0.001185,0.00131,0.001076,0.001085,1573948800,155346716
83,0.001283,0.0015,0.00115,0.001185,1574035200,286714768
84,0.001275,0.001375,0.001195,0.001285,1574121600,249979880
85,0.001189,0.001271,0.001148,0.001267,1574208000,134698755
86,0.001232,0.001252,0.001121,0.001189,1574294400,96799991
87,0.001233,0.001438,0.001199,0.001229,1574380800,481660968
88,0.001225,0.001298,0.001198,0.001229,1574467200,143129916
89,0.001096,0.001237,0.001082,0.001225,1574553600,142803216
90,0.001052,0.001144,0.000966,0.001103,1574640000,172278927
91,0.001171,0.001175,0.001045,0.001056,1574726400,142291843
92,0.001238,0.00134,0.001062,0.001168,1574812800,173883494
93,0.001203,0.0013,0.001186,0.001242,1574899200,105542172
94,0.001216,0.001236,0.001188,0.001206,1574985600,51435778
95,0.001132,0.00132,0.00111,0.001225,1575072000,173588121
96,0.001076,0.001125,0.001059,0.001124,1575158400,36661524
97,0.001114,0.001131,0.001047,0.001076,1575244800,77817149
98,0.001068,0.001152,0.001053,0.001115,1575331200,53741845
99,0.001014,0.00109,0.000971,0.001068,1575417600,70751512
100,0.001012,0.001026,0.000983,0.001013,1575504000,24295197
101,0.000981,0.001012,0.000961,0.001003,1575590400,51452780
102,0.001145,0.001193,0.000952,0.000981,1575676800,203794733
103,0.001117,0.001199,0.001107,0.001145,1575763200,99035802
104,0.001103,0.001164,0.00105,0.001117,1575849600,83985351
105,0.000977,0.001135,0.000939,0.001104,1575936000,100711732
106,0.001052,0.001079,0.000966,0.000971,1576022400,73441820
107,0.001067,0.001075,0.001039,0.001055,1576108800,31772007
108,0.001068,0.00109,0.001051,0.00107,1576195200,20968394
109,0.000967,0.001068,0.000944,0.001068,1576281600,57284233
110,0.000948,0.00101,0.000935,0.000965,1576368000,42293146
111,0.000897,0.000957,0.000891,0.000953,1576454400,24195795
112,0.000813,0.000928,0.000797,0.000898,1576540800,53670117
113,0.000893,0.000893,0.00079,0.000807,1576627200,50633658
114,0.000864,0.0009,0.00084,0.000894,1576713600,18754126
115,0.000885,0.000885,0.000849,0.000864,1576800000,13824833
116,0.000855,0.000883,0.000851,0.00088,1576886400,21592942
117,0.000926,0.000926,0.000843,0.000856,1576972800,35977462
