,c,h,l,o,t,v
0,0.4109,0.45,0.3967,0.45,1566518400,2419868.99
1,0.3925,0.4179,0.3708,0.4112,1566604800,783334.72
2,0.3566,0.4153,0.3459,0.3939,1566691200,1995901.64
3,0.445,0.49,0.35,0.3595,1566777600,3092037.5
4,0.4208,0.49,0.4057,0.445,1566864000,1062596.43
5,0.3793,0.4291,0.3725,0.4208,1566950400,487725.78
6,0.388,0.3915,0.3501,0.3812,1567036800,445464.52
7,0.3977,0.4109,0.3812,0.3881,1567123200,635831.14
8,0.4065,0.439,0.3872,0.3985,1567209600,1152524.69
9,0.3802,0.4299,0.3732,0.4091,1567296000,811550.85
10,0.3936,0.4024,0.3681,0.3801,1567382400,2298012.01
11,0.4048,0.4336,0.3771,0.3936,1567468800,4383555.04
12,0.427,0.4314,0.3898,0.4092,1567555200,1854469.39
13,0.4116,0.4292,0.4051,0.4266,1567641600,2650958.26
14,0.3824,0.4173,0.3756,0.4133,1567728000,1318709.47
15,0.3859,0.3949,0.3772,0.3836,1567814400,640334.28
16,0.3866,0.3907,0.3787,0.3871,1567900800,355201.13
17,0.3852,0.393,0.372,0.3879,1567987200,590531.39
18,0.3736,0.3917,0.3654,0.3848,1568073600,307127.25
19,0.3732,0.3808,0.3613,0.3741,1568160000,820776.67
20,0.3416,0.3735,0.334,0.3732,1568246400,634326.32
21,0.3287,0.3416,0.3212,0.3416,1568332800,469282.72
22,0.3355,0.3406,0.3248,0.3265,1568419200,552674.76
23,0.3288,0.3373,0.3257,0.3355,1568505600,231314.31
24,0.3199,0.3302,0.3038,0.3288,1568592000,646425.11
25,0.3059,0.3177,0.298,0.3167,1568678400,695415.46
26,0.3328,0.3406,0.3051,0.3061,1568764800,804158.1
27,0.3169,0.3362,0.3013,0.3361,1568851200,644515.71
28,0.3141,0.3203,0.3069,0.3153,1568937600,266164.22
29,0.3145,0.3235,0.3041,0.3125,1569024000,499531.0
30,0.3029,0.3156,0.2968,0.315,1569110400,271149.65
31,0.2881,0.3062,0.284,0.3015,1569196800,254042.11
