,c,h,l,o,t,v
0,1.3561,1.7,1.2729,1.7,1554249600,1346486.14
1,1.3159,1.45,1.2729,1.347,1554336000,989461.16
2,1.4249,1.442,1.3065,1.3169,1554422400,554146.21
3,1.385,1.4667,1.3558,1.43,1554508800,498969.81
4,1.405,1.43,1.3665,1.3935,1554595200,298098.63
5,1.5876,1.7238,1.3959,1.4049,1554681600,2705175.72
6,1.6745,1.85,1.5755,1.5875,1554768000,3286361.78
7,1.6131,1.7308,1.6,1.674,1554854400,1498483.53
8,1.455,1.6376,1.376,1.6194,1554940800,1453742.57
9,1.63,1.66,1.373,1.4628,1555027200,1289441.41
10,1.5452,1.6589,1.5169,1.63,1555113600,663726.25
11,1.5684,1.6148,1.485,1.5451,1555200000,501815.54
12,1.5228,1.63,1.4506,1.5721,1555286400,695004.0
13,1.5182,1.57,1.4554,1.5164,1555372800,657120.45
14,1.6045,1.6488,1.5169,1.5169,1555459200,852791.46
15,1.6482,1.694,1.6039,1.6099,1555545600,581845.22
16,1.7377,1.7377,1.6006,1.6482,1555632000,471601.73
17,1.7173,1.7749,1.6651,1.7377,1555718400,531474.77
18,1.6705,1.7274,1.5691,1.7229,1555804800,530830.22
19,1.7679,1.8034,1.6596,1.6705,1555891200,744327.56
20,1.9242,1.97,1.7615,1.7646,1555977600,1728379.02
21,1.7794,1.9247,1.6759,1.9247,1556064000,1391729.99
22,1.635,1.85,1.6037,1.7801,1556150400,1044859.92
23,1.5728,1.68,1.4745,1.6357,1556236800,1469845.42
24,1.5923,1.6183,1.5119,1.5835,1556323200,434598.25
25,1.5539,1.6788,1.5348,1.5942,1556409600,485055.92
26,1.4,1.5728,1.3875,1.5536,1556496000,699909.97
27,1.5263,1.55,1.3999,1.4063,1556582400,423952.14
28,1.5005,1.57,1.47,1.5277,1556668800,321942.65
29,1.469,1.5199,1.4571,1.4971,1556755200,273922.74
30,1.4975,1.5146,1.42,1.4727,1556841600,479648.64
31,1.4499,1.55,1.3611,1.4975,1556928000,541907.74
32,1.4078,1.4798,1.4001,1.45,1557014400,212146.64
33,1.447,1.4977,1.3766,1.4134,1557100800,340532.26
34,1.5381,1.6512,1.4499,1.4499,1557187200,912906.35
35,1.5032,1.5362,1.4556,1.5242,1557273600,440929.86
36,1.427,1.5379,1.4015,1.4929,1557360000,269290.11
37,1.4711,1.5601,1.4228,1.4271,1557446400,420405.59
38,1.591,1.6927,1.4639,1.4696,1557532800,970337.85
39,1.6099,1.7689,1.54,1.5829,1557619200,1034127.48
40,1.6482,1.755,1.58,1.6097,1557705600,858697.91
41,1.6992,1.749,1.6099,1.653,1557792000,1087686.08
42,1.8797,1.9288,1.7,1.7,1557878400,815232.65
43,1.8225,2.07,1.7271,1.868,1557964800,1290238.17
44,1.7579,1.8385,1.58,1.8221,1558051200,916705.23
45,1.678,1.7793,1.6608,1.7581,1558137600,339071.58
46,1.8022,1.87,1.6753,1.6753,1558224000,520530.04
47,1.7044,1.8026,1.63,1.7925,1558310400,610391.08
48,1.7355,1.8,1.67,1.7037,1558396800,501759.23
49,1.6451,1.78,1.6115,1.7335,1558483200,320588.3
50,1.668,1.6891,1.55,1.6572,1558569600,370553.06
51,1.6629,1.77,1.64,1.668,1558656000,367318.19
52,1.6748,1.71,1.6417,1.6679,1558742400,225238.56
53,1.7186,1.76,1.6131,1.6748,1558828800,392150.53
54,1.7908,1.831,1.7032,1.7233,1558915200,622636.59
55,1.7528,1.8,1.7216,1.7887,1559001600,390460.44
56,1.777,1.8435,1.655,1.7592,1559088000,855930.71
57,1.6508,1.9124,1.61,1.7779,1559174400,1205328.44
58,1.7278,1.735,1.5924,1.6508,1559260800,544169.23
59,1.6777,1.75,1.6501,1.7347,1559347200,586371.73
60,1.7809,1.8168,1.6,1.6777,1559433600,800922.25
61,1.62,1.7817,1.607,1.7809,1559520000,420232.79
62,1.4885,1.6201,1.4219,1.6201,1559606400,791373.98
63,1.4934,1.5311,1.4414,1.4885,1559692800,358186.22
64,1.4952,1.5244,1.4111,1.4821,1559779200,393906.54
65,1.5946,1.6285,1.4766,1.4966,1559865600,730598.21
66,1.5964,1.63,1.5349,1.5834,1559952000,440060.27
67,1.5081,1.611,1.4628,1.5982,1560038400,364589.89
68,1.5883,1.61,1.4741,1.5,1560124800,423848.86
69,1.56,1.59,1.4904,1.5849,1560211200,327079.9
70,1.5773,1.5983,1.5343,1.5665,1560297600,392657.71
71,1.7565,1.78,1.5653,1.5773,1560384000,811638.09
72,1.565,1.7655,1.4993,1.7596,1560470400,1087405.08
73,1.5589,1.6208,1.5423,1.5709,1560556800,473623.73
74,1.569,1.5969,1.5275,1.5589,1560643200,483744.87
75,1.5727,1.5896,1.531,1.5801,1560729600,466939.12
76,1.521,1.5727,1.5036,1.5726,1560816000,279579.66
77,1.5552,1.64,1.5058,1.5132,1560902400,709473.82
78,1.455,1.5696,1.4218,1.56,1560988800,624008.9
79,1.4447,1.5,1.3927,1.4552,1561075200,666157.92
80,1.5733,1.59,1.4015,1.4447,1561161600,1154889.0
81,1.5086,1.5999,1.4965,1.573,1561248000,634141.66
