,c,h,l,o,t,v
0,35.582,46.0,34.7,36.0,1511136000,30342.33
1,35.0,37.499,33.5,35.582,1511222400,28677.569
2,35.005,37.3,34.5,35.0,1511308800,6939.531
3,34.69,36.9,34.0,35.01,1511395200,10110.575
4,34.5,36.101,33.09,34.69,1511481600,8078.994
5,37.831,39.928,34.0,34.5,1511568000,24200.524
6,37.81,38.9,37.1,37.831,1511654400,10491.272
7,39.102,41.71,37.5,37.734,1511740800,13232.16
8,37.611,40.52,37.25,39.92,1511827200,15189.495
9,32.482,39.303,30.545,37.8,1511913600,121051.885
10,32.438,35.224,29.104,32.649,1512000000,164844.835
11,35.343,36.359,30.209,32.38,1512086400,202687.005
12,35.046,36.586,34.0,35.452,1512172800,133566.599
13,36.589,39.5,34.81,35.038,1512259200,166575.583
14,41.808,43.186,36.576,36.667,1512345600,190481.502
15,38.661,42.287,38.661,41.951,1512432000,156520.441
16,34.634,38.991,33.382,38.661,1512518400,170201.946
17,33.215,37.0,31.737,34.85,1512604800,172820.395
18,35.594,37.012,31.3,33.216,1512691200,198595.62
19,35.097,38.197,32.902,35.605,1512777600,163032.75
20,32.598,35.219,31.0,35.131,1512864000,186122.929
21,35.777,36.457,32.609,32.609,1512950400,178419.091
22,38.836,39.8,34.95,35.753,1513036800,226390.35
23,43.906,48.0,34.55,38.836,1513123200,294829.464
24,50.273,52.9,43.0,44.28,1513209600,172532.755
25,47.833,51.0,41.25,50.273,1513296000,98502.202
26,49.116,51.749,46.45,47.978,1513382400,78471.93
27,67.187,74.998,48.826,49.11,1513468800,220183.422
28,77.038,81.474,60.0,67.187,1513555200,153215.715
29,69.75,83.8,63.21,77.204,1513641600,189528.411
30,76.879,80.0,56.0,69.59,1513728000,202837.611
31,70.75,81.5,62.22,76.49,1513814400,146532.971
32,55.365,71.685,42.0,70.506,1513900800,364115.945
33,56.497,66.0,53.975,55.364,1513987200,159410.55
34,58.34,58.498,48.65,55.222,1514073600,142864.983
35,65.476,67.99,55.947,58.34,1514160000,90735.532
36,65.231,67.738,61.08,65.5,1514246400,88894.243
37,66.3,70.1,61.0,65.51,1514332800,97680.051
38,64.48,66.922,56.0,66.299,1514419200,125190.155
39,73.133,74.93,62.73,64.279,1514505600,104557.455
40,70.783,74.244,60.0,73.333,1514592000,149332.098
41,74.853,77.774,66.0,71.193,1514678400,124362.869
42,78.299,80.0,71.05,74.854,1514764800,81411.846
43,89.696,96.997,78.246,78.255,1514851200,200642.887
44,103.505,104.885,85.3,89.6,1514937600,157777.608
45,97.669,108.88,94.5,103.506,1515024000,112336.601
46,95.134,106.997,88.0,97.669,1515110400,136754.802
47,100.491,102.869,90.392,95.135,1515196800,67541.119
48,103.096,109.0,97.0,100.092,1515283200,51435.255
49,101.361,108.899,82.5,102.599,1515369600,96541.847
50,126.7,131.0,100.879,101.262,1515456000,163943.227
51,122.239,127.886,106.331,126.911,1515542400,217513.907
52,107.701,125.0,91.1,122.871,1515628800,172426.94
53,123.111,126.099,101.49,107.701,1515715200,84911.316
