,c,h,l,o,t,v
0,0.0261,0.03447,0.023,0.028,1570752000,49729543.2
1,0.03722,0.04138,0.02503,0.0261,1570838400,110657710.3
2,0.03119,0.03902,0.03035,0.03724,1570924800,36061247.3
3,0.04389,0.07742,0.03072,0.03126,1571011200,134085939.7
4,0.03952,0.04818,0.03831,0.04392,1571097600,47555248.3
5,0.03699,0.04156,0.03391,0.0393,1571184000,34514244.7
6,0.03537,0.038,0.0344,0.03699,1571270400,18239930.5
7,0.03234,0.03622,0.03086,0.03535,1571356800,26481577.7
8,0.03251,0.03395,0.03035,0.03239,1571443200,18214048.1
9,0.03575,0.03734,0.03098,0.03228,1571529600,49310508.7
10,0.0338,0.03728,0.03282,0.0358,1571616000,23905904.9
11,0.0313,0.03426,0.03101,0.03366,1571702400,14797432.4
12,0.02799,0.0321,0.02751,0.03138,1571788800,19906892.4
13,0.02856,0.0295,0.0275,0.02817,1571875200,7836945.2
14,0.02812,0.02878,0.02626,0.02857,1571961600,29593462.5
15,0.02577,0.02915,0.02514,0.02812,1572048000,33580583.7
16,0.0293,0.03091,0.02404,0.02573,1572134400,38169838.6
17,0.02645,0.03008,0.02604,0.02939,1572220800,18296704.3
18,0.02856,0.0306,0.0264,0.02645,1572307200,21291731.9
19,0.02682,0.02868,0.02668,0.02836,1572393600,10230362.4
20,0.02608,0.02698,0.02475,0.02696,1572480000,9583158.6
21,0.02608,0.02665,0.02569,0.02586,1572566400,4661940.3
22,0.0274,0.02793,0.026,0.02609,1572652800,6479516.4
23,0.03065,0.03256,0.02714,0.02749,1572739200,61231401.7
24,0.02875,0.03165,0.02802,0.03066,1572825600,22848036.1
25,0.0289,0.02965,0.0279,0.02875,1572912000,15366124.7
26,0.02819,0.0299,0.028,0.02893,1572998400,12302339.9
27,0.02856,0.02897,0.02663,0.02815,1573084800,14526599.8
28,0.03013,0.03401,0.02641,0.0286,1573171200,43659001.5
29,0.02941,0.04338,0.02872,0.03016,1573257600,80957331.9
30,0.02944,0.03038,0.02876,0.02941,1573344000,16224267.7
31,0.02936,0.02989,0.02731,0.02944,1573430400,10368273.2
32,0.02934,0.02961,0.02767,0.02931,1573516800,7605361.7
33,0.03083,0.03181,0.02884,0.02934,1573603200,16646665.3
34,0.02913,0.03176,0.02871,0.03083,1573689600,12729710.8
35,0.02807,0.02996,0.02712,0.02923,1573776000,13112454.7
36,0.02833,0.02842,0.02722,0.02817,1573862400,5271005.4
37,0.02816,0.02888,0.02789,0.02822,1573948800,2737600.6
38,0.02587,0.02819,0.02576,0.02819,1574035200,6750182.1
39,0.02535,0.02638,0.02476,0.0259,1574121600,4629921.9
40,0.02446,0.02536,0.02438,0.02528,1574208000,3067055.6
41,0.02208,0.0245,0.02143,0.02444,1574294400,8566009.9
