,c,h,l,o,t,v
0,2.46,2.9999,2.4302,2.8,1532304000,614568.98
1,2.5501,2.65,2.4112,2.4599,1532390400,647390.03
2,2.587,2.625,2.4573,2.55,1532476800,717550.64
3,2.5151,2.71,2.4949,2.5869,1532563200,743488.55
4,2.5642,2.6,2.3801,2.5146,1532649600,740824.51
5,2.56,2.5779,2.471,2.5642,1532736000,428482.71
6,2.6263,2.6554,2.4935,2.56,1532822400,535923.91
7,2.4604,2.6325,2.38,2.6263,1532908800,443831.59
8,2.199,2.47,2.1406,2.4567,1532995200,512655.01
9,2.1199,2.2145,2.0303,2.1892,1533081600,460081.86
10,2.0086,2.18,1.9733,2.1194,1533168000,451604.45
11,1.9867,2.074,1.9036,1.999,1533254400,437422.41
12,1.8319,2.071,1.8136,2.0,1533340800,597745.43
13,1.8627,1.88,1.8,1.8444,1533427200,465846.09
14,1.8242,1.9239,1.78,1.8698,1533513600,503969.57
15,1.6867,1.8959,1.6866,1.8242,1533600000,501415.4
16,1.5354,1.6951,1.4307,1.6879,1533686400,339531.45
17,1.5525,1.7,1.4709,1.5299,1533772800,369777.66
18,1.3426,1.5715,1.3313,1.5528,1533859200,320637.45
19,1.2662,1.4255,1.2083,1.3458,1533945600,374826.43
20,1.6561,1.8099,1.25,1.2703,1534032000,861781.07
21,1.3904,1.7132,1.3877,1.6561,1534118400,755238.98
22,1.405,1.465,1.2077,1.3903,1534204800,615597.67
23,1.3591,1.5193,1.3327,1.405,1534291200,606134.33
24,1.4374,1.5193,1.31,1.3586,1534377600,513677.9
25,1.6781,1.72,1.4356,1.4507,1534464000,714365.07
26,1.4599,1.71,1.365,1.687,1534550400,647696.94
27,1.5059,1.56,1.383,1.4594,1534636800,539826.82
28,1.3495,1.5151,1.3495,1.5062,1534723200,480336.11
29,1.3799,1.418,1.326,1.3495,1534809600,497666.04
30,1.3762,1.6998,1.315,1.3712,1534896000,920557.73
31,1.4231,1.4599,1.315,1.3953,1534982400,667795.12
32,1.4405,1.4418,1.3784,1.4253,1535068800,545392.56
33,1.5569,1.58,1.4404,1.4411,1535155200,624333.83
34,1.534,1.5636,1.42,1.5633,1535241600,640300.44
35,1.6107,1.6185,1.4991,1.534,1535328000,709221.18
36,1.723,1.7892,1.5938,1.6107,1535414400,705274.28
37,1.5964,1.7458,1.555,1.723,1535500800,800630.9
38,1.8827,2.0,1.548,1.5977,1535587200,2083115.04
39,1.8151,1.893,1.7102,1.8826,1535673600,1236428.07
40,1.8426,1.904,1.8,1.8151,1535760000,1220628.2
41,1.77,1.86,1.7314,1.8425,1535846400,925340.74
42,1.734,1.7913,1.72,1.77,1535932800,902918.43
43,1.7889,1.8366,1.733,1.734,1536019200,976100.94
44,1.373,1.8059,1.373,1.7889,1536105600,1268561.82
45,1.413,1.44,1.2641,1.3748,1536192000,761772.49
46,1.3104,1.5,1.2951,1.4224,1536278400,746249.58
47,1.2487,1.36,1.233,1.3104,1536364800,543059.08
48,1.2515,1.2999,1.201,1.242,1536451200,573084.13
49,1.21,1.2863,1.1783,1.2628,1536537600,478765.07
50,1.1816,1.2976,1.158,1.2169,1536624000,710189.78
51,1.154,1.1813,1.06,1.1813,1536710400,599523.36
52,1.2064,1.255,1.1519,1.1587,1536796800,633143.54
53,1.1824,1.2442,1.12,1.2198,1536883200,712505.85
54,1.186,1.2195,1.1408,1.1728,1536969600,498005.92
55,1.1841,1.1975,1.1412,1.1921,1537056000,542721.85
56,1.1031,1.222,1.085,1.1869,1537142400,677500.35
57,1.1151,1.15,1.07,1.103,1537228800,544847.21
58,1.0938,1.1323,1.0388,1.115,1537315200,769101.46
59,1.1603,1.1604,1.0502,1.0934,1537401600,984628.24
60,1.2042,1.2299,1.1166,1.1591,1537488000,1105667.63
61,1.1583,1.262,1.122,1.2042,1537574400,780559.52
62,1.2167,1.2394,1.1341,1.1583,1537660800,797184.43
