,c,h,l,o,t,v
0,0.218,0.499,0.0989,0.0989,1578528000,47784823.8
1,0.2009,0.2367,0.2005,0.218,1578614400,13995092.32
2,0.1706,0.2047,0.1677,0.2011,1578700800,8965735.05
3,0.1664,0.1765,0.1588,0.1706,1578787200,7504214.3
4,0.1668,0.1815,0.157,0.1668,1578873600,8550823.85
5,0.1453,0.1687,0.145,0.1673,1578960000,9364327.01
6,0.1316,0.1453,0.1289,0.1451,1579046400,9812263.92
7,0.1188,0.1538,0.1171,0.1322,1579132800,10758663.55
8,0.12,0.1285,0.1158,0.1188,1579219200,6813533.74
9,0.128,0.1283,0.1185,0.12,1579305600,3536680.59
10,0.115,0.1298,0.1106,0.128,1579392000,6100461.45
11,0.1096,0.1151,0.1065,0.1149,1579478400,2219321.98
12,0.1245,0.1275,0.109,0.1093,1579564800,7761219.39
13,0.1297,0.1476,0.1246,0.1257,1579651200,10278724.6
14,0.1289,0.1334,0.1221,0.1297,1579737600,3544694.98
15,0.122,0.1339,0.1171,0.1287,1579824000,4038415.95
16,0.1162,0.1231,0.1153,0.122,1579910400,2027227.13
17,0.1166,0.12,0.1125,0.1159,1579996800,1713790.07
18,0.1195,0.1244,0.1166,0.1166,1580083200,1338720.96
19,0.111,0.1204,0.1105,0.1201,1580169600,2031134.22
20,0.1074,0.1127,0.106,0.1113,1580256000,2613909.67
21,0.1112,0.1113,0.1026,0.1074,1580342400,2874715.33
22,0.1117,0.1165,0.1043,0.111,1580428800,3166467.68
23,0.1115,0.1148,0.1081,0.1125,1580515200,1544120.53
24,0.1175,0.1282,0.1112,0.1115,1580601600,4869993.17
25,0.1144,0.1248,0.1115,0.1175,1580688000,4664279.26
26,0.1175,0.1192,0.1126,0.1142,1580774400,3682953.06
27,0.1207,0.1214,0.1109,0.1171,1580860800,4086675.25
28,0.2503,0.298,0.1162,0.1204,1580947200,58317088.65
29,0.2201,0.325,0.2106,0.2522,1581033600,40012109.89
30,0.3266,0.35,0.2115,0.2176,1581120000,28577016.53
