,c,h,l,o,t,v
0,1.9835,2.5,1.829,2.5,1554249600,700690.92
1,2.1328,2.2193,1.9396,1.9839,1554336000,495421.54
2,2.451,2.4723,2.1209,2.1388,1554422400,728503.33
3,2.3204,2.4488,2.2973,2.4488,1554508800,361413.77
4,2.3419,2.3694,2.2609,2.3238,1554595200,368997.87
5,2.3309,2.4998,2.1741,2.3339,1554681600,410029.91
6,2.232,2.3205,2.1776,2.319,1554768000,345619.63
7,2.2247,2.3134,2.2005,2.232,1554854400,203974.68
8,1.9854,2.2327,1.8718,2.2327,1554940800,589606.37
9,1.9656,2.0398,1.8555,1.9857,1555027200,194231.45
10,1.905,1.9945,1.8914,1.9587,1555113600,131179.89
11,1.9776,1.9776,1.8136,1.9107,1555200000,267973.02
12,1.8449,2.0189,1.7834,1.9776,1555286400,340218.39
13,1.9148,1.9448,1.8163,1.8436,1555372800,221817.15
14,1.9357,1.9498,1.866,1.9152,1555459200,206141.16
15,1.9752,1.9882,1.9171,1.9395,1555545600,184174.41
16,1.9661,1.9797,1.896,1.9749,1555632000,129351.72
17,1.9568,1.9801,1.9203,1.9656,1555718400,53806.65
18,1.8488,1.9647,1.7605,1.9508,1555804800,278990.06
19,1.8612,1.877,1.8091,1.8545,1555891200,149660.31
20,1.742,1.8755,1.742,1.8568,1555977600,204709.05
21,1.6633,1.7488,1.5623,1.742,1556064000,496536.5
22,1.5118,1.6986,1.4201,1.666,1556150400,523441.58
23,1.5214,1.5591,1.4395,1.5118,1556236800,329595.09
24,1.5723,1.6242,1.4818,1.525,1556323200,169567.94
25,1.5303,1.6041,1.5101,1.5734,1556409600,138636.33
26,1.4744,1.5623,1.4435,1.5274,1556496000,218060.83
27,1.5619,1.5715,1.4693,1.4813,1556582400,160893.09
28,1.6004,1.6238,1.5654,1.5732,1556668800,170685.94
29,1.6826,1.7628,1.569,1.6013,1556755200,289628.46
30,1.6991,1.7183,1.6266,1.673,1556841600,238462.79
31,1.6,1.7702,1.5525,1.694,1556928000,201694.45
32,1.5685,1.6188,1.5589,1.5964,1557014400,113607.07
33,1.6026,1.6524,1.5036,1.573,1557100800,238412.05
34,1.5998,1.6736,1.5948,1.6119,1557187200,262785.45
35,1.6556,1.7052,1.4,1.5952,1557273600,181330.47
36,1.5928,1.6791,1.5764,1.6475,1557360000,94983.27
37,1.5849,1.6249,1.5427,1.5852,1557446400,185598.39
38,1.7251,1.8225,1.5768,1.5961,1557532800,321995.17
39,1.6482,1.831,1.58,1.7349,1557619200,404933.6
40,1.72,1.8,1.6369,1.6526,1557705600,239301.46
41,1.8736,1.88,1.7104,1.711,1557792000,409408.73
42,2.1951,2.2059,1.8493,1.8708,1557878400,391107.11
43,2.1659,2.4279,2.0312,2.1971,1557964800,804316.01
44,1.99,2.1925,1.825,2.1659,1558051200,502890.74
45,1.8872,2.0094,1.8672,1.9928,1558137600,192140.33
46,2.0995,2.1063,1.8827,1.8876,1558224000,421055.37
47,2.0274,2.1322,1.8704,2.0915,1558310400,471012.6
48,2.1054,2.15,1.9871,2.0197,1558396800,250992.11
49,1.9122,2.1454,1.9118,2.1057,1558483200,247363.94
50,1.9059,1.9717,1.81,1.9117,1558569600,227605.57
51,1.9722,2.0371,1.9079,1.9079,1558656000,151131.59
52,1.9636,2.005,1.9452,1.9723,1558742400,77898.1
53,2.0589,2.0846,1.9001,1.9718,1558828800,140865.79
54,2.2015,2.2737,2.0471,2.0588,1558915200,417525.93
55,2.2597,2.3136,2.158,2.1971,1559001600,397753.12
56,2.2889,2.35,2.1152,2.2597,1559088000,386139.83
57,2.1704,2.4778,2.0538,2.2921,1559174400,588578.52
58,2.2593,2.2711,2.0907,2.1704,1559260800,218476.11
59,2.2232,2.3432,2.1955,2.2665,1559347200,248080.35
60,2.3537,2.3697,2.2159,2.2222,1559433600,168228.62
61,2.0903,2.3587,2.0685,2.3587,1559520000,292274.64
62,1.9639,2.1096,1.9004,2.0915,1559606400,297871.93
63,1.9672,2.0223,1.9073,1.9639,1559692800,248137.94
64,1.9944,2.0125,1.8818,1.962,1559779200,138133.39
65,2.0221,2.0718,1.9623,1.9974,1559865600,373495.17
66,1.9971,2.0408,1.9501,2.0117,1559952000,115067.37
67,1.89,2.0148,1.83,1.9961,1560038400,193206.66
68,2.0205,2.0257,1.852,1.8736,1560124800,306653.84
69,1.9695,2.035,1.9,2.0276,1560211200,228776.59
70,2.0497,2.0571,1.9508,1.9794,1560297600,166860.29
71,2.0976,2.1454,2.0008,2.0569,1560384000,278309.09
72,2.1077,2.1883,2.0201,2.1028,1560470400,316577.35
73,2.0956,2.1735,2.0674,2.1087,1560556800,259617.93
74,2.1271,2.2152,2.0655,2.0906,1560643200,470566.89
75,2.105,2.1522,2.0776,2.1254,1560729600,290418.99
76,2.0459,2.1218,2.0124,2.1068,1560816000,311159.49
77,2.09,2.1346,2.0351,2.0472,1560902400,187067.85
78,2.0159,2.0949,2.0095,2.0947,1560988800,126428.69
