,c,h,l,o,t,v
0,0.02402,0.02848,0.01091,0.015,1559347200,8470112485.7
1,0.02104,0.0241,0.01933,0.02403,1559433600,1899838100.2
2,0.02127,0.02372,0.01959,0.02104,1559520000,1881200108.7
3,0.0235,0.02585,0.02,0.0212,1559606400,2650514770.6
4,0.02835,0.03036,0.02228,0.02346,1559692800,2953343733.7
5,0.02635,0.03079,0.02418,0.02835,1559779200,2031334339.4
6,0.02586,0.02816,0.02457,0.02642,1559865600,992948092.5
7,0.02607,0.02695,0.025,0.02585,1559952000,604978525.4
8,0.02426,0.02773,0.02353,0.02609,1560038400,1083842880.7
9,0.02559,0.02588,0.02365,0.02425,1560124800,629297730.5
10,0.0225,0.02573,0.0222,0.02559,1560211200,628462996.2
11,0.02226,0.02315,0.02131,0.02249,1560297600,480045695.8
12,0.02229,0.02486,0.02153,0.02227,1560384000,706623161.8
13,0.02047,0.02306,0.01961,0.02228,1560470400,457851866.8
14,0.02159,0.02222,0.02045,0.02047,1560556800,393789710.3
15,0.0216,0.02164,0.0206,0.02158,1560643200,299889853.4
16,0.02044,0.02252,0.02025,0.0216,1560729600,325368473.3
17,0.023,0.02398,0.02034,0.02044,1560816000,639296718.8
18,0.02309,0.02478,0.02261,0.02301,1560902400,614862075.6
19,0.02232,0.02405,0.02131,0.02312,1560988800,402691112.2
20,0.02044,0.02305,0.02022,0.02232,1561075200,336867577.1
21,0.02141,0.02238,0.02025,0.02044,1561161600,514983129.0
22,0.0211,0.02235,0.02071,0.02141,1561248000,239413580.3
23,0.02068,0.02194,0.02053,0.02115,1561334400,159182886.7
24,0.01926,0.02095,0.0191,0.0207,1561420800,298598768.8
25,0.0184,0.01949,0.01674,0.01926,1561507200,458140804.7
26,0.0182,0.02127,0.01707,0.0184,1561593600,590734309.2
27,0.01855,0.02033,0.01811,0.01815,1561680000,308767249.5
28,0.02022,0.02216,0.0181,0.01854,1561766400,579468382.0
29,0.01922,0.02286,0.01905,0.0203,1561852800,572675719.6
30,0.01934,0.02056,0.01807,0.0192,1561939200,326231213.0
31,0.01752,0.01968,0.01704,0.01931,1562025600,308268961.6
32,0.01714,0.01841,0.01682,0.0176,1562112000,320042237.9
33,0.01569,0.01716,0.01502,0.01715,1562198400,383631225.2
34,0.0155,0.01661,0.01521,0.01568,1562284800,215930697.2
35,0.01541,0.01585,0.01524,0.01553,1562371200,106598995.1
36,0.01597,0.01638,0.01521,0.01544,1562457600,152310221.4
37,0.01436,0.01619,0.01411,0.01593,1562544000,198123464.5
38,0.01404,0.01494,0.01388,0.01436,1562630400,154019299.9
39,0.01402,0.015,0.01305,0.01405,1562716800,301825163.7
40,0.01211,0.01495,0.0118,0.01403,1562803200,229975709.8
41,0.0138,0.01434,0.01179,0.01212,1562889600,386599979.8
42,0.01581,0.01628,0.01362,0.01381,1562976000,590233246.6
43,0.01285,0.01688,0.0127,0.01581,1563062400,370592128.4
44,0.01345,0.01414,0.0116,0.01283,1563148800,292690236.3
45,0.01145,0.0145,0.01138,0.01346,1563235200,261706239.9
46,0.01336,0.01383,0.01121,0.01146,1563321600,245205948.9
47,0.01298,0.0139,0.01241,0.01337,1563408000,258660523.3
48,0.01287,0.01303,0.01234,0.01297,1563494400,104054456.6
49,0.01306,0.01348,0.01275,0.01286,1563580800,127396252.1
50,0.01255,0.01326,0.01245,0.01306,1563667200,70514288.7
51,0.01185,0.01288,0.01159,0.01254,1563753600,101505093.4
52,0.01055,0.01201,0.01045,0.01183,1563840000,141538841.9
53,0.01094,0.01134,0.01024,0.01054,1563926400,112384455.5
54,0.01094,0.01162,0.01083,0.01094,1564012800,101335452.1
55,0.01129,0.01149,0.01065,0.01094,1564099200,86882484.7
56,0.01108,0.01201,0.01088,0.01129,1564185600,104150846.8
57,0.01071,0.0113,0.01025,0.01109,1564272000,51739780.7
58,0.01031,0.01089,0.00997,0.01071,1564358400,80502784.8
59,0.01071,0.01123,0.01031,0.01031,1564444800,131050443.6
60,0.01061,0.01109,0.01036,0.01071,1564531200,95913114.4
61,0.00982,0.01066,0.0096,0.01064,1564617600,100436112.2
62,0.01037,0.0109,0.0095,0.0098,1564704000,183907298.3
63,0.01012,0.0108,0.00993,0.01036,1564790400,71549069.6
64,0.00965,0.01057,0.00956,0.01012,1564876800,109721078.9
65,0.01168,0.01284,0.00936,0.00964,1564963200,533094773.0
66,0.01236,0.01388,0.01115,0.01166,1565049600,721473059.8
67,0.01208,0.01465,0.01183,0.01235,1565136000,620210095.4
68,0.01184,0.01304,0.01155,0.01209,1565222400,268141489.9
69,0.01006,0.01233,0.00988,0.01184,1565308800,208527406.0
70,0.01102,0.01129,0.01,0.01006,1565395200,203891074.2
71,0.01123,0.01267,0.01049,0.01097,1565481600,287910933.3
72,0.0117,0.0121,0.01096,0.01123,1565568000,149195245.1
73,0.01173,0.0121,0.01116,0.0117,1565654400,184475252.2
74,0.00998,0.0118,0.00997,0.01175,1565740800,162068414.4
75,0.01001,0.01041,0.00974,0.00999,1565827200,106666786.8
76,0.01005,0.01064,0.00952,0.01001,1565913600,128899088.9
77,0.01039,0.01047,0.00992,0.01005,1566000000,65857300.5
78,0.01088,0.01109,0.01016,0.01039,1566086400,74623429.9
79,0.01165,0.01273,0.01083,0.0109,1566172800,251749386.3
80,0.01185,0.01258,0.01109,0.01166,1566259200,230574494.4
81,0.01111,0.01221,0.01067,0.01185,1566345600,152945985.3
82,0.01144,0.01184,0.01057,0.01111,1566432000,103829876.9
83,0.0108,0.01209,0.01066,0.01149,1566518400,160071109.8
84,0.01056,0.01092,0.01035,0.01081,1566604800,109395741.0
85,0.01008,0.01074,0.00983,0.01055,1566691200,59040601.6
86,0.01004,0.01046,0.00989,0.01008,1566777600,60336211.6
87,0.0102,0.01049,0.01001,0.01008,1566864000,79815219.0
88,0.00926,0.01024,0.00913,0.01019,1566950400,105335605.4
89,0.00881,0.00954,0.00853,0.00926,1567036800,85257060.9
90,0.00871,0.00934,0.0086,0.0088,1567123200,77761880.3
91,0.00838,0.00888,0.00811,0.00871,1567209600,56510869.2
92,0.00835,0.00883,0.0082,0.00838,1567296000,58756772.9
93,0.00899,0.00934,0.00835,0.00835,1567382400,90579068.2
94,0.00878,0.00918,0.00862,0.00899,1567468800,71768321.7
95,0.00845,0.00884,0.00841,0.00877,1567555200,41671661.6
96,0.00876,0.00893,0.00841,0.00848,1567641600,59965430.9
97,0.00891,0.00927,0.00844,0.00877,1567728000,120764799.5
98,0.00889,0.00905,0.00857,0.00891,1567814400,63720897.2
99,0.00875,0.00911,0.00866,0.00889,1567900800,46635210.8
100,0.00878,0.00909,0.00848,0.00875,1567987200,53413701.7
101,0.00844,0.00888,0.00827,0.00878,1568073600,39013360.4
102,0.00824,0.0088,0.00813,0.00844,1568160000,50056305.8
103,0.0079,0.00836,0.00754,0.00825,1568246400,59676250.0
104,0.00766,0.00811,0.0076,0.00789,1568332800,35482647.0
105,0.00756,0.00768,0.00745,0.00766,1568419200,26023556.6
106,0.00763,0.00775,0.00748,0.00756,1568505600,20785430.8
107,0.00771,0.00826,0.00747,0.00767,1568592000,62516987.2
108,0.00789,0.00799,0.00765,0.0077,1568678400,26171262.6
109,0.00822,0.0084,0.00757,0.00788,1568764800,139350893.4
110,0.00777,0.00823,0.00751,0.00822,1568851200,49165105.8
111,0.00775,0.00793,0.00766,0.00777,1568937600,77994041.0
112,0.00759,0.00783,0.00755,0.00774,1569024000,23321195.9
113,0.00724,0.0076,0.00693,0.0076,1569110400,59300523.4
114,0.0067,0.00726,0.00669,0.00721,1569196800,68505736.7
115,0.0054,0.00717,0.00497,0.00669,1569283200,111754383.1
116,0.00541,0.00565,0.00513,0.00537,1569369600,46637411.2
117,0.00503,0.00554,0.00461,0.0054,1569456000,135666285.5
118,0.00505,0.00513,0.00482,0.00501,1569542400,43817673.7
119,0.00503,0.0052,0.00489,0.00505,1569628800,63942003.7
120,0.00508,0.00514,0.00491,0.00504,1569715200,56485983.2
121,0.00515,0.00536,0.0047,0.00509,1569801600,88442469.0
122,0.00504,0.00533,0.00499,0.00514,1569888000,39362954.0
123,0.00501,0.00508,0.00488,0.00502,1569974400,23542629.2
124,0.005,0.00509,0.0048,0.00501,1570060800,58830524.0
125,0.00508,0.00521,0.00483,0.005,1570147200,48993861.7
126,0.00505,0.00511,0.00495,0.0051,1570233600,41776875.8
127,0.00495,0.00507,0.00486,0.00505,1570320000,25724283.2
128,0.00549,0.00554,0.0048,0.00493,1570406400,70719925.4
129,0.00583,0.00593,0.00538,0.00546,1570492800,111330190.3
130,0.00586,0.0065,0.00561,0.00585,1570579200,193906450.4
131,0.00625,0.00635,0.00554,0.00586,1570665600,118697812.6
132,0.00637,0.00705,0.00606,0.00627,1570752000,341792896.8
