,c,h,l,o,t,v
0,0.8691,4.0,0.861,1.2,1550275200,11683898.26
1,0.7766,0.92,0.753,0.8647,1550361600,10794099.05
2,0.71,0.7766,0.6598,0.7766,1550448000,7156154.38
3,0.7759,0.8889,0.67,0.7098,1550534400,13980845.14
4,0.7826,0.81,0.7382,0.7786,1550620800,5000897.59
5,0.7278,0.7826,0.7073,0.7826,1550707200,2875327.47
6,0.7358,0.7575,0.7151,0.7278,1550793600,1870907.42
7,0.7542,0.7999,0.7281,0.7358,1550880000,3629652.83
8,0.6398,0.794,0.6126,0.7542,1550966400,5131174.11
9,0.645,0.6899,0.6335,0.6446,1551052800,2222770.41
10,0.6305,0.67,0.615,0.645,1551139200,912785.96
11,0.5948,0.6403,0.5774,0.6306,1551225600,1300415.06
12,0.5768,0.5986,0.5525,0.5947,1551312000,1901742.12
13,0.5746,0.5929,0.5511,0.5769,1551398400,1460520.55
14,0.5708,0.619,0.5546,0.575,1551484800,1892712.96
15,0.5522,0.5844,0.538,0.5706,1551571200,860647.54
16,0.5071,0.5562,0.48,0.5507,1551657600,1047321.87
17,0.5367,0.5444,0.4993,0.5071,1551744000,777854.42
18,0.5212,0.543,0.507,0.5366,1551830400,693603.63
19,0.534,0.5494,0.515,0.5216,1551916800,773791.42
20,0.524,0.6076,0.5181,0.5338,1552003200,2724291.46
21,0.54,0.56,0.5161,0.5295,1552089600,991144.04
22,0.5151,0.54,0.49,0.5387,1552176000,1095067.84
23,0.4899,0.5517,0.4701,0.515,1552262400,1594759.75
24,0.511,0.5616,0.4788,0.4899,1552348800,1811584.37
25,0.739,0.88,0.5105,0.511,1552435200,21698353.51
26,0.6234,0.7658,0.6,0.7411,1552521600,12290758.11
27,0.64,0.6417,0.5898,0.623,1552608000,6334297.44
28,0.6295,0.642,0.6135,0.64,1552694400,4039435.77
29,0.6448,0.655,0.6151,0.6295,1552780800,10264349.23
30,0.6245,0.6448,0.61,0.6448,1552867200,10278355.63
31,0.6114,0.6245,0.5969,0.6245,1552953600,10846968.48
32,0.658,0.6617,0.6,0.6108,1553040000,25717847.18
33,0.6255,0.6842,0.58,0.6575,1553126400,4865155.26
34,0.6452,0.6499,0.6232,0.6263,1553212800,1610625.05
35,0.6347,0.6445,0.6236,0.6445,1553299200,591664.75
36,0.6261,0.638,0.6111,0.6348,1553385600,658208.71
37,0.596,0.6264,0.58,0.626,1553472000,738350.15
38,0.5863,0.5995,0.5525,0.5965,1553558400,731879.74
39,0.6088,0.6196,0.5772,0.5853,1553644800,687179.95
40,0.6064,0.628,0.5911,0.6079,1553731200,738495.8
41,0.6001,0.6065,0.5922,0.6054,1553817600,391664.32
42,0.5925,0.6076,0.5788,0.6005,1553904000,559477.49
43,0.5998,0.6023,0.5828,0.5921,1553990400,583199.5
44,0.5939,0.6023,0.5894,0.601,1554076800,424450.75
45,0.6294,0.63,0.578,0.5967,1554163200,2174087.28
46,0.6133,0.6727,0.5966,0.6298,1554249600,2678909.56
47,0.6442,0.6639,0.6075,0.6096,1554336000,1806153.86
48,0.6577,0.6636,0.6377,0.6424,1554422400,671220.35
49,0.6485,0.6796,0.635,0.6584,1554508800,881623.89
50,0.642,0.6549,0.6292,0.6467,1554595200,462442.01
51,0.6218,0.6482,0.5973,0.642,1554681600,630893.2
52,0.5989,0.6219,0.559,0.6218,1554768000,832250.63
53,0.5933,0.6099,0.5866,0.5984,1554854400,547382.46
54,0.5281,0.6091,0.4872,0.5944,1554940800,1501249.61
55,0.5238,0.5293,0.4916,0.5247,1555027200,542263.39
56,0.5284,0.535,0.516,0.5245,1555113600,214592.7
57,0.5486,0.5515,0.5153,0.5284,1555200000,378829.48
58,0.5302,0.565,0.5169,0.5486,1555286400,461142.31
59,0.54,0.559,0.5201,0.5277,1555372800,266055.61
60,0.5849,0.6629,0.54,0.54,1555459200,3149590.41
61,0.5841,0.6,0.5681,0.5849,1555545600,925229.97
62,0.5836,0.5937,0.5653,0.5871,1555632000,497863.37
63,0.5848,0.5993,0.5754,0.5858,1555718400,266707.33
64,0.5401,0.5899,0.525,0.5848,1555804800,822992.77
65,0.5434,0.55,0.53,0.541,1555891200,437988.64
66,0.5226,0.546,0.5207,0.543,1555977600,440476.27
67,0.4707,0.5243,0.4531,0.5215,1556064000,740988.6
68,0.4427,0.4806,0.4371,0.4707,1556150400,371671.47
69,0.4352,0.4593,0.4079,0.4423,1556236800,449446.54
70,0.4417,0.4524,0.42,0.4352,1556323200,391056.25
71,0.4439,0.4781,0.435,0.4415,1556409600,487700.08
72,0.408,0.4474,0.397,0.4439,1556496000,328906.88
73,0.424,0.425,0.398,0.408,1556582400,278893.72
74,0.4228,0.436,0.4193,0.424,1556668800,360145.17
75,0.4276,0.4346,0.4138,0.4231,1556755200,201269.47
76,0.4306,0.4394,0.4168,0.4274,1556841600,293447.01
77,0.419,0.44,0.4057,0.4308,1556928000,227798.68
78,0.4133,0.4215,0.4089,0.4179,1557014400,160073.37
79,0.4181,0.4205,0.399,0.4148,1557100800,306738.57
80,0.4049,0.4231,0.4014,0.4204,1557187200,244194.33
81,0.3879,0.4048,0.3817,0.4048,1557273600,142464.51
82,0.3519,0.3921,0.3486,0.3875,1557360000,263860.89
83,0.3795,0.3799,0.344,0.3541,1557446400,324147.96
84,0.3899,0.3939,0.3519,0.3764,1557532800,809869.57
85,0.3647,0.3947,0.3538,0.3899,1557619200,678688.93
86,0.3652,0.3808,0.3577,0.3633,1557705600,861355.18
87,0.4007,0.4165,0.3608,0.3657,1557792000,1770934.44
88,0.4431,0.4478,0.3928,0.4007,1557878400,1343204.3
89,0.4209,0.4747,0.3906,0.4431,1557964800,2495410.84
90,0.3878,0.4238,0.3561,0.4236,1558051200,1217240.91
91,0.3966,0.41,0.3709,0.3883,1558137600,1092415.35
92,0.4075,0.4131,0.39,0.3943,1558224000,1169545.23
93,0.4279,0.4937,0.38,0.41,1558310400,2733025.6
94,0.4329,0.4788,0.415,0.4272,1558396800,4304287.03
95,0.428,0.4867,0.4155,0.4329,1558483200,2277657.02
96,0.4453,0.4683,0.406,0.4296,1558569600,1861648.43
97,0.4436,0.465,0.4315,0.4449,1558656000,1066666.41
98,0.4702,0.4813,0.4415,0.4491,1558742400,1144451.93
99,0.4704,0.525,0.4464,0.4714,1558828800,3012394.44
100,0.4871,0.4933,0.4604,0.4706,1558915200,1603749.7
101,0.479,0.4909,0.4625,0.4869,1559001600,902048.74
102,0.4977,0.5058,0.463,0.4768,1559088000,1314146.33
103,0.4459,0.5137,0.4222,0.4957,1559174400,1678530.05
104,0.4572,0.4599,0.4236,0.4459,1559260800,697589.01
