,c,h,l,o,t,v
0,1.0081,1.05,1.0,1.005,1538611200,1434643.78
1,1.0072,1.0096,1.0067,1.0086,1538697600,2030546.58
2,1.0063,1.0088,1.0056,1.0073,1538784000,1902564.99
3,1.0073,1.0094,1.0063,1.0071,1538870400,2201856.65
4,1.009,1.011,1.0054,1.0071,1538956800,3334065.81
5,1.0092,1.0101,1.0078,1.0092,1539043200,2280663.88
6,1.0132,1.0147,1.0077,1.0097,1539129600,2977420.99
7,1.0277,1.05,1.0123,1.0132,1539216000,4162725.6
8,1.0196,1.0355,1.016,1.0272,1539302400,2154412.43
9,1.0221,1.028,1.0189,1.0195,1539388800,4621151.47
10,1.035,1.037,1.0219,1.0223,1539475200,4144383.45
11,1.0504,1.2,1.0337,1.035,1539561600,12947949.45
12,1.0461,1.0613,1.037,1.0504,1539648000,4032139.66
13,1.042,1.0505,1.0379,1.046,1539734400,1909221.04
14,1.032,1.0457,1.0291,1.0416,1539820800,1745327.05
15,1.0216,1.033,1.0211,1.0309,1539907200,1992492.86
16,1.0228,1.0261,1.019,1.0212,1539993600,1966163.07
17,1.0269,1.0308,1.0207,1.0237,1540080000,1979910.19
18,1.0243,1.0331,1.0214,1.0272,1540166400,3379833.74
19,1.0247,1.0284,1.021,1.0243,1540252800,6346629.54
20,1.0231,1.029,1.0228,1.0235,1540339200,2540385.81
21,1.0213,1.0253,1.0205,1.0233,1540425600,6776642.23
22,1.0192,1.0252,1.0191,1.0213,1540512000,6146691.51
23,1.0125,1.0202,1.0105,1.0195,1540598400,7105680.8
24,1.0113,1.0128,1.0105,1.0112,1540684800,6891840.61
25,1.012,1.0167,1.01,1.011,1540771200,8160267.97
26,1.0069,1.0155,1.0056,1.012,1540857600,7768641.39
0,1.0069,1.0155,1.0056,1.012,1540857600,7768641.39
1,1.008,1.011,1.0033,1.0066,1540944000,9888042.09
2,1.0075,1.0111,1.0042,1.008,1541030400,7116770.23
3,1.0062,1.0086,1.0031,1.0075,1541116800,11468165.88
4,1.0021,1.0075,1.0015,1.0063,1541203200,9253649.32
5,1.004,1.0084,1.001,1.0022,1541289600,11248283.19
6,1.0032,1.005,1.0012,1.0034,1541376000,9894879.27
7,1.0048,1.007,1.0012,1.0031,1541462400,12935302.71
8,1.0036,1.0059,1.0025,1.0048,1541548800,13322721.78
9,1.0059,1.007,1.003,1.0036,1541635200,8783684.09
10,1.0086,1.0093,1.004,1.0058,1541721600,10052329.15
11,1.0059,1.0095,1.005,1.0087,1541808000,7075762.83
12,1.0049,1.0067,1.0041,1.0058,1541894400,5785039.48
13,1.0155,1.0164,1.004,1.0049,1541980800,5992676.39
14,1.0314,1.0326,1.0151,1.016,1542067200,8694650.63
