,c,h,l,o,t,v
0,0.1151,0.27,0.0775,0.0775,1566777600,109068248.55
1,0.1124,0.1295,0.104,0.1152,1566864000,63447425.52
2,0.0969,0.1188,0.094,0.1121,1566950400,32566080.35
3,0.0911,0.0978,0.0877,0.0969,1567036800,19029796.94
4,0.0923,0.1044,0.0889,0.091,1567123200,27236597.71
5,0.0869,0.094,0.084,0.0921,1567209600,11423278.11
6,0.0896,0.0937,0.085,0.0868,1567296000,10996611.92
7,0.084,0.09,0.0806,0.0896,1567382400,20623960.79
8,0.0861,0.09,0.0827,0.0847,1567468800,14195558.13
9,0.0928,0.0993,0.0843,0.0856,1567555200,22560901.81
10,0.0888,0.1028,0.0877,0.0928,1567641600,24303825.43
11,0.0816,0.0911,0.08,0.0888,1567728000,20579076.49
12,0.081,0.0824,0.0787,0.0815,1567814400,8934102.39
13,0.0812,0.0852,0.0796,0.0811,1567900800,8511596.96
14,0.0796,0.0823,0.0775,0.0812,1567987200,6664965.41
15,0.0786,0.0832,0.0777,0.0796,1568073600,7889314.57
16,0.0676,0.0799,0.0666,0.0784,1568160000,13291573.03
17,0.0664,0.0713,0.0646,0.0681,1568246400,11636938.98
18,0.0644,0.0682,0.0625,0.0664,1568332800,5854823.83
19,0.0612,0.0646,0.0601,0.0644,1568419200,7690002.05
20,0.063,0.0642,0.06,0.0615,1568505600,6695467.09
21,0.0577,0.0636,0.0557,0.063,1568592000,12960539.01
22,0.0573,0.0589,0.0567,0.0579,1568678400,11262313.48
23,0.0603,0.0623,0.0563,0.0574,1568764800,20903866.16
24,0.0557,0.0606,0.0525,0.0604,1568851200,11906945.12
25,0.056,0.0694,0.0534,0.0556,1568937600,36552172.19
26,0.0585,0.0618,0.0559,0.056,1569024000,17100074.92
27,0.0523,0.0589,0.0511,0.0585,1569110400,11610178.69
28,0.0473,0.0527,0.0456,0.0522,1569196800,10226521.09
29,0.0356,0.0484,0.0324,0.0472,1569283200,14196553.0
30,0.0362,0.0388,0.0332,0.0357,1569369600,7201420.72
31,0.0328,0.0383,0.031,0.036,1569456000,11547062.63
32,0.0344,0.0348,0.0315,0.0328,1569542400,9686726.38
33,0.0341,0.0348,0.0326,0.0344,1569628800,5139554.52
34,0.0324,0.034,0.0307,0.0338,1569715200,6084420.02
35,0.0328,0.0332,0.0303,0.0324,1569801600,7066597.58
36,0.0355,0.0374,0.0321,0.0327,1569888000,13221959.62
37,0.0348,0.0357,0.0335,0.0355,1569974400,7247492.99
38,0.0334,0.0358,0.0318,0.0349,1570060800,10077903.1
39,0.0332,0.0341,0.0322,0.0333,1570147200,5781589.91
40,0.033,0.0337,0.0316,0.0332,1570233600,5766512.2
41,0.0317,0.0332,0.0312,0.033,1570320000,4905739.97
42,0.0338,0.0345,0.0312,0.0315,1570406400,7422609.64
43,0.0339,0.0356,0.0322,0.0338,1570492800,8782265.93
44,0.0353,0.0383,0.032,0.034,1570579200,24124368.74
45,0.0348,0.0371,0.0334,0.0352,1570665600,14688121.48
46,0.0364,0.0371,0.0329,0.0347,1570752000,17011786.29
47,0.0366,0.0408,0.0352,0.0364,1570838400,20511929.55
48,0.035,0.0385,0.0339,0.0367,1570924800,8964522.7
49,0.0369,0.0378,0.0345,0.035,1571011200,11303788.6
