,c,h,l,o,t,v
0,19.878,20.549,13.1,16.0,1521417600,1173351.458
1,20.386,22.0,18.053,19.88,1521504000,2428141.555
2,19.593,21.0,18.5,20.386,1521590400,1660401.58
3,19.288,20.177,17.62,19.593,1521676800,1301822.548
4,18.442,19.304,17.604,19.288,1521763200,1271729.778
5,17.758,19.45,17.64,18.465,1521849600,1194967.755
6,17.958,18.3,17.5,17.758,1521936000,919524.918
7,16.023,18.161,15.1,17.97,1522022400,1509575.618
8,15.149,17.0,14.562,16.0,1522108800,353654.504
9,15.502,16.2,15.026,15.097,1522195200,204091.397
10,14.132,15.625,13.839,15.495,1522281600,173527.532
11,14.182,14.97,13.316,14.053,1522368000,223024.852
12,14.031,14.7,13.938,14.179,1522454400,108491.075
13,13.326,14.248,12.537,14.03,1522540800,121743.004
14,14.155,14.6,13.147,13.326,1522627200,172516.18
15,14.962,15.1,14.01,14.154,1522713600,165969.901
16,13.539,14.98,13.315,14.962,1522800000,107077.082
17,13.323,13.605,12.809,13.544,1522886400,114975.392
18,12.764,13.462,12.514,13.323,1522972800,67119.417
19,13.084,13.438,12.696,12.784,1523059200,71568.324
20,13.399,13.623,13.03,13.045,1523145600,62155.006
21,13.41,14.8,13.001,13.389,1523232000,165097.604
22,13.424,13.55,12.879,13.412,1523318400,71381.786
23,14.374,14.483,13.317,13.439,1523404800,150282.148
24,16.491,16.88,13.301,14.343,1523491200,384467.372
25,15.605,17.659,15.44,16.481,1523577600,389260.216
26,15.837,16.343,15.0,15.605,1523664000,170965.73
27,16.811,17.068,15.836,15.836,1523750400,103845.586
28,16.651,17.007,15.5,16.841,1523836800,119637.001
29,16.187,16.978,16.15,16.651,1523923200,111262.344
30,17.552,17.729,16.186,16.23,1524009600,102454.01
31,18.551,18.6,17.45,17.53,1524096000,147441.228
32,20.267,20.684,17.98,18.551,1524182400,208824.093
33,19.358,20.692,17.688,20.27,1524268800,223516.256
34,19.107,19.9,18.551,19.316,1524355200,132344.142
35,20.457,20.774,19.081,19.107,1524441600,190987.742
36,22.642,23.98,20.41,20.457,1524528000,300321.475
37,19.152,22.616,17.972,22.611,1524614400,420357.294
38,21.007,21.108,18.4,19.152,1524700800,253664.957
39,19.633,21.295,19.551,21.058,1524787200,229912.657
40,21.625,22.05,19.5,19.657,1524873600,305297.317
41,23.001,23.599,20.266,21.637,1524960000,456806.155
42,22.432,25.8,21.666,23.001,1525046400,589056.706
43,22.045,22.46,20.5,22.431,1525132800,338102.986
44,22.29,22.493,21.304,22.003,1525219200,207161.7
45,22.728,23.499,21.64,22.305,1525305600,341723.592
46,22.091,23.805,21.6,22.728,1525392000,219714.159
47,22.464,23.079,21.882,22.1,1525478400,158109.23
48,22.88,23.98,21.323,22.413,1525564800,337698.981
49,21.362,22.997,20.34,22.876,1525651200,176740.228
50,20.658,21.82,20.32,21.361,1525737600,94463.37
51,19.905,20.697,18.968,20.692,1525824000,169906.068
52,18.221,20.108,18.216,19.905,1525910400,123652.271
53,15.834,18.555,15.048,18.222,1525996800,355210.959
54,16.131,16.871,14.28,15.895,1526083200,292257.684
55,17.199,17.838,15.66,16.141,1526169600,244381.307
56,17.664,18.759,15.979,17.198,1526256000,359800.243
57,16.705,18.448,16.66,17.626,1526342400,230817.46
58,16.44,16.832,15.6,16.705,1526428800,172204.925
59,15.302,16.919,15.111,16.404,1526515200,117382.592
60,15.995,16.066,14.82,15.31,1526601600,120299.005
61,16.02,16.371,15.383,15.997,1526688000,118643.4
62,16.759,17.13,15.81,16.069,1526774400,158349.779
63,16.131,16.915,15.88,16.758,1526860800,121907.587
64,14.831,16.206,14.8,16.116,1526947200,111650.557
