,c,h,l,o,t,v
0,0.03888,0.03952,0.03231,0.035,1569369600,966136.9
1,0.03725,0.0413,0.03382,0.03933,1569456000,2567310.7
2,0.03871,0.04086,0.03604,0.03732,1569542400,1856005.5
3,0.03876,0.04072,0.03609,0.03871,1569628800,1065323.8
4,0.04104,0.0433,0.03743,0.03876,1569715200,3602292.8
5,0.03944,0.04162,0.03539,0.04104,1569801600,4934527.7
6,0.04075,0.043,0.03803,0.03946,1569888000,2376786.5
7,0.04139,0.04329,0.0406,0.04076,1569974400,1811674.6
8,0.04009,0.04263,0.0385,0.04168,1570060800,1658892.9
9,0.0415,0.0427,0.03855,0.04009,1570147200,1675701.1
10,0.04351,0.0445,0.04034,0.04151,1570233600,2382986.4
11,0.04277,0.04577,0.0422,0.04351,1570320000,2025019.6
12,0.04472,0.0471,0.0405,0.04277,1570406400,2362863.8
13,0.05025,0.05193,0.04484,0.04484,1570492800,5130138.2
14,0.06277,0.06396,0.0489,0.05037,1570579200,9023812.0
15,0.05892,0.07,0.05636,0.06268,1570665600,21095947.6
16,0.05879,0.065,0.05506,0.05912,1570752000,10163364.5
17,0.06163,0.06245,0.05585,0.05877,1570838400,4677884.5
18,0.06047,0.066,0.05783,0.06177,1570924800,6603266.8
19,0.06585,0.06923,0.06004,0.06004,1571011200,5854373.6
20,0.06285,0.06689,0.06017,0.06585,1571097600,4403369.9
21,0.05702,0.06232,0.05026,0.06231,1571184000,11508613.5
22,0.05696,0.066,0.054,0.05701,1571270400,4609338.3
23,0.05362,0.05733,0.05176,0.05642,1571356800,2160102.6
24,0.05443,0.05501,0.05187,0.05387,1571443200,1593177.6
25,0.05441,0.0594,0.05143,0.0543,1571529600,3566980.7
26,0.05497,0.05689,0.05397,0.05441,1571616000,2011692.5
27,0.05726,0.0599,0.05448,0.05477,1571702400,3274783.3
28,0.05143,0.05739,0.04865,0.05699,1571788800,4539348.7
29,0.05275,0.0567,0.05,0.05163,1571875200,2687689.1
30,0.05802,0.05827,0.05196,0.05274,1571961600,3937053.4
31,0.051,0.06043,0.04881,0.05827,1572048000,9956609.8
32,0.05169,0.0535,0.04773,0.05101,1572134400,7702756.3
33,0.0518,0.05653,0.04999,0.05169,1572220800,5863541.4
34,0.05073,0.05321,0.05,0.05172,1572307200,2341226.4
35,0.0494,0.05148,0.0486,0.05073,1572393600,1551474.9
36,0.04982,0.05133,0.0485,0.0494,1572480000,1635623.6
37,0.05252,0.05398,0.04923,0.04998,1572566400,1502633.5
38,0.05448,0.0562,0.05236,0.05272,1572652800,2328403.0
39,0.05366,0.05448,0.0521,0.05448,1572739200,1053164.8
40,0.0511,0.05325,0.05052,0.05325,1572825600,2740439.5
41,0.05291,0.0547,0.05053,0.0511,1572912000,2546527.3
42,0.06038,0.06438,0.0518,0.05291,1572998400,12560422.4
43,0.05753,0.06087,0.056,0.06014,1573084800,4053574.6
44,0.05449,0.05822,0.05241,0.05755,1573171200,3465486.8
45,0.05704,0.0597,0.05381,0.05441,1573257600,2478902.7
46,0.05594,0.05893,0.053,0.05706,1573344000,9730211.6
47,0.05563,0.0567,0.0552,0.05587,1573430400,2963873.5
48,0.05761,0.06087,0.0556,0.05566,1573516800,6553360.3
49,0.05893,0.05949,0.056,0.0578,1573603200,2968922.8
50,0.06136,0.0618,0.05577,0.05928,1573689600,3958718.9
51,0.05713,0.06168,0.05616,0.06156,1573776000,4583579.0
52,0.05737,0.0591,0.05653,0.05708,1573862400,1317459.5
53,0.05591,0.05791,0.0552,0.05762,1573948800,6142938.8
54,0.05124,0.05607,0.05116,0.05591,1574035200,3580276.5
55,0.05207,0.05433,0.04825,0.05115,1574121600,3166593.8
56,0.04955,0.062,0.0489,0.052,1574208000,2925884.2
57,0.04901,0.05099,0.04601,0.0493,1574294400,2793871.3
58,0.0451,0.05023,0.04171,0.0488,1574380800,2240040.3
59,0.047,0.04716,0.04442,0.04527,1574467200,1219822.6
60,0.04217,0.047,0.04217,0.047,1574553600,1456065.0
61,0.03944,0.04398,0.03715,0.04208,1574640000,7203842.3
62,0.04054,0.042,0.03861,0.03949,1574726400,3788586.2
63,0.04092,0.04259,0.03734,0.04046,1574812800,3634758.1
64,0.04036,0.04154,0.03904,0.04106,1574899200,1824475.6
65,0.04159,0.04249,0.04011,0.04011,1574985600,1812362.2
66,0.0407,0.043,0.03939,0.0416,1575072000,4390526.9
67,0.03887,0.0405,0.03794,0.0405,1575158400,1511018.7
68,0.03752,0.03942,0.03688,0.0387,1575244800,1265272.4
69,0.03895,0.03946,0.03715,0.03762,1575331200,2136517.9
70,0.03524,0.04,0.03449,0.03866,1575417600,4222539.8
71,0.03824,0.03824,0.03411,0.0352,1575504000,3678817.3
72,0.03915,0.03935,0.036,0.03805,1575590400,4222599.8
73,0.03882,0.04836,0.03844,0.03924,1575676800,3009463.4
74,0.03777,0.03873,0.03713,0.03853,1575763200,2097635.7
75,0.03656,0.0387,0.03616,0.03784,1575849600,2094630.3
76,0.03443,0.03656,0.03308,0.03656,1575936000,3352702.4
77,0.03367,0.0382,0.0328,0.03425,1576022400,3325175.3
78,0.034,0.03404,0.03256,0.03384,1576108800,1200592.2
79,0.03483,0.03679,0.03335,0.03414,1576195200,1783666.8
80,0.03656,0.03796,0.0338,0.03466,1576281600,6707892.9
81,0.03607,0.03673,0.03426,0.03662,1576368000,7389764.5
82,0.03228,0.03654,0.03169,0.03592,1576454400,4972912.7
83,0.02908,0.03283,0.02823,0.0324,1576540800,3667339.0
84,0.03216,0.03299,0.02751,0.029,1576627200,2832195.6
85,0.03142,0.03245,0.03055,0.03216,1576713600,948852.8
86,0.03189,0.03271,0.03069,0.03149,1576800000,1150416.7
87,0.0319,0.03231,0.031,0.0319,1576886400,726036.2
88,0.03274,0.03389,0.03164,0.0321,1576972800,2115253.8
89,0.03304,0.03389,0.03209,0.03274,1577059200,1683680.9
90,0.03469,0.0363,0.03208,0.03304,1577145600,5681961.7
91,0.03239,0.0376,0.03151,0.03474,1577232000,4956522.7
92,0.03236,0.03448,0.032,0.03239,1577318400,2737431.1
93,0.03267,0.03409,0.03167,0.03236,1577404800,1522582.1
94,0.03145,0.03294,0.03092,0.0327,1577491200,3257809.6
95,0.03103,0.03151,0.0304,0.03124,1577577600,1849489.3
96,0.03153,0.03205,0.03074,0.03092,1577664000,1192884.0
97,0.03099,0.03342,0.03061,0.03153,1577750400,4726418.8
98,0.032,0.0326,0.03056,0.03097,1577836800,1361696.4
99,0.03476,0.03699,0.03181,0.03209,1577923200,12335878.9
100,0.03556,0.03855,0.03316,0.03501,1578009600,13771596.1
101,0.03528,0.03779,0.03506,0.03556,1578096000,5262442.4
102,0.03527,0.037,0.03379,0.0353,1578182400,5121017.7
103,0.04022,0.04109,0.03521,0.03535,1578268800,5440012.8
104,0.03874,0.04337,0.03822,0.04003,1578355200,14949322.6
105,0.04012,0.04354,0.03691,0.0385,1578441600,12060050.5
106,0.04094,0.04346,0.03971,0.03995,1578528000,9207616.7
107,0.04596,0.04599,0.04083,0.04083,1578614400,9822573.3
108,0.0458,0.0483,0.04317,0.04595,1578700800,11032787.4
109,0.04452,0.0476,0.04409,0.04581,1578787200,5922587.5
110,0.04609,0.04611,0.04171,0.04453,1578873600,7268842.1
111,0.04384,0.04793,0.04256,0.04577,1578960000,8551872.7
112,0.0465,0.04696,0.04208,0.04384,1579046400,6347832.5
113,0.04374,0.04666,0.04298,0.04625,1579132800,2828175.2
114,0.04521,0.04732,0.043,0.04353,1579219200,4626992.7
115,0.04462,0.04581,0.04371,0.045,1579305600,1403789.2
116,0.04259,0.04534,0.04057,0.0442,1579392000,2615770.6
117,0.04148,0.04297,0.04,0.04246,1579478400,2639964.6
118,0.04226,0.04315,0.04135,0.04148,1579564800,1348296.7
119,0.04202,0.04268,0.04137,0.04211,1579651200,779569.7
120,0.04041,0.04163,0.03909,0.04163,1579737600,2440116.0
121,0.04002,0.04094,0.03895,0.0404,1579824000,975755.8
122,0.04046,0.041,0.03857,0.04002,1579910400,2211689.7
123,0.0415,0.04191,0.04031,0.04032,1579996800,1567792.0
124,0.04151,0.0429,0.04109,0.04151,1580083200,2634694.9
125,0.04368,0.04406,0.041,0.04178,1580169600,3803329.2
126,0.04311,0.04455,0.04267,0.04368,1580256000,1103354.2
127,0.04345,0.04353,0.04241,0.04303,1580342400,1012159.8
128,0.04477,0.04485,0.04292,0.04345,1580428800,1759973.9
129,0.04459,0.0452,0.04399,0.04468,1580515200,887741.3
130,0.04656,0.04715,0.0434,0.04429,1580601600,1982454.4
131,0.04793,0.04975,0.04527,0.04656,1580688000,3785823.0
132,0.05443,0.0615,0.04788,0.04793,1580774400,14959550.5
133,0.05386,0.055,0.0504,0.0544,1580860800,5492392.9
134,0.05957,0.06013,0.05333,0.05382,1580947200,4630482.6
135,0.0577,0.0599,0.05676,0.05959,1581033600,2736505.4
136,0.05612,0.064,0.05458,0.0577,1581120000,6589783.2
