,c,h,l,o,t,v
0,0.7147,0.7597,0.7042,0.75,1573689600,149622.97
1,0.7045,0.749,0.6858,0.7126,1573776000,70005.14
2,0.7576,0.7847,0.6937,0.7036,1573862400,205524.61
3,0.8159,0.91,0.7456,0.7649,1573948800,437981.52
4,0.773,0.8481,0.74,0.816,1574035200,429545.61
5,0.7252,0.7937,0.7045,0.7721,1574121600,275343.0
6,0.741,0.773,0.66,0.7252,1574208000,366385.65
7,0.6576,0.7607,0.6187,0.741,1574294400,290594.95
8,0.6553,0.7177,0.5269,0.655,1574380800,561280.07
9,0.7458,0.775,0.6245,0.6547,1574467200,723083.39
10,0.6649,0.7499,0.6484,0.7445,1574553600,317058.04
11,0.6628,0.7297,0.6205,0.6646,1574640000,345679.17
12,0.6513,0.6991,0.6472,0.6628,1574726400,191658.27
13,0.64,0.679,0.6001,0.6579,1574812800,441998.64
14,0.6745,0.7249,0.64,0.64,1574899200,394079.66
15,0.7059,0.7258,0.5332,0.6672,1574985600,274153.99
16,0.6828,0.7103,0.6604,0.7059,1575072000,79213.66
17,0.6142,0.6838,0.61,0.6838,1575158400,235639.3
18,0.5753,0.65,0.55,0.6143,1575244800,434614.5
19,0.5406,0.5999,0.5324,0.5725,1575331200,574881.21
20,0.5223,0.5724,0.5055,0.537,1575417600,398536.28
21,0.5397,0.5694,0.52,0.5278,1575504000,233118.09
22,0.5445,0.5514,0.506,0.5436,1575590400,303154.74
23,0.5445,0.55,0.5309,0.5444,1575676800,93000.48
24,0.6075,0.7185,0.5327,0.5433,1575763200,705817.49
25,0.5648,0.6251,0.55,0.6118,1575849600,375412.12
26,0.5374,0.5679,0.5,0.5631,1575936000,320735.34
27,0.551,0.5646,0.5327,0.5376,1576022400,167219.68
28,0.6073,0.615,0.5335,0.55,1576108800,325188.13
29,0.5289,0.6201,0.5163,0.6007,1576195200,999701.94
30,0.4715,0.5447,0.4661,0.5289,1576281600,516178.61
31,0.4611,0.4959,0.448,0.4672,1576368000,396393.84
32,0.4188,0.479,0.4111,0.4608,1576454400,327002.13
33,0.3673,0.4195,0.3531,0.415,1576540800,478214.3
34,0.4238,0.4712,0.3399,0.3716,1576627200,677204.45
35,0.4457,0.4479,0.3922,0.4239,1576713600,513614.55
36,0.4314,0.446,0.4117,0.4454,1576800000,343391.45
37,0.4053,0.45,0.3986,0.4316,1576886400,239182.24
38,0.3914,0.4126,0.3866,0.4054,1576972800,202908.14
39,0.3858,0.4168,0.38,0.389,1577059200,222866.92
40,0.3899,0.3926,0.3806,0.382,1577145600,59514.04
41,0.3764,0.3904,0.3661,0.3904,1577232000,64997.24
42,0.3639,0.3804,0.359,0.3763,1577318400,75876.82
43,0.3898,0.4076,0.3546,0.3654,1577404800,137097.87
44,0.3699,0.3971,0.36,0.3971,1577491200,210162.75
45,0.3821,0.3922,0.3612,0.3691,1577577600,181031.64
46,0.3703,0.3894,0.3702,0.3842,1577664000,169545.45
47,0.4081,0.465,0.3579,0.3701,1577750400,910030.34
48,0.4177,0.4602,0.3859,0.4109,1577836800,1043740.96
49,0.3764,0.4401,0.3696,0.4177,1577923200,542243.23
50,0.4041,0.4189,0.3682,0.3788,1578009600,338452.91
51,0.3981,0.4255,0.3912,0.4041,1578096000,293765.19
52,0.405,0.4191,0.3915,0.398,1578182400,300453.22
53,0.3951,0.4062,0.3852,0.4048,1578268800,233398.79
54,0.4302,0.44,0.3931,0.3959,1578355200,455357.49
55,0.436,0.4899,0.4231,0.4302,1578441600,904963.41
56,0.4163,0.4407,0.4041,0.4364,1578528000,212613.76
57,0.4297,0.4297,0.4014,0.4163,1578614400,116980.68
58,0.4242,0.4345,0.4125,0.43,1578700800,139962.72
59,0.4561,0.4676,0.4198,0.4198,1578787200,216569.0
60,0.4774,0.5,0.4437,0.4561,1578873600,504531.12
61,0.5005,0.5059,0.4511,0.4768,1578960000,506193.31
62,0.5242,0.5441,0.4821,0.4999,1579046400,510343.7
63,0.5744,0.5934,0.503,0.5228,1579132800,593396.77
64,0.556,0.62,0.5411,0.5749,1579219200,603356.73
65,0.533,0.5621,0.5218,0.552,1579305600,296585.69
66,0.495,0.5408,0.46,0.5318,1579392000,443360.81
67,0.4901,0.5062,0.4619,0.495,1579478400,192608.86
68,0.4928,0.5107,0.478,0.4945,1579564800,208439.3
69,0.5014,0.51,0.4878,0.4927,1579651200,93909.74
70,0.4944,0.5014,0.4685,0.5014,1579737600,119740.71
71,0.5151,0.546,0.4801,0.4944,1579824000,273194.9
72,0.4988,0.5198,0.4891,0.5193,1579910400,86726.93
73,0.5222,0.5281,0.4882,0.4947,1579996800,176176.52
74,0.512,0.5414,0.5048,0.5222,1580083200,251315.43
75,0.5681,0.5949,0.5049,0.5109,1580169600,429773.88
76,0.5807,0.6079,0.5638,0.5691,1580256000,508484.29
77,0.684,0.695,0.5658,0.5807,1580342400,557497.04
78,0.6684,0.725,0.6444,0.6822,1580428800,717927.23
79,0.6885,0.7196,0.6564,0.6727,1580515200,357140.37
80,0.6576,0.6888,0.6418,0.6885,1580601600,412656.61
81,0.7095,0.75,0.6358,0.658,1580688000,377008.87
82,0.7159,0.719,0.6622,0.7095,1580774400,268458.94
83,0.7009,0.7216,0.6896,0.7134,1580860800,158812.83
84,0.7747,0.799,0.6989,0.7017,1580947200,371334.03
85,0.7795,0.799,0.7693,0.7693,1581033600,161337.13
86,0.7405,0.7795,0.7141,0.7785,1581120000,296496.38
