,c,h,l,o,t,v
0,0.02665,0.02713,0.0247,0.0252,1569369600,1522520.0
1,0.02799,0.029,0.02474,0.0265,1569456000,5815542.7
2,0.02894,0.02908,0.02598,0.028,1569542400,5022722.6
3,0.02817,0.02949,0.02768,0.02894,1569628800,2577296.8
4,0.03065,0.03236,0.02762,0.02817,1569715200,26791880.4
5,0.03069,0.03138,0.02763,0.03083,1569801600,10140294.9
6,0.02918,0.03104,0.02875,0.03095,1569888000,8233610.2
7,0.03099,0.03122,0.02929,0.02944,1569974400,3196934.2
8,0.03031,0.03119,0.02815,0.03094,1570060800,4313845.8
9,0.03121,0.03141,0.02875,0.03029,1570147200,12205112.7
10,0.032,0.032,0.0295,0.03121,1570233600,7760644.4
11,0.0302,0.032,0.02972,0.032,1570320000,6137123.9
12,0.03242,0.03301,0.03008,0.03041,1570406400,6248092.9
13,0.03203,0.03292,0.03092,0.03242,1570492800,10581232.9
14,0.03327,0.0342,0.031,0.03199,1570579200,14632787.4
15,0.0379,0.039,0.03305,0.03342,1570665600,46889075.5
16,0.03557,0.03833,0.03437,0.0379,1570752000,37111864.5
17,0.03843,0.03888,0.03553,0.03559,1570838400,21408993.1
18,0.03641,0.0386,0.03576,0.03848,1570924800,13585242.1
19,0.03615,0.0368,0.03494,0.03641,1571011200,11341500.7
20,0.03387,0.0364,0.03363,0.03626,1571097600,15919643.6
21,0.032,0.0342,0.0308,0.03402,1571184000,12327185.7
22,0.0329,0.03333,0.03091,0.032,1571270400,14721760.9
23,0.03113,0.03346,0.03033,0.0329,1571356800,14853163.7
24,0.03145,0.03174,0.03072,0.03089,1571443200,4193040.8
25,0.03179,0.03183,0.03034,0.03145,1571529600,4700591.3
26,0.03127,0.03182,0.03069,0.03165,1571616000,9191402.2
27,0.03103,0.03207,0.03074,0.03127,1571702400,12207970.4
28,0.02772,0.03129,0.02652,0.03103,1571788800,17512488.9
29,0.02805,0.02844,0.02681,0.02762,1571875200,10862692.0
30,0.02959,0.02962,0.02698,0.02798,1571961600,29205599.0
31,0.02887,0.032,0.0272,0.02967,1572048000,41594716.3
32,0.02975,0.03055,0.0275,0.02887,1572134400,18989250.9
33,0.03046,0.0318,0.02876,0.02974,1572220800,13308057.2
34,0.02999,0.03119,0.0294,0.03041,1572307200,9709148.3
35,0.029,0.03,0.02836,0.02983,1572393600,5915972.9
36,0.02908,0.02997,0.02812,0.02901,1572480000,14343812.0
37,0.02875,0.0293,0.0279,0.02907,1572566400,8451351.2
38,0.02927,0.02957,0.02857,0.0288,1572652800,5577650.3
39,0.03003,0.0305,0.02895,0.02929,1572739200,15166144.2
40,0.02942,0.02999,0.02869,0.02998,1572825600,12488866.0
41,0.02945,0.02963,0.02877,0.02935,1572912000,9596096.1
42,0.0296,0.02995,0.029,0.02939,1572998400,12483176.3
43,0.02917,0.02995,0.02874,0.02952,1573084800,10061859.9
44,0.02816,0.02982,0.0274,0.02917,1573171200,18451001.8
45,0.02866,0.02898,0.02791,0.02801,1573257600,7286564.1
46,0.02934,0.02974,0.02844,0.02863,1573344000,13531019.7
47,0.0285,0.02935,0.02788,0.02934,1573430400,10246090.0
48,0.02854,0.02899,0.02741,0.02858,1573516800,12662049.5
49,0.02812,0.02862,0.0279,0.02854,1573603200,6937616.6
50,0.02726,0.02826,0.02663,0.0281,1573689600,10544969.7
51,0.02644,0.02748,0.02602,0.0273,1573776000,9908165.7
52,0.02677,0.02689,0.02626,0.02641,1573862400,12021173.0
53,0.02655,0.027,0.02633,0.02683,1573948800,6037121.3
54,0.0256,0.02685,0.0251,0.02655,1574035200,7443472.6
55,0.02497,0.02558,0.02451,0.02556,1574121600,11361435.6
56,0.02462,0.02516,0.0245,0.0249,1574208000,7950728.8
57,0.02328,0.0249,0.02186,0.02462,1574294400,8508051.8
58,0.02179,0.02382,0.01996,0.02328,1574380800,12586752.5
59,0.02262,0.02369,0.02141,0.02179,1574467200,6606099.2
60,0.02105,0.02283,0.02085,0.02274,1574553600,10920772.9
61,0.02171,0.02254,0.01925,0.02115,1574640000,14730112.0
62,0.0223,0.0229,0.02154,0.02171,1574726400,8265312.0
63,0.0227,0.023,0.02061,0.0223,1574812800,17920831.4
64,0.02255,0.02321,0.02233,0.0227,1574899200,5294324.6
65,0.02319,0.0235,0.0224,0.0225,1574985600,4425606.4
66,0.02261,0.02348,0.02218,0.0232,1575072000,4687945.2
67,0.02258,0.02273,0.02166,0.0225,1575158400,4467229.3
68,0.02278,0.02343,0.02155,0.02229,1575244800,6417016.6
69,0.02564,0.0275,0.02268,0.02285,1575331200,137165708.7
70,0.02626,0.0285,0.02468,0.02568,1575417600,156219851.3
71,0.02603,0.02695,0.02403,0.02626,1575504000,70564782.8
72,0.02844,0.03016,0.02535,0.02591,1575590400,197209067.4
73,0.03379,0.0338,0.02821,0.02845,1575676800,210234272.7
74,0.03226,0.03415,0.0313,0.03379,1575763200,89077307.1
75,0.03027,0.03332,0.03001,0.03226,1575849600,77553505.8
76,0.024,0.03055,0.02155,0.03028,1575936000,242845622.2
77,0.02492,0.02698,0.02368,0.024,1576022400,75241653.6
78,0.0235,0.02519,0.02292,0.02503,1576108800,39359405.6
79,0.0241,0.02479,0.0231,0.0235,1576195200,34125191.4
80,0.02229,0.02425,0.02176,0.02404,1576281600,27886520.0
81,0.02305,0.0242,0.02191,0.02235,1576368000,16023939.7
82,0.0221,0.02386,0.02164,0.02311,1576454400,19623611.8
83,0.02068,0.02215,0.0201,0.02209,1576540800,21387145.3
84,0.02252,0.02289,0.0196,0.0206,1576627200,21428418.6
85,0.02282,0.02366,0.02183,0.02253,1576713600,26363170.0
86,0.02374,0.0242,0.02276,0.02287,1576800000,25327745.0
87,0.0227,0.02398,0.02227,0.02377,1576886400,16788130.1
88,0.02357,0.02366,0.02231,0.02277,1576972800,16526125.9
89,0.02275,0.02384,0.02237,0.02357,1577059200,27960535.7
90,0.0232,0.02325,0.02225,0.02266,1577145600,10163564.0
91,0.02222,0.0235,0.02152,0.02322,1577232000,27433018.9
92,0.02195,0.02295,0.02179,0.02225,1577318400,21650379.5
93,0.02228,0.02238,0.02164,0.02208,1577404800,10789674.4
94,0.02254,0.02273,0.02227,0.02232,1577491200,8865550.8
95,0.02278,0.02303,0.02244,0.02264,1577577600,16599665.4
96,0.02239,0.02279,0.02199,0.02279,1577664000,7293651.0
97,0.02295,0.02352,0.0222,0.02228,1577750400,31536382.8
98,0.0227,0.02349,0.02251,0.02303,1577836800,18205698.3
99,0.02299,0.02314,0.02162,0.02281,1577923200,31666027.7
100,0.023,0.02325,0.02173,0.02299,1578009600,39327417.4
101,0.02291,0.02318,0.0225,0.023,1578096000,18348607.6
102,0.02326,0.02353,0.02289,0.02291,1578182400,22443786.2
103,0.0241,0.0245,0.023,0.02326,1578268800,33930568.8
104,0.02471,0.02497,0.0237,0.0241,1578355200,57776802.9
105,0.02417,0.025,0.02312,0.02467,1578441600,61957421.7
106,0.02335,0.02429,0.02324,0.02416,1578528000,9525002.5
107,0.024,0.024,0.02285,0.02344,1578614400,12587841.4
108,0.02385,0.0245,0.02371,0.024,1578700800,19199058.4
109,0.02399,0.02429,0.02372,0.02388,1578787200,11032464.3
110,0.02361,0.0241,0.0233,0.02399,1578873600,8202424.6
111,0.02478,0.02513,0.02322,0.02354,1578960000,51603768.8
112,0.02685,0.02725,0.02459,0.02478,1579046400,84845709.2
113,0.02631,0.027,0.02463,0.02684,1579132800,85560635.9
114,0.02802,0.02875,0.02614,0.02644,1579219200,91170434.7
115,0.02736,0.02835,0.02708,0.02803,1579305600,34539853.4
116,0.02624,0.02788,0.0255,0.02736,1579392000,33824587.6
117,0.02612,0.02655,0.02529,0.02632,1579478400,19578712.4
118,0.02657,0.0273,0.02117,0.02612,1579564800,67776044.2
119,0.02671,0.027,0.02632,0.0266,1579651200,11310133.9
120,0.02558,0.02679,0.02504,0.02676,1579737600,14963292.0
121,0.02584,0.02624,0.02484,0.02558,1579824000,9772417.6
122,0.02592,0.02619,0.02517,0.02578,1579910400,12057722.7
123,0.02639,0.02669,0.02575,0.02591,1579996800,10090715.0
124,0.02673,0.02711,0.02603,0.02649,1580083200,19158428.5
125,0.02736,0.02737,0.02634,0.02675,1580169600,23281918.4
126,0.02693,0.02735,0.02661,0.02726,1580256000,21811502.0
127,0.0277,0.02798,0.02688,0.02692,1580342400,28464472.4
128,0.02746,0.02813,0.02694,0.02779,1580428800,15613772.9
129,0.02784,0.02796,0.02729,0.0276,1580515200,15133930.7
130,0.02846,0.02914,0.0271,0.02789,1580601600,37551158.6
131,0.03062,0.03152,0.02825,0.02846,1580688000,98453934.6
132,0.03154,0.0326,0.03009,0.03072,1580774400,79230425.0
133,0.03178,0.03227,0.03,0.03154,1580860800,69744873.6
134,0.03453,0.03594,0.03141,0.0318,1580947200,89556611.1
135,0.03634,0.03759,0.03443,0.03445,1581033600,93739375.1
136,0.03381,0.03646,0.0325,0.03638,1581120000,89498155.0
