,c,h,l,o,t,v
0,0.001708,0.0019,0.001616,0.0019,1566864000,14933440
1,0.001527,0.001708,0.001504,0.001638,1566950400,3907790
2,0.001515,0.001628,0.001437,0.00161,1567036800,2254765
3,0.00161,0.001695,0.001515,0.001515,1567123200,15187614
4,0.001568,0.00167,0.001496,0.001608,1567209600,3000130
5,0.001594,0.001595,0.001523,0.001568,1567296000,11521330
6,0.001576,0.00165,0.001522,0.001594,1567382400,1992204
7,0.001579,0.001595,0.001519,0.001595,1567468800,2927047
8,0.001552,0.00158,0.001515,0.00158,1567555200,1564230
9,0.00152,0.001577,0.001473,0.001552,1567641600,4489910
10,0.001476,0.001518,0.001436,0.001491,1567728000,3226682
11,0.001698,0.002309,0.001209,0.001476,1567814400,40143267
12,0.001668,0.001799,0.001521,0.0017,1567900800,30878989
13,0.001698,0.0017,0.00153,0.001668,1567987200,30019204
14,0.00162,0.00175,0.001566,0.001698,1568073600,12934826
15,0.001519,0.001648,0.001519,0.001586,1568160000,4243657
16,0.001547,0.001547,0.001453,0.001524,1568246400,11744881
17,0.001468,0.001519,0.00146,0.001513,1568332800,2428469
18,0.001511,0.001988,0.001463,0.001473,1568419200,9660402
19,0.001504,0.001523,0.00147,0.001511,1568505600,3013893
20,0.001532,0.001755,0.00125,0.001504,1568592000,28808231
21,0.001534,0.001696,0.001503,0.001522,1568678400,19052304
22,0.001637,0.001699,0.001536,0.001538,1568764800,42556092
23,0.001605,0.001669,0.001545,0.001628,1568851200,14131616
24,0.001604,0.001651,0.001564,0.001606,1568937600,8981178
25,0.001576,0.00165,0.001538,0.001604,1569024000,6382290
26,0.001559,0.001596,0.001521,0.001586,1569110400,3269516
27,0.0015,0.001543,0.001465,0.001528,1569196800,12890757
28,0.001167,0.001528,0.001156,0.001498,1569283200,19373967
29,0.001151,0.0012,0.001073,0.001169,1569369600,14807585
30,0.001103,0.001182,0.00103,0.001156,1569456000,16580433
31,0.001162,0.001162,0.001073,0.0011,1569542400,5640442
32,0.001163,0.001176,0.001122,0.001164,1569628800,5666012
33,0.001124,0.001182,0.001097,0.001163,1569715200,5355895
34,0.00122,0.001299,0.001081,0.001138,1569801600,14052744
35,0.001247,0.001329,0.001191,0.00122,1569888000,12745422
36,0.001235,0.001308,0.001175,0.001238,1569974400,19814551
37,0.001219,0.00124,0.001176,0.001238,1570060800,8820443
38,0.001237,0.001277,0.001204,0.001214,1570147200,6101619
39,0.001279,0.001304,0.001246,0.001257,1570233600,9773094
40,0.001265,0.001305,0.001212,0.00128,1570320000,6386471
41,0.001287,0.001299,0.0012,0.001225,1570406400,12334083
42,0.001357,0.001416,0.001245,0.001265,1570492800,16538855
43,0.001383,0.001427,0.001318,0.001346,1570579200,17338727
44,0.001303,0.001386,0.001302,0.00137,1570665600,11287624
45,0.001294,0.001315,0.001245,0.001302,1570752000,12731561
46,0.001331,0.001375,0.00128,0.00128,1570838400,4146626
47,0.001321,0.001357,0.001291,0.001347,1570924800,5598717
48,0.001335,0.00136,0.001289,0.001321,1571011200,5704379
49,0.001304,0.001354,0.001249,0.001347,1571097600,6300429
50,0.00127,0.001305,0.001213,0.001304,1571184000,6066936
51,0.00127,0.001276,0.001228,0.001254,1571270400,8479352
52,0.00126,0.001281,0.001198,0.001269,1571356800,16511600
53,0.001292,0.001471,0.001221,0.001259,1571443200,80330620
54,0.001354,0.001399,0.001273,0.001299,1571529600,87188895
55,0.001349,0.001458,0.001318,0.001355,1571616000,53707960
56,0.001327,0.001387,0.00131,0.00134,1571702400,20588011
57,0.001192,0.001399,0.001145,0.001328,1571788800,50845950
58,0.001188,0.001198,0.001156,0.001193,1571875200,17748447
59,0.001251,0.001316,0.001161,0.001189,1571961600,55921795
60,0.001241,0.00135,0.001195,0.001252,1572048000,31353912
61,0.001308,0.001371,0.001226,0.001264,1572134400,28369092
62,0.001318,0.001371,0.001302,0.001344,1572220800,13019494
63,0.001382,0.0014,0.001325,0.001346,1572307200,17047376
64,0.001326,0.001398,0.001275,0.001373,1572393600,20028285
65,0.001349,0.00137,0.001289,0.001328,1572480000,9149249
66,0.001375,0.001389,0.001323,0.001323,1572566400,9850949
67,0.001347,0.001375,0.001251,0.001375,1572652800,19947684
68,0.00133,0.00136,0.00129,0.001347,1572739200,24191534
69,0.001421,0.001469,0.00133,0.00133,1572825600,42785492
70,0.001401,0.001424,0.001368,0.001411,1572912000,19101598
71,0.001394,0.00143,0.001363,0.001401,1572998400,18911269
72,0.001464,0.00189,0.001367,0.001394,1573084800,171591278
73,0.001364,0.001463,0.001324,0.001456,1573171200,63514809
74,0.001362,0.001389,0.001314,0.001374,1573257600,44686503
75,0.00137,0.001392,0.00132,0.001344,1573344000,32847194
76,0.001426,0.001636,0.001336,0.001389,1573430400,169213102
77,0.001502,0.001664,0.001395,0.001426,1573516800,139194909
78,0.001547,0.0016,0.00142,0.001495,1573603200,61533139
79,0.001487,0.001567,0.001441,0.001547,1573689600,69604624
80,0.001454,0.001501,0.001407,0.001489,1573776000,33301331
81,0.001442,0.001499,0.001428,0.001446,1573862400,20759768
82,0.001532,0.001556,0.001463,0.001469,1573948800,33319551
83,0.001535,0.001632,0.001463,0.001519,1574035200,128030240
84,0.001514,0.0016,0.001421,0.001533,1574121600,142347383
85,0.001481,0.001543,0.001443,0.001515,1574208000,57673087
86,0.001479,0.001748,0.00141,0.001488,1574294400,99410845
87,0.001575,0.001877,0.00135,0.001489,1574380800,266727222
88,0.001565,0.001734,0.001516,0.001575,1574467200,139780493
89,0.00143,0.001591,0.001411,0.001572,1574553600,75021555
90,0.001368,0.001442,0.001211,0.00143,1574640000,63012227
91,0.001374,0.001401,0.001332,0.001367,1574726400,37595336
92,0.001506,0.001542,0.001344,0.001375,1574812800,137188654
93,0.001436,0.001609,0.001412,0.001506,1574899200,138392786
94,0.001427,0.001499,0.00142,0.001435,1574985600,76136863
95,0.00135,0.001443,0.001347,0.001428,1575072000,38600000
96,0.001332,0.001365,0.001304,0.001357,1575158400,45329122
97,0.001414,0.00155,0.001324,0.001332,1575244800,143824194
98,0.00145,0.001584,0.001392,0.001412,1575331200,99565882
99,0.001335,0.001457,0.00131,0.00145,1575417600,64724155
100,0.001283,0.00134,0.001264,0.001327,1575504000,48048715
101,0.001317,0.001317,0.00127,0.001276,1575590400,24179340
102,0.001388,0.001398,0.001286,0.001313,1575676800,35698099
103,0.001592,0.001613,0.001357,0.001388,1575763200,127787415
104,0.001461,0.001609,0.001428,0.00159,1575849600,55417211
105,0.00136,0.001458,0.001315,0.001458,1575936000,67201154
106,0.001438,0.00147,0.001346,0.001365,1576022400,35975679
107,0.001341,0.001449,0.001341,0.001437,1576108800,42338326
108,0.001369,0.001392,0.001337,0.001341,1576195200,38189071
109,0.001281,0.001388,0.001269,0.00137,1576281600,47345261
110,0.001315,0.00133,0.001241,0.001281,1576368000,62437675
111,0.001309,0.001398,0.001251,0.001312,1576454400,97476829
112,0.001287,0.001362,0.00127,0.001309,1576540800,51436625
113,0.001217,0.001313,0.001163,0.001287,1576627200,131288386
114,0.001206,0.001251,0.00117,0.001208,1576713600,109173703
115,0.00118,0.001213,0.001171,0.001207,1576800000,56461955
116,0.001136,0.001188,0.00113,0.001186,1576886400,65253160
117,0.001139,0.001172,0.001107,0.001138,1576972800,63406483
118,0.00108,0.001172,0.001079,0.001135,1577059200,78279922
119,0.001096,0.001143,0.001065,0.00108,1577145600,67891903
120,0.001098,0.001109,0.001068,0.001096,1577232000,29715845
121,0.001087,0.001115,0.001066,0.0011,1577318400,52169517
122,0.001075,0.001113,0.001068,0.001087,1577404800,18291037
123,0.001083,0.001091,0.00107,0.001081,1577491200,20076619
124,0.001117,0.001174,0.001084,0.001084,1577577600,51665783
125,0.001107,0.00114,0.001042,0.001115,1577664000,44406670
126,0.00104,0.001115,0.001026,0.001108,1577750400,63882958
127,0.001042,0.001107,0.00103,0.001035,1577836800,38449958
128,0.001022,0.001113,0.001015,0.001042,1577923200,41560153
129,0.001056,0.001068,0.00102,0.001029,1578009600,24649427
130,0.001053,0.001071,0.001047,0.001057,1578096000,17559614
131,0.001044,0.001071,0.00103,0.001054,1578182400,17643109
132,0.001062,0.001074,0.001035,0.00104,1578268800,27520275
133,0.00106,0.001116,0.001036,0.001068,1578355200,34241974
134,0.001021,0.001099,0.00098,0.00106,1578441600,55486607
135,0.000975,0.001019,0.000964,0.001019,1578528000,34470278
136,0.001011,0.001038,0.000966,0.000979,1578614400,25184153
137,0.00104,0.001107,0.000997,0.00101,1578700800,66457957
138,0.001068,0.001095,0.001026,0.001039,1578787200,54015049
139,0.001069,0.001078,0.001036,0.001066,1578873600,33809030
140,0.001061,0.001085,0.001044,0.001069,1578960000,29866816
141,0.001158,0.001188,0.001049,0.001061,1579046400,72567615
142,0.001113,0.001158,0.001072,0.001158,1579132800,44207507
143,0.001142,0.001221,0.001102,0.001112,1579219200,51162122
144,0.001132,0.001164,0.001112,0.001134,1579305600,17904717
145,0.001073,0.001147,0.001045,0.001136,1579392000,22613987
146,0.001081,0.001102,0.001048,0.00107,1579478400,8714172
147,0.001073,0.001147,0.001046,0.001079,1579564800,43500585
148,0.001064,0.001111,0.001041,0.001075,1579651200,28189198
149,0.001022,0.001065,0.001006,0.001065,1579737600,17077366
150,0.001031,0.001031,0.00099,0.001021,1579824000,14958930
151,0.001016,0.001039,0.000996,0.001019,1579910400,4498666
152,0.001029,0.001038,0.001014,0.001016,1579996800,3888305
153,0.001075,0.001133,0.001032,0.001036,1580083200,21062972
154,0.001122,0.001161,0.000962,0.001071,1580169600,41106198
155,0.001087,0.001132,0.001047,0.001115,1580256000,33576947
156,0.001068,0.00109,0.001029,0.001087,1580342400,18640196
157,0.001013,0.001084,0.001004,0.00107,1580428800,60082453
158,0.001084,0.001099,0.000991,0.001013,1580515200,87617558
159,0.001087,0.001131,0.00102,0.001079,1580601600,112618823
160,0.001052,0.001109,0.001048,0.001087,1580688000,62057052
161,0.001174,0.001187,0.001027,0.001052,1580774400,279407133
162,0.001226,0.001254,0.001135,0.001182,1580860800,142993933
163,0.001297,0.001311,0.0012,0.001227,1580947200,80579686
164,0.001245,0.001316,0.001243,0.001297,1581033600,74724583
165,0.0012,0.001275,0.001163,0.001245,1581120000,155079076
