,c,h,l,o,t,v
0,0.376,0.5,0.2,0.3012,1571961600,22543439.71
1,0.262,0.3795,0.2503,0.376,1572048000,11681713.87
2,0.2121,0.2736,0.2084,0.262,1572134400,6204081.96
3,0.2126,0.25,0.205,0.2136,1572220800,7968877.3
4,0.211,0.2229,0.2076,0.2133,1572307200,3277198.86
5,0.1974,0.214,0.1932,0.211,1572393600,2725399.59
6,0.1921,0.2096,0.1816,0.1962,1572480000,5337839.39
7,0.1911,0.1967,0.1869,0.193,1572566400,2527720.46
8,0.1954,0.2024,0.1881,0.1903,1572652800,3273725.12
9,0.2352,0.262,0.1929,0.1954,1572739200,12606871.74
10,0.2211,0.2467,0.2174,0.2328,1572825600,11232858.59
11,0.2206,0.2287,0.2104,0.2215,1572912000,6719134.79
12,0.2028,0.2272,0.2025,0.2215,1572998400,4348726.7
13,0.2203,0.2231,0.2008,0.2032,1573084800,5459661.46
14,0.2149,0.2208,0.1985,0.2196,1573171200,5359697.86
15,0.2056,0.2231,0.2018,0.2129,1573257600,3965826.21
16,0.1995,0.21,0.1991,0.2056,1573344000,2438251.58
17,0.1951,0.2027,0.1915,0.1996,1573430400,2088239.06
18,0.1916,0.196,0.1874,0.1952,1573516800,1297003.57
19,0.1932,0.196,0.1902,0.1914,1573603200,948242.34
20,0.1825,0.195,0.1822,0.1945,1573689600,1509655.21
21,0.185,0.1856,0.1732,0.1826,1573776000,2818162.23
22,0.1822,0.1893,0.1822,0.1847,1573862400,1344544.2
23,0.1792,0.1841,0.1786,0.1821,1573948800,932831.87
24,0.1676,0.1793,0.165,0.179,1574035200,1499495.06
25,0.157,0.169,0.1529,0.169,1574121600,2196885.76
26,0.1469,0.1591,0.1452,0.157,1574208000,1281751.56
27,0.1295,0.1485,0.1267,0.1469,1574294400,2539048.26
28,0.114,0.1322,0.1049,0.1295,1574380800,5083336.52
29,0.1231,0.1357,0.1083,0.114,1574467200,6631005.07
30,0.1257,0.1404,0.1199,0.1225,1574553600,9471139.3
31,0.1155,0.1257,0.1045,0.1257,1574640000,8706539.61
32,0.1138,0.1159,0.1105,0.115,1574726400,2727102.39
33,0.1129,0.1161,0.1065,0.1148,1574812800,2614524.02
34,0.1151,0.1225,0.112,0.1134,1574899200,3217861.77
35,0.1164,0.1203,0.114,0.1152,1574985600,1528806.69
36,0.1102,0.1173,0.1085,0.1164,1575072000,1365602.6
37,0.1071,0.1104,0.1054,0.1104,1575158400,917153.91
38,0.1046,0.1084,0.1035,0.1071,1575244800,1315887.43
39,0.1018,0.1056,0.1,0.1047,1575331200,2185524.76
40,0.0969,0.102,0.095,0.1018,1575417600,2219699.53
41,0.0932,0.097,0.0911,0.0964,1575504000,1254021.72
42,0.0984,0.0998,0.0928,0.0934,1575590400,1638680.0
43,0.094,0.0988,0.0939,0.098,1575676800,1035540.84
44,0.1006,0.103,0.0928,0.0945,1575763200,2506281.67
45,0.0989,0.1066,0.0976,0.0999,1575849600,2388062.03
46,0.0902,0.0987,0.0883,0.0981,1575936000,1405869.64
47,0.0884,0.0931,0.0876,0.0902,1576022400,669509.82
48,0.0848,0.0896,0.0843,0.089,1576108800,1349176.78
49,0.0854,0.0917,0.0843,0.0849,1576195200,1275690.49
50,0.082,0.0868,0.0817,0.086,1576281600,568792.93
51,0.0919,0.0995,0.0817,0.0823,1576368000,3613339.7
52,0.0854,0.097,0.0843,0.0921,1576454400,1797416.89
53,0.0811,0.0855,0.0804,0.0852,1576540800,731654.0
54,0.0965,0.1002,0.0811,0.0811,1576627200,4091912.67
55,0.1189,0.1267,0.0955,0.0965,1576713600,12021107.68
56,0.1123,0.1249,0.1096,0.1184,1576800000,6528676.19
57,0.1064,0.1128,0.1039,0.1124,1576886400,5187717.46
58,0.1227,0.1345,0.1055,0.1064,1576972800,8986732.35
59,0.123,0.1344,0.1191,0.1227,1577059200,5140387.63
60,0.1268,0.1395,0.1208,0.123,1577145600,4720657.8
61,0.1153,0.1271,0.112,0.1268,1577232000,3832166.74
62,0.1136,0.125,0.1134,0.1161,1577318400,2592214.95
63,0.1102,0.1157,0.109,0.1136,1577404800,1836161.88
64,0.11,0.1142,0.1076,0.1102,1577491200,1383466.26
65,0.1007,0.1179,0.1,0.11,1577577600,2341617.1
66,0.1013,0.1051,0.0981,0.1007,1577664000,1414151.96
67,0.0955,0.1028,0.0944,0.1011,1577750400,1031227.36
68,0.0989,0.1011,0.0931,0.0948,1577836800,784081.79
69,0.0897,0.1035,0.0892,0.0987,1577923200,3094477.49
70,0.0945,0.0975,0.0869,0.0895,1578009600,2014660.87
71,0.0944,0.0975,0.0938,0.0944,1578096000,451049.32
72,0.092,0.095,0.0913,0.0945,1578182400,610984.75
73,0.0961,0.1019,0.092,0.0921,1578268800,1767183.1
74,0.0967,0.1024,0.0936,0.0962,1578355200,2272908.47
75,0.0914,0.0976,0.09,0.0964,1578441600,2236551.43
76,0.0912,0.101,0.0897,0.0914,1578528000,1475393.09
77,0.0913,0.0927,0.0891,0.0914,1578614400,746362.47
78,0.0899,0.0936,0.0898,0.0913,1578700800,618732.96
79,0.0983,0.0989,0.0899,0.0902,1578787200,793379.89
80,0.0943,0.1,0.0936,0.0978,1578873600,1117952.79
81,0.0954,0.0975,0.0919,0.0943,1578960000,1483232.32
82,0.0962,0.1012,0.0947,0.0951,1579046400,1669596.19
83,0.0985,0.0987,0.0937,0.0961,1579132800,742910.2
84,0.1026,0.1031,0.0969,0.0985,1579219200,1253115.9
85,0.0998,0.1059,0.0985,0.1019,1579305600,1072063.31
86,0.1066,0.111,0.0971,0.0995,1579392000,3393332.39
87,0.1085,0.1127,0.1027,0.1066,1579478400,1419303.7
88,0.1027,0.1086,0.1011,0.1085,1579564800,849099.15
89,0.1036,0.1066,0.1017,0.1026,1579651200,904463.59
90,0.0991,0.1057,0.0984,0.1036,1579737600,1025264.57
91,0.0967,0.1,0.0929,0.099,1579824000,2089430.75
92,0.0936,0.0975,0.0933,0.097,1579910400,708825.25
93,0.0978,0.0978,0.093,0.0937,1579996800,406181.99
94,0.098,0.099,0.0959,0.0977,1580083200,945864.03
95,0.0964,0.0995,0.095,0.098,1580169600,434674.31
96,0.0931,0.0973,0.0921,0.097,1580256000,1409590.02
97,0.0912,0.0948,0.0908,0.0922,1580342400,685138.44
98,0.095,0.0959,0.0911,0.0914,1580428800,1003571.26
99,0.0955,0.0967,0.093,0.0954,1580515200,720613.0
100,0.0957,0.0974,0.095,0.0957,1580601600,678176.99
101,0.1011,0.1015,0.0958,0.0958,1580688000,1356191.75
102,0.1089,0.1112,0.101,0.1011,1580774400,2902796.95
103,0.1049,0.1107,0.1032,0.1081,1580860800,1651370.07
104,0.1516,0.183,0.1049,0.1057,1580947200,19390496.53
105,0.1496,0.1957,0.144,0.1513,1581033600,21897713.6
106,0.1479,0.166,0.1325,0.1488,1581120000,6420533.28
