,c,h,l,o,t,v
0,0.539,0.8888,0.5207,0.58,1566604800,2986660.21
1,0.7049,0.741,0.5017,0.539,1566691200,5369668.65
2,0.6205,0.76,0.6096,0.707,1566777600,3697824.32
3,0.5705,0.6469,0.5555,0.613,1566864000,1113530.16
4,0.4899,0.5893,0.4829,0.569,1566950400,770194.91
5,0.4762,0.518,0.455,0.4898,1567036800,537037.35
6,0.48,0.55,0.4628,0.4762,1567123200,682338.1
7,0.4715,0.4935,0.4655,0.48,1567209600,176851.27
8,0.475,0.5099,0.466,0.4761,1567296000,269560.7
9,0.463,0.4824,0.4502,0.4788,1567382400,295295.49
10,0.458,0.4665,0.437,0.4643,1567468800,336137.89
11,0.4401,0.4898,0.4321,0.4577,1567555200,320410.71
12,0.4397,0.4775,0.4285,0.4373,1567641600,280982.9
13,0.4015,0.4408,0.3958,0.434,1567728000,208219.59
14,0.4107,0.4393,0.3922,0.4015,1567814400,231830.08
15,0.4324,0.4562,0.41,0.4121,1567900800,201806.16
16,0.4078,0.4459,0.4047,0.4322,1567987200,292476.66
17,0.4048,0.4211,0.398,0.4112,1568073600,305004.73
18,0.3887,0.4116,0.3822,0.4072,1568160000,109277.34
19,0.3611,0.4016,0.3605,0.3918,1568246400,152717.34
20,0.3581,0.3749,0.3546,0.3616,1568332800,153844.6
21,0.3646,0.3686,0.35,0.3573,1568419200,52799.84
22,0.382,0.394,0.3591,0.3678,1568505600,141924.87
23,0.367,0.381,0.3507,0.3806,1568592000,232347.84
24,0.379,0.3805,0.358,0.367,1568678400,144062.52
25,0.4132,0.447,0.37,0.3757,1568764800,315890.66
26,0.3957,0.4176,0.378,0.4133,1568851200,187664.74
27,0.4164,0.4344,0.3889,0.3983,1568937600,161821.29
28,0.3963,0.4229,0.3927,0.4164,1569024000,113932.78
29,0.3659,0.3988,0.3624,0.3929,1569110400,194614.15
30,0.35,0.3691,0.3468,0.3644,1569196800,192074.88
31,0.2977,0.3666,0.2625,0.35,1569283200,286853.39
32,0.2981,0.3179,0.2698,0.2977,1569369600,118993.09
33,0.2858,0.3294,0.2733,0.2949,1569456000,141270.74
34,0.3096,0.3137,0.2829,0.2891,1569542400,128795.98
35,0.3153,0.3202,0.3039,0.3137,1569628800,83806.56
36,0.2977,0.3154,0.29,0.3154,1569715200,72816.26
37,0.3105,0.3221,0.2953,0.2977,1569801600,105406.51
38,0.302,0.3209,0.2989,0.3111,1569888000,115209.97
39,0.3213,0.3235,0.2998,0.302,1569974400,138029.34
40,0.3201,0.3325,0.3091,0.321,1570060800,159082.44
41,0.3217,0.329,0.3091,0.32,1570147200,58835.85
42,0.3222,0.3261,0.3125,0.3217,1570233600,84677.95
43,0.3171,0.323,0.3074,0.323,1570320000,92150.15
44,0.337,0.34,0.31,0.3162,1570406400,115695.96
45,0.3536,0.3746,0.3326,0.3391,1570492800,304454.41
46,0.3599,0.3657,0.3398,0.3536,1570579200,313127.31
47,0.3523,0.372,0.351,0.3599,1570665600,169415.58
48,0.3498,0.3797,0.345,0.352,1570752000,270038.4
49,0.345,0.3544,0.3332,0.3497,1570838400,110463.57
50,0.3347,0.3455,0.3276,0.3433,1570924800,93001.63
51,0.3446,0.345,0.3301,0.3332,1571011200,77967.69
52,0.339,0.3662,0.3346,0.345,1571097600,190162.56
53,0.3282,0.3472,0.3106,0.3359,1571184000,205909.21
54,0.3196,0.328,0.3082,0.3258,1571270400,152910.42
55,0.3258,0.35,0.304,0.3181,1571356800,249071.92
56,0.3129,0.34,0.3101,0.3258,1571443200,235371.44
57,0.3127,0.3176,0.3041,0.31,1571529600,149816.46
58,0.312,0.3153,0.3044,0.3144,1571616000,153674.38
59,0.3167,0.33,0.3063,0.312,1571702400,203035.92
60,0.2834,0.315,0.2731,0.313,1571788800,196810.91
61,0.2852,0.2856,0.2669,0.2837,1571875200,93271.73
62,0.3021,0.311,0.2776,0.285,1571961600,227736.98
63,0.2896,0.317,0.28,0.2973,1572048000,305802.78
64,0.3039,0.3267,0.2834,0.2903,1572134400,324202.03
65,0.3996,0.415,0.295,0.3048,1572220800,2091575.86
66,0.3808,0.41,0.3608,0.3978,1572307200,8270815.89
67,0.3612,0.3828,0.3543,0.3812,1572393600,9888143.18
68,0.3785,0.3816,0.3573,0.3615,1572480000,32179660.68
69,0.4389,0.4532,0.3758,0.3785,1572566400,26667154.85
70,0.4176,0.4457,0.4093,0.4387,1572652800,13125063.92
71,0.4678,0.4918,0.4165,0.4176,1572739200,38211939.25
72,0.4658,0.4879,0.454,0.468,1572825600,65904986.51
73,0.4255,0.4678,0.4179,0.4655,1572912000,2913164.1
74,0.3956,0.4272,0.39,0.4251,1572998400,2098928.78
75,0.3775,0.3992,0.3605,0.3956,1573084800,1239710.2
76,0.3683,0.38,0.3522,0.3774,1573171200,887619.17
77,0.375,0.3785,0.3629,0.368,1573257600,379836.79
78,0.3589,0.3751,0.3542,0.3739,1573344000,751481.36
79,0.38,0.38,0.3417,0.3589,1573430400,932056.81
80,0.3754,0.391,0.365,0.38,1573516800,1703558.71
81,0.3982,0.4,0.374,0.3754,1573603200,751049.46
82,0.3627,0.3998,0.3509,0.3982,1573689600,899390.52
83,0.3462,0.3695,0.34,0.3635,1573776000,1062372.89
84,0.355,0.3606,0.343,0.3452,1573862400,224422.68
85,0.3474,0.3587,0.3474,0.3572,1573948800,230889.17
86,0.3155,0.358,0.3065,0.348,1574035200,991268.09
87,0.3149,0.3216,0.3023,0.3121,1574121600,691330.76
88,0.3088,0.3273,0.3021,0.3129,1574208000,884825.67
