,c,h,l,o,t,v
0,0.0095648,0.0125,0.005,0.005,1575504000,1355498815
1,0.009199,0.01077,0.009023,0.0095648,1575590400,465809207
2,0.008148,0.009487,0.0080232,0.0091989,1575676800,213799288
3,0.0083497,0.009292,0.00761,0.0081481,1575763200,338736904
4,0.0079431,0.00889,0.0078025,0.0083385,1575849600,119212833
5,0.0072064,0.0079143,0.007,0.0078602,1575936000,154962587
6,0.00808,0.0082753,0.0071449,0.0071451,1576022400,124184867
7,0.0072029,0.0081304,0.0071702,0.0080724,1576108800,78803444
8,0.0072889,0.0074347,0.0071,0.0072318,1576195200,37737070
9,0.0069377,0.0074777,0.00681,0.0072608,1576281600,51259489
10,0.0074794,0.0077629,0.0068106,0.0069326,1576368000,79497827
11,0.0071027,0.007977,0.0069701,0.007441,1576454400,104235205
12,0.0066374,0.0071879,0.0065005,0.0070807,1576540800,52985874
13,0.0070006,0.0072,0.0062502,0.0066374,1576627200,53605278
14,0.0067794,0.0071843,0.0065233,0.007078,1576713600,60495208
15,0.0075189,0.0075982,0.0066783,0.006758,1576800000,107982838
16,0.007866,0.00799,0.0074212,0.0075182,1576886400,113252861
17,0.0078261,0.0079493,0.0075,0.0078343,1576972800,81210274
18,0.0075902,0.0081212,0.0074526,0.0078227,1577059200,1960317994
19,0.0077357,0.0080637,0.007378,0.0075931,1577145600,3000815652
20,0.0073616,0.0078,0.0072156,0.0077369,1577232000,2241232781
21,0.007162,0.00755,0.00712,0.0073632,1577318400,2495603544
22,0.00723,0.007397,0.007057,0.0071711,1577404800,1026550747
23,0.00718,0.0072927,0.00718,0.00723,1577491200,103883067
24,0.0068769,0.0072577,0.0068237,0.0071855,1577577600,4067250171
25,0.006803,0.0072103,0.00673,0.0068934,1577664000,58545232
26,0.0066938,0.0070472,0.00658,0.006803,1577750400,34254735
27,0.0067787,0.0068643,0.00656,0.0066765,1577836800,23500710
28,0.0064751,0.0068009,0.00628,0.0068,1577923200,22419954
29,0.0064321,0.0067,0.0062754,0.0064801,1578009600,27757421
30,0.006401,0.0065616,0.0063877,0.0064321,1578096000,15531703
31,0.0065684,0.0066113,0.006389,0.0064285,1578182400,31815968
32,0.0064442,0.0066039,0.0063002,0.0065684,1578268800,32913870
33,0.0061625,0.006627,0.0061011,0.0064803,1578355200,52571012
34,0.005879,0.0063857,0.0056678,0.0061903,1578441600,35940219
35,0.0058721,0.0062688,0.0057483,0.0058785,1578528000,40400460
36,0.0057219,0.0060337,0.0056449,0.0058695,1578614400,31854520
37,0.0056351,0.005799,0.0056211,0.0056599,1578700800,19082404
38,0.0059123,0.0061,0.0054687,0.005635,1578787200,49806252
39,0.0061697,0.0064427,0.0057356,0.0059028,1578873600,83931688
40,0.0055778,0.0065,0.0054888,0.0061699,1578960000,127204665
41,0.005401,0.0058,0.0053615,0.0055778,1579046400,111888060
42,0.0053706,0.0056885,0.0053,0.0054009,1579132800,55104973
43,0.0052252,0.0055289,0.0051,0.0053669,1579219200,63554345
44,0.0051496,0.0053224,0.005148,0.0052252,1579305600,23894886
45,0.0049,0.0052868,0.0048005,0.0051496,1579392000,60456061
46,0.0048623,0.00501,0.0048,0.0049,1579478400,30804206
47,0.0052043,0.0055378,0.0047943,0.0048856,1579564800,71622147
48,0.004967,0.0053252,0.0049,0.0051541,1579651200,40770699
49,0.004714,0.0050615,0.0047,0.0049986,1579737600,25654006
50,0.0047275,0.0048108,0.0045369,0.0047163,1579824000,13189991
51,0.0050983,0.0051115,0.0046003,0.0047275,1579910400,32801058
52,0.0051223,0.0053876,0.0048728,0.0050957,1579996800,30175560
53,0.005045,0.0051896,0.004905,0.0051223,1580083200,25381247
54,0.0047831,0.0051232,0.0047012,0.005045,1580169600,28458932
55,0.0047043,0.00491,0.0046753,0.0048,1580256000,36460603
56,0.0045503,0.0048292,0.0044327,0.0046806,1580342400,38310483
57,0.0047225,0.0047574,0.0045,0.004568,1580428800,26754458
58,0.004708,0.0047913,0.0046105,0.0047202,1580515200,18101246
59,0.0046408,0.00501,0.0046223,0.004708,1580601600,31891342
60,0.0047381,0.00501,0.0046004,0.0046408,1580688000,50931020
61,0.004886,0.0049894,0.00461,0.0047434,1580774400,55735551
62,0.0048521,0.0049499,0.00478,0.0048621,1580860800,43003073
63,0.0058504,0.00638,0.004825,0.0048972,1580947200,296313355
64,0.0057175,0.0060891,0.0056026,0.0058504,1581033600,141146677
65,0.0052547,0.0057175,0.005155,0.0057175,1581120000,100880014
