,c,h,l,o,t,v
0,1.0045,1.014,0.9997,1.01,1527724800,3387612.02
1,1.0044,1.0125,1.0008,1.005,1527811200,5347305.88
2,1.0028,1.0092,1.0018,1.0044,1527897600,5435087.36
3,1.0035,1.0055,1.0004,1.0028,1527984000,6770386.99
4,1.005,1.007,1.0013,1.0022,1528070400,7119110.1
5,1.005,1.0288,1.0026,1.005,1528156800,7533077.84
6,1.0024,1.0054,1.0009,1.005,1528243200,6984093.36
7,1.0049,1.0072,1.0001,1.0024,1528329600,7928887.67
8,1.0018,1.0063,1.0011,1.0049,1528416000,6519421.77
9,1.001,1.004,1.0,1.0018,1528502400,6346005.86
10,1.0035,1.0086,1.0,1.0013,1528588800,9654820.04
11,1.0032,1.015,1.0028,1.0035,1528675200,6493077.17
12,1.0141,1.0179,1.002,1.0032,1528761600,7370911.71
13,1.006,1.0162,1.001,1.0141,1528848000,15475347.61
14,1.0049,1.011,1.0022,1.0057,1528934400,10889278.57
15,1.0055,1.0066,1.0023,1.0052,1529020800,7448463.81
16,1.0055,1.008,1.0032,1.0055,1529107200,7870785.22
17,1.007,1.0077,1.0028,1.0056,1529193600,7216797.64
18,1.0047,1.017,1.004,1.0065,1529280000,8990865.06
19,1.0024,1.0066,1.002,1.0054,1529366400,9597687.86
20,1.0015,1.004,1.0001,1.0024,1529452800,10087662.18
21,1.0013,1.0027,1.0001,1.0011,1529539200,8904948.3
22,1.0036,1.007,1.0001,1.0011,1529625600,10973122.67
23,1.0007,1.0043,1.0004,1.0036,1529712000,8673082.8
24,1.0008,1.0027,0.9957,1.001,1529798400,13125884.13
25,0.9996,1.0016,0.9752,1.0014,1529884800,10030406.48
26,0.9988,1.001,0.9984,0.9998,1529971200,13102799.07
27,0.9999,1.0011,0.9986,0.9987,1530057600,7588238.36
28,1.0037,1.0049,0.9989,0.9995,1530144000,11340854.87
29,0.9998,1.005,0.9997,1.0044,1530230400,8957457.34
30,0.9993,1.0019,0.9967,0.9999,1530316800,8007938.84
31,0.9997,1.0005,0.999,0.9992,1530403200,6524520.88
32,0.9988,1.0005,0.9913,0.9997,1530489600,10379687.34
33,0.9999,1.0,0.9941,0.9969,1530576000,7447991.58
34,0.9922,1.0,0.9868,0.9999,1530662400,5113311.51
35,0.9974,0.9995,0.9881,0.9923,1530748800,7796462.99
36,0.9967,0.9995,0.9914,0.9988,1530835200,7302209.74
37,0.9948,0.9999,0.994,0.9967,1530921600,6976027.5
38,0.9957,0.9969,0.9871,0.9948,1531008000,9269918.07
39,0.9839,0.997,0.9783,0.9935,1531094400,7128726.25
40,0.9964,1.0,0.9784,0.984,1531180800,8355225.1
41,0.996,0.9999,0.9942,0.9984,1531267200,6301094.24
42,0.9983,1.0005,0.995,0.996,1531353600,7528956.5
43,1.0001,1.0005,0.995,0.9985,1531440000,5964898.78
44,0.9973,1.0005,0.9963,1.0,1531526400,4076559.58
45,0.9982,0.9995,0.9963,0.9975,1531612800,5554779.49
46,0.9975,0.9998,0.9942,0.9977,1531699200,7654168.94
47,0.9934,0.9998,0.9914,0.9975,1531785600,8632359.98
48,0.9872,0.9979,0.9849,0.9935,1531872000,11230735.69
49,0.9921,0.9994,0.9871,0.9872,1531958400,7131438.77
50,0.9991,0.9997,0.9915,0.9926,1532044800,6991402.5
51,0.9948,0.9997,0.992,0.9991,1532131200,5783504.64
52,0.9946,0.9998,0.9915,0.9948,1532217600,6202754.93
53,0.9971,0.9993,0.9911,0.9945,1532304000,6275356.21
54,0.9942,1.0,0.9934,0.9965,1532390400,5806403.04
55,0.9971,0.9997,0.9941,0.9943,1532476800,6827527.23
56,0.9988,1.0004,0.9953,0.9973,1532563200,5652607.37
57,1.0,1.0,0.9964,0.9988,1532649600,5447044.75
58,0.9995,1.0,0.9978,1.0,1532736000,4038921.5
59,0.9981,1.0,0.9971,0.999,1532822400,4326362.7
60,0.9989,1.0,0.997,0.9973,1532908800,6460562.0
61,1.0003,1.0032,0.9975,0.9991,1532995200,8081220.07
62,1.0045,1.01,0.9991,1.0007,1533081600,8593542.15
63,1.002,1.0048,1.0,1.0045,1533168000,6338892.65
64,0.9986,1.0047,0.9972,1.0022,1533254400,10062873.9
65,0.9991,1.0019,0.9966,0.9986,1533340800,6301228.3
66,0.9997,1.0009,0.999,0.9994,1533427200,4907667.54
67,1.0005,1.0028,0.9986,0.9996,1533513600,5092713.75
68,1.001,1.0031,0.9983,1.0005,1533600000,6825354.21
69,1.0021,1.0033,0.9999,1.0017,1533686400,8907251.49
70,0.999,1.0021,0.9971,1.0017,1533772800,7680131.03
71,0.9996,1.0031,0.9975,0.999,1533859200,7613497.06
72,0.9986,1.0032,0.9975,1.0009,1533945600,7242525.64
73,0.999,1.0,0.9956,0.9988,1534032000,5372705.59
74,1.0001,1.0014,0.9973,0.9992,1534118400,7044402.72
75,1.0007,1.004,1.0,1.0009,1534204800,8892130.19
76,1.0004,1.008,1.0001,1.0015,1534291200,8404996.83
77,1.0019,1.003,1.0,1.0004,1534377600,7326005.1
78,1.0012,1.0027,1.0,1.0012,1534464000,6220699.66
79,1.0007,1.0031,1.0,1.0012,1534550400,7286968.76
80,0.9986,1.0025,0.9977,1.0023,1534636800,4785488.24
81,0.9998,1.002,0.998,0.9986,1534723200,5344585.13
82,1.0005,1.0024,0.9984,1.0007,1534809600,5432269.45
83,1.0031,1.0033,1.0001,1.0004,1534896000,9176855.76
84,1.0008,1.0031,1.0002,1.003,1534982400,6344456.77
85,1.0021,1.003,1.0002,1.0009,1535068800,6374831.88
86,1.0012,1.0031,1.0004,1.0008,1535155200,5720301.29
87,1.003,1.0049,1.0005,1.0018,1535241600,5694213.47
88,1.0022,1.0044,1.0002,1.003,1535328000,6731966.16
89,1.0005,1.003,1.0001,1.0008,1535414400,7389134.29
90,1.0008,1.0028,1.0003,1.0005,1535500800,6423998.51
91,1.0005,1.0031,1.0004,1.0008,1535587200,7893528.18
92,1.0017,1.0026,1.0,1.0005,1535673600,6572718.15
93,1.0013,1.003,0.9995,1.0005,1535760000,6141115.71
94,1.0014,1.0029,1.0006,1.0021,1535846400,6671397.18
95,1.0017,1.0032,1.0009,1.0018,1535932800,7225080.28
96,1.0018,1.0031,1.0007,1.002,1536019200,6967539.7
97,1.0027,1.0067,1.001,1.0018,1536105600,10316310.68
98,1.0017,1.0042,0.999,1.0037,1536192000,9127951.8
99,1.004,1.004,1.0011,1.0017,1536278400,6927144.05
100,1.0016,1.0045,1.0011,1.004,1536364800,8791859.33
101,1.0014,1.0041,0.9996,1.0016,1536451200,7192703.08
102,1.002,1.0028,1.0,1.0017,1536537600,4725782.61
103,1.0009,1.0073,1.0006,1.0021,1536624000,6817078.56
104,1.0017,1.0045,1.0005,1.0009,1536710400,6982699.64
105,1.0008,1.0034,1.0001,1.0008,1536796800,7300418.86
106,1.0006,1.0029,1.0002,1.0008,1536883200,6477078.69
107,1.0009,1.0027,1.0002,1.0006,1536969600,4836892.45
108,1.0018,1.003,1.0006,1.0009,1537056000,5943786.17
109,1.0216,1.0274,1.0005,1.0019,1537142400,11855450.52
110,1.0035,1.059,1.0011,1.0245,1537228800,9246648.79
111,1.0035,1.0054,1.0012,1.0035,1537315200,8583147.76
112,1.0008,1.0047,1.0001,1.0035,1537401600,7215560.63
113,1.0014,1.0028,0.9995,1.0009,1537488000,9300945.86
114,1.0017,1.0034,1.0,1.0007,1537574400,3792060.82
115,1.0013,1.0033,1.0005,1.0017,1537660800,3042129.15
116,1.0026,1.0035,1.001,1.0013,1537747200,1920531.89
117,1.0013,1.0035,1.001,1.0014,1537833600,6777421.51
118,1.0016,1.0031,1.001,1.0021,1537920000,6509748.04
119,1.003,1.0053,1.0011,1.0015,1538006400,8999766.16
120,1.0026,1.0045,1.0014,1.0032,1538092800,6641148.01
121,1.0042,1.0043,1.0014,1.0026,1538179200,2084607.08
122,1.0039,1.007,1.0014,1.0042,1538265600,6904629.5
123,1.0066,1.0122,1.002,1.0038,1538352000,8421277.07
124,1.0095,1.0108,1.0041,1.0058,1538438400,9868718.56
125,1.0185,1.0189,1.0071,1.0096,1538524800,9391208.13
126,1.0076,1.0189,1.007,1.0181,1538611200,6746486.45
127,1.0064,1.0105,1.006,1.0079,1538697600,6898006.42
128,1.0064,1.0082,1.006,1.0064,1538784000,6150499.54
