,c,h,l,o,t,v
0,1.0114,1.0305,1.0002,1.0139,1544832000,542413.15
1,1.0085,1.0196,1.0068,1.0113,1544918400,809006.95
2,1.0015,1.0121,0.9976,1.011,1545004800,2625605.2
3,0.9978,1.0067,0.993,1.0005,1545091200,2302982.45
4,0.9955,1.0018,0.9904,0.998,1545177600,4168790.46
5,0.9945,1.0,0.9808,0.9956,1545264000,5903777.54
6,0.999,1.0008,0.99,0.9945,1545350400,4410201.11
7,0.9919,1.0017,0.99,0.999,1545436800,2751177.14
8,0.9966,0.9992,0.9905,0.9921,1545523200,2919725.39
9,0.9947,0.999,0.9871,0.9966,1545609600,5063566.79
10,0.9907,0.9995,0.986,0.9938,1545696000,4065641.93
11,0.9911,0.9945,0.9869,0.9907,1545782400,3239177.24
12,0.993,0.9965,0.987,0.9929,1545868800,2607066.35
13,0.9885,0.9948,0.9817,0.993,1545955200,2741673.87
14,0.99,0.992,0.9809,0.988,1546041600,2344804.37
15,0.9933,0.9942,0.9882,0.9904,1546128000,2327428.08
16,1.0023,1.0023,0.9891,0.9932,1546214400,2517226.72
17,0.9931,1.0043,0.9911,1.0025,1546300800,1713573.21
18,0.9925,0.9968,0.99,0.9932,1546387200,2234224.25
19,0.995,0.9954,0.9895,0.9915,1546473600,2803713.34
20,0.9926,0.9971,0.9908,0.9947,1546560000,2850109.22
21,0.9933,0.9945,0.9872,0.993,1546646400,2276490.65
22,0.9885,0.9963,0.9832,0.9921,1546732800,1805023.27
23,0.9922,0.993,0.985,0.9884,1546819200,1844381.99
24,0.9908,0.9938,0.9857,0.9921,1546905600,2449157.14
25,0.9922,0.9939,0.99,0.9917,1546992000,2687865.2
26,0.9885,0.9939,0.9801,0.9915,1547078400,7806326.47
27,0.9918,0.9918,0.9858,0.99,1547164800,5117171.06
28,0.9897,0.9927,0.9728,0.9911,1547251200,2719601.73
29,0.9902,0.9933,0.986,0.991,1547337600,1890391.38
30,0.9889,0.9936,0.986,0.9902,1547424000,2601431.04
31,0.9918,0.9936,0.9865,0.9889,1547510400,4396766.06
32,0.9947,0.9965,0.99,0.9921,1547596800,2249964.25
33,0.9949,0.9979,0.993,0.9947,1547683200,2663793.63
34,0.9977,0.9979,0.9926,0.9937,1547769600,2815694.38
35,0.9949,0.9985,0.9927,0.9977,1547856000,2652205.22
36,1.0006,1.002,0.9945,0.996,1547942400,1225058.89
37,1.0004,1.0006,0.9969,1.0006,1548028800,1544230.81
38,0.9979,1.0038,0.9975,0.9999,1548115200,2746435.44
39,0.9998,1.0006,0.9975,0.9979,1548201600,1833426.48
40,1.0001,1.0023,0.9975,1.0,1548288000,2551196.5
41,1.0013,1.0036,0.9993,1.0001,1548374400,1369411.89
42,1.0039,1.004,0.9995,1.0014,1548460800,1173569.99
43,1.0064,1.0075,1.0022,1.0035,1548547200,2206228.5
44,1.0023,1.0075,1.0001,1.0062,1548633600,4180510.62
45,1.005,1.0065,1.0,1.0023,1548720000,2040985.73
46,1.0069,1.0087,1.003,1.005,1548806400,2344727.06
47,1.0061,1.0092,1.0036,1.0069,1548892800,3088943.87
48,1.0093,1.0131,1.0048,1.0063,1548979200,2211876.57
49,1.0105,1.011,1.0079,1.0094,1549065600,1274496.23
50,1.0132,1.014,1.0091,1.011,1549152000,1377914.0
51,1.014,1.0162,1.004,1.0123,1549238400,1518459.01
52,1.0115,10.11,1.0102,1.014,1549324800,1352953.08
53,1.0118,1.0158,1.0104,1.0122,1549411200,1936728.07
54,1.0116,1.0144,1.0105,1.0118,1549497600,1062018.81
55,1.0097,1.019,1.005,1.0116,1549584000,3010113.08
56,1.0106,1.014,1.007,1.0097,1549670400,1733489.76
57,1.0089,1.0119,1.0071,1.0108,1549756800,1629133.17
58,1.0123,1.014,1.0066,1.0078,1549843200,1456394.53
59,1.0121,1.0165,1.0103,1.0124,1549929600,2181907.28
60,1.0103,1.0136,1.0092,1.0116,1550016000,1971815.54
61,1.01,1.0136,1.0077,1.0104,1550102400,1993371.41
62,1.0114,1.0122,1.0075,1.0096,1550188800,1453390.79
63,1.0108,1.0114,1.0085,1.011,1550275200,1183662.66
64,1.0123,1.015,1.0101,1.0104,1550361600,1282710.39
65,1.0072,1.0215,1.0051,1.0126,1550448000,4142284.49
66,1.0076,1.0137,1.0033,1.0072,1550534400,3162557.04
67,1.008,1.0136,1.0035,1.0076,1550620800,2986338.21
68,1.0098,1.0111,1.0064,1.008,1550707200,2349742.94
69,1.0068,1.011,1.0064,1.009,1550793600,1812374.71
70,1.0043,1.01,1.0003,1.0069,1550880000,2210334.54
71,1.0035,1.015,1.0002,1.0043,1550966400,5544085.86
72,1.0035,1.0086,1.0011,1.0035,1551052800,3203939.75
73,1.0047,1.0094,1.0021,1.0035,1551139200,1814414.44
74,1.006,1.0079,1.0021,1.0046,1551225600,2349188.66
75,1.0058,1.0064,1.002,1.0053,1551312000,2067937.39
76,1.0046,1.0082,1.003,1.0058,1551398400,1989449.38
77,1.003,1.0067,1.0018,1.0046,1551484800,1178686.78
78,1.0058,1.006,1.0022,1.0032,1551571200,1081911.4
79,1.0041,1.0067,1.001,1.0058,1551657600,3319041.9
80,1.0028,1.0064,1.0015,1.0046,1551744000,3750299.99
81,1.0026,1.005,1.0011,1.0035,1551830400,2025212.59
82,1.0042,1.006,1.0015,1.0026,1551916800,2085128.84
83,1.0069,1.0079,1.0032,1.0042,1552003200,2253067.59
84,1.0052,1.0079,1.0035,1.0063,1552089600,1308956.82
85,1.0048,1.0059,1.003,1.0052,1552176000,1348332.13
86,1.0056,1.0074,1.0028,1.0055,1552262400,2256097.62
87,1.0055,1.0074,1.0002,1.0056,1552348800,1564039.05
88,1.0044,1.006,1.003,1.0055,1552435200,1398838.16
89,1.0062,1.0105,1.0033,1.0034,1552521600,3125349.17
90,1.0062,1.01,1.0053,1.0067,1552608000,1528324.92
91,1.0046,1.0084,1.0025,1.0067,1552694400,3534016.14
92,1.0042,1.0063,1.0036,1.0041,1552780800,2960514.95
93,1.0047,1.0069,1.0036,1.0042,1552867200,2835275.0
94,1.0042,1.0064,1.004,1.0042,1552953600,1785006.87
95,1.0029,1.0064,1.0021,1.0044,1553040000,2373454.02
96,1.0027,1.0056,1.0,1.0029,1553126400,4492130.23
97,1.0023,1.0041,1.0008,1.0018,1553212800,1523660.36
98,1.0063,1.007,1.0012,1.0023,1553299200,1580208.75
99,1.005,1.0063,1.003,1.0063,1553385600,1276332.63
100,1.0067,1.0089,1.0008,1.005,1553472000,4079921.2
101,1.0068,1.0086,1.0035,1.0069,1553558400,1518897.45
102,1.0026,1.0081,1.0019,1.0063,1553644800,2831675.72
103,1.0045,1.005,1.0016,1.0021,1553731200,1516290.07
104,1.0027,1.005,1.0018,1.0045,1553817600,2066700.75
105,1.0022,1.0049,1.0013,1.0027,1553904000,1432274.65
106,1.0025,1.0039,1.0016,1.0027,1553990400,1288488.66
107,1.0021,1.0044,1.0011,1.0025,1554076800,3019347.2
108,0.9922,1.0049,0.9731,1.0024,1554163200,9070509.37
109,0.9939,0.9996,0.9825,0.9921,1554249600,10676399.16
110,0.9974,0.9996,0.988,0.9939,1554336000,5004431.78
111,0.9935,1.0036,0.9921,0.9974,1554422400,3250103.6
112,0.9998,1.001,0.9919,0.9935,1554508800,3493783.0
113,0.9954,1.0002,0.9925,0.9991,1554595200,3788699.75
114,0.9902,0.9993,0.981,0.9964,1554681600,4972439.37
115,0.993,0.994,0.9832,0.9899,1554768000,3002838.95
116,0.9969,0.9995,0.988,0.993,1554854400,4362042.31
117,0.9948,0.9983,0.9881,0.9969,1554940800,5280473.63
118,0.9941,0.997,0.99,0.9948,1555027200,3537886.99
119,0.9948,0.9955,0.9921,0.994,1555113600,2047395.19
120,0.9933,0.9968,0.9929,0.9947,1555200000,2287931.9
121,0.9994,1.001,0.9931,0.9933,1555286400,4392482.87
122,0.9939,1.0008,0.9932,0.9994,1555372800,2792129.04
123,0.9953,0.9966,0.9929,0.9939,1555459200,2230460.68
124,0.9951,0.9982,0.9931,0.9953,1555545600,4335728.54
125,0.995,0.9983,0.995,0.9951,1555632000,3532605.03
126,0.9943,0.9983,0.9943,0.995,1555718400,3720446.74
127,0.9921,0.996,0.9912,0.9944,1555804800,4075604.46
128,0.9948,0.9956,0.9916,0.9921,1555891200,2704204.6
129,0.9937,0.997,0.9927,0.9947,1555977600,2830178.89
130,0.9951,0.9956,0.9915,0.9937,1556064000,4783104.44
131,1.0167,1.0799,0.9944,0.9951,1556150400,12392732.68
132,1.0318,1.045,1.0163,1.0167,1556236800,22215230.63
133,1.0243,1.0333,1.0232,1.0318,1556323200,4865391.91
134,1.0302,1.0332,1.0238,1.0243,1556409600,3278836.8
135,1.0184,1.0309,1.016,1.0302,1556496000,7615723.75
136,1.0098,1.0199,1.009,1.018,1556582400,6708100.96
137,1.0121,1.017,1.0061,1.0098,1556668800,7972016.77
138,1.0199,1.0249,1.0118,1.012,1556755200,5275587.08
139,1.0192,1.028,1.0073,1.0199,1556841600,9994634.62
140,1.0107,1.0226,1.007,1.0198,1556928000,6272471.21
141,1.0097,1.0141,1.0075,1.0111,1557014400,3088402.71
142,1.011,1.0145,1.0085,1.0102,1557100800,4937369.5
143,1.0175,1.0195,1.0055,1.011,1557187200,7762028.05
144,1.0091,1.0249,1.007,1.0169,1557273600,4203259.84
145,1.0104,1.0159,1.006,1.0092,1557360000,5790827.17
146,1.0091,1.0163,1.0061,1.0107,1557446400,4283712.86
147,1.0018,1.0182,0.997,1.0093,1557532800,18269314.23
148,1.0041,1.0155,0.9975,1.0018,1557619200,13426866.23
149,0.999,1.0057,0.9887,1.0041,1557705600,13043875.66
150,0.996,1.0066,0.9905,0.999,1557792000,13627170.87
151,0.9959,1.002,0.9929,0.9964,1557878400,8981773.72
152,0.9986,1.0043,0.9924,0.9957,1557964800,18877417.99
153,0.9981,1.0247,0.995,0.9985,1558051200,17801361.74
154,0.9994,1.0013,0.9947,0.9986,1558137600,7626666.99
155,0.9942,1.0006,0.99,0.9992,1558224000,12551144.88
156,0.9917,1.0,0.991,0.9939,1558310400,10050709.52
157,0.994,0.9971,0.991,0.9915,1558396800,12143484.77
158,1.0008,1.012,0.993,0.9936,1558483200,10939974.97
159,0.9967,1.0018,0.9951,1.0003,1558569600,7107961.3
160,0.996,0.9986,0.9913,0.9965,1558656000,8985925.91
161,0.9949,0.9974,0.9925,0.996,1558742400,6772852.4
162,0.9866,0.9985,0.9852,0.9945,1558828800,9570287.69
163,0.997,0.9999,0.9856,0.987,1558915200,14789334.95
164,0.9991,1.0,0.9938,0.9969,1559001600,7234647.59
165,0.9978,1.0018,0.9959,0.9987,1559088000,11556824.41
166,0.9989,1.01,0.9955,0.9978,1559174400,17443585.49
167,0.9993,1.0044,0.9981,0.9993,1559260800,7968367.54
168,0.9985,1.0019,0.9972,0.9993,1559347200,6286545.14
169,0.9984,0.9999,0.995,0.9986,1559433600,6530597.96
170,1.0016,1.007,0.9965,0.9985,1559520000,10576216.98
171,1.0033,1.01,0.9981,1.0016,1559606400,17141217.17
172,0.9982,1.0042,0.9973,1.003,1559692800,10020952.83
173,0.9976,1.0007,0.9962,0.9983,1559779200,6286039.55
174,0.9971,0.999,0.9947,0.9975,1559865600,5798600.45
175,0.9962,0.9988,0.9939,0.997,1559952000,3426963.07
176,0.9988,0.9999,0.9946,0.9962,1560038400,4474760.68
177,0.9951,0.9992,0.993,0.9987,1560124800,6113678.53
178,0.996,0.998,0.9942,0.995,1560211200,8278806.35
179,0.9949,0.9966,0.9925,0.996,1560297600,10414312.96
180,0.9976,0.999,0.9938,0.9949,1560384000,7753559.84
181,0.9956,0.999,0.9944,0.9975,1560470400,8335067.44
182,0.9953,0.9976,0.9943,0.9956,1560556800,8800492.41
183,0.9975,1.0006,0.9931,0.9953,1560643200,11634253.27
184,0.9976,0.998,0.9938,0.9976,1560729600,8530431.31
185,1.0001,1.0024,0.9955,0.9974,1560816000,8571274.76
186,0.9972,1.002,0.9967,1.0001,1560902400,5757322.05
187,0.9973,0.9988,0.9947,0.9974,1560988800,6475211.12
188,0.995,0.9999,0.995,0.9973,1561075200,10562385.68
189,1.0039,1.0046,0.99,0.9951,1561161600,20860340.84
190,1.0064,1.0137,1.0029,1.0043,1561248000,9451495.14
191,1.0022,1.01,1.0003,1.0064,1561334400,7305965.95
192,1.0047,1.0085,1.0002,1.0022,1561420800,9252557.57
193,1.0132,1.0498,0.9983,1.0048,1561507200,27990486.26
194,1.0163,1.03,1.0045,1.0134,1561593600,23162463.04
195,1.0044,1.0259,1.0011,1.0166,1561680000,12840119.07
196,1.0005,1.0117,1.0005,1.0044,1561766400,11746963.98
197,1.0101,1.0144,0.9986,1.0006,1561852800,9953087.06
198,1.0044,1.0136,1.0029,1.0098,1561939200,10558579.38
199,1.0009,1.0104,0.9997,1.0044,1562025600,14914449.69
200,0.9974,1.0019,0.9946,1.0009,1562112000,12799882.4
201,1.0002,1.0032,0.9942,0.9973,1562198400,9495314.59
202,0.9992,1.004,0.9959,1.0002,1562284800,6261076.02
203,1.0001,1.0006,0.994,0.9992,1562371200,7690641.32
204,0.994,1.0013,0.9935,1.0001,1562457600,6616600.56
205,0.9967,0.9983,0.9915,0.994,1562544000,9984318.89
206,0.9975,1.0032,0.9911,0.9967,1562630400,15322363.68
207,1.0008,1.007,0.9968,0.9981,1562716800,19906058.42
208,1.0001,1.003,0.996,1.0008,1562803200,18947193.87
209,0.9973,1.0017,0.9951,1.0001,1562889600,11852540.08
210,0.9993,1.0038,0.9955,0.9973,1562976000,9081300.06
211,0.9996,1.006,0.9975,0.9992,1563062400,11065533.26
212,0.9993,1.0012,0.9971,0.9996,1563148800,12049760.12
213,1.0008,1.0046,0.9966,0.9991,1563235200,17828982.94
214,0.9977,1.0016,0.9967,1.0008,1563321600,14488261.0
215,0.9979,1.0016,0.9951,0.998,1563408000,13348352.45
216,0.9979,1.0011,0.996,0.998,1563494400,10230072.41
217,0.9976,0.9999,0.9956,0.9979,1563580800,8940472.08
218,1.0002,1.0012,0.997,0.9976,1563667200,5473277.57
219,1.0021,1.0049,0.999,1.0001,1563753600,8359368.92
220,1.0012,1.0028,0.9993,1.0019,1563840000,6412648.15
221,0.9998,1.0034,0.9992,1.0012,1563926400,7205414.34
222,0.9997,1.0006,0.998,0.9995,1564012800,7650720.64
223,0.9993,1.0009,0.9983,0.9996,1564099200,5925178.1
224,1.001,1.0045,0.9971,0.999,1564185600,11882057.72
225,1.0006,1.0067,0.9984,1.001,1564272000,5926846.69
