,c,h,l,o,t,v
0,2.7412,3.1499,2.4,3.1498,1529625600,1567922.02
1,2.7876,2.8771,2.688,2.7409,1529712000,1778679.61
2,2.4409,2.82,2.2185,2.7877,1529798400,3095295.5
3,2.7273,2.766,2.4402,2.4403,1529884800,2545400.42
4,2.5044,2.76,2.4841,2.7273,1529971200,1394247.6
5,2.6302,2.67,2.4401,2.4912,1530057600,1877480.24
6,2.3619,2.6686,2.299,2.6302,1530144000,1977290.62
7,2.5605,2.6553,2.3374,2.3654,1530230400,2102084.83
8,2.5911,2.7301,2.553,2.5696,1530316800,2295403.05
9,2.5578,2.6546,2.47,2.5957,1530403200,2206891.96
10,2.7533,2.81,2.5024,2.5662,1530489600,2515960.94
11,2.6404,2.8822,2.601,2.7575,1530576000,2712194.39
12,2.6459,2.79,2.601,2.6404,1530662400,1523047.59
13,2.5064,2.7145,2.43,2.6409,1530748800,1804103.02
14,2.5172,2.5784,2.38,2.5064,1530835200,1545613.38
15,2.5267,2.54,2.395,2.5285,1530921600,1422827.18
16,2.5015,2.6097,2.5004,2.5267,1531008000,1508000.63
17,2.4237,2.54,2.4185,2.507,1531094400,1736762.38
18,2.214,2.4399,2.2,2.4237,1531180800,2003541.8
19,2.2089,2.2817,2.103,2.214,1531267200,1734265.23
20,2.0896,2.2274,2.0285,2.2199,1531353600,1815729.51
21,2.0897,2.15,2.0404,2.0859,1531440000,1633496.44
22,1.8802,2.103,1.78,2.0888,1531526400,3305703.16
23,1.9193,1.9709,1.8196,1.8861,1531612800,3201906.97
24,1.922,1.9606,1.6,1.9212,1531699200,8466204.91
25,1.9938,2.09,1.799,1.9255,1531785600,5428231.55
26,1.9169,2.0834,1.82,1.99,1531872000,5893367.96
27,1.8032,1.9656,1.7777,1.912,1531958400,4337420.66
28,1.6795,1.8081,1.5633,1.8032,1532044800,6161440.06
29,1.865,1.9026,1.6551,1.686,1532131200,5353100.58
30,1.7955,1.91,1.7568,1.8639,1532217600,3106011.12
31,1.8319,1.862,1.7909,1.7963,1532304000,578711.51
32,0.0001,0.0001,0.0001,0.0001,1539907200,1224.0
